,mean_weight
0,0.020022988
1,0.032172646
2,0.025392732
3,0.091041975
4,0.031071054
5,0.022442428
6,0.049665812
7,0.056990057
8,0.049201075
9,0.019181553
10,0.09605671
11,0.026014619
12,0.10623357
13,0.10360817
14,0.042168457
15,0.038389314
16,0.06264658
17,0.042564806
18,0.03410017
19,0.051035274
