number,value,datetime_start,datetime_complete,duration,params_aggregation,params_depth,params_dropout,params_hidden_dim,params_lr,params_weight_decay,user_attrs_val_metrics,state
13,0.2323825933433707,2026-02-03 01:23:55.611668,2026-02-03 01:24:29.575505,0 days 00:00:33.963837,attention,3,0.3467138384441725,128,0.0023577607464415544,6.443808285064057e-05,"{'val_rmse_mean': 0.7321804165840149, 'val_mae_mean': 0.5514147877693176, 'val_r2_mean': 0.09447598457336426, 'val_rmse_target_0': 0.7321804165840149, 'val_mae_target_0': 0.5514147877693176, 'val_r2_target_0': 0.09447598457336426}",COMPLETE
14,0.23850677812825544,2026-02-03 01:24:29.697120,2026-02-03 01:24:58.558942,0 days 00:00:28.861822,mean,1,0.2540099969764334,128,0.0010111677692123118,1.06863656241627e-05,"{'val_rmse_mean': 0.7313007116317749, 'val_mae_mean': 0.5600454807281494, 'val_r2_mean': 0.10944432020187378, 'val_rmse_target_0': 0.7313007116317749, 'val_mae_target_0': 0.5600454807281494, 'val_r2_target_0': 0.10944432020187378}",COMPLETE
15,0.2388936987888344,2026-02-03 01:24:58.681459,2026-02-03 01:25:28.672550,0 days 00:00:29.991091,attention,2,0.13627548876026097,128,0.002977032406492585,0.0001356537135392113,"{'val_rmse_mean': 0.7215809226036072, 'val_mae_mean': 0.563662052154541, 'val_r2_mean': 0.0966450572013855, 'val_rmse_target_0': 0.7215809226036072, 'val_mae_target_0': 0.563662052154541, 'val_r2_target_0': 0.0966450572013855}",COMPLETE
16,0.2345429136098742,2026-02-03 01:25:28.794272,2026-02-03 01:25:56.582214,0 days 00:00:27.787942,mean,1,0.3858935979568435,32,0.0008047579495757606,4.0772080268336596e-05,"{'val_rmse_mean': 0.7236793637275696, 'val_mae_mean': 0.5611538290977478, 'val_r2_mean': -0.18750417232513428, 'val_rmse_target_0': 0.7236793637275696, 'val_mae_target_0': 0.5611538290977478, 'val_r2_target_0': -0.18750417232513428}",COMPLETE
17,0.20280462732598944,2026-02-03 01:25:56.703693,2026-02-03 01:26:31.890611,0 days 00:00:35.186918,attention,3,0.27089147889518916,128,0.002156262658566833,1.1042842431962138e-05,"{'val_rmse_mean': 0.6666690111160278, 'val_mae_mean': 0.513334333896637, 'val_r2_mean': 0.29557669162750244, 'val_rmse_target_0': 0.6666690111160278, 'val_mae_target_0': 0.513334333896637, 'val_r2_target_0': 0.29557669162750244}",COMPLETE
18,0.2176222927497562,2026-02-03 01:26:32.011641,2026-02-03 01:27:04.347583,0 days 00:00:32.335942,attention,3,0.29350752452430573,128,0.004918077250262745,1.0426265717452708e-05,"{'val_rmse_mean': 0.6775822639465332, 'val_mae_mean': 0.5378026366233826, 'val_r2_mean': 0.12844330072402954, 'val_rmse_target_0': 0.6775822639465332, 'val_mae_target_0': 0.5378026366233826, 'val_r2_target_0': 0.12844330072402954}",COMPLETE
19,0.23685032940314463,2026-02-03 01:27:04.469253,2026-02-03 01:27:35.750030,0 days 00:00:31.280777,attention,3,0.2639333882499968,128,0.0013349407129233403,2.2647029638307384e-05,"{'val_rmse_mean': 0.7169106006622314, 'val_mae_mean': 0.5431565046310425, 'val_r2_mean': 0.20467543601989746, 'val_rmse_target_0': 0.7169106006622314, 'val_mae_target_0': 0.5431565046310425, 'val_r2_target_0': 0.20467543601989746}",COMPLETE
20,0.25153999214267564,2026-02-03 01:27:35.874113,2026-02-03 01:28:07.570863,0 days 00:00:31.696750,attention,3,0.3635465524050798,32,0.0028848431185817683,0.009967511487945412,"{'val_rmse_mean': 0.7680085301399231, 'val_mae_mean': 0.5771947503089905, 'val_r2_mean': 0.01911914348602295, 'val_rmse_target_0': 0.7680085301399231, 'val_mae_target_0': 0.5771947503089905, 'val_r2_target_0': 0.01911914348602295}",COMPLETE
21,0.24215278465352538,2026-02-03 01:28:07.693101,2026-02-03 01:28:37.624196,0 days 00:00:29.931095,attention,2,0.22175471501700106,128,0.002056797641327873,0.00024278182568533444,"{'val_rmse_mean': 0.7392106652259827, 'val_mae_mean': 0.58702152967453, 'val_r2_mean': 0.1719529628753662, 'val_rmse_target_0': 0.7392106652259827, 'val_mae_target_0': 0.58702152967453, 'val_r2_target_0': 0.1719529628753662}",COMPLETE
22,0.21259485603594738,2026-02-03 01:28:37.745195,2026-02-03 01:29:08.056487,0 days 00:00:30.311292,attention,1,0.1456820373419437,128,0.003207380571448315,6.428391740319876e-05,"{'val_rmse_mean': 0.6827785968780518, 'val_mae_mean': 0.5287098288536072, 'val_r2_mean': 0.23347127437591553, 'val_rmse_target_0': 0.6827785968780518, 'val_mae_target_0': 0.5287098288536072, 'val_r2_target_0': 0.23347127437591553}",COMPLETE
23,0.2292676356468022,2026-02-03 01:29:08.177413,2026-02-03 01:29:38.014825,0 days 00:00:29.837412,mean,2,0.2959681503636098,128,0.0022913319809315497,0.0009504814210328786,"{'val_rmse_mean': 0.7150538563728333, 'val_mae_mean': 0.550606906414032, 'val_r2_mean': 0.1733914017677307, 'val_rmse_target_0': 0.7150538563728333, 'val_mae_target_0': 0.550606906414032, 'val_r2_target_0': 0.1733914017677307}",COMPLETE
24,0.26084288144173334,2026-02-03 01:29:38.136632,2026-02-03 01:30:11.252118,0 days 00:00:33.115486,attention,3,0.24495155633397997,128,0.0007573414005501942,0.0020839623452951947,"{'val_rmse_mean': 0.7661682367324829, 'val_mae_mean': 0.5738059878349304, 'val_r2_mean': 0.08245289325714111, 'val_rmse_target_0': 0.7661682367324829, 'val_mae_target_0': 0.5738059878349304, 'val_r2_target_0': 0.08245289325714111}",COMPLETE
25,0.2583660603763915,2026-02-03 01:30:11.373645,2026-02-03 01:30:41.518591,0 days 00:00:30.144946,attention,2,0.12144108115066043,128,0.0014958330019456036,9.512951830002217e-05,"{'val_rmse_mean': 0.777409553527832, 'val_mae_mean': 0.578942596912384, 'val_r2_mean': 0.12532156705856323, 'val_rmse_target_0': 0.777409553527832, 'val_mae_target_0': 0.578942596912384, 'val_r2_target_0': 0.12532156705856323}",COMPLETE
26,0.23218485720658297,2026-02-03 01:30:41.640382,2026-02-03 01:31:11.009762,0 days 00:00:29.369380,mean,1,0.3204174006921688,128,0.0036792461752091716,1.8050977425375234e-05,"{'val_rmse_mean': 0.7233936786651611, 'val_mae_mean': 0.5548406839370728, 'val_r2_mean': 0.19619452953338623, 'val_rmse_target_0': 0.7233936786651611, 'val_mae_target_0': 0.5548406839370728, 'val_r2_target_0': 0.19619452953338623}",COMPLETE
27,0.21064046888563503,2026-02-03 01:31:11.131631,2026-02-03 01:31:42.927297,0 days 00:00:31.795666,attention,3,0.4100553894545985,128,0.0023813330212440788,0.0002276585478133368,"{'val_rmse_mean': 0.681530237197876, 'val_mae_mean': 0.5020898580551147, 'val_r2_mean': 0.2423381209373474, 'val_rmse_target_0': 0.681530237197876, 'val_mae_target_0': 0.5020898580551147, 'val_r2_target_0': 0.2423381209373474}",COMPLETE
28,0.21747403917402994,2026-02-03 01:31:43.048790,2026-02-03 01:32:13.119014,0 days 00:00:30.070224,mean,2,0.22959497033681645,32,0.000987602902764338,3.717846948930571e-05,"{'val_rmse_mean': 0.6974071860313416, 'val_mae_mean': 0.5262503623962402, 'val_r2_mean': 0.15175610780715942, 'val_rmse_target_0': 0.6974071860313416, 'val_mae_target_0': 0.5262503623962402, 'val_r2_target_0': 0.15175610780715942}",COMPLETE
