number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_num_conv_layers,params_path_attention_type,params_path_dim,params_regressor_dim,params_ts_out_channels,params_weight_decay,user_attrs_val_metrics,state
0,0.4246435846540003,2026-02-02 21:41:06.742702,2026-02-02 21:41:42.235462,0 days 00:00:35.492760,16,0.4656586958262521,6.899164242620809e-05,2,mean,8,64,16,0.0018132249041440892,"{'val_rmse_mean': 0.9895647764205933, 'val_mae_mean': 0.8110488653182983, 'val_r2_mean': -46.24445724487305, 'val_rmse_target_0': 0.9895647764205933, 'val_mae_target_0': 0.8110488653182983, 'val_r2_target_0': -46.24445724487305}",COMPLETE
1,0.4515773541018091,2026-02-02 21:41:42.344718,2026-02-02 21:42:21.016648,0 days 00:00:38.671930,16,0.48809571198400625,5.766375186493423e-05,2,mean,8,128,16,0.0038996760156082308,"{'val_rmse_mean': 1.025876760482788, 'val_mae_mean': 0.838607668876648, 'val_r2_mean': -48.86758804321289, 'val_rmse_target_0': 1.025876760482788, 'val_mae_target_0': 0.838607668876648, 'val_r2_target_0': -48.86758804321289}",COMPLETE
2,0.26338764861295066,2026-02-02 21:42:21.126268,2026-02-02 21:42:56.186048,0 days 00:00:35.059780,16,0.2375749024222717,0.0003712294278077209,2,mean,16,64,16,0.003815730204136883,"{'val_rmse_mean': 0.7444420456886292, 'val_mae_mean': 0.6088013052940369, 'val_r2_mean': -0.3120168447494507, 'val_rmse_target_0': 0.7444420456886292, 'val_mae_target_0': 0.6088013052940369, 'val_r2_target_0': -0.3120168447494507}",COMPLETE
3,0.3129810642467756,2026-02-02 21:42:56.294561,2026-02-02 21:43:30.372598,0 days 00:00:34.078037,16,0.29566519005762487,0.0001725037853057624,2,mean,16,256,16,0.004331688265218753,"{'val_rmse_mean': 0.8154473900794983, 'val_mae_mean': 0.6562265753746033, 'val_r2_mean': -2.0490024089813232, 'val_rmse_target_0': 0.8154473900794983, 'val_mae_target_0': 0.6562265753746033, 'val_r2_target_0': -2.0490024089813232}",COMPLETE
4,0.44887866422572253,2026-02-02 21:43:30.482761,2026-02-02 21:44:08.350475,0 days 00:00:37.867714,16,0.21298571720543347,9.383696216751766e-05,2,mean,4,64,16,0.007305582760064582,"{'val_rmse_mean': 1.0141578912734985, 'val_mae_mean': 0.8414661884307861, 'val_r2_mean': -28.26800537109375, 'val_rmse_target_0': 1.0141578912734985, 'val_mae_target_0': 0.8414661884307861, 'val_r2_target_0': -28.26800537109375}",COMPLETE
5,0.4158217851608815,2026-02-02 21:44:08.460101,2026-02-02 21:44:45.743815,0 days 00:00:37.283714,16,0.48354200508564876,0.0002280295869643302,2,mean,8,32,16,0.003569658267129271,"{'val_rmse_mean': 0.9740679264068604, 'val_mae_mean': 0.8016749620437622, 'val_r2_mean': -42.23601531982422, 'val_rmse_target_0': 0.9740679264068604, 'val_mae_target_0': 0.8016749620437622, 'val_r2_target_0': -42.23601531982422}",COMPLETE
6,0.4117162837603785,2026-02-02 21:44:45.852585,2026-02-02 21:45:22.029313,0 days 00:00:36.176728,16,0.4303426991586904,0.0002597110281743715,2,mean,4,64,16,0.0010332908301415623,"{'val_rmse_mean': 0.9623816013336182, 'val_mae_mean': 0.8034752011299133, 'val_r2_mean': -16.302433013916016, 'val_rmse_target_0': 0.9623816013336182, 'val_mae_target_0': 0.8034752011299133, 'val_r2_target_0': -16.302433013916016}",COMPLETE
7,0.42083437983765853,2026-02-02 21:45:22.138666,2026-02-02 21:45:56.409808,0 days 00:00:34.271142,16,0.33727328216453867,0.00010436874579032289,2,mean,8,64,16,0.004534301931820933,"{'val_rmse_mean': 0.983867883682251, 'val_mae_mean': 0.7952953577041626, 'val_r2_mean': -44.26468276977539, 'val_rmse_target_0': 0.983867883682251, 'val_mae_target_0': 0.7952953577041626, 'val_r2_target_0': -44.26468276977539}",COMPLETE
8,0.4164171488093281,2026-02-02 21:45:56.519733,2026-02-02 21:46:33.985007,0 days 00:00:37.465274,16,0.43966073980464837,0.0001375904636687797,2,mean,16,128,16,0.0036144681290858484,"{'val_rmse_mean': 0.9713135957717896, 'val_mae_mean': 0.8079463243484497, 'val_r2_mean': -25.950117111206055, 'val_rmse_target_0': 0.9713135957717896, 'val_mae_target_0': 0.8079463243484497, 'val_r2_target_0': -25.950117111206055}",COMPLETE
9,0.43178261661281186,2026-02-02 21:46:34.093322,2026-02-02 21:47:11.291057,0 days 00:00:37.197735,16,0.4976258302103402,5.3757824204670077e-05,2,mean,4,32,16,0.002486210683465128,"{'val_rmse_mean': 1.0126136541366577, 'val_mae_mean': 0.838628351688385, 'val_r2_mean': -33.1027946472168, 'val_rmse_target_0': 1.0126136541366577, 'val_mae_target_0': 0.838628351688385, 'val_r2_target_0': -33.1027946472168}",COMPLETE
