,mean_weight
0,0.0502749
1,0.050169986
2,0.05015055
3,0.05016038
4,0.050226696
5,0.049842637
6,0.050202783
7,0.050320208
8,0.049714383
9,0.04965524
10,0.050223786
11,0.049796257
12,0.04964588
13,0.050321687
14,0.049747728
15,0.049578648
16,0.050426457
17,0.04952413
18,0.04985202
19,0.050165642
