,mean_weight
0,0.029635096
1,0.048157718
2,0.022018
3,0.027287249
4,0.049003925
5,0.08938427
6,0.059932254
7,0.027735611
8,0.027188642
9,0.026136516
10,0.03600618
11,0.03436999
12,0.13671021
13,0.02541206
14,0.05023819
15,0.026582317
16,0.08436795
17,0.050777283
18,0.077771865
19,0.07128465
