train_loss,val_loss,epoch
0.39296411474545795,0.6572932004928589,1
0.37689803375138176,0.6453325152397156,2
0.36788371536466813,0.6318086385726929,3
0.36498691969447666,0.6250351071357727,4
0.32304535143905216,0.600351870059967,5
0.3151719570159912,0.5838616490364075,6
0.29973236057493424,0.5546859502792358,7
0.27140961090723675,0.5388023853302002,8
0.23618638349903953,0.5465506315231323,9
0.21910525361696878,0.5157288908958435,10
0.20043676926030052,0.45851725339889526,11
0.16195855703618792,0.40544793009757996,12
0.15493966307904986,0.3376771807670593,13
0.13858387370904288,0.31843140721321106,14
0.10932554801305135,0.27821874618530273,15
0.1180924450357755,0.26744407415390015,16
0.10860797721478674,0.29829737544059753,17
0.09912128829293781,0.32760557532310486,18
0.09286353157626258,0.30506014823913574,19
0.08655539527535439,0.2896801829338074,20
0.0973309800028801,0.282185435295105,21
0.08439195570018557,0.2949593663215637,22
0.08921814792686039,0.28143182396888733,23
0.0900149221221606,0.26320117712020874,24
0.08571215967337291,0.2646395266056061,25
0.08111491840746668,0.2613813281059265,26
0.07090234052803782,0.2557273209095001,27
0.08200536585516399,0.2589358985424042,28
0.07289284384912914,0.27044498920440674,29
0.07209588214755058,0.2811899483203888,30
0.07695351872179243,0.2696661949157715,31
0.08023445266816351,0.2650216221809387,32
0.06994716905885273,0.26251906156539917,33
0.07037869426939222,0.2555445730686188,34
0.06930903676483366,0.2495013177394867,35
0.07063527363869879,0.2466382384300232,36
0.07176539881361856,0.24750567972660065,37
0.07881225769718488,0.24601852893829346,38
0.06655261913935344,0.24361523985862732,39
0.07931179056564967,0.24282898008823395,40
0.0748246204521921,0.2419852763414383,41
0.06909542199638155,0.24381877481937408,42
0.06534597525993983,0.24250200390815735,43
0.06628119117683834,0.2424415946006775,44
0.07023299857974052,0.2426641285419464,45
0.06682820576760504,0.24339309334754944,46
0.0720459231072002,0.24362891912460327,47
0.07031214444173707,0.24349093437194824,48
0.06387545789281528,0.2433914840221405,49
0.061682035525639854,0.24334093928337097,50
