Folder,Model Class,Target,Config Type,Augmentation Ratio,RMSE,R2,Baseline RMSE
20260130_180133_ElasticNetModel,ElasticNetModel,Single Leg Stance,Reduced (4 Targets),1,1.1343631744384766,0.04950231313705444,1.1644905805587769
20260130_180133_ElasticNetModel,ElasticNetModel,Hand Grip Right,Reduced (4 Targets),1,1.0736422538757324,-0.028096675872802734,1.0588734149932861
20260130_180133_ElasticNetModel,ElasticNetModel,Throwing Beanbag at Target,Reduced (4 Targets),1,1.1705725193023682,-0.1463479995727539,1.0933809280395508
20260130_182050_LinearRegressionModel,LinearRegressionModel,Balance Test,Reduced (4 Targets),1,1.166772723197937,0.056536734104156494,1.201694130897522
20260130_182050_LinearRegressionModel,LinearRegressionModel,Single Leg Stance,Reduced (4 Targets),1,1.2118703126907349,-0.0848236083984375,1.1644905805587769
20260130_182050_LinearRegressionModel,LinearRegressionModel,Hand Grip Right,Reduced (4 Targets),1,1.047624945640564,0.021126866340637207,1.0588734149932861
20260130_182050_LinearRegressionModel,LinearRegressionModel,Throwing Beanbag at Target,Reduced (4 Targets),1,1.1008013486862183,-0.013766169548034668,1.0933809280395508
20260130_184005_RandomForestLikeMLP,RandomForestLikeMLP,Balance Test,Reduced (4 Targets),1,1.1519594192504883,0.08034110069274902,1.201694130897522
20260130_184005_RandomForestLikeMLP,RandomForestLikeMLP,Single Leg Stance,Reduced (4 Targets),1,1.0980068445205688,0.10945278406143188,1.1644905805587769
20260130_184005_RandomForestLikeMLP,RandomForestLikeMLP,Hand Grip Right,Reduced (4 Targets),1,0.8956642746925354,0.28450721502304077,1.0588734149932861
20260130_184005_RandomForestLikeMLP,RandomForestLikeMLP,Throwing Beanbag at Target,Reduced (4 Targets),1,1.0678517818450928,0.04601454734802246,1.0933809280395508
20260130_190058_SimpleMLPRegressor,SimpleMLPRegressor,Balance Test,Reduced (4 Targets),1,1.1400198936462402,0.09930586814880371,1.201694130897522
20260130_190058_SimpleMLPRegressor,SimpleMLPRegressor,Single Leg Stance,Reduced (4 Targets),1,1.117803692817688,0.07705062627792358,1.1644905805587769
20260130_190058_SimpleMLPRegressor,SimpleMLPRegressor,Hand Grip Right,Reduced (4 Targets),1,0.9779443144798279,0.14701175689697266,1.0588734149932861
20260130_190058_SimpleMLPRegressor,SimpleMLPRegressor,Throwing Beanbag at Target,Reduced (4 Targets),1,1.0799366235733032,0.024299681186676025,1.0933809280395508
20260130_192227_HierarchicalTimeseriesGemini21,HierarchicalTimeseriesGemini21,Balance Test,Reduced (4 Targets),2,1.1755691766738892,0.03527700901031494,1.1982386112213135
20260130_192227_HierarchicalTimeseriesGemini21,HierarchicalTimeseriesGemini21,Single Leg Stance,Reduced (4 Targets),2,1.0695550441741943,0.15856009721755981,1.1669418811798096
20260130_192227_HierarchicalTimeseriesGemini21,HierarchicalTimeseriesGemini21,Hand Grip Right,Reduced (4 Targets),2,0.819719135761261,0.40238773822784424,1.0603713989257812
20260130_192227_HierarchicalTimeseriesGemini21,HierarchicalTimeseriesGemini21,Throwing Beanbag at Target,Reduced (4 Targets),2,1.087415099143982,0.007647812366485596,1.0918165445327759
20260130_195750_HierarchicalTimeseriesLSTM,HierarchicalTimeseriesLSTM,Balance Test,Reduced (4 Targets),2,1.1970309019088745,-0.00026929378509521484,1.1982386112213135
20260130_195750_HierarchicalTimeseriesLSTM,HierarchicalTimeseriesLSTM,Single Leg Stance,Reduced (4 Targets),2,1.1060467958450317,0.10016310214996338,1.1669418811798096
20260130_195750_HierarchicalTimeseriesLSTM,HierarchicalTimeseriesLSTM,Hand Grip Right,Reduced (4 Targets),2,0.787117600440979,0.44897836446762085,1.0603713989257812
20260130_195750_HierarchicalTimeseriesLSTM,HierarchicalTimeseriesLSTM,Throwing Beanbag at Target,Reduced (4 Targets),2,1.0970661640167236,-0.010045051574707031,1.0918165445327759
20260130_204256_ElasticNetModel,ElasticNetModel,Balance Test,Reduced (4 Targets),2,1.126388430595398,0.1143081784248352,1.1982386112213135
20260130_204256_ElasticNetModel,ElasticNetModel,Single Leg Stance,Reduced (4 Targets),2,1.1274373531341553,0.06502139568328857,1.1669418811798096
20260130_204256_ElasticNetModel,ElasticNetModel,Hand Grip Right,Reduced (4 Targets),2,0.9355692267417908,0.22153109312057495,1.0603713989257812
20260130_204256_ElasticNetModel,ElasticNetModel,Throwing Beanbag at Target,Reduced (4 Targets),2,1.1008661985397339,-0.017054080963134766,1.0918165445327759
20260130_210935_LinearRegressionModel,LinearRegressionModel,Balance Test,Reduced (4 Targets),2,1.2043489217758179,-0.012536883354187012,1.1982386112213135
20260130_210935_LinearRegressionModel,LinearRegressionModel,Single Leg Stance,Reduced (4 Targets),2,1.1399985551834106,0.04407155513763428,1.1669418811798096
20260130_210935_LinearRegressionModel,LinearRegressionModel,Hand Grip Right,Reduced (4 Targets),2,1.0053541660308838,0.10106658935546875,1.0603713989257812
20260130_210935_LinearRegressionModel,LinearRegressionModel,Throwing Beanbag at Target,Reduced (4 Targets),2,1.057556390762329,0.06139647960662842,1.0918165445327759
20260130_213605_RandomForestLikeMLP,RandomForestLikeMLP,Balance Test,Reduced (4 Targets),2,1.1530051231384277,0.0719556212425232,1.1982386112213135
20260130_213605_RandomForestLikeMLP,RandomForestLikeMLP,Single Leg Stance,Reduced (4 Targets),2,1.1215347051620483,0.07478588819503784,1.1669418811798096
20260130_213605_RandomForestLikeMLP,RandomForestLikeMLP,Hand Grip Right,Reduced (4 Targets),2,1.0025248527526855,0.10611903667449951,1.0603713989257812
20260130_213605_RandomForestLikeMLP,RandomForestLikeMLP,Throwing Beanbag at Target,Reduced (4 Targets),2,1.0759050846099854,0.028544306755065918,1.0918165445327759
20260130_220353_SimpleMLPRegressor,SimpleMLPRegressor,Balance Test,Reduced (4 Targets),2,1.1056369543075562,0.14664196968078613,1.1982386112213135
20260130_220353_SimpleMLPRegressor,SimpleMLPRegressor,Single Leg Stance,Reduced (4 Targets),2,1.1008285284042358,0.10863399505615234,1.1669418811798096
20260130_220353_SimpleMLPRegressor,SimpleMLPRegressor,Hand Grip Right,Reduced (4 Targets),2,0.9104234576225281,0.2628152370452881,1.0603713989257812
20260130_220353_SimpleMLPRegressor,SimpleMLPRegressor,Throwing Beanbag at Target,Reduced (4 Targets),2,1.094051718711853,-0.004501938819885254,1.0918165445327759
20260130_223349_HierarchicalTimeseriesGemini21,HierarchicalTimeseriesGemini21,Balance Test,Reduced (4 Targets),3,1.194010853767395,0.044290363788604736,1.222150444984436
20260130_223349_HierarchicalTimeseriesGemini21,HierarchicalTimeseriesGemini21,Single Leg Stance,Reduced (4 Targets),3,1.0652986764907837,0.15424680709838867,1.159225583076477
20260130_223349_HierarchicalTimeseriesGemini21,HierarchicalTimeseriesGemini21,Hand Grip Right,Reduced (4 Targets),3,0.7650234699249268,0.485058069229126,1.0661982297897339
20260130_223349_HierarchicalTimeseriesGemini21,HierarchicalTimeseriesGemini21,Throwing Beanbag at Target,Reduced (4 Targets),3,1.109975814819336,-0.027701497077941895,1.095125675201416
20260130_232008_HierarchicalTimeseriesLSTM,HierarchicalTimeseriesLSTM,Balance Test,Reduced (4 Targets),3,1.1953186988830566,0.04219561815261841,1.222150444984436
20260130_232008_HierarchicalTimeseriesLSTM,HierarchicalTimeseriesLSTM,Single Leg Stance,Reduced (4 Targets),3,1.0732308626174927,0.14160507917404175,1.159225583076477
20260130_232008_HierarchicalTimeseriesLSTM,HierarchicalTimeseriesLSTM,Hand Grip Right,Reduced (4 Targets),3,0.7454976439476013,0.5110085010528564,1.0661982297897339
20260130_232008_HierarchicalTimeseriesLSTM,HierarchicalTimeseriesLSTM,Throwing Beanbag at Target,Reduced (4 Targets),3,1.102028250694275,-0.013036966323852539,1.095125675201416
20260131_001838_ElasticNetModel,ElasticNetModel,Balance Test,Reduced (4 Targets),3,1.0420713424682617,0.27204543352127075,1.222150444984436
20260131_001838_ElasticNetModel,ElasticNetModel,Single Leg Stance,Reduced (4 Targets),3,1.0925966501235962,0.11034691333770752,1.159225583076477
20260131_001838_ElasticNetModel,ElasticNetModel,Hand Grip Right,Reduced (4 Targets),3,0.9011803269386292,0.28545093536376953,1.0661982297897339
20260131_001838_ElasticNetModel,ElasticNetModel,Throwing Beanbag at Target,Reduced (4 Targets),3,1.0340144634246826,0.10814756155014038,1.095125675201416
20260131_005229_LinearRegressionModel,LinearRegressionModel,Balance Test,Reduced (4 Targets),3,1.053468108177185,0.25603562593460083,1.222150444984436
20260131_005229_LinearRegressionModel,LinearRegressionModel,Single Leg Stance,Reduced (4 Targets),3,1.103777289390564,0.09204608201980591,1.159225583076477
20260131_005229_LinearRegressionModel,LinearRegressionModel,Hand Grip Right,Reduced (4 Targets),3,0.9539353847503662,0.19934284687042236,1.0661982297897339
20260131_005229_LinearRegressionModel,LinearRegressionModel,Throwing Beanbag at Target,Reduced (4 Targets),3,1.0717767477035522,0.041816771030426025,1.095125675201416
20260131_012700_RandomForestLikeMLP,RandomForestLikeMLP,Balance Test,Reduced (4 Targets),3,1.0757226943969727,0.2242709994316101,1.222150444984436
20260131_012700_RandomForestLikeMLP,RandomForestLikeMLP,Single Leg Stance,Reduced (4 Targets),3,1.0904333591461182,0.11386650800704956,1.159225583076477
20260131_012700_RandomForestLikeMLP,RandomForestLikeMLP,Hand Grip Right,Reduced (4 Targets),3,0.9518857598304749,0.2027796506881714,1.0661982297897339
20260131_012700_RandomForestLikeMLP,RandomForestLikeMLP,Throwing Beanbag at Target,Reduced (4 Targets),3,1.1141126155853271,-0.03537559509277344,1.095125675201416
20260131_020441_SimpleMLPRegressor,SimpleMLPRegressor,Balance Test,Reduced (4 Targets),3,1.140710711479187,0.12771087884902954,1.222150444984436
20260131_020441_SimpleMLPRegressor,SimpleMLPRegressor,Single Leg Stance,Reduced (4 Targets),3,1.095847725868225,0.10504478216171265,1.159225583076477
20260131_020441_SimpleMLPRegressor,SimpleMLPRegressor,Hand Grip Right,Reduced (4 Targets),3,0.9982578754425049,0.12321269512176514,1.0661982297897339
20260131_020441_SimpleMLPRegressor,SimpleMLPRegressor,Throwing Beanbag at Target,Reduced (4 Targets),3,1.075597882270813,0.034972310066223145,1.095125675201416
20260131_024345_HierarchicalTimeseriesGemini21,HierarchicalTimeseriesGemini21,Balance Test,Reduced (4 Targets),4,1.196479082107544,0.04527169466018677,1.225546956062317
20260131_024345_HierarchicalTimeseriesGemini21,HierarchicalTimeseriesGemini21,Single Leg Stance,Reduced (4 Targets),4,1.0592129230499268,0.15338361263275146,1.1519098281860352
20260131_024345_HierarchicalTimeseriesGemini21,HierarchicalTimeseriesGemini21,Hand Grip Right,Reduced (4 Targets),4,0.7811694741249084,0.4427972435951233,1.0465118885040283
20260131_024345_HierarchicalTimeseriesGemini21,HierarchicalTimeseriesGemini21,Throwing Beanbag at Target,Reduced (4 Targets),4,1.0942827463150024,-0.011063694953918457,1.0883727073669434
20260131_034133_HierarchicalTimeseriesLSTM,HierarchicalTimeseriesLSTM,Balance Test,Reduced (4 Targets),4,1.2151377201080322,0.015262424945831299,1.225546956062317
20260131_034133_HierarchicalTimeseriesLSTM,HierarchicalTimeseriesLSTM,Single Leg Stance,Reduced (4 Targets),4,1.0722047090530396,0.13248777389526367,1.1519098281860352
20260131_034133_HierarchicalTimeseriesLSTM,HierarchicalTimeseriesLSTM,Hand Grip Right,Reduced (4 Targets),4,0.7437174916267395,0.49494481086730957,1.0465118885040283
20260131_034133_HierarchicalTimeseriesLSTM,HierarchicalTimeseriesLSTM,Throwing Beanbag at Target,Reduced (4 Targets),4,1.0900167226791382,-0.0031957626342773438,1.0883727073669434
20260131_045541_ElasticNetModel,ElasticNetModel,Balance Test,Reduced (4 Targets),4,1.1887890100479126,0.05750507116317749,1.225546956062317
20260131_045541_ElasticNetModel,ElasticNetModel,Single Leg Stance,Reduced (4 Targets),4,1.1112629175186157,0.06813329458236694,1.1519098281860352
20260131_045541_ElasticNetModel,ElasticNetModel,Hand Grip Right,Reduced (4 Targets),4,1.054327130317688,-0.015017509460449219,1.0465118885040283
20260131_045541_ElasticNetModel,ElasticNetModel,Throwing Beanbag at Target,Reduced (4 Targets),4,1.1207454204559326,-0.06055557727813721,1.0883727073669434
20260131_053724_LinearRegressionModel,LinearRegressionModel,Balance Test,Reduced (4 Targets),4,1.166599988937378,0.09236031770706177,1.225546956062317
20260131_053724_LinearRegressionModel,LinearRegressionModel,Single Leg Stance,Reduced (4 Targets),4,1.1547918319702148,-0.0062999725341796875,1.1519098281860352
20260131_053724_LinearRegressionModel,LinearRegressionModel,Hand Grip Right,Reduced (4 Targets),4,1.0092650651931763,0.0698920488357544,1.0465118885040283
20260131_053724_LinearRegressionModel,LinearRegressionModel,Throwing Beanbag at Target,Reduced (4 Targets),4,1.0984376668930054,-0.01875603199005127,1.0883727073669434
20260131_062223_RandomForestLikeMLP,RandomForestLikeMLP,Balance Test,Reduced (4 Targets),4,1.1883302927017212,0.05823218822479248,1.225546956062317
20260131_062223_RandomForestLikeMLP,RandomForestLikeMLP,Single Leg Stance,Reduced (4 Targets),4,1.1602411270141602,-0.015819668769836426,1.1519098281860352
20260131_062223_RandomForestLikeMLP,RandomForestLikeMLP,Hand Grip Right,Reduced (4 Targets),4,0.9675077795982361,0.1452646255493164,1.0465118885040283
20260131_062223_RandomForestLikeMLP,RandomForestLikeMLP,Throwing Beanbag at Target,Reduced (4 Targets),4,1.0946158170700073,-0.011679291725158691,1.0883727073669434
20260131_070708_SimpleMLPRegressor,SimpleMLPRegressor,Balance Test,Reduced (4 Targets),4,1.1138864755630493,0.17253166437149048,1.225546956062317
20260131_070708_SimpleMLPRegressor,SimpleMLPRegressor,Single Leg Stance,Reduced (4 Targets),4,1.1313356161117554,0.03416478633880615,1.1519098281860352
20260131_070708_SimpleMLPRegressor,SimpleMLPRegressor,Hand Grip Right,Reduced (4 Targets),4,0.9318330883979797,0.20713531970977783,1.0465118885040283
20260131_070708_SimpleMLPRegressor,SimpleMLPRegressor,Throwing Beanbag at Target,Reduced (4 Targets),4,1.1141371726989746,-0.048085570335388184,1.0883727073669434
20260131_075508_HierarchicalTimeseriesGemini21,HierarchicalTimeseriesGemini21,Balance Test,Reduced (4 Targets),5,1.2045928239822388,0.04720586538314819,1.2348343133926392
