,mean_weight
0,0.049036816
1,0.049015917
2,0.05150306
3,0.048667002
4,0.04968964
5,0.049273062
6,0.050455857
7,0.048620023
8,0.050171945
9,0.05027422
10,0.049608737
11,0.049546134
12,0.049551457
13,0.050303876
14,0.05018704
15,0.051077217
16,0.051423352
17,0.050401002
18,0.050204918
19,0.050988756
