,mean_weight
0,0.050682835
1,0.052566055
2,0.050173298
3,0.048774596
4,0.047823705
5,0.047333114
6,0.046951927
7,0.04768034
8,0.04932222
9,0.04825287
10,0.048076827
11,0.051294506
12,0.0516834
13,0.049845174
14,0.048877656
15,0.053225003
16,0.051749546
17,0.049812473
18,0.05306407
19,0.05281037
