number,value,datetime_start,datetime_complete,duration,params_aggregation,params_dropout,params_hidden_dim,params_lr,params_weight_decay,user_attrs_val_metrics,state
0,0.3761114729223428,2026-01-30 21:36:05.321774,2026-01-30 21:36:26.189277,0 days 00:00:20.867503,mean,0.38751283919084956,32,0.0007477287649760676,4.340593042205222e-05,"{'val_rmse_mean': 0.9744735360145569, 'val_mae_mean': 0.7101020216941833, 'val_r2_mean': -16.82919692993164, 'val_rmse_target_0': 0.9047239422798157, 'val_mae_target_0': 0.5709150433540344, 'val_r2_target_0': -14.366336822509766, 'val_rmse_target_1': 0.9972651600837708, 'val_mae_target_1': 0.6907393336296082, 'val_r2_target_1': -17.20878028869629, 'val_rmse_target_2': 0.953569233417511, 'val_mae_target_2': 0.8433444499969482, 'val_r2_target_2': -8.998648643493652, 'val_rmse_target_3': 1.0423357486724854, 'val_mae_target_3': 0.7354092597961426, 'val_r2_target_3': -26.74301528930664}",COMPLETE
1,0.3881296451996874,2026-01-30 21:36:26.293537,2026-01-30 21:36:48.001184,0 days 00:00:21.707647,mean,0.050394212935130335,64,0.0007810017682741132,1.5854321780482696e-05,"{'val_rmse_mean': 0.9793686866760254, 'val_mae_mean': 0.7442001104354858, 'val_r2_mean': -5.450525283813477, 'val_rmse_target_0': 0.9762966632843018, 'val_mae_target_0': 0.7025187611579895, 'val_r2_target_0': -4.001293182373047, 'val_rmse_target_1': 0.9824169874191284, 'val_mae_target_1': 0.6935452818870544, 'val_r2_target_1': -7.611764907836914, 'val_rmse_target_2': 0.9476824998855591, 'val_mae_target_2': 0.83574378490448, 'val_r2_target_2': -2.227113962173462, 'val_rmse_target_3': 1.0110784769058228, 'val_mae_target_3': 0.744992733001709, 'val_r2_target_3': -7.9619293212890625}",COMPLETE
2,0.3736019017243827,2026-01-30 21:36:48.103882,2026-01-30 21:37:10.596901,0 days 00:00:22.493019,attention,0.3721324662063422,128,0.00013100555028635298,0.004896960571127957,"{'val_rmse_mean': 0.9827365875244141, 'val_mae_mean': 0.7089474201202393, 'val_r2_mean': -66.96598815917969, 'val_rmse_target_0': 0.9752449989318848, 'val_mae_target_0': 0.6234259009361267, 'val_r2_target_0': -69.6612777709961, 'val_rmse_target_1': 0.981779158115387, 'val_mae_target_1': 0.6673060655593872, 'val_r2_target_1': -62.55916213989258, 'val_rmse_target_2': 0.9681779146194458, 'val_mae_target_2': 0.8435215353965759, 'val_r2_target_2': -41.65199279785156, 'val_rmse_target_3': 1.005744457244873, 'val_mae_target_3': 0.7015362977981567, 'val_r2_target_3': -93.99151611328125}",COMPLETE
3,0.38634345777056833,2026-01-30 21:37:10.701420,2026-01-30 21:37:32.257528,0 days 00:00:21.556108,mean,0.24203154212900044,64,0.0008708600557078303,0.00016058373065673838,"{'val_rmse_mean': 0.9756612777709961, 'val_mae_mean': 0.7435984015464783, 'val_r2_mean': -5.587324142456055, 'val_rmse_target_0': 0.9159350991249084, 'val_mae_target_0': 0.6392838954925537, 'val_r2_target_0': -4.168478488922119, 'val_rmse_target_1': 1.0292679071426392, 'val_mae_target_1': 0.7314891219139099, 'val_r2_target_1': -6.426435470581055, 'val_rmse_target_2': 0.9207908511161804, 'val_mae_target_2': 0.82893967628479, 'val_r2_target_2': -2.8782496452331543, 'val_rmse_target_3': 1.0366510152816772, 'val_mae_target_3': 0.7746808528900146, 'val_r2_target_3': -8.87613296508789}",COMPLETE
4,0.368157257222467,2026-01-30 21:37:32.360974,2026-01-30 21:37:53.458548,0 days 00:00:21.097574,mean,0.30723825662218984,32,0.0010616402238531784,0.0019499232356088862,"{'val_rmse_mean': 0.9526826739311218, 'val_mae_mean': 0.7062581181526184, 'val_r2_mean': -10.914297103881836, 'val_rmse_target_0': 0.8960124254226685, 'val_mae_target_0': 0.6080451011657715, 'val_r2_target_0': -5.552644729614258, 'val_rmse_target_1': 0.9447681307792664, 'val_mae_target_1': 0.6510127782821655, 'val_r2_target_1': -5.887165069580078, 'val_rmse_target_2': 0.960269570350647, 'val_mae_target_2': 0.8658236861228943, 'val_r2_target_2': -3.640148162841797, 'val_rmse_target_3': 1.0096805095672607, 'val_mae_target_3': 0.7001510262489319, 'val_r2_target_3': -28.57723045349121}",COMPLETE
5,0.38565096879998845,2026-01-30 21:37:53.562287,2026-01-30 21:38:13.710863,0 days 00:00:20.148576,mean,0.37722152358786326,32,0.00029223179946418897,2.0083618538374095e-05,"{'val_rmse_mean': 0.9992998838424683, 'val_mae_mean': 0.7255169749259949, 'val_r2_mean': -50.13318634033203, 'val_rmse_target_0': 0.9825426936149597, 'val_mae_target_0': 0.6144711375236511, 'val_r2_target_0': -46.39179229736328, 'val_rmse_target_1': 0.9870588779449463, 'val_mae_target_1': 0.6987395286560059, 'val_r2_target_1': -59.768455505371094, 'val_rmse_target_2': 0.9825652837753296, 'val_mae_target_2': 0.8658347725868225, 'val_r2_target_2': -26.364784240722656, 'val_rmse_target_3': 1.0450325012207031, 'val_mae_target_3': 0.7230224013328552, 'val_r2_target_3': -68.0077133178711}",COMPLETE
6,0.41368294776313835,2026-01-30 21:38:13.814576,2026-01-30 21:38:35.478912,0 days 00:00:21.664336,attention,0.09603592175201028,32,0.004860978412343174,0.00017468052230227522,"{'val_rmse_mean': 1.0076119899749756, 'val_mae_mean': 0.7792055606842041, 'val_r2_mean': -1.7937803268432617, 'val_rmse_target_0': 0.913702666759491, 'val_mae_target_0': 0.6509101390838623, 'val_r2_target_0': -0.8516227006912231, 'val_rmse_target_1': 1.1202213764190674, 'val_mae_target_1': 0.8231784105300903, 'val_r2_target_1': -2.3337767124176025, 'val_rmse_target_2': 0.9440436959266663, 'val_mae_target_2': 0.8075951933860779, 'val_r2_target_2': -0.8107903003692627, 'val_rmse_target_3': 1.0524802207946777, 'val_mae_target_3': 0.8351385593414307, 'val_r2_target_3': -3.178931713104248}",COMPLETE
7,0.4295894165902778,2026-01-30 21:38:35.581801,2026-01-30 21:38:58.467322,0 days 00:00:22.885521,attention,0.04030244981461411,128,0.002470065179109355,0.00014332557443440583,"{'val_rmse_mean': 1.0248157978057861, 'val_mae_mean': 0.7822444438934326, 'val_r2_mean': -1.847851037979126, 'val_rmse_target_0': 0.9936211705207825, 'val_mae_target_0': 0.7000812888145447, 'val_r2_target_0': -1.74643874168396, 'val_rmse_target_1': 1.123167872428894, 'val_mae_target_1': 0.8442547917366028, 'val_r2_target_1': -2.143465280532837, 'val_rmse_target_2': 0.9822879433631897, 'val_mae_target_2': 0.7901020646095276, 'val_r2_target_2': -0.846343994140625, 'val_rmse_target_3': 1.0001863241195679, 'val_mae_target_3': 0.7945396304130554, 'val_r2_target_3': -2.655156135559082}",COMPLETE
8,0.41426407504412865,2026-01-30 21:38:58.572764,2026-01-30 21:39:21.685870,0 days 00:00:23.113106,attention,0.07074926466970188,64,0.0009466608319385891,0.005470301095435675,"{'val_rmse_mean': 0.9953509569168091, 'val_mae_mean': 0.7707343101501465, 'val_r2_mean': -2.6058390140533447, 'val_rmse_target_0': 0.9780861139297485, 'val_mae_target_0': 0.6951068639755249, 'val_r2_target_0': -2.1137702465057373, 'val_rmse_target_1': 1.027823805809021, 'val_mae_target_1': 0.7759857773780823, 'val_r2_target_1': -3.594109058380127, 'val_rmse_target_2': 0.9632206559181213, 'val_mae_target_2': 0.8307514190673828, 'val_r2_target_2': -1.5306196212768555, 'val_rmse_target_3': 1.0122731924057007, 'val_mae_target_3': 0.7810931205749512, 'val_r2_target_3': -3.1848578453063965}",COMPLETE
9,0.377268199843389,2026-01-30 21:39:21.790323,2026-01-30 21:39:43.762570,0 days 00:00:21.972247,mean,0.21086576327211715,128,0.00013407453451498013,7.315154901431329e-05,"{'val_rmse_mean': 0.9846891164779663, 'val_mae_mean': 0.7193546295166016, 'val_r2_mean': -57.316226959228516, 'val_rmse_target_0': 0.9716179966926575, 'val_mae_target_0': 0.6073818206787109, 'val_r2_target_0': -60.722782135009766, 'val_rmse_target_1': 0.996899425983429, 'val_mae_target_1': 0.7117420434951782, 'val_r2_target_1': -54.906166076660156, 'val_rmse_target_2': 0.9503323435783386, 'val_mae_target_2': 0.8318726420402527, 'val_r2_target_2': -39.77117919921875, 'val_rmse_target_3': 1.0199066400527954, 'val_mae_target_3': 0.7264220118522644, 'val_r2_target_3': -73.8647689819336}",COMPLETE
