train_loss,val_loss,epoch
0.3874763184123569,0.6369036436080933,1
0.36943404542075264,0.6163082122802734,2
0.32805699937873417,0.5983715057373047,3
0.2963943796025382,0.573207676410675,4
0.26666126069095397,0.5467948317527771,5
0.25064756472905475,0.5105997323989868,6
0.22478851841555703,0.47767373919487,7
0.2068809833791521,0.44695624709129333,8
0.1721897688176897,0.4152591824531555,9
0.16017171574963462,0.39190706610679626,10
0.144839598900742,0.36666345596313477,11
0.11731546951664819,0.3426262438297272,12
0.11137096914980146,0.33152854442596436,13
0.08655352104041311,0.31637415289878845,14
0.07993152737617493,0.29686325788497925,15
0.07161324967940648,0.2700294554233551,16
0.0647041102250417,0.2648446261882782,17
0.059329471240441,0.25262290239334106,18
0.053965840902593404,0.24301442503929138,19
0.04255709300438563,0.2435510903596878,20
0.04851273571451505,0.23111796379089355,21
0.03773770067426893,0.21457743644714355,22
0.036378992100556694,0.20591792464256287,23
0.038214034090439476,0.2003105729818344,24
0.039906207058164805,0.20069195330142975,25
0.03665193977455298,0.19848863780498505,26
0.034994585853483945,0.1997610330581665,27
0.03239774579803149,0.19888842105865479,28
0.03813144709501001,0.1945105791091919,29
0.036881819574369326,0.19276747107505798,30
0.029728461884789996,0.19026343524456024,31
0.04021501541137695,0.19148001074790955,32
0.03176763922803932,0.19177770614624023,33
0.03205294700132476,0.1883886158466339,34
0.03399122175243166,0.1849530190229416,35
0.028784421789977286,0.18524885177612305,36
0.034115184719363846,0.18598642945289612,37
0.029214824239412945,0.18489588797092438,38
0.03240960008568234,0.18628597259521484,39
0.03255197385119067,0.18752406537532806,40
0.03245115466415882,0.18840385973453522,41
0.03241235369609462,0.1898147612810135,42
0.02937972628408008,0.19026900827884674,43
0.031032413244247437,0.19066205620765686,44
0.0354570887155003,0.19099590182304382,45
0.029547286323375173,0.1915241777896881,46
0.025965872324175306,0.19180193543434143,47
0.030024776028262243,0.1918729990720749,48
0.026578930930958852,0.19192743301391602,49
0.03155960991150803,0.19193443655967712,50
