number,value,datetime_start,datetime_complete,duration,params_aggregation,params_dropout,params_hidden_dim,params_lr,params_weight_decay,user_attrs_val_metrics,state
17,0.3781086417535941,2026-01-31 06:32:02.391212,2026-01-31 06:32:36.137293,0 days 00:00:33.746081,mean,0.11052706570899415,64,0.00014726743726894514,0.00022571207603015912,"{'val_rmse_mean': 0.9853905439376831, 'val_mae_mean': 0.7214964032173157, 'val_r2_mean': -44.30265426635742, 'val_rmse_target_0': 0.9690834283828735, 'val_mae_target_0': 0.596622109413147, 'val_r2_target_0': -32.675926208496094, 'val_rmse_target_1': 0.9683208465576172, 'val_mae_target_1': 0.7085333466529846, 'val_r2_target_1': -42.82159423828125, 'val_rmse_target_2': 0.9466682076454163, 'val_mae_target_2': 0.8331749439239502, 'val_r2_target_2': -24.85218048095703, 'val_rmse_target_3': 1.0574897527694702, 'val_mae_target_3': 0.7476550936698914, 'val_r2_target_3': -76.86094665527344}",COMPLETE
18,0.38748193715043644,2026-01-31 06:32:36.273511,2026-01-31 06:33:09.691674,0 days 00:00:33.418163,mean,0.07522374966344136,64,0.00026742992780582464,0.0013366999565987334,"{'val_rmse_mean': 1.002547025680542, 'val_mae_mean': 0.7381458282470703, 'val_r2_mean': -15.880609512329102, 'val_rmse_target_0': 0.9641614556312561, 'val_mae_target_0': 0.6256985068321228, 'val_r2_target_0': -13.524598121643066, 'val_rmse_target_1': 1.0415295362472534, 'val_mae_target_1': 0.7340340614318848, 'val_r2_target_1': -16.787872314453125, 'val_rmse_target_2': 0.9633756279945374, 'val_mae_target_2': 0.8431851267814636, 'val_r2_target_2': -9.818604469299316, 'val_rmse_target_3': 1.041121244430542, 'val_mae_target_3': 0.749665379524231, 'val_r2_target_3': -23.3913631439209}",COMPLETE
19,0.3843702082004812,2026-01-31 06:33:09.824811,2026-01-31 06:33:44.260608,0 days 00:00:34.435797,mean,0.10236592340385864,128,0.00014853065549101847,0.00033527906957577023,"{'val_rmse_mean': 0.9964008331298828, 'val_mae_mean': 0.7268961668014526, 'val_r2_mean': -30.838165283203125, 'val_rmse_target_0': 0.9917566180229187, 'val_mae_target_0': 0.6382958292961121, 'val_r2_target_0': -19.767240524291992, 'val_rmse_target_1': 0.9822137951850891, 'val_mae_target_1': 0.6932488083839417, 'val_r2_target_1': -31.302349090576172, 'val_rmse_target_2': 0.9548723697662354, 'val_mae_target_2': 0.8329001665115356, 'val_r2_target_2': -21.520296096801758, 'val_rmse_target_3': 1.056760549545288, 'val_mae_target_3': 0.7431396842002869, 'val_r2_target_3': -50.762779235839844}",COMPLETE
20,0.48122704884520284,2026-01-31 06:33:44.393971,2026-01-31 06:34:19.249398,0 days 00:00:34.855427,mean,0.024293574442666305,64,0.004464737980785698,0.0030081957288563372,"{'val_rmse_mean': 1.107424020767212, 'val_mae_mean': 0.8446453809738159, 'val_r2_mean': -1.7430561780929565, 'val_rmse_target_0': 1.089506983757019, 'val_mae_target_0': 0.7853899598121643, 'val_r2_target_0': -1.5498428344726562, 'val_rmse_target_1': 1.1258535385131836, 'val_mae_target_1': 0.7509307861328125, 'val_r2_target_1': -2.3322196006774902, 'val_rmse_target_2': 1.109696388244629, 'val_mae_target_2': 0.8739985227584839, 'val_r2_target_2': -0.8950599431991577, 'val_rmse_target_3': 1.1046392917633057, 'val_mae_target_3': 0.968262255191803, 'val_r2_target_3': -2.1951019763946533}",COMPLETE
21,0.38073726315741185,2026-01-31 06:34:19.382023,2026-01-31 06:34:52.097108,0 days 00:00:32.715085,mean,0.156749346766173,64,0.00013291117461813027,0.00012883351480040152,"{'val_rmse_mean': 0.9914880990982056, 'val_mae_mean': 0.7176893353462219, 'val_r2_mean': -50.62799072265625, 'val_rmse_target_0': 0.97845858335495, 'val_mae_target_0': 0.6069332361221313, 'val_r2_target_0': -39.25395965576172, 'val_rmse_target_1': 0.9828404188156128, 'val_mae_target_1': 0.6767750382423401, 'val_r2_target_1': -48.064178466796875, 'val_rmse_target_2': 0.9753384590148926, 'val_mae_target_2': 0.8550959229469299, 'val_r2_target_2': -47.39237594604492, 'val_rmse_target_3': 1.0293149948120117, 'val_mae_target_3': 0.7319530844688416, 'val_r2_target_3': -67.80145263671875}",COMPLETE
22,0.37977588918336014,2026-01-31 06:34:52.230283,2026-01-31 06:35:26.197054,0 days 00:00:33.966771,mean,0.247924904253968,64,0.00014732137147596117,8.173689766483009e-05,"{'val_rmse_mean': 0.9863932132720947, 'val_mae_mean': 0.7209454774856567, 'val_r2_mean': -48.45254135131836, 'val_rmse_target_0': 0.953829824924469, 'val_mae_target_0': 0.6193267703056335, 'val_r2_target_0': -34.495182037353516, 'val_rmse_target_1': 1.0025793313980103, 'val_mae_target_1': 0.7081863880157471, 'val_r2_target_1': -41.46690368652344, 'val_rmse_target_2': 0.9749122262001038, 'val_mae_target_2': 0.8555583357810974, 'val_r2_target_2': -42.2565803527832, 'val_rmse_target_3': 1.0142513513565063, 'val_mae_target_3': 0.7007102370262146, 'val_r2_target_3': -75.5915298461914}",COMPLETE
23,0.3845661459145723,2026-01-31 06:35:26.329391,2026-01-31 06:36:01.680695,0 days 00:00:35.351304,mean,0.22268647728988802,64,0.0002690328620913235,0.00020619783439459756,"{'val_rmse_mean': 0.9931690096855164, 'val_mae_mean': 0.7205272912979126, 'val_r2_mean': -17.48006820678711, 'val_rmse_target_0': 0.9759780764579773, 'val_mae_target_0': 0.5933392643928528, 'val_r2_target_0': -13.136250495910645, 'val_rmse_target_1': 1.0295124053955078, 'val_mae_target_1': 0.7366921305656433, 'val_r2_target_1': -16.15704345703125, 'val_rmse_target_2': 0.9266064763069153, 'val_mae_target_2': 0.8162484765052795, 'val_r2_target_2': -11.524774551391602, 'val_rmse_target_3': 1.040579080581665, 'val_mae_target_3': 0.7358294129371643, 'val_r2_target_3': -29.102203369140625}",COMPLETE
24,0.3746630248303215,2026-01-31 06:36:01.812774,2026-01-31 06:36:35.040561,0 days 00:00:33.227787,mean,0.11067302518506184,64,0.00015053273059328624,7.404431466763846e-05,"{'val_rmse_mean': 0.9770405292510986, 'val_mae_mean': 0.7117683291435242, 'val_r2_mean': -56.407981872558594, 'val_rmse_target_0': 0.97564297914505, 'val_mae_target_0': 0.6255436539649963, 'val_r2_target_0': -39.09524154663086, 'val_rmse_target_1': 0.9599570035934448, 'val_mae_target_1': 0.680120587348938, 'val_r2_target_1': -70.33047485351562, 'val_rmse_target_2': 0.9617560505867004, 'val_mae_target_2': 0.8180601596832275, 'val_r2_target_2': -40.4711799621582, 'val_rmse_target_3': 1.0108059644699097, 'val_mae_target_3': 0.7233489155769348, 'val_r2_target_3': -75.73503112792969}",COMPLETE
25,0.40651917250619996,2026-01-31 06:36:35.172932,2026-01-31 06:37:08.141762,0 days 00:00:32.968830,mean,0.10800442700129775,64,0.0005629538796883464,0.009727145993932373,"{'val_rmse_mean': 1.0054302215576172, 'val_mae_mean': 0.755010187625885, 'val_r2_mean': -4.216704845428467, 'val_rmse_target_0': 0.9815431237220764, 'val_mae_target_0': 0.6408473253250122, 'val_r2_target_0': -3.1051039695739746, 'val_rmse_target_1': 1.1113839149475098, 'val_mae_target_1': 0.8098883628845215, 'val_r2_target_1': -4.481102466583252, 'val_rmse_target_2': 0.8984991312026978, 'val_mae_target_2': 0.7761961817741394, 'val_r2_target_2': -1.5981264114379883, 'val_rmse_target_3': 1.0302951335906982, 'val_mae_target_3': 0.7931088805198669, 'val_r2_target_3': -7.682489395141602}",COMPLETE
26,0.37633967647949856,2026-01-31 06:37:08.274760,2026-01-31 06:37:44.024204,0 days 00:00:35.749444,mean,0.06539280037051062,64,0.0002556204913991092,0.00021234124949106394,"{'val_rmse_mean': 0.9795032143592834, 'val_mae_mean': 0.7279934883117676, 'val_r2_mean': -21.597454071044922, 'val_rmse_target_0': 0.93706214427948, 'val_mae_target_0': 0.6055904626846313, 'val_r2_target_0': -12.595337867736816, 'val_rmse_target_1': 1.0019603967666626, 'val_mae_target_1': 0.7152377963066101, 'val_r2_target_1': -20.46269989013672, 'val_rmse_target_2': 0.9589755535125732, 'val_mae_target_2': 0.8527716994285583, 'val_r2_target_2': -17.312759399414062, 'val_rmse_target_3': 1.020014762878418, 'val_mae_target_3': 0.738373875617981, 'val_r2_target_3': -36.01902770996094}",COMPLETE
