number,value,datetime_start,datetime_complete,duration,params_aggregation,params_dropout,params_hidden_dim,params_lr,params_weight_decay,user_attrs_val_metrics,state
37,0.24745480376818538,2026-02-04 09:42:56.708781,2026-02-04 09:43:31.227089,0 days 00:00:34.518308,attention,0.3528550304251874,128,0.0002987913984535863,0.0032613465047344288,"{'val_rmse_mean': 0.7327817678451538, 'val_mae_mean': 0.5828659534454346, 'val_r2_mean': -0.20931899547576904, 'val_rmse_target_0': 0.7327817678451538, 'val_mae_target_0': 0.5828659534454346, 'val_r2_target_0': -0.20931899547576904}",COMPLETE
38,0.29505989121120096,2026-02-04 09:43:31.449344,2026-02-04 09:44:05.485433,0 days 00:00:34.036089,attention,0.2571255522336219,128,0.00013712826664000923,0.000326423708578125,"{'val_rmse_mean': 0.829671323299408, 'val_mae_mean': 0.6308093667030334, 'val_r2_mean': -3.3611574172973633, 'val_rmse_target_0': 0.829671323299408, 'val_mae_target_0': 0.6308093667030334, 'val_r2_target_0': -3.3611574172973633}",COMPLETE
39,0.23913343352183733,2026-02-04 09:44:05.708064,2026-02-04 09:44:38.821757,0 days 00:00:33.113693,mean,0.3967007945339331,128,0.00021787043874608932,0.00102275112855256,"{'val_rmse_mean': 0.7355101108551025, 'val_mae_mean': 0.5608830451965332, 'val_r2_mean': -1.4385380744934082, 'val_rmse_target_0': 0.7355101108551025, 'val_mae_target_0': 0.5608830451965332, 'val_r2_target_0': -1.4385380744934082}",COMPLETE
40,0.24375891298761956,2026-02-04 09:44:39.045824,2026-02-04 09:45:14.629301,0 days 00:00:35.583477,attention,0.17191349445474183,128,0.0003993795286573021,4.092463756473872e-05,"{'val_rmse_mean': 0.7267316579818726, 'val_mae_mean': 0.5553286075592041, 'val_r2_mean': -0.21667778491973877, 'val_rmse_target_0': 0.7267316579818726, 'val_mae_target_0': 0.5553286075592041, 'val_r2_target_0': -0.21667778491973877}",COMPLETE
41,0.2374536317918375,2026-02-04 09:45:14.854742,2026-02-04 09:45:47.895964,0 days 00:00:33.041222,mean,0.2064564102089079,64,0.0005129193024249347,0.0002625777636643775,"{'val_rmse_mean': 0.7280016541481018, 'val_mae_mean': 0.5555134415626526, 'val_r2_mean': -0.10570454597473145, 'val_rmse_target_0': 0.7280016541481018, 'val_mae_target_0': 0.5555134415626526, 'val_r2_target_0': -0.10570454597473145}",COMPLETE
42,0.2730286532102041,2026-02-04 09:45:48.118830,2026-02-04 09:46:22.098557,0 days 00:00:33.979727,mean,0.3111592919997931,128,0.000847607068998513,9.941305102584648e-05,"{'val_rmse_mean': 0.7731592655181885, 'val_mae_mean': 0.597867488861084, 'val_r2_mean': -0.1433415412902832, 'val_rmse_target_0': 0.7731592655181885, 'val_mae_target_0': 0.597867488861084, 'val_r2_target_0': -0.1433415412902832}",COMPLETE
43,0.2746972142254149,2026-02-04 09:46:22.320351,2026-02-04 09:46:54.757822,0 days 00:00:32.437471,mean,0.24223587677086705,32,0.000591386051157096,0.00058895345088975,"{'val_rmse_mean': 0.7742555737495422, 'val_mae_mean': 0.6179367303848267, 'val_r2_mean': -0.4436964988708496, 'val_rmse_target_0': 0.7742555737495422, 'val_mae_target_0': 0.6179367303848267, 'val_r2_target_0': -0.4436964988708496}",COMPLETE
44,0.3011957334906415,2026-02-04 09:46:54.979940,2026-02-04 09:47:27.887854,0 days 00:00:32.907914,mean,0.14586916625523,32,0.004397773063979508,0.000201603352977103,"{'val_rmse_mean': 0.8100494146347046, 'val_mae_mean': 0.6705417037010193, 'val_r2_mean': -0.12837719917297363, 'val_rmse_target_0': 0.8100494146347046, 'val_mae_target_0': 0.6705417037010193, 'val_r2_target_0': -0.12837719917297363}",COMPLETE
45,0.22075237033681738,2026-02-04 09:47:28.109898,2026-02-04 09:48:01.435552,0 days 00:00:33.325654,mean,0.275208988976783,128,0.0003567969195827441,0.0003245286273877666,"{'val_rmse_mean': 0.6924758553504944, 'val_mae_mean': 0.5333356261253357, 'val_r2_mean': -0.08958554267883301, 'val_rmse_target_0': 0.6924758553504944, 'val_mae_target_0': 0.5333356261253357, 'val_r2_target_0': -0.08958554267883301}",COMPLETE
46,0.23109918836733548,2026-02-04 09:48:01.658144,2026-02-04 09:48:37.527991,0 days 00:00:35.869847,attention,0.2737179771137018,128,0.00035892891074914814,0.0003164748797323367,"{'val_rmse_mean': 0.7136191129684448, 'val_mae_mean': 0.5620127320289612, 'val_r2_mean': -0.3355259895324707, 'val_rmse_target_0': 0.7136191129684448, 'val_mae_target_0': 0.5620127320289612, 'val_r2_target_0': -0.3355259895324707}",COMPLETE
47,0.2366851972959315,2026-02-04 09:48:37.750273,2026-02-04 09:49:11.754253,0 days 00:00:34.003980,mean,0.29115355320845404,128,0.00023653656165260377,0.0017275170241754692,"{'val_rmse_mean': 0.7278662323951721, 'val_mae_mean': 0.5502213835716248, 'val_r2_mean': -1.0916898250579834, 'val_rmse_target_0': 0.7278662323951721, 'val_mae_target_0': 0.5502213835716248, 'val_r2_target_0': -1.0916898250579834}",COMPLETE
48,0.1905077397446062,2026-02-04 09:49:11.977427,2026-02-04 09:49:47.527514,0 days 00:00:35.550087,attention,0.32803618577857374,128,0.00028373023710366845,1.5606720113072412e-05,"{'val_rmse_mean': 0.6413516998291016, 'val_mae_mean': 0.46745553612709045, 'val_r2_mean': -0.13846123218536377, 'val_rmse_target_0': 0.6413516998291016, 'val_mae_target_0': 0.46745553612709045, 'val_r2_target_0': -0.13846123218536377}",COMPLETE
49,0.24969574975148134,2026-02-04 09:49:47.751180,2026-02-04 09:50:22.930413,0 days 00:00:35.179233,attention,0.3646295762194796,128,0.0002945063139660154,1.6796764472863966e-05,"{'val_rmse_mean': 0.7400708794593811, 'val_mae_mean': 0.5448287725448608, 'val_r2_mean': -0.5251318216323853, 'val_rmse_target_0': 0.7400708794593811, 'val_mae_target_0': 0.5448287725448608, 'val_r2_target_0': -0.5251318216323853}",COMPLETE
