,mean_weight
0,0.04993994
1,0.048458457
2,0.073990025
3,0.030565904
4,0.05733342
5,0.061497606
6,0.060952917
7,0.022612967
8,0.0710349
9,0.06763763
10,0.021428648
11,0.018481793
12,0.022397364
13,0.039338578
14,0.03672492
15,0.070899844
16,0.07097954
17,0.019579625
18,0.06889163
19,0.08725434
