number,value,datetime_start,datetime_complete,duration,params_aggregation,params_lr,params_weight_decay,user_attrs_val_metrics,state
14,0.5783437464765653,2026-02-04 03:48:21.932187,2026-02-04 03:48:52.764141,0 days 00:00:30.831954,mean,0.009958391230936826,1.983805285750284e-05,"{'val_rmse_mean': 1.1924630403518677, 'val_mae_mean': 0.9759140014648438, 'val_r2_mean': -1.7856802940368652, 'val_rmse_target_0': 1.1924630403518677, 'val_mae_target_0': 0.9759140014648438, 'val_r2_target_0': -1.7856802940368652}",COMPLETE
15,0.49468709818083206,2026-02-04 03:48:52.969090,2026-02-04 03:49:25.070634,0 days 00:00:32.101544,mean,0.00010011094737568864,0.0004668513846238171,"{'val_rmse_mean': 1.077325701713562, 'val_mae_mean': 0.8926079273223877, 'val_r2_mean': -24.240009307861328, 'val_rmse_target_0': 1.077325701713562, 'val_mae_target_0': 0.8926079273223877, 'val_r2_target_0': -24.240009307861328}",COMPLETE
16,0.4483425464036204,2026-02-04 03:49:25.277373,2026-02-04 03:49:56.867925,0 days 00:00:31.590552,mean,0.0006549195905408524,6.378789565199127e-05,"{'val_rmse_mean': 1.0082303285598755, 'val_mae_mean': 0.8102712035179138, 'val_r2_mean': -18.706893920898438, 'val_rmse_target_0': 1.0082303285598755, 'val_mae_target_0': 0.8102712035179138, 'val_r2_target_0': -18.706893920898438}",COMPLETE
17,0.47395733705747667,2026-02-04 03:49:57.074132,2026-02-04 03:50:28.129354,0 days 00:00:31.055222,mean,0.00020561169249273042,1.1487101735608837e-06,"{'val_rmse_mean': 1.0250394344329834, 'val_mae_mean': 0.8678165078163147, 'val_r2_mean': -16.52662467956543, 'val_rmse_target_0': 1.0250394344329834, 'val_mae_target_0': 0.8678165078163147, 'val_r2_target_0': -16.52662467956543}",COMPLETE
18,0.43182190386061037,2026-02-04 03:50:28.336639,2026-02-04 03:51:00.661540,0 days 00:00:32.324901,attention,0.00017175569136083712,0.0010397763548299142,"{'val_rmse_mean': 0.986842155456543, 'val_mae_mean': 0.8263691663742065, 'val_r2_mean': -22.8878173828125, 'val_rmse_target_0': 0.986842155456543, 'val_mae_target_0': 0.8263691663742065, 'val_r2_target_0': -22.8878173828125}",COMPLETE
19,0.47268479510805467,2026-02-04 03:51:00.867904,2026-02-04 03:51:33.265391,0 days 00:00:32.397487,mean,0.0010094599804204344,2.2145651233871644e-05,"{'val_rmse_mean': 1.0215386152267456, 'val_mae_mean': 0.8618729114532471, 'val_r2_mean': -7.105659484863281, 'val_rmse_target_0': 1.0215386152267456, 'val_mae_target_0': 0.8618729114532471, 'val_r2_target_0': -7.105659484863281}",COMPLETE
20,0.4338313179824682,2026-02-04 03:51:33.469494,2026-02-04 03:52:04.540704,0 days 00:00:31.071210,mean,0.0003467508061488386,0.007617649904202133,"{'val_rmse_mean': 0.9964882731437683, 'val_mae_mean': 0.8031908869743347, 'val_r2_mean': -28.827957153320312, 'val_rmse_target_0': 0.9964882731437683, 'val_mae_target_0': 0.8031908869743347, 'val_r2_target_0': -28.827957153320312}",COMPLETE
21,0.40853341527421166,2026-02-04 03:52:04.745566,2026-02-04 03:52:36.817710,0 days 00:00:32.072144,mean,0.00011409668595947111,7.228030253693034e-05,"{'val_rmse_mean': 0.9626376628875732, 'val_mae_mean': 0.8094684481620789, 'val_r2_mean': -32.06026840209961, 'val_rmse_target_0': 0.9626376628875732, 'val_mae_target_0': 0.8094684481620789, 'val_r2_target_0': -32.06026840209961}",COMPLETE
22,0.40061108980767635,2026-02-04 03:52:37.022702,2026-02-04 03:53:08.163325,0 days 00:00:31.140623,mean,0.0001430953179310484,0.00010947981986872116,"{'val_rmse_mean': 0.9532570838928223, 'val_mae_mean': 0.7796593904495239, 'val_r2_mean': -19.710460662841797, 'val_rmse_target_0': 0.9532570838928223, 'val_mae_target_0': 0.7796593904495239, 'val_r2_target_0': -19.710460662841797}",COMPLETE
23,0.4257331412711075,2026-02-04 03:53:08.368474,2026-02-04 03:53:40.299520,0 days 00:00:31.931046,mean,0.00018716685279595907,3.6835723848126053e-05,"{'val_rmse_mean': 0.9761713743209839, 'val_mae_mean': 0.8230999112129211, 'val_r2_mean': -31.587158203125, 'val_rmse_target_0': 0.9761713743209839, 'val_mae_target_0': 0.8230999112129211, 'val_r2_target_0': -31.587158203125}",COMPLETE
24,0.5114330786487294,2026-02-04 03:53:40.505542,2026-02-04 03:54:11.588315,0 days 00:00:31.082773,mean,0.0002837393902790806,0.00016174245806859538,"{'val_rmse_mean': 1.1126867532730103, 'val_mae_mean': 0.8956968784332275, 'val_r2_mean': -23.126924514770508, 'val_rmse_target_0': 1.1126867532730103, 'val_mae_target_0': 0.8956968784332275, 'val_r2_target_0': -23.126924514770508}",COMPLETE
25,0.4527334058797418,2026-02-04 03:54:11.795555,2026-02-04 03:54:42.801342,0 days 00:00:31.005787,mean,0.0005368605603027143,0.0005858680019041767,"{'val_rmse_mean': 0.993293821811676, 'val_mae_mean': 0.8344782590866089, 'val_r2_mean': -12.283835411071777, 'val_rmse_target_0': 0.993293821811676, 'val_mae_target_0': 0.8344782590866089, 'val_r2_target_0': -12.283835411071777}",COMPLETE
26,0.45135709101817123,2026-02-04 03:54:43.005072,2026-02-04 03:55:17.880185,0 days 00:00:34.875113,attention,0.00014077037156657237,1.0237611563088467e-05,"{'val_rmse_mean': 1.033121109008789, 'val_mae_mean': 0.860336184501648, 'val_r2_mean': -22.487197875976562, 'val_rmse_target_0': 1.033121109008789, 'val_mae_target_0': 0.860336184501648, 'val_r2_target_0': -22.487197875976562}",COMPLETE
27,0.4087132659697764,2026-02-04 03:55:18.085079,2026-02-04 03:55:49.916055,0 days 00:00:31.830976,mean,0.0006964922794232869,0.0001633830473346819,"{'val_rmse_mean': 0.9498158097267151, 'val_mae_mean': 0.784651517868042, 'val_r2_mean': -9.489381790161133, 'val_rmse_target_0': 0.9498158097267151, 'val_mae_target_0': 0.784651517868042, 'val_r2_target_0': -9.489381790161133}",COMPLETE
28,0.43378163710413326,2026-02-04 03:55:50.120327,2026-02-04 03:56:21.265041,0 days 00:00:31.144714,mean,0.0015283213547492203,4.3861678288409196e-05,"{'val_rmse_mean': 0.9818138480186462, 'val_mae_mean': 0.7950360178947449, 'val_r2_mean': -4.641449928283691, 'val_rmse_target_0': 0.9818138480186462, 'val_mae_target_0': 0.7950360178947449, 'val_r2_target_0': -4.641449928283691}",COMPLETE
29,0.4442536887298856,2026-02-04 03:56:21.472269,2026-02-04 03:56:55.130612,0 days 00:00:33.658343,attention,0.0003320098122755222,1.1105898407307988e-05,"{'val_rmse_mean': 1.010600209236145, 'val_mae_mean': 0.8369305729866028, 'val_r2_mean': -16.69219970703125, 'val_rmse_target_0': 1.010600209236145, 'val_mae_target_0': 0.8369305729866028, 'val_r2_target_0': -16.69219970703125}",COMPLETE
30,0.47740532976954625,2026-02-04 03:56:55.336722,2026-02-04 03:57:26.973405,0 days 00:00:31.636683,mean,0.00020524982654420744,2.4675779013285882e-05,"{'val_rmse_mean': 1.0472298860549927, 'val_mae_mean': 0.8742820024490356, 'val_r2_mean': -44.03255844116211, 'val_rmse_target_0': 1.0472298860549927, 'val_mae_target_0': 0.8742820024490356, 'val_r2_target_0': -44.03255844116211}",COMPLETE
31,0.44643985826359484,2026-02-04 03:57:27.181277,2026-02-04 03:57:58.218508,0 days 00:00:31.037231,mean,0.0006605196700251385,0.0001676586182057725,"{'val_rmse_mean': 1.0006358623504639, 'val_mae_mean': 0.8340649008750916, 'val_r2_mean': -27.92550277709961, 'val_rmse_target_0': 1.0006358623504639, 'val_mae_target_0': 0.8340649008750916, 'val_r2_target_0': -27.92550277709961}",COMPLETE
32,0.45142571637795,2026-02-04 03:57:58.424291,2026-02-04 03:58:29.623094,0 days 00:00:31.198803,mean,0.00015667829500027726,0.0001007786183904917,"{'val_rmse_mean': 1.037184238433838, 'val_mae_mean': 0.8552548289299011, 'val_r2_mean': -41.43165588378906, 'val_rmse_target_0': 1.037184238433838, 'val_mae_target_0': 0.8552548289299011, 'val_r2_target_0': -41.43165588378906}",COMPLETE
33,0.485341641410573,2026-02-04 03:58:29.830507,2026-02-04 03:58:59.536856,0 days 00:00:29.706349,mean,0.00012842207530527685,0.0003982963550303489,"{'val_rmse_mean': 1.052186369895935, 'val_mae_mean': 0.8723434209823608, 'val_r2_mean': -29.3642520904541, 'val_rmse_target_0': 1.052186369895935, 'val_mae_target_0': 0.8723434209823608, 'val_r2_target_0': -29.3642520904541}",COMPLETE
34,0.4492863858705042,2026-02-04 03:58:59.744400,2026-02-04 03:59:30.703925,0 days 00:00:30.959525,mean,0.00023468693588382794,0.0007811952826504285,"{'val_rmse_mean': 1.040173888206482, 'val_mae_mean': 0.8475417494773865, 'val_r2_mean': -38.36998748779297, 'val_rmse_target_0': 1.040173888206482, 'val_mae_target_0': 0.8475417494773865, 'val_r2_target_0': -38.36998748779297}",COMPLETE
35,0.5654587214122768,2026-02-04 03:59:30.910294,2026-02-04 04:00:02.282495,0 days 00:00:31.372201,mean,0.006153150399771722,0.0001904862007201779,"{'val_rmse_mean': 1.1821932792663574, 'val_mae_mean': 0.9607890844345093, 'val_r2_mean': -1.9844434261322021, 'val_rmse_target_0': 1.1821932792663574, 'val_mae_target_0': 0.9607890844345093, 'val_r2_target_0': -1.9844434261322021}",COMPLETE
36,0.4809455415471112,2026-02-04 04:00:02.488389,2026-02-04 04:00:32.715649,0 days 00:00:30.227260,mean,0.001559777437518274,7.644367711834571e-05,"{'val_rmse_mean': 1.037671685218811, 'val_mae_mean': 0.863665759563446, 'val_r2_mean': -4.9412126541137695, 'val_rmse_target_0': 1.037671685218811, 'val_mae_target_0': 0.863665759563446, 'val_r2_target_0': -4.9412126541137695}",COMPLETE
37,0.41871404230133286,2026-02-04 04:00:32.921575,2026-02-04 04:01:04.424770,0 days 00:00:31.503195,mean,0.00014714435271723266,3.4050457999109776e-05,"{'val_rmse_mean': 0.967032253742218, 'val_mae_mean': 0.8112526535987854, 'val_r2_mean': -17.465848922729492, 'val_rmse_target_0': 0.967032253742218, 'val_mae_target_0': 0.8112526535987854, 'val_r2_target_0': -17.465848922729492}",COMPLETE
38,0.4641786972531379,2026-02-04 04:01:04.632453,2026-02-04 04:01:35.607615,0 days 00:00:30.975162,mean,0.0007750196271191826,0.0017933322425408725,"{'val_rmse_mean': 1.0339760780334473, 'val_mae_mean': 0.8446179628372192, 'val_r2_mean': -15.68968391418457, 'val_rmse_target_0': 1.0339760780334473, 'val_mae_target_0': 0.8446179628372192, 'val_r2_target_0': -15.68968391418457}",COMPLETE
39,0.44993474682862006,2026-02-04 04:01:35.813640,2026-02-04 04:02:10.110860,0 days 00:00:34.297220,attention,0.00035232355764704387,3.733295762560944e-06,"{'val_rmse_mean': 1.0047738552093506, 'val_mae_mean': 0.8410523533821106, 'val_r2_mean': -15.229427337646484, 'val_rmse_target_0': 1.0047738552093506, 'val_mae_target_0': 0.8410523533821106, 'val_r2_target_0': -15.229427337646484}",COMPLETE
40,0.4542541127410476,2026-02-04 04:02:10.315703,2026-02-04 04:02:42.474543,0 days 00:00:32.158840,mean,0.00010687814054742388,1.5404688398912114e-05,"{'val_rmse_mean': 1.043222427368164, 'val_mae_mean': 0.842608630657196, 'val_r2_mean': -26.860530853271484, 'val_rmse_target_0': 1.043222427368164, 'val_mae_target_0': 0.842608630657196, 'val_r2_target_0': -26.860530853271484}",COMPLETE
41,0.43961601933039707,2026-02-04 04:02:42.682013,2026-02-04 04:03:14.245546,0 days 00:00:31.563533,mean,0.00012976153093056375,9.761226585095879e-05,"{'val_rmse_mean': 1.0133532285690308, 'val_mae_mean': 0.8215562105178833, 'val_r2_mean': -43.24341583251953, 'val_rmse_target_0': 1.0133532285690308, 'val_mae_target_0': 0.8215562105178833, 'val_r2_target_0': -43.24341583251953}",COMPLETE
42,0.41410698034586085,2026-02-04 04:03:14.451631,2026-02-04 04:03:45.271482,0 days 00:00:30.819851,mean,0.00011861053442047404,0.00013552137288251284,"{'val_rmse_mean': 0.9897677302360535, 'val_mae_mean': 0.7917597889900208, 'val_r2_mean': -20.224340438842773, 'val_rmse_target_0': 0.9897677302360535, 'val_mae_target_0': 0.7917597889900208, 'val_r2_target_0': -20.224340438842773}",COMPLETE
43,0.44854844025994006,2026-02-04 04:03:45.478793,2026-02-04 04:04:16.653880,0 days 00:00:31.175087,mean,0.0001748690808749831,0.00032223416223915437,"{'val_rmse_mean': 1.003150224685669, 'val_mae_mean': 0.848406195640564, 'val_r2_mean': -19.324399948120117, 'val_rmse_target_0': 1.003150224685669, 'val_mae_target_0': 0.848406195640564, 'val_r2_target_0': -19.324399948120117}",COMPLETE
44,0.4822632554332139,2026-02-04 04:04:16.859564,2026-02-04 04:04:47.761909,0 days 00:00:30.902345,mean,0.0002793876338161348,0.00014575477615885626,"{'val_rmse_mean': 1.057141661643982, 'val_mae_mean': 0.8889453411102295, 'val_r2_mean': -29.705455780029297, 'val_rmse_target_0': 1.057141661643982, 'val_mae_target_0': 0.8889453411102295, 'val_r2_target_0': -29.705455780029297}",COMPLETE
45,0.39103373253062645,2026-02-04 04:04:47.968458,2026-02-04 04:05:19.916442,0 days 00:00:31.947984,mean,0.00011662655391362791,4.644461682768111e-05,"{'val_rmse_mean': 0.940346896648407, 'val_mae_mean': 0.7741051912307739, 'val_r2_mean': -15.518077850341797, 'val_rmse_target_0': 0.940346896648407, 'val_mae_target_0': 0.7741051912307739, 'val_r2_target_0': -15.518077850341797}",COMPLETE
46,0.44072470861341473,2026-02-04 04:05:20.122198,2026-02-04 04:05:51.203667,0 days 00:00:31.081469,mean,0.0002267160217672661,4.905164998272279e-05,"{'val_rmse_mean': 1.0237125158309937, 'val_mae_mean': 0.809904158115387, 'val_r2_mean': -27.992908477783203, 'val_rmse_target_0': 1.0237125158309937, 'val_mae_target_0': 0.809904158115387, 'val_r2_target_0': -27.992908477783203}",COMPLETE
47,0.4393757244623784,2026-02-04 04:05:51.411606,2026-02-04 04:06:23.681918,0 days 00:00:32.270312,attention,0.000100792140809015,6.361417104644399e-06,"{'val_rmse_mean': 0.991804838180542, 'val_mae_mean': 0.8210494518280029, 'val_r2_mean': -24.471879959106445, 'val_rmse_target_0': 0.991804838180542, 'val_mae_target_0': 0.8210494518280029, 'val_r2_target_0': -24.471879959106445}",COMPLETE
48,0.4466104579106387,2026-02-04 04:06:23.887292,2026-02-04 04:06:55.801518,0 days 00:00:31.914226,mean,0.0004185972397040617,6.519846798969583e-05,"{'val_rmse_mean': 0.9987019896507263, 'val_mae_mean': 0.8443698287010193, 'val_r2_mean': -19.30923843383789, 'val_rmse_target_0': 0.9987019896507263, 'val_mae_target_0': 0.8443698287010193, 'val_r2_target_0': -19.30923843383789}",COMPLETE
49,0.45158918611101667,2026-02-04 04:06:56.009589,2026-02-04 04:07:27.032204,0 days 00:00:31.022615,mean,0.00015242634126649685,3.0407546157682805e-05,"{'val_rmse_mean': 1.0042210817337036, 'val_mae_mean': 0.8367859721183777, 'val_r2_mean': -15.522396087646484, 'val_rmse_target_0': 1.0042210817337036, 'val_mae_target_0': 0.8367859721183777, 'val_r2_target_0': -15.522396087646484}",COMPLETE
