number,value,datetime_start,datetime_complete,duration,params_aggregation,params_depth,params_dropout,params_hidden_dim,params_lr,params_weight_decay,user_attrs_val_metrics,state
0,0.4038902863308235,2026-02-01 20:45:11.524098,2026-02-01 20:45:40.723068,0 days 00:00:29.198970,mean,3,0.07540625759437397,32,0.00039362150933914473,0.0010821039059924324,"{'val_rmse_mean': 0.9843129515647888, 'val_mae_mean': 0.7602099776268005, 'val_r2_mean': -34.03470993041992, 'val_rmse_target_0': 0.9605545401573181, 'val_mae_target_0': 0.6039515733718872, 'val_r2_target_0': -49.769466400146484, 'val_rmse_target_1': 0.992426335811615, 'val_mae_target_1': 0.6522107720375061, 'val_r2_target_1': -65.92906188964844, 'val_rmse_target_2': 0.9110317826271057, 'val_mae_target_2': 0.7096600532531738, 'val_r2_target_2': -13.034600257873535, 'val_rmse_target_3': 0.9569492936134338, 'val_mae_target_3': 0.7403897047042847, 'val_r2_target_3': -10.040511131286621, 'val_rmse_target_4': 0.9566922187805176, 'val_mae_target_4': 0.7962027192115784, 'val_r2_target_4': -8.949127197265625, 'val_rmse_target_5': 0.9971208572387695, 'val_mae_target_5': 0.8373439311981201, 'val_r2_target_5': -17.66091537475586, 'val_rmse_target_6': 1.009454369544983, 'val_mae_target_6': 0.8604306578636169, 'val_r2_target_6': -17.197307586669922, 'val_rmse_target_7': 0.9869802594184875, 'val_mae_target_7': 0.808631181716919, 'val_r2_target_7': -38.015411376953125, 'val_rmse_target_8': 1.0877816677093506, 'val_mae_target_8': 0.916458249092102, 'val_r2_target_8': -45.01201629638672, 'val_rmse_target_9': 0.936900794506073, 'val_mae_target_9': 0.712029755115509, 'val_r2_target_9': -33.75590896606445, 'val_rmse_target_10': 0.9849675893783569, 'val_mae_target_10': 0.789734423160553, 'val_r2_target_10': -30.700843811035156, 'val_rmse_target_11': 1.0564900636672974, 'val_mae_target_11': 0.760831356048584, 'val_r2_target_11': -88.97852325439453, 'val_rmse_target_12': 1.043635606765747, 'val_mae_target_12': 0.748872697353363, 'val_r2_target_12': -43.76497268676758, 'val_rmse_target_13': 0.8993963003158569, 'val_mae_target_13': 0.706192672252655, 'val_r2_target_13': -13.67729663848877}",COMPLETE
1,0.4182372788588206,2026-02-01 20:45:40.810290,2026-02-01 20:46:09.245523,0 days 00:00:28.435233,mean,3,0.12910623218376827,32,0.00021899019308432396,0.00153919442617513,"{'val_rmse_mean': 1.0083900690078735, 'val_mae_mean': 0.7851367592811584, 'val_r2_mean': -140.1453094482422, 'val_rmse_target_0': 1.0019426345825195, 'val_mae_target_0': 0.6629208326339722, 'val_r2_target_0': -206.96652221679688, 'val_rmse_target_1': 1.0035157203674316, 'val_mae_target_1': 0.6744545698165894, 'val_r2_target_1': -140.7276611328125, 'val_rmse_target_2': 0.9920288324356079, 'val_mae_target_2': 0.8037204146385193, 'val_r2_target_2': -86.74769592285156, 'val_rmse_target_3': 1.005599856376648, 'val_mae_target_3': 0.77754145860672, 'val_r2_target_3': -131.47718811035156, 'val_rmse_target_4': 1.0183048248291016, 'val_mae_target_4': 0.8721599578857422, 'val_r2_target_4': -116.60476684570312, 'val_rmse_target_5': 1.0390578508377075, 'val_mae_target_5': 0.8623769283294678, 'val_r2_target_5': -96.04217529296875, 'val_rmse_target_6': 1.0184638500213623, 'val_mae_target_6': 0.8663849830627441, 'val_r2_target_6': -100.7134780883789, 'val_rmse_target_7': 1.0059648752212524, 'val_mae_target_7': 0.8192829489707947, 'val_r2_target_7': -129.8589324951172, 'val_rmse_target_8': 0.9980577826499939, 'val_mae_target_8': 0.8181854486465454, 'val_r2_target_8': -140.76483154296875, 'val_rmse_target_9': 1.0274590253829956, 'val_mae_target_9': 0.7966925501823425, 'val_r2_target_9': -147.66873168945312, 'val_rmse_target_10': 0.9943791627883911, 'val_mae_target_10': 0.7982693314552307, 'val_r2_target_10': -208.30117797851562, 'val_rmse_target_11': 1.0174463987350464, 'val_mae_target_11': 0.7182945609092712, 'val_r2_target_11': -160.19943237304688, 'val_rmse_target_12': 0.9861352443695068, 'val_mae_target_12': 0.7257128953933716, 'val_r2_target_12': -148.20587158203125, 'val_rmse_target_13': 1.0091044902801514, 'val_mae_target_13': 0.7959182262420654, 'val_r2_target_13': -147.756103515625}",COMPLETE
2,0.3910175650208085,2026-02-01 20:46:09.323995,2026-02-01 20:46:33.991872,0 days 00:00:24.667877,mean,1,0.08831946907660543,128,0.00013288804024064478,0.00010993774541994922,"{'val_rmse_mean': 0.9631747007369995, 'val_mae_mean': 0.7552350759506226, 'val_r2_mean': -62.38614273071289, 'val_rmse_target_0': 0.9889976978302002, 'val_mae_target_0': 0.64504075050354, 'val_r2_target_0': -60.78001022338867, 'val_rmse_target_1': 0.9469940066337585, 'val_mae_target_1': 0.678713858127594, 'val_r2_target_1': -47.630516052246094, 'val_rmse_target_2': 0.8814807534217834, 'val_mae_target_2': 0.7260982394218445, 'val_r2_target_2': -15.349271774291992, 'val_rmse_target_3': 0.933917224407196, 'val_mae_target_3': 0.7128651738166809, 'val_r2_target_3': -17.335172653198242, 'val_rmse_target_4': 0.9014710783958435, 'val_mae_target_4': 0.7831602692604065, 'val_r2_target_4': -16.82407569885254, 'val_rmse_target_5': 1.0065600872039795, 'val_mae_target_5': 0.8404847383499146, 'val_r2_target_5': -32.560585021972656, 'val_rmse_target_6': 0.9513916373252869, 'val_mae_target_6': 0.8192530870437622, 'val_r2_target_6': -64.40328216552734, 'val_rmse_target_7': 0.9843087196350098, 'val_mae_target_7': 0.815672755241394, 'val_r2_target_7': -66.12864685058594, 'val_rmse_target_8': 1.0481160879135132, 'val_mae_target_8': 0.8823418021202087, 'val_r2_target_8': -144.32183837890625, 'val_rmse_target_9': 0.9421595931053162, 'val_mae_target_9': 0.7176318764686584, 'val_r2_target_9': -44.371971130371094, 'val_rmse_target_10': 0.9630377292633057, 'val_mae_target_10': 0.7845475673675537, 'val_r2_target_10': -55.363853454589844, 'val_rmse_target_11': 1.0150202512741089, 'val_mae_target_11': 0.711924135684967, 'val_r2_target_11': -172.09474182128906, 'val_rmse_target_12': 1.0184942483901978, 'val_mae_target_12': 0.7400727272033691, 'val_r2_target_12': -117.9312744140625, 'val_rmse_target_13': 0.9024963974952698, 'val_mae_target_13': 0.7154837250709534, 'val_r2_target_13': -18.310739517211914}",COMPLETE
3,0.36523277864412024,2026-02-01 20:46:34.071693,2026-02-01 20:47:03.229828,0 days 00:00:29.158135,attention,2,0.09175809202793833,64,0.0005809691590781856,0.007594835791371311,"{'val_rmse_mean': 0.9174951314926147, 'val_mae_mean': 0.7208839654922485, 'val_r2_mean': -4.239527225494385, 'val_rmse_target_0': 0.8943894505500793, 'val_mae_target_0': 0.6131506562232971, 'val_r2_target_0': -3.3459396362304688, 'val_rmse_target_1': 0.9832717180252075, 'val_mae_target_1': 0.719528079032898, 'val_r2_target_1': -4.384822845458984, 'val_rmse_target_2': 0.7385379672050476, 'val_mae_target_2': 0.6318075656890869, 'val_r2_target_2': -0.2751868963241577, 'val_rmse_target_3': 0.898812472820282, 'val_mae_target_3': 0.7100456953048706, 'val_r2_target_3': -1.6928973197937012, 'val_rmse_target_4': 0.8193698525428772, 'val_mae_target_4': 0.6600323915481567, 'val_r2_target_4': -0.5293277502059937, 'val_rmse_target_5': 0.8744800090789795, 'val_mae_target_5': 0.7267295718193054, 'val_r2_target_5': -1.0451788902282715, 'val_rmse_target_6': 0.8659350872039795, 'val_mae_target_6': 0.7268955707550049, 'val_r2_target_6': -1.0735211372375488, 'val_rmse_target_7': 0.955575704574585, 'val_mae_target_7': 0.7270718812942505, 'val_r2_target_7': -2.8406822681427, 'val_rmse_target_8': 1.1906887292861938, 'val_mae_target_8': 0.987539529800415, 'val_r2_target_8': -16.5304012298584, 'val_rmse_target_9': 0.7438502311706543, 'val_mae_target_9': 0.5921000838279724, 'val_r2_target_9': -0.9929075241088867, 'val_rmse_target_10': 0.9074574708938599, 'val_mae_target_10': 0.7512490749359131, 'val_r2_target_10': -1.4966459274291992, 'val_rmse_target_11': 1.1398990154266357, 'val_mae_target_11': 0.8723705410957336, 'val_r2_target_11': -19.58991050720215, 'val_rmse_target_12': 0.938014566898346, 'val_mae_target_12': 0.686729371547699, 'val_r2_target_12': -4.269129276275635, 'val_rmse_target_13': 0.8946478962898254, 'val_mae_target_13': 0.6871251463890076, 'val_r2_target_13': -1.2868218421936035}",COMPLETE
4,0.37645111950459303,2026-02-01 20:47:03.309231,2026-02-01 20:47:32.682843,0 days 00:00:29.373612,attention,3,0.314808320327367,128,0.0011908884064290564,1.0219412825380847e-05,"{'val_rmse_mean': 0.9324793815612793, 'val_mae_mean': 0.7339386343955994, 'val_r2_mean': -2.1294093132019043, 'val_rmse_target_0': 0.9376431703567505, 'val_mae_target_0': 0.6512132287025452, 'val_r2_target_0': -2.7769503593444824, 'val_rmse_target_1': 1.0435612201690674, 'val_mae_target_1': 0.7131592035293579, 'val_r2_target_1': -3.150271415710449, 'val_rmse_target_2': 0.6726811528205872, 'val_mae_target_2': 0.5416375398635864, 'val_r2_target_2': 0.18181240558624268, 'val_rmse_target_3': 0.9700702428817749, 'val_mae_target_3': 0.7838401198387146, 'val_r2_target_3': -0.7156645059585571, 'val_rmse_target_4': 0.8580982685089111, 'val_mae_target_4': 0.7118892669677734, 'val_r2_target_4': -0.17348015308380127, 'val_rmse_target_5': 0.8435950875282288, 'val_mae_target_5': 0.6759651899337769, 'val_r2_target_5': -0.3412240743637085, 'val_rmse_target_6': 0.9123489260673523, 'val_mae_target_6': 0.7172267436981201, 'val_r2_target_6': -0.6241039037704468, 'val_rmse_target_7': 1.0190538167953491, 'val_mae_target_7': 0.8098927140235901, 'val_r2_target_7': -2.9950764179229736, 'val_rmse_target_8': 1.1930400133132935, 'val_mae_target_8': 1.015914797782898, 'val_r2_target_8': -6.338298320770264, 'val_rmse_target_9': 0.8111591935157776, 'val_mae_target_9': 0.6263871192932129, 'val_r2_target_9': -1.3298585414886475, 'val_rmse_target_10': 0.8784908056259155, 'val_mae_target_10': 0.7469672560691833, 'val_r2_target_10': -1.342224359512329, 'val_rmse_target_11': 1.0717467069625854, 'val_mae_target_11': 0.8410437107086182, 'val_r2_target_11': -5.965133190155029, 'val_rmse_target_12': 1.0093876123428345, 'val_mae_target_12': 0.7593802213668823, 'val_r2_target_12': -3.3588595390319824, 'val_rmse_target_13': 0.8338353633880615, 'val_mae_target_13': 0.6806229948997498, 'val_r2_target_13': -0.8823968172073364}",COMPLETE
5,0.3630329941709836,2026-02-01 20:47:32.770363,2026-02-01 20:48:02.735712,0 days 00:00:29.965349,attention,2,0.23368984224260803,64,0.00046148743644774606,0.0029950409198284795,"{'val_rmse_mean': 0.9176197052001953, 'val_mae_mean': 0.707463800907135, 'val_r2_mean': -9.621583938598633, 'val_rmse_target_0': 0.9695025682449341, 'val_mae_target_0': 0.6686280369758606, 'val_r2_target_0': -5.427492618560791, 'val_rmse_target_1': 0.936539351940155, 'val_mae_target_1': 0.6132080554962158, 'val_r2_target_1': -5.4197001457214355, 'val_rmse_target_2': 0.7151594758033752, 'val_mae_target_2': 0.5588750243186951, 'val_r2_target_2': -0.8172862529754639, 'val_rmse_target_3': 0.9092280864715576, 'val_mae_target_3': 0.6765010356903076, 'val_r2_target_3': -3.0313773155212402, 'val_rmse_target_4': 0.8071767091751099, 'val_mae_target_4': 0.6579882502555847, 'val_r2_target_4': -1.2856204509735107, 'val_rmse_target_5': 0.9329663515090942, 'val_mae_target_5': 0.7924299836158752, 'val_r2_target_5': -3.082709312438965, 'val_rmse_target_6': 0.9489092230796814, 'val_mae_target_6': 0.8364415168762207, 'val_r2_target_6': -3.689350128173828, 'val_rmse_target_7': 0.9735354781150818, 'val_mae_target_7': 0.7587031126022339, 'val_r2_target_7': -5.287760257720947, 'val_rmse_target_8': 1.0815883874893188, 'val_mae_target_8': 0.9139655232429504, 'val_r2_target_8': -29.107624053955078, 'val_rmse_target_9': 0.7732889652252197, 'val_mae_target_9': 0.5545095801353455, 'val_r2_target_9': -1.4542105197906494, 'val_rmse_target_10': 0.9044042825698853, 'val_mae_target_10': 0.7462066411972046, 'val_r2_target_10': -1.5945935249328613, 'val_rmse_target_11': 1.0756115913391113, 'val_mae_target_11': 0.7691318988800049, 'val_r2_target_11': -62.975582122802734, 'val_rmse_target_12': 0.9933384656906128, 'val_mae_target_12': 0.7082681059837341, 'val_r2_target_12': -9.260934829711914, 'val_rmse_target_13': 0.8254269361495972, 'val_mae_target_13': 0.6496361494064331, 'val_r2_target_13': -2.267923593521118}",COMPLETE
6,0.37497063174291895,2026-02-01 20:48:02.813370,2026-02-01 20:48:31.721675,0 days 00:00:28.908305,attention,1,0.11582102694379254,64,0.0003317784206335981,1.0478869323949373e-05,"{'val_rmse_mean': 0.9334357380867004, 'val_mae_mean': 0.7305721044540405, 'val_r2_mean': -14.731901168823242, 'val_rmse_target_0': 0.939099133014679, 'val_mae_target_0': 0.590055525302887, 'val_r2_target_0': -13.328664779663086, 'val_rmse_target_1': 0.9688826203346252, 'val_mae_target_1': 0.673245370388031, 'val_r2_target_1': -21.31422233581543, 'val_rmse_target_2': 0.7447823286056519, 'val_mae_target_2': 0.6248928308486938, 'val_r2_target_2': -2.144608497619629, 'val_rmse_target_3': 0.8885857462882996, 'val_mae_target_3': 0.6704197525978088, 'val_r2_target_3': -3.5644354820251465, 'val_rmse_target_4': 0.8334625959396362, 'val_mae_target_4': 0.7023131847381592, 'val_r2_target_4': -3.2421326637268066, 'val_rmse_target_5': 0.948789656162262, 'val_mae_target_5': 0.7996004819869995, 'val_r2_target_5': -8.092159271240234, 'val_rmse_target_6': 0.9661078453063965, 'val_mae_target_6': 0.8446665406227112, 'val_r2_target_6': -9.864358901977539, 'val_rmse_target_7': 0.9978771805763245, 'val_mae_target_7': 0.812066376209259, 'val_r2_target_7': -11.542804718017578, 'val_rmse_target_8': 1.1481364965438843, 'val_mae_target_8': 0.9823653697967529, 'val_r2_target_8': -27.80329132080078, 'val_rmse_target_9': 0.8665556907653809, 'val_mae_target_9': 0.6583324074745178, 'val_r2_target_9': -5.6101274490356445, 'val_rmse_target_10': 0.8682504892349243, 'val_mae_target_10': 0.7108096480369568, 'val_r2_target_10': -7.2179460525512695, 'val_rmse_target_11': 1.0383328199386597, 'val_mae_target_11': 0.7245529890060425, 'val_r2_target_11': -65.79021453857422, 'val_rmse_target_12': 0.9766044020652771, 'val_mae_target_12': 0.7067451477050781, 'val_r2_target_12': -20.574325561523438, 'val_rmse_target_13': 0.8826333284378052, 'val_mae_target_13': 0.7279434204101562, 'val_r2_target_13': -6.157309532165527}",COMPLETE
7,0.40826758052463885,2026-02-01 20:48:31.803697,2026-02-01 20:49:00.408906,0 days 00:00:28.605209,attention,3,0.05826497555159099,32,0.0034231687805715886,1.5009806939023102e-05,"{'val_rmse_mean': 0.9806995391845703, 'val_mae_mean': 0.762912392616272, 'val_r2_mean': -1.7791385650634766, 'val_rmse_target_0': 1.0264811515808105, 'val_mae_target_0': 0.753506600856781, 'val_r2_target_0': -1.599313735961914, 'val_rmse_target_1': 1.0787670612335205, 'val_mae_target_1': 0.69139564037323, 'val_r2_target_1': -2.876293420791626, 'val_rmse_target_2': 0.7834283113479614, 'val_mae_target_2': 0.5834782123565674, 'val_r2_target_2': -0.17008507251739502, 'val_rmse_target_3': 1.0927711725234985, 'val_mae_target_3': 0.8540918827056885, 'val_r2_target_3': -1.1572349071502686, 'val_rmse_target_4': 0.9463220834732056, 'val_mae_target_4': 0.7701627016067505, 'val_r2_target_4': -0.4150339365005493, 'val_rmse_target_5': 0.8745062947273254, 'val_mae_target_5': 0.702090322971344, 'val_r2_target_5': -0.6311508417129517, 'val_rmse_target_6': 0.9374715089797974, 'val_mae_target_6': 0.7535319924354553, 'val_r2_target_6': -0.7582927942276001, 'val_rmse_target_7': 1.0110300779342651, 'val_mae_target_7': 0.7961554527282715, 'val_r2_target_7': -1.8863525390625, 'val_rmse_target_8': 1.2975833415985107, 'val_mae_target_8': 1.078641414642334, 'val_r2_target_8': -5.700601577758789, 'val_rmse_target_9': 0.7224862575531006, 'val_mae_target_9': 0.5633624196052551, 'val_r2_target_9': -0.4588193893432617, 'val_rmse_target_10': 0.9499306678771973, 'val_mae_target_10': 0.8050589561462402, 'val_r2_target_10': -1.3211798667907715, 'val_rmse_target_11': 1.1170248985290527, 'val_mae_target_11': 0.9231137633323669, 'val_r2_target_11': -4.3483076095581055, 'val_rmse_target_12': 1.120030164718628, 'val_mae_target_12': 0.803651750087738, 'val_r2_target_12': -2.877092123031616, 'val_rmse_target_13': 0.7719599008560181, 'val_mae_target_13': 0.6025328040122986, 'val_r2_target_13': -0.7081787586212158}",COMPLETE
8,0.3508089416556888,2026-02-01 20:49:00.488400,2026-02-01 20:49:25.578513,0 days 00:00:25.090113,mean,2,0.26859488578060436,128,0.0003570182786010458,1.0919277188424511e-05,"{'val_rmse_mean': 0.8992827534675598, 'val_mae_mean': 0.7019535899162292, 'val_r2_mean': -6.855563163757324, 'val_rmse_target_0': 0.9160736799240112, 'val_mae_target_0': 0.5991086363792419, 'val_r2_target_0': -4.716284275054932, 'val_rmse_target_1': 0.9741540551185608, 'val_mae_target_1': 0.6750479340553284, 'val_r2_target_1': -6.280684947967529, 'val_rmse_target_2': 0.7215669751167297, 'val_mae_target_2': 0.5969916582107544, 'val_r2_target_2': -0.5789567232131958, 'val_rmse_target_3': 0.9136887192726135, 'val_mae_target_3': 0.7091688513755798, 'val_r2_target_3': -2.2716689109802246, 'val_rmse_target_4': 0.8158802390098572, 'val_mae_target_4': 0.6808804273605347, 'val_r2_target_4': -0.875389575958252, 'val_rmse_target_5': 0.8621507287025452, 'val_mae_target_5': 0.7103613615036011, 'val_r2_target_5': -1.6196973323822021, 'val_rmse_target_6': 0.8960170745849609, 'val_mae_target_6': 0.7712792754173279, 'val_r2_target_6': -2.85056734085083, 'val_rmse_target_7': 0.9759775400161743, 'val_mae_target_7': 0.7844682335853577, 'val_r2_target_7': -5.139248847961426, 'val_rmse_target_8': 1.1195052862167358, 'val_mae_target_8': 0.9340675473213196, 'val_r2_target_8': -23.91752815246582, 'val_rmse_target_9': 0.7363453507423401, 'val_mae_target_9': 0.5859233140945435, 'val_r2_target_9': -0.8467752933502197, 'val_rmse_target_10': 0.8465324640274048, 'val_mae_target_10': 0.7078202366828918, 'val_r2_target_10': -1.5850369930267334, 'val_rmse_target_11': 1.0796664953231812, 'val_mae_target_11': 0.7882855534553528, 'val_r2_target_11': -36.36271286010742, 'val_rmse_target_12': 0.9633965492248535, 'val_mae_target_12': 0.6986438632011414, 'val_r2_target_12': -7.8660173416137695, 'val_rmse_target_13': 0.7690026164054871, 'val_mae_target_13': 0.585303544998169, 'val_r2_target_13': -1.067307710647583}",COMPLETE
9,0.4011569569508235,2026-02-01 20:49:25.657250,2026-02-01 20:49:51.958860,0 days 00:00:26.301610,mean,1,0.17471539623594962,32,0.00024947547881322554,0.004572065928498545,"{'val_rmse_mean': 0.9835543036460876, 'val_mae_mean': 0.7671180963516235, 'val_r2_mean': -54.59877395629883, 'val_rmse_target_0': 0.9914228320121765, 'val_mae_target_0': 0.6276648640632629, 'val_r2_target_0': -129.98248291015625, 'val_rmse_target_1': 1.0034716129302979, 'val_mae_target_1': 0.6875991225242615, 'val_r2_target_1': -65.4226303100586, 'val_rmse_target_2': 0.9076125621795654, 'val_mae_target_2': 0.7493153810501099, 'val_r2_target_2': -19.9091739654541, 'val_rmse_target_3': 0.9706718921661377, 'val_mae_target_3': 0.7423161864280701, 'val_r2_target_3': -26.254793167114258, 'val_rmse_target_4': 0.9150485992431641, 'val_mae_target_4': 0.7773582339286804, 'val_r2_target_4': -20.749685287475586, 'val_rmse_target_5': 1.0331947803497314, 'val_mae_target_5': 0.863540768623352, 'val_r2_target_5': -26.073057174682617, 'val_rmse_target_6': 1.0096272230148315, 'val_mae_target_6': 0.8624430298805237, 'val_r2_target_6': -55.84935760498047, 'val_rmse_target_7': 0.9841845631599426, 'val_mae_target_7': 0.8232918381690979, 'val_r2_target_7': -62.686973571777344, 'val_rmse_target_8': 1.0015536546707153, 'val_mae_target_8': 0.8294147849082947, 'val_r2_target_8': -85.80625915527344, 'val_rmse_target_9': 0.9397844076156616, 'val_mae_target_9': 0.708534300327301, 'val_r2_target_9': -38.05076599121094, 'val_rmse_target_10': 0.9911095499992371, 'val_mae_target_10': 0.8221371173858643, 'val_r2_target_10': -27.778629302978516, 'val_rmse_target_11': 1.0351024866104126, 'val_mae_target_11': 0.7275302410125732, 'val_r2_target_11': -106.69688415527344, 'val_rmse_target_12': 1.0013328790664673, 'val_mae_target_12': 0.7398380041122437, 'val_r2_target_12': -53.19600296020508, 'val_rmse_target_13': 0.9856423735618591, 'val_mae_target_13': 0.7786696553230286, 'val_r2_target_13': -45.926143646240234}",COMPLETE
