number,value,datetime_start,datetime_complete,duration,params_aggregation,params_dropout,params_hidden_dim,params_lr,params_weight_decay,user_attrs_val_metrics,state
0,0.3143164477967528,2026-02-02 16:15:02.487218,2026-02-02 16:15:27.364855,0 days 00:00:24.877637,mean,0.3691308232772051,32,0.0035273064867276894,0.006478813072648807,"{'val_rmse_mean': 0.8911424279212952, 'val_mae_mean': 0.6392958164215088, 'val_r2_mean': -1.4192910194396973, 'val_rmse_target_0': 0.8911424279212952, 'val_mae_target_0': 0.6392958164215088, 'val_r2_target_0': -1.4192910194396973}",COMPLETE
1,0.32055922044359825,2026-02-02 16:15:27.454841,2026-02-02 16:15:53.758980,0 days 00:00:26.304139,attention,0.1768948723363295,64,0.004632310385775145,0.0004564619379069622,"{'val_rmse_mean': 0.8978856205940247, 'val_mae_mean': 0.6474048495292664, 'val_r2_mean': -1.4841046333312988, 'val_rmse_target_0': 0.8978856205940247, 'val_mae_target_0': 0.6474048495292664, 'val_r2_target_0': -1.4841046333312988}",COMPLETE
2,0.28316598201894927,2026-02-02 16:15:53.848123,2026-02-02 16:16:20.516083,0 days 00:00:26.667960,attention,0.2997465286591401,32,0.0010516642764756268,0.0002761190171913331,"{'val_rmse_mean': 0.8436039090156555, 'val_mae_mean': 0.6110417246818542, 'val_r2_mean': -1.5611512660980225, 'val_rmse_target_0': 0.8436039090156555, 'val_mae_target_0': 0.6110417246818542, 'val_r2_target_0': -1.5611512660980225}",COMPLETE
3,0.3157057573132786,2026-02-02 16:16:20.605955,2026-02-02 16:16:46.731064,0 days 00:00:26.125109,attention,0.1955827543804822,64,0.002398417200670437,0.0022675879455535605,"{'val_rmse_mean': 0.9184311628341675, 'val_mae_mean': 0.6323735117912292, 'val_r2_mean': -2.0552308559417725, 'val_rmse_target_0': 0.9184311628341675, 'val_mae_target_0': 0.6323735117912292, 'val_r2_target_0': -2.0552308559417725}",COMPLETE
4,0.30465366579247294,2026-02-02 16:16:46.822196,2026-02-02 16:17:11.361078,0 days 00:00:24.538882,mean,0.11933377541421214,128,0.000221681177798236,1.698177949947711e-05,"{'val_rmse_mean': 0.8985127806663513, 'val_mae_mean': 0.6150473356246948, 'val_r2_mean': -4.165707111358643, 'val_rmse_target_0': 0.8985127806663513, 'val_mae_target_0': 0.6150473356246948, 'val_r2_target_0': -4.165707111358643}",COMPLETE
5,0.3121114361455747,2026-02-02 16:17:11.451571,2026-02-02 16:17:36.893537,0 days 00:00:25.441966,attention,0.2808671108256935,64,0.00034028476634122946,0.0003702296210775134,"{'val_rmse_mean': 0.9018977880477905, 'val_mae_mean': 0.6070968508720398, 'val_r2_mean': -2.6411352157592773, 'val_rmse_target_0': 0.9018977880477905, 'val_mae_target_0': 0.6070968508720398, 'val_r2_target_0': -2.6411352157592773}",COMPLETE
6,0.31701473652868084,2026-02-02 16:17:36.983326,2026-02-02 16:18:04.021591,0 days 00:00:27.038265,attention,0.3813167169130094,64,0.0004987676858566709,0.0001648910000165805,"{'val_rmse_mean': 0.903965413570404, 'val_mae_mean': 0.625906765460968, 'val_r2_mean': -2.062746524810791, 'val_rmse_target_0': 0.903965413570404, 'val_mae_target_0': 0.625906765460968, 'val_r2_target_0': -2.062746524810791}",COMPLETE
7,0.3238557005738753,2026-02-02 16:18:04.110706,2026-02-02 16:18:30.450387,0 days 00:00:26.339681,attention,0.35505972993981966,32,0.00013185008655974107,0.004081161603209602,"{'val_rmse_mean': 0.9758113622665405, 'val_mae_mean': 0.6339879035949707, 'val_r2_mean': -26.12201499938965, 'val_rmse_target_0': 0.9758113622665405, 'val_mae_target_0': 0.6339879035949707, 'val_r2_target_0': -26.12201499938965}",COMPLETE
8,0.2968707949578486,2026-02-02 16:18:30.538995,2026-02-02 16:18:56.128774,0 days 00:00:25.589779,attention,0.04662766740859903,128,0.00020946647556892284,0.00024871442607481137,"{'val_rmse_mean': 0.875754177570343, 'val_mae_mean': 0.5907731056213379, 'val_r2_mean': -3.4954166412353516, 'val_rmse_target_0': 0.875754177570343, 'val_mae_target_0': 0.5907731056213379, 'val_r2_target_0': -3.4954166412353516}",COMPLETE
9,0.31661807654654694,2026-02-02 16:18:56.216717,2026-02-02 16:19:23.786440,0 days 00:00:27.569723,attention,0.008844267544714767,64,0.0005203115450931083,1.1573346774340751e-05,"{'val_rmse_mean': 0.939150333404541, 'val_mae_mean': 0.6223139762878418, 'val_r2_mean': -2.2934112548828125, 'val_rmse_target_0': 0.939150333404541, 'val_mae_target_0': 0.6223139762878418, 'val_r2_target_0': -2.2934112548828125}",COMPLETE
