number,value,datetime_start,datetime_complete,duration,params_aggregation,params_lr,params_weight_decay,user_attrs_val_metrics,state
0,0.4842664196535393,2026-02-01 19:40:21.941846,2026-02-01 19:40:45.808573,0 days 00:00:23.866727,mean,0.004207960672350175,0.00778870038363485,"{'val_rmse_mean': 1.0797609090805054, 'val_mae_mean': 0.8641840815544128, 'val_r2_mean': -1.0984036922454834, 'val_rmse_target_0': 0.9944474101066589, 'val_mae_target_0': 0.7161771059036255, 'val_r2_target_0': -1.0486342906951904, 'val_rmse_target_1': 1.278445839881897, 'val_mae_target_1': 0.9405686855316162, 'val_r2_target_1': -1.50942063331604, 'val_rmse_target_2': 0.7133782505989075, 'val_mae_target_2': 0.5578086972236633, 'val_r2_target_2': 0.3510249853134155, 'val_rmse_target_3': 1.2181262969970703, 'val_mae_target_3': 0.9766237735748291, 'val_r2_target_3': -1.439594030380249, 'val_rmse_target_4': 1.1963106393814087, 'val_mae_target_4': 0.9827269315719604, 'val_r2_target_4': -0.5182262659072876, 'val_rmse_target_5': 1.1236475706100464, 'val_mae_target_5': 0.947787880897522, 'val_r2_target_5': -0.783515214920044, 'val_rmse_target_6': 1.1331275701522827, 'val_mae_target_6': 0.9163669943809509, 'val_r2_target_6': -1.2500178813934326, 'val_rmse_target_7': 0.9541581273078918, 'val_mae_target_7': 0.7597991824150085, 'val_r2_target_7': -0.7100063562393188, 'val_rmse_target_8': 1.4675263166427612, 'val_mae_target_8': 1.1474980115890503, 'val_r2_target_8': -2.8496103286743164, 'val_rmse_target_9': 0.8596188426017761, 'val_mae_target_9': 0.6949515342712402, 'val_r2_target_9': -0.2363898754119873, 'val_rmse_target_10': 1.2401213645935059, 'val_mae_target_10': 1.0848723649978638, 'val_r2_target_10': -0.6570186614990234, 'val_rmse_target_11': 1.089340090751648, 'val_mae_target_11': 0.8236767649650574, 'val_r2_target_11': -4.061011791229248, 'val_rmse_target_12': 1.1198995113372803, 'val_mae_target_12': 0.9342304468154907, 'val_r2_target_12': -0.9147980213165283, 'val_rmse_target_13': 0.7285064458847046, 'val_mae_target_13': 0.61548912525177, 'val_r2_target_13': 0.24956589937210083}",COMPLETE
1,0.3881419000250322,2026-02-01 19:40:45.882883,2026-02-01 19:41:12.587502,0 days 00:00:26.704619,attention,0.0007857471361840114,8.145000389389069e-05,"{'val_rmse_mean': 0.9508064985275269, 'val_mae_mean': 0.7425008416175842, 'val_r2_mean': -4.181195259094238, 'val_rmse_target_0': 0.9402474761009216, 'val_mae_target_0': 0.646196722984314, 'val_r2_target_0': -4.913931369781494, 'val_rmse_target_1': 0.9745704531669617, 'val_mae_target_1': 0.6919182538986206, 'val_r2_target_1': -4.4846906661987305, 'val_rmse_target_2': 0.669372022151947, 'val_mae_target_2': 0.5421624779701233, 'val_r2_target_2': 0.08483195304870605, 'val_rmse_target_3': 0.9069308042526245, 'val_mae_target_3': 0.6858633756637573, 'val_r2_target_3': -1.7254273891448975, 'val_rmse_target_4': 0.9879751801490784, 'val_mae_target_4': 0.826767086982727, 'val_r2_target_4': -1.2375187873840332, 'val_rmse_target_5': 1.0304077863693237, 'val_mae_target_5': 0.836090624332428, 'val_r2_target_5': -2.6736347675323486, 'val_rmse_target_6': 1.0623902082443237, 'val_mae_target_6': 0.9314990043640137, 'val_r2_target_6': -4.978109359741211, 'val_rmse_target_7': 0.9911439418792725, 'val_mae_target_7': 0.8072395324707031, 'val_r2_target_7': -3.7381887435913086, 'val_rmse_target_8': 1.187515139579773, 'val_mae_target_8': 1.007587194442749, 'val_r2_target_8': -12.35776138305664, 'val_rmse_target_9': 0.7941769361495972, 'val_mae_target_9': 0.581074059009552, 'val_r2_target_9': -1.1688613891601562, 'val_rmse_target_10': 0.9830043911933899, 'val_mae_target_10': 0.7787856459617615, 'val_r2_target_10': -2.62872314453125, 'val_rmse_target_11': 1.1004401445388794, 'val_mae_target_11': 0.76588374376297, 'val_r2_target_11': -14.5780611038208, 'val_rmse_target_12': 0.9084746837615967, 'val_mae_target_12': 0.6882708668708801, 'val_r2_target_12': -3.0323023796081543, 'val_rmse_target_13': 0.7746411561965942, 'val_mae_target_13': 0.6056734919548035, 'val_r2_target_13': -1.1043484210968018}",COMPLETE
2,0.5075838852811743,2026-02-01 19:41:12.667328,2026-02-01 19:41:38.187249,0 days 00:00:25.519921,attention,0.0055682662838430815,0.009625459580733006,"{'val_rmse_mean': 1.1026748418807983, 'val_mae_mean': 0.8847450613975525, 'val_r2_mean': -0.9291045069694519, 'val_rmse_target_0': 1.0133615732192993, 'val_mae_target_0': 0.7752373218536377, 'val_r2_target_0': -1.0318093299865723, 'val_rmse_target_1': 1.160717248916626, 'val_mae_target_1': 0.8816124796867371, 'val_r2_target_1': -0.9852944612503052, 'val_rmse_target_2': 0.7195559144020081, 'val_mae_target_2': 0.5529561042785645, 'val_r2_target_2': 0.3012164831161499, 'val_rmse_target_3': 1.1664390563964844, 'val_mae_target_3': 0.9333031177520752, 'val_r2_target_3': -1.8568542003631592, 'val_rmse_target_4': 1.167220115661621, 'val_mae_target_4': 1.0048412084579468, 'val_r2_target_4': -1.1070582866668701, 'val_rmse_target_5': 1.1611144542694092, 'val_mae_target_5': 0.9347579479217529, 'val_r2_target_5': -0.8322829008102417, 'val_rmse_target_6': 1.2087393999099731, 'val_mae_target_6': 1.0180752277374268, 'val_r2_target_6': -1.1667594909667969, 'val_rmse_target_7': 1.2418919801712036, 'val_mae_target_7': 0.9663985967636108, 'val_r2_target_7': -0.7583808898925781, 'val_rmse_target_8': 1.443793773651123, 'val_mae_target_8': 1.1994237899780273, 'val_r2_target_8': -1.945784568786621, 'val_rmse_target_9': 0.82353276014328, 'val_mae_target_9': 0.6227600574493408, 'val_r2_target_9': -0.5767745971679688, 'val_rmse_target_10': 1.134182333946228, 'val_mae_target_10': 0.9775917530059814, 'val_r2_target_10': -0.23652231693267822, 'val_rmse_target_11': 1.210735559463501, 'val_mae_target_11': 0.9179213643074036, 'val_r2_target_11': -2.2575488090515137, 'val_rmse_target_12': 1.1529793739318848, 'val_mae_target_12': 0.9557422399520874, 'val_r2_target_12': -0.7365573644638062, 'val_rmse_target_13': 0.8331844806671143, 'val_mae_target_13': 0.6458113789558411, 'val_r2_target_13': 0.18294864892959595}",COMPLETE
3,0.37323156992594403,2026-02-01 19:41:38.261054,2026-02-01 19:42:02.451505,0 days 00:00:24.190451,mean,0.0011052449153160524,7.535957849569392e-05,"{'val_rmse_mean': 0.9233210682868958, 'val_mae_mean': 0.7257956862449646, 'val_r2_mean': -3.850374937057495, 'val_rmse_target_0': 0.9545373320579529, 'val_mae_target_0': 0.6210578680038452, 'val_r2_target_0': -2.728451728820801, 'val_rmse_target_1': 0.9487361311912537, 'val_mae_target_1': 0.6761016845703125, 'val_r2_target_1': -2.7642762660980225, 'val_rmse_target_2': 0.5708552598953247, 'val_mae_target_2': 0.4772648215293884, 'val_r2_target_2': 0.23091548681259155, 'val_rmse_target_3': 0.9296818971633911, 'val_mae_target_3': 0.7239096760749817, 'val_r2_target_3': -2.029754638671875, 'val_rmse_target_4': 0.8179068565368652, 'val_mae_target_4': 0.6811736226081848, 'val_r2_target_4': -1.2226526737213135, 'val_rmse_target_5': 0.9589551687240601, 'val_mae_target_5': 0.8058971762657166, 'val_r2_target_5': -2.1145217418670654, 'val_rmse_target_6': 0.994110107421875, 'val_mae_target_6': 0.8524596691131592, 'val_r2_target_6': -4.557472229003906, 'val_rmse_target_7': 1.0025207996368408, 'val_mae_target_7': 0.781257688999176, 'val_r2_target_7': -3.0127782821655273, 'val_rmse_target_8': 1.236756682395935, 'val_mae_target_8': 1.0220787525177002, 'val_r2_target_8': -11.92164421081543, 'val_rmse_target_9': 0.7638863921165466, 'val_mae_target_9': 0.5768343806266785, 'val_r2_target_9': -0.5560159683227539, 'val_rmse_target_10': 0.9167020320892334, 'val_mae_target_10': 0.7879010438919067, 'val_r2_target_10': -1.2189092636108398, 'val_rmse_target_11': 1.1149293184280396, 'val_mae_target_11': 0.7985570430755615, 'val_r2_target_11': -16.370872497558594, 'val_rmse_target_12': 0.9770953059196472, 'val_mae_target_12': 0.7655718922615051, 'val_r2_target_12': -5.00788688659668, 'val_rmse_target_13': 0.7398210167884827, 'val_mae_target_13': 0.5910743474960327, 'val_r2_target_13': -0.63093101978302}",COMPLETE
4,0.3655987050798204,2026-02-01 19:42:02.526835,2026-02-01 19:42:25.420700,0 days 00:00:22.893865,mean,0.0004463898098667529,2.6292026525965522e-06,"{'val_rmse_mean': 0.9181766510009766, 'val_mae_mean': 0.7187278866767883, 'val_r2_mean': -9.042351722717285, 'val_rmse_target_0': 0.9441012740135193, 'val_mae_target_0': 0.5685028433799744, 'val_r2_target_0': -8.882081031799316, 'val_rmse_target_1': 0.9559745192527771, 'val_mae_target_1': 0.7189564108848572, 'val_r2_target_1': -7.31895637512207, 'val_rmse_target_2': 0.7755035161972046, 'val_mae_target_2': 0.6388154625892639, 'val_r2_target_2': -1.3873825073242188, 'val_rmse_target_3': 0.9053357243537903, 'val_mae_target_3': 0.6849291324615479, 'val_r2_target_3': -2.5053927898406982, 'val_rmse_target_4': 0.8473902940750122, 'val_mae_target_4': 0.6886923909187317, 'val_r2_target_4': -1.4756662845611572, 'val_rmse_target_5': 0.8707767128944397, 'val_mae_target_5': 0.7235263586044312, 'val_r2_target_5': -4.151556968688965, 'val_rmse_target_6': 1.0439609289169312, 'val_mae_target_6': 0.9107711911201477, 'val_r2_target_6': -12.70102310180664, 'val_rmse_target_7': 0.9384393095970154, 'val_mae_target_7': 0.7697689533233643, 'val_r2_target_7': -9.05116081237793, 'val_rmse_target_8': 1.102892518043518, 'val_mae_target_8': 0.9225537180900574, 'val_r2_target_8': -17.931989669799805, 'val_rmse_target_9': 0.8114168047904968, 'val_mae_target_9': 0.6193965673446655, 'val_r2_target_9': -5.903079509735107, 'val_rmse_target_10': 0.9051220417022705, 'val_mae_target_10': 0.7625548839569092, 'val_r2_target_10': -3.8149657249450684, 'val_rmse_target_11': 1.0422428846359253, 'val_mae_target_11': 0.7595686912536621, 'val_r2_target_11': -39.53221130371094, 'val_rmse_target_12': 0.9778867959976196, 'val_mae_target_12': 0.7118018269538879, 'val_r2_target_12': -9.360406875610352, 'val_rmse_target_13': 0.7334302663803101, 'val_mae_target_13': 0.5823522210121155, 'val_r2_target_13': -2.5770676136016846}",COMPLETE
5,0.38438699256490777,2026-02-01 19:42:25.493936,2026-02-01 19:42:48.941444,0 days 00:00:23.447508,mean,0.00040159618738800094,0.0003819702096639727,"{'val_rmse_mean': 0.9496245384216309, 'val_mae_mean': 0.7431765198707581, 'val_r2_mean': -11.384587287902832, 'val_rmse_target_0': 0.9368607997894287, 'val_mae_target_0': 0.6285576224327087, 'val_r2_target_0': -15.718467712402344, 'val_rmse_target_1': 0.9585518836975098, 'val_mae_target_1': 0.6931394934654236, 'val_r2_target_1': -7.914239883422852, 'val_rmse_target_2': 0.8015400767326355, 'val_mae_target_2': 0.6546803116798401, 'val_r2_target_2': -1.532663345336914, 'val_rmse_target_3': 0.9128630757331848, 'val_mae_target_3': 0.685636043548584, 'val_r2_target_3': -4.758973598480225, 'val_rmse_target_4': 0.8448930978775024, 'val_mae_target_4': 0.7197427153587341, 'val_r2_target_4': -2.3414652347564697, 'val_rmse_target_5': 0.9491863250732422, 'val_mae_target_5': 0.8053145408630371, 'val_r2_target_5': -4.837100982666016, 'val_rmse_target_6': 1.0202131271362305, 'val_mae_target_6': 0.8862172365188599, 'val_r2_target_6': -11.66679573059082, 'val_rmse_target_7': 0.9670132398605347, 'val_mae_target_7': 0.7901933193206787, 'val_r2_target_7': -12.218012809753418, 'val_rmse_target_8': 1.1355608701705933, 'val_mae_target_8': 0.9337917566299438, 'val_r2_target_8': -40.88579559326172, 'val_rmse_target_9': 0.8773401379585266, 'val_mae_target_9': 0.6597149968147278, 'val_r2_target_9': -6.977847099304199, 'val_rmse_target_10': 0.9364960193634033, 'val_mae_target_10': 0.7334563136100769, 'val_r2_target_10': -6.756892204284668, 'val_rmse_target_11': 1.1000275611877441, 'val_mae_target_11': 0.797747015953064, 'val_r2_target_11': -28.250638961791992, 'val_rmse_target_12': 0.9683126211166382, 'val_mae_target_12': 0.7143697142601013, 'val_r2_target_12': -11.237349510192871, 'val_rmse_target_13': 0.88588547706604, 'val_mae_target_13': 0.7019100189208984, 'val_r2_target_13': -4.2879958152771}",COMPLETE
6,0.3713269780079524,2026-02-01 19:42:49.024421,2026-02-01 19:43:13.008863,0 days 00:00:23.984442,mean,0.0008013769984154595,0.0003423285330809298,"{'val_rmse_mean': 0.9234175682067871, 'val_mae_mean': 0.7205805778503418, 'val_r2_mean': -5.998767375946045, 'val_rmse_target_0': 0.9568418264389038, 'val_mae_target_0': 0.614249050617218, 'val_r2_target_0': -8.19310474395752, 'val_rmse_target_1': 0.9747285842895508, 'val_mae_target_1': 0.7201110124588013, 'val_r2_target_1': -4.825186729431152, 'val_rmse_target_2': 0.6757317781448364, 'val_mae_target_2': 0.5473467707633972, 'val_r2_target_2': -0.23288941383361816, 'val_rmse_target_3': 0.9065136313438416, 'val_mae_target_3': 0.6833768486976624, 'val_r2_target_3': -2.5763354301452637, 'val_rmse_target_4': 0.8595284223556519, 'val_mae_target_4': 0.7144849300384521, 'val_r2_target_4': -1.3030359745025635, 'val_rmse_target_5': 0.942996621131897, 'val_mae_target_5': 0.7638835310935974, 'val_r2_target_5': -2.7861623764038086, 'val_rmse_target_6': 0.9954972267150879, 'val_mae_target_6': 0.8641562461853027, 'val_r2_target_6': -7.070513725280762, 'val_rmse_target_7': 0.9605406522750854, 'val_mae_target_7': 0.7963902950286865, 'val_r2_target_7': -5.2530083656311035, 'val_rmse_target_8': 1.1908611059188843, 'val_mae_target_8': 1.0068414211273193, 'val_r2_target_8': -16.343708038330078, 'val_rmse_target_9': 0.814987301826477, 'val_mae_target_9': 0.585996687412262, 'val_r2_target_9': -1.6523432731628418, 'val_rmse_target_10': 0.9276875853538513, 'val_mae_target_10': 0.7628920674324036, 'val_r2_target_10': -2.6061594486236572, 'val_rmse_target_11': 1.1152920722961426, 'val_mae_target_11': 0.7841320633888245, 'val_r2_target_11': -25.71195411682129, 'val_rmse_target_12': 0.8752588629722595, 'val_mae_target_12': 0.660352349281311, 'val_r2_target_12': -4.613951683044434, 'val_rmse_target_13': 0.7313801050186157, 'val_mae_target_13': 0.583915114402771, 'val_r2_target_13': -0.8143919706344604}",COMPLETE
7,0.3857984311050839,2026-02-01 19:43:13.084104,2026-02-01 19:43:37.608951,0 days 00:00:24.524847,mean,0.00028535568109130846,0.0006086709490477956,"{'val_rmse_mean': 0.9528942108154297, 'val_mae_mean': 0.742814838886261, 'val_r2_mean': -15.820149421691895, 'val_rmse_target_0': 0.9791187047958374, 'val_mae_target_0': 0.6311318874359131, 'val_r2_target_0': -12.272876739501953, 'val_rmse_target_1': 0.9906695485115051, 'val_mae_target_1': 0.6975171566009521, 'val_r2_target_1': -19.0314998626709, 'val_rmse_target_2': 0.7785580158233643, 'val_mae_target_2': 0.6364058256149292, 'val_r2_target_2': -1.9820024967193604, 'val_rmse_target_3': 0.9546011090278625, 'val_mae_target_3': 0.7289442420005798, 'val_r2_target_3': -4.203928470611572, 'val_rmse_target_4': 0.8226919174194336, 'val_mae_target_4': 0.7108907103538513, 'val_r2_target_4': -2.652268171310425, 'val_rmse_target_5': 0.937235951423645, 'val_mae_target_5': 0.7647610902786255, 'val_r2_target_5': -9.547224044799805, 'val_rmse_target_6': 0.991510272026062, 'val_mae_target_6': 0.8559029698371887, 'val_r2_target_6': -20.14312744140625, 'val_rmse_target_7': 0.9676097631454468, 'val_mae_target_7': 0.7953210473060608, 'val_r2_target_7': -12.192371368408203, 'val_rmse_target_8': 1.0809228420257568, 'val_mae_target_8': 0.8874839544296265, 'val_r2_target_8': -39.39780044555664, 'val_rmse_target_9': 0.920575737953186, 'val_mae_target_9': 0.6917975544929504, 'val_r2_target_9': -15.223896026611328, 'val_rmse_target_10': 0.9663612246513367, 'val_mae_target_10': 0.7786294221878052, 'val_r2_target_10': -10.688152313232422, 'val_rmse_target_11': 1.0228419303894043, 'val_mae_target_11': 0.7397179007530212, 'val_r2_target_11': -34.03998565673828, 'val_rmse_target_12': 1.0278229713439941, 'val_mae_target_12': 0.7465328574180603, 'val_r2_target_12': -32.80668640136719, 'val_rmse_target_13': 0.8999996185302734, 'val_mae_target_13': 0.7343708276748657, 'val_r2_target_13': -7.30025577545166}",COMPLETE
8,0.37871449909828325,2026-02-01 19:43:37.682825,2026-02-01 19:44:01.218467,0 days 00:00:23.535642,mean,0.0004283913366542185,2.123640888486889e-05,"{'val_rmse_mean': 0.9376516342163086, 'val_mae_mean': 0.7349452972412109, 'val_r2_mean': -10.177098274230957, 'val_rmse_target_0': 0.8552137613296509, 'val_mae_target_0': 0.5537927150726318, 'val_r2_target_0': -5.728874683380127, 'val_rmse_target_1': 0.9599007368087769, 'val_mae_target_1': 0.6793205738067627, 'val_r2_target_1': -9.17151927947998, 'val_rmse_target_2': 0.7596991062164307, 'val_mae_target_2': 0.6058469414710999, 'val_r2_target_2': -1.2849481105804443, 'val_rmse_target_3': 0.9142041802406311, 'val_mae_target_3': 0.7332109808921814, 'val_r2_target_3': -3.7268271446228027, 'val_rmse_target_4': 0.8250031471252441, 'val_mae_target_4': 0.7005386352539062, 'val_r2_target_4': -2.4944934844970703, 'val_rmse_target_5': 0.9110938310623169, 'val_mae_target_5': 0.7690861225128174, 'val_r2_target_5': -4.0657958984375, 'val_rmse_target_6': 1.058523416519165, 'val_mae_target_6': 0.9088876247406006, 'val_r2_target_6': -11.514395713806152, 'val_rmse_target_7': 0.9808707237243652, 'val_mae_target_7': 0.8016875386238098, 'val_r2_target_7': -8.621979713439941, 'val_rmse_target_8': 1.117587685585022, 'val_mae_target_8': 0.9429161548614502, 'val_r2_target_8': -38.72394561767578, 'val_rmse_target_9': 0.8999600410461426, 'val_mae_target_9': 0.6725951433181763, 'val_r2_target_9': -5.2709174156188965, 'val_rmse_target_10': 0.8787014484405518, 'val_mae_target_10': 0.6969025731086731, 'val_r2_target_10': -5.701364994049072, 'val_rmse_target_11': 1.071924090385437, 'val_mae_target_11': 0.7869665622711182, 'val_r2_target_11': -21.675838470458984, 'val_rmse_target_12': 1.0000063180923462, 'val_mae_target_12': 0.7272612452507019, 'val_r2_target_12': -21.057350158691406, 'val_rmse_target_13': 0.8944339752197266, 'val_mae_target_13': 0.7102223038673401, 'val_r2_target_13': -3.4411187171936035}",COMPLETE
9,0.3937003618037259,2026-02-01 19:44:01.292680,2026-02-01 19:44:27.882709,0 days 00:00:26.590029,attention,0.00047000843366282885,1.3384079791900932e-05,"{'val_rmse_mean': 0.9605170488357544, 'val_mae_mean': 0.752964973449707, 'val_r2_mean': -8.30024242401123, 'val_rmse_target_0': 0.9883912801742554, 'val_mae_target_0': 0.6276744604110718, 'val_r2_target_0': -10.799040794372559, 'val_rmse_target_1': 0.992647111415863, 'val_mae_target_1': 0.6997472047805786, 'val_r2_target_1': -7.141687393188477, 'val_rmse_target_2': 0.7924358248710632, 'val_mae_target_2': 0.6105303764343262, 'val_r2_target_2': -0.9102627038955688, 'val_rmse_target_3': 0.9761132597923279, 'val_mae_target_3': 0.769986093044281, 'val_r2_target_3': -3.411806106567383, 'val_rmse_target_4': 0.8545348644256592, 'val_mae_target_4': 0.7123435139656067, 'val_r2_target_4': -1.2238073348999023, 'val_rmse_target_5': 1.0147756338119507, 'val_mae_target_5': 0.8546808958053589, 'val_r2_target_5': -3.9249534606933594, 'val_rmse_target_6': 1.0252127647399902, 'val_mae_target_6': 0.9085381627082825, 'val_r2_target_6': -7.768618583679199, 'val_rmse_target_7': 0.9934782385826111, 'val_mae_target_7': 0.8153970241546631, 'val_r2_target_7': -15.23841667175293, 'val_rmse_target_8': 1.1918002367019653, 'val_mae_target_8': 1.0312572717666626, 'val_r2_target_8': -14.502411842346191, 'val_rmse_target_9': 0.8205395936965942, 'val_mae_target_9': 0.6314780116081238, 'val_r2_target_9': -3.003725528717041, 'val_rmse_target_10': 0.9020914435386658, 'val_mae_target_10': 0.7134949564933777, 'val_r2_target_10': -6.370924472808838, 'val_rmse_target_11': 1.0530318021774292, 'val_mae_target_11': 0.752354085445404, 'val_r2_target_11': -28.828771591186523, 'val_rmse_target_12': 0.9593778252601624, 'val_mae_target_12': 0.715857207775116, 'val_r2_target_12': -10.322936058044434, 'val_rmse_target_13': 0.8828085660934448, 'val_mae_target_13': 0.6981709599494934, 'val_r2_target_13': -2.756027936935425}",COMPLETE
