number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_n_path_features,user_attrs_val_metrics,state
20,0.9631551858198454,2026-02-23 21:10:50.090078,2026-02-23 21:12:22.651985,0 days 00:01:32.561907,True,20.0,0.4,1,2,450,60,"{'val_rmse_mean': 0.9767369193272805, 'val_mae_mean': 0.7831196454224416, 'val_r2_mean': -8.06315187743948, 'val_rmse_target_0': 0.8455535771256047, 'val_mae_target_0': 0.6887087064540635, 'val_r2_target_0': -2.2787779500056295, 'val_rmse_target_1': 0.8917516691235429, 'val_mae_target_1': 0.6582576806852802, 'val_r2_target_1': -2.8906587236696946, 'val_rmse_target_2': 0.9230308660749729, 'val_mae_target_2': 0.7696531892191204, 'val_r2_target_2': -3.750924551382149, 'val_rmse_target_3': 0.993881682953249, 'val_mae_target_3': 0.8152307423218723, 'val_r2_target_3': -6.960437873907946, 'val_rmse_target_4': 0.9768500076771073, 'val_mae_target_4': 0.8123279388255955, 'val_r2_target_4': -6.527610072893788, 'val_rmse_target_5': 1.1412470974177213, 'val_mae_target_5': 0.9265894993555216, 'val_r2_target_5': -27.37864364463823, 'val_rmse_target_6': 1.106132378209848, 'val_mae_target_6': 0.815065110462221, 'val_r2_target_6': -8.054843191464917, 'val_rmse_target_7': 0.9354480760361975, 'val_mae_target_7': 0.7791242960558584, 'val_r2_target_7': -6.663319011553488}",COMPLETE
21,0.9623560812742379,2026-02-23 21:12:22.884084,2026-02-23 21:13:55.691070,0 days 00:01:32.806986,True,20.0,0.4,1,2,450,65,"{'val_rmse_mean': 0.9764029414065166, 'val_mae_mean': 0.7804331923797114, 'val_r2_mean': -8.535410221884648, 'val_rmse_target_0': 0.857395199985355, 'val_mae_target_0': 0.6945803884718568, 'val_r2_target_0': -2.519790545744834, 'val_rmse_target_1': 0.8736219302139169, 'val_mae_target_1': 0.6382037026534477, 'val_r2_target_1': -2.702227871773274, 'val_rmse_target_2': 0.9057567998715474, 'val_mae_target_2': 0.7607838768791407, 'val_r2_target_2': -3.1045336555705525, 'val_rmse_target_3': 0.975496753669608, 'val_mae_target_3': 0.8025357805656761, 'val_r2_target_3': -6.336615487625997, 'val_rmse_target_4': 0.985540446116874, 'val_mae_target_4': 0.8179820589527901, 'val_r2_target_4': -7.438303940752299, 'val_rmse_target_5': 1.1317404344697282, 'val_mae_target_5': 0.9207827207333509, 'val_r2_target_5': -29.67516158237105, 'val_rmse_target_6': 1.1105212633461286, 'val_mae_target_6': 0.8144796505483075, 'val_r2_target_6': -9.303404110626543, 'val_rmse_target_7': 0.971150703578975, 'val_mae_target_7': 0.7941173602331222, 'val_r2_target_7': -7.203244580612633}",COMPLETE
22,0.9575750939350118,2026-02-23 21:13:55.923353,2026-02-23 21:15:33.709189,0 days 00:01:37.785836,True,20.0,0.5,1,2,500,65,"{'val_rmse_mean': 0.9739752466401816, 'val_mae_mean': 0.7802624459038682, 'val_r2_mean': -7.7554749067458655, 'val_rmse_target_0': 0.857248222988318, 'val_mae_target_0': 0.705120335037373, 'val_r2_target_0': -2.5095442393311385, 'val_rmse_target_1': 0.8705042010300611, 'val_mae_target_1': 0.6351063341751695, 'val_r2_target_1': -2.7011923135404725, 'val_rmse_target_2': 0.9003747542238805, 'val_mae_target_2': 0.7507673428997399, 'val_r2_target_2': -3.0536717773401962, 'val_rmse_target_3': 0.9869192269865665, 'val_mae_target_3': 0.8107131208591583, 'val_r2_target_3': -6.73198291805898, 'val_rmse_target_4': 0.9877142266609176, 'val_mae_target_4': 0.8255688187642211, 'val_r2_target_4': -6.911853549660774, 'val_rmse_target_5': 1.1298026215637693, 'val_mae_target_5': 0.9317433526827397, 'val_r2_target_5': -25.762384310710058, 'val_rmse_target_6': 1.1037779853688214, 'val_mae_target_6': 0.8043202033427729, 'val_r2_target_6': -8.593543819449136, 'val_rmse_target_7': 0.9554607342991188, 'val_mae_target_7': 0.7787600594697706, 'val_r2_target_7': -5.77962632587616}",COMPLETE
23,0.948621409312634,2026-02-23 21:15:33.942650,2026-02-23 21:17:11.947262,0 days 00:01:38.004612,True,20.0,0.5,1,2,500,60,"{'val_rmse_mean': 0.9695372340962141, 'val_mae_mean': 0.7768525572203042, 'val_r2_mean': -7.651781761562587, 'val_rmse_target_0': 0.8488223377561656, 'val_mae_target_0': 0.691981888306141, 'val_r2_target_0': -2.2199395918895526, 'val_rmse_target_1': 0.8875136293344977, 'val_mae_target_1': 0.6601300001990422, 'val_r2_target_1': -2.7213094229764234, 'val_rmse_target_2': 0.9171027726807242, 'val_mae_target_2': 0.7589319139129671, 'val_r2_target_2': -3.573606356900788, 'val_rmse_target_3': 0.9759087592986913, 'val_mae_target_3': 0.7996175521725694, 'val_r2_target_3': -6.17900382030103, 'val_rmse_target_4': 0.9653118332705038, 'val_mae_target_4': 0.798885657306742, 'val_r2_target_4': -6.153853936110499, 'val_rmse_target_5': 1.1329571468479271, 'val_mae_target_5': 0.9269267076525094, 'val_r2_target_5': -26.12492296483803, 'val_rmse_target_6': 1.0983738410284927, 'val_mae_target_6': 0.8121966412113423, 'val_r2_target_6': -8.060100511206807, 'val_rmse_target_7': 0.9303075525527105, 'val_mae_target_7': 0.7661500970011204, 'val_r2_target_7': -6.18151748827758}",COMPLETE
24,0.9575750939350118,2026-02-23 21:17:12.180641,2026-02-23 21:18:50.752019,0 days 00:01:38.571378,True,20.0,0.5,1,2,500,65,"{'val_rmse_mean': 0.9739752466401816, 'val_mae_mean': 0.7802624459038682, 'val_r2_mean': -7.7554749067458655, 'val_rmse_target_0': 0.857248222988318, 'val_mae_target_0': 0.705120335037373, 'val_r2_target_0': -2.5095442393311385, 'val_rmse_target_1': 0.8705042010300611, 'val_mae_target_1': 0.6351063341751695, 'val_r2_target_1': -2.7011923135404725, 'val_rmse_target_2': 0.9003747542238805, 'val_mae_target_2': 0.7507673428997399, 'val_r2_target_2': -3.0536717773401962, 'val_rmse_target_3': 0.9869192269865665, 'val_mae_target_3': 0.8107131208591583, 'val_r2_target_3': -6.73198291805898, 'val_rmse_target_4': 0.9877142266609176, 'val_mae_target_4': 0.8255688187642211, 'val_r2_target_4': -6.911853549660774, 'val_rmse_target_5': 1.1298026215637693, 'val_mae_target_5': 0.9317433526827397, 'val_r2_target_5': -25.762384310710058, 'val_rmse_target_6': 1.1037779853688214, 'val_mae_target_6': 0.8043202033427729, 'val_r2_target_6': -8.593543819449136, 'val_rmse_target_7': 0.9554607342991188, 'val_mae_target_7': 0.7787600594697706, 'val_r2_target_7': -5.77962632587616}",COMPLETE
25,0.9678992598958311,2026-02-23 21:18:50.984308,2026-02-23 21:20:28.805828,0 days 00:01:37.821520,True,20.0,0.5,3,3,500,65,"{'val_rmse_mean': 0.9791161986917889, 'val_mae_mean': 0.7835567048728785, 'val_r2_mean': -8.756720060281012, 'val_rmse_target_0': 0.856961911017817, 'val_mae_target_0': 0.6979169716601413, 'val_r2_target_0': -2.815923573687492, 'val_rmse_target_1': 0.8725036903791746, 'val_mae_target_1': 0.6435446390668526, 'val_r2_target_1': -2.8471412178535647, 'val_rmse_target_2': 0.9181332341187826, 'val_mae_target_2': 0.768882284639522, 'val_r2_target_2': -3.7132200566524807, 'val_rmse_target_3': 0.9862229457219087, 'val_mae_target_3': 0.812358030967614, 'val_r2_target_3': -6.736729014734263, 'val_rmse_target_4': 0.9909706474736263, 'val_mae_target_4': 0.8280117415449019, 'val_r2_target_4': -7.413064988326806, 'val_rmse_target_5': 1.1464364802057332, 'val_mae_target_5': 0.9425257648080748, 'val_r2_target_5': -28.984406822444175, 'val_rmse_target_6': 1.102610575517919, 'val_mae_target_6': 0.7923306932126775, 'val_r2_target_6': -11.691020297542156, 'val_rmse_target_7': 0.9590901050993499, 'val_mae_target_7': 0.7828835130832436, 'val_r2_target_7': -5.852254511007157}",COMPLETE
26,1.2924224719052884,2026-02-23 21:20:29.037172,2026-02-23 21:21:52.307951,0 days 00:01:23.270779,False,20.0,0.7000000000000001,1,4,500,55,"{'val_rmse_mean': 1.10858628091114, 'val_mae_mean': 0.8828663644709005, 'val_r2_mean': -1.5088351713923869, 'val_rmse_target_0': 0.9012009915182972, 'val_mae_target_0': 0.7806029362516727, 'val_r2_target_0': -0.13647040467215565, 'val_rmse_target_1': 0.7718458665396688, 'val_mae_target_1': 0.6075855753531743, 'val_r2_target_1': -0.3610297837296832, 'val_rmse_target_2': 1.1318379633705848, 'val_mae_target_2': 0.9865155410328819, 'val_r2_target_2': -2.7169012215965487, 'val_rmse_target_3': 0.8398647464461724, 'val_mae_target_3': 0.6828097492593903, 'val_r2_target_3': -0.9392416357370341, 'val_rmse_target_4': 1.1990222137486461, 'val_mae_target_4': 0.9265565062767641, 'val_r2_target_4': -1.270221259239725, 'val_rmse_target_5': 1.4907059141298802, 'val_mae_target_5': 1.217153710114236, 'val_r2_target_5': -3.5587827978363, 'val_rmse_target_6': 1.4595452519641894, 'val_mae_target_6': 1.0907847318408828, 'val_r2_target_6': -1.8054365059570578, 'val_rmse_target_7': 1.0746672995716822, 'val_mae_target_7': 0.7709221656382023, 'val_r2_target_7': -1.2825977623705893}",COMPLETE
27,0.9678992598958311,2026-02-23 21:21:52.539132,2026-02-23 21:23:30.444183,0 days 00:01:37.905051,True,20.0,0.5,3,6,500,65,"{'val_rmse_mean': 0.9791161986917889, 'val_mae_mean': 0.7835567048728785, 'val_r2_mean': -8.756720060281012, 'val_rmse_target_0': 0.8569619110178169, 'val_mae_target_0': 0.6979169716601413, 'val_r2_target_0': -2.8159235736874924, 'val_rmse_target_1': 0.8725036903791746, 'val_mae_target_1': 0.6435446390668526, 'val_r2_target_1': -2.8471412178535647, 'val_rmse_target_2': 0.9181332341187826, 'val_mae_target_2': 0.768882284639522, 'val_r2_target_2': -3.7132200566524833, 'val_rmse_target_3': 0.9862229457219087, 'val_mae_target_3': 0.812358030967614, 'val_r2_target_3': -6.736729014734263, 'val_rmse_target_4': 0.9909706474736263, 'val_mae_target_4': 0.8280117415449019, 'val_r2_target_4': -7.413064988326806, 'val_rmse_target_5': 1.1464364802057332, 'val_mae_target_5': 0.9425257648080748, 'val_r2_target_5': -28.984406822444175, 'val_rmse_target_6': 1.102610575517919, 'val_mae_target_6': 0.7923306932126775, 'val_r2_target_6': -11.691020297542153, 'val_rmse_target_7': 0.9590901050993499, 'val_mae_target_7': 0.7828835130832436, 'val_r2_target_7': -5.852254511007156}",COMPLETE
28,0.9562566262425243,2026-02-23 21:23:30.673930,2026-02-23 21:24:52.411786,0 days 00:01:21.737856,True,20.0,0.7000000000000001,3,3,350,55,"{'val_rmse_mean': 0.9727199579080796, 'val_mae_mean': 0.7736129430547607, 'val_r2_mean': -8.946019792108402, 'val_rmse_target_0': 0.8435227853519134, 'val_mae_target_0': 0.6899615508963411, 'val_r2_target_0': -2.335593630339752, 'val_rmse_target_1': 0.8696226957590069, 'val_mae_target_1': 0.6294670631425702, 'val_r2_target_1': -2.8818048399360077, 'val_rmse_target_2': 0.9080228619674713, 'val_mae_target_2': 0.7536848149926881, 'val_r2_target_2': -3.6589150831917614, 'val_rmse_target_3': 0.9890472219259027, 'val_mae_target_3': 0.8218712689296271, 'val_r2_target_3': -7.211355588157657, 'val_rmse_target_4': 0.9835947487893636, 'val_mae_target_4': 0.8099112845685695, 'val_r2_target_4': -7.563793159499534, 'val_rmse_target_5': 1.1415325578621045, 'val_mae_target_5': 0.9138597581252573, 'val_r2_target_5': -30.330939648664256, 'val_rmse_target_6': 1.110078153210704, 'val_mae_target_6': 0.7955086839101614, 'val_r2_target_6': -11.459002030162528, 'val_rmse_target_7': 0.936338638398171, 'val_mae_target_7': 0.7746391198728712, 'val_r2_target_7': -6.126754356915723}",COMPLETE
29,0.9572739776366314,2026-02-23 21:24:52.644988,2026-02-23 21:26:15.079066,0 days 00:01:22.434078,True,5.0,0.7000000000000001,3,7,350,55,"{'val_rmse_mean': 0.9733567905257341, 'val_mae_mean': 0.7739459919519158, 'val_r2_mean': -8.993271868311108, 'val_rmse_target_0': 0.8439808373643102, 'val_mae_target_0': 0.6879804031102301, 'val_r2_target_0': -2.3608736756928774, 'val_rmse_target_1': 0.8681440350729246, 'val_mae_target_1': 0.627121111768482, 'val_r2_target_1': -2.903668506409266, 'val_rmse_target_2': 0.912607981101314, 'val_mae_target_2': 0.7590263355065765, 'val_r2_target_2': -3.877337620205517, 'val_rmse_target_3': 0.9934887703280939, 'val_mae_target_3': 0.8280834272145079, 'val_r2_target_3': -7.916003673998846, 'val_rmse_target_4': 0.9846160145235505, 'val_mae_target_4': 0.8100872685631674, 'val_r2_target_4': -7.746071971757452, 'val_rmse_target_5': 1.137643145948541, 'val_mae_target_5': 0.9090455933456986, 'val_r2_target_5': -29.488117738682416, 'val_rmse_target_6': 1.1092619747553665, 'val_mae_target_6': 0.7946999940257342, 'val_r2_target_6': -11.346397540787644, 'val_rmse_target_7': 0.9371115651117728, 'val_mae_target_7': 0.7755238020809309, 'val_r2_target_7': -6.307704218954858}",COMPLETE
