number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_n_path_features,user_attrs_val_metrics,state
10,1.054349624296278,2026-02-23 20:57:37.559370,2026-02-23 20:58:47.959614,0 days 00:01:10.400244,False,10.0,0.1,9,8,350,20,"{'val_rmse_mean': 1.023477706419878, 'val_mae_mean': 0.8095669237096575, 'val_r2_mean': -7.728549334262421, 'val_rmse_target_0': 0.9098989182403566, 'val_mae_target_0': 0.6874344477097968, 'val_r2_target_0': -3.4857439666389416, 'val_rmse_target_1': 0.907485714393063, 'val_mae_target_1': 0.6762329462239659, 'val_r2_target_1': -4.400163791131105, 'val_rmse_target_2': 0.9927430544611573, 'val_mae_target_2': 0.8070518366642241, 'val_r2_target_2': -6.765753954739642, 'val_rmse_target_3': 1.0510029108200436, 'val_mae_target_3': 0.8448930639642341, 'val_r2_target_3': -7.805312999871289, 'val_rmse_target_4': 0.9939428357822856, 'val_mae_target_4': 0.8136741128005951, 'val_r2_target_4': -7.73420706077769, 'val_rmse_target_5': 1.1535819627918804, 'val_mae_target_5': 0.9353739040951546, 'val_r2_target_5': -11.456133259543833, 'val_rmse_target_6': 1.080973495317411, 'val_mae_target_6': 0.8024495927501892, 'val_r2_target_6': -10.49434176370464, 'val_rmse_target_7': 1.098192759552826, 'val_mae_target_7': 0.9094254854691007, 'val_r2_target_7': -9.68673787769223}",COMPLETE
11,1.004715238737242,2026-02-23 20:58:48.192690,2026-02-23 20:59:55.803526,0 days 00:01:07.610836,True,20.0,0.9,7,9,200,50,"{'val_rmse_mean': 0.9991591872080029, 'val_mae_mean': 0.7928987624908772, 'val_r2_mean': -15.229275152937694, 'val_rmse_target_0': 0.9191805855177162, 'val_mae_target_0': 0.6989347990731578, 'val_r2_target_0': -5.060448718247609, 'val_rmse_target_1': 0.8939203099782376, 'val_mae_target_1': 0.6891130928772878, 'val_r2_target_1': -5.283983105276446, 'val_rmse_target_2': 0.9767788746672414, 'val_mae_target_2': 0.7903218498542834, 'val_r2_target_2': -7.399702462747905, 'val_rmse_target_3': 0.9894983323115673, 'val_mae_target_3': 0.8237948981355361, 'val_r2_target_3': -8.891225436304019, 'val_rmse_target_4': 0.9843637123821896, 'val_mae_target_4': 0.8139566742771084, 'val_r2_target_4': -10.093630802036591, 'val_rmse_target_5': 1.134411102325223, 'val_mae_target_5': 0.9388055845344538, 'val_r2_target_5': -28.73805184772185, 'val_rmse_target_6': 1.1179375953797548, 'val_mae_target_6': 0.7895991799288599, 'val_r2_target_6': -46.19720129198087, 'val_rmse_target_7': 0.9771829851020934, 'val_mae_target_7': 0.798664021246331, 'val_r2_target_7': -10.169957559186258}",COMPLETE
12,1.0652467630597187,2026-02-23 20:59:56.035984,2026-02-23 21:00:56.113873,0 days 00:01:00.077889,True,20.0,0.8,8,4,150,50,"{'val_rmse_mean': 1.030859901566795, 'val_mae_mean': 0.8141014742758252, 'val_r2_mean': -51.750881089333156, 'val_rmse_target_0': 0.9912759013927886, 'val_mae_target_0': 0.7474238030535499, 'val_r2_target_0': -21.622443461496907, 'val_rmse_target_1': 0.9738508633816071, 'val_mae_target_1': 0.7327330389829663, 'val_r2_target_1': -27.322653283686748, 'val_rmse_target_2': 0.9972818283788867, 'val_mae_target_2': 0.8162377598620725, 'val_r2_target_2': -26.843837352844407, 'val_rmse_target_3': 1.014764750545924, 'val_mae_target_3': 0.849762201273774, 'val_r2_target_3': -32.715166623211914, 'val_rmse_target_4': 1.021594678460026, 'val_mae_target_4': 0.8347019530945987, 'val_r2_target_4': -39.210824343299905, 'val_rmse_target_5': 1.1065825676331058, 'val_mae_target_5': 0.9063029480563685, 'val_r2_target_5': -98.55224057782758, 'val_rmse_target_6': 1.122673156774778, 'val_mae_target_6': 0.7892660378859111, 'val_r2_target_6': -121.09259736330371, 'val_rmse_target_7': 1.0188554659672435, 'val_mae_target_7': 0.8363840519973609, 'val_r2_target_7': -46.64728570899401}",COMPLETE
13,0.9809413752646808,2026-02-23 21:00:56.344197,2026-02-23 21:02:24.186168,0 days 00:01:27.841971,True,20.0,0.30000000000000004,5,11,400,70,"{'val_rmse_mean': 0.9868509088029136, 'val_mae_mean': 0.7837666439061772, 'val_r2_mean': -12.592095630971802, 'val_rmse_target_0': 0.8810301801178875, 'val_mae_target_0': 0.6946563083995101, 'val_r2_target_0': -3.514772444715053, 'val_rmse_target_1': 0.8855140137487786, 'val_mae_target_1': 0.6540283965799, 'val_r2_target_1': -4.3426434077218214, 'val_rmse_target_2': 0.9592494026182754, 'val_mae_target_2': 0.8014450085336421, 'val_r2_target_2': -6.859770496017475, 'val_rmse_target_3': 0.9796731534035983, 'val_mae_target_3': 0.8109477690163287, 'val_r2_target_3': -8.69075147803671, 'val_rmse_target_4': 0.9738816237151684, 'val_mae_target_4': 0.8098284592110153, 'val_r2_target_4': -9.348678079731215, 'val_rmse_target_5': 1.1035515641051017, 'val_mae_target_5': 0.9070254070407192, 'val_r2_target_5': -30.156323927631576, 'val_rmse_target_6': 1.1298288608903393, 'val_mae_target_6': 0.7873247926129712, 'val_r2_target_6': -29.21822146023337, 'val_rmse_target_7': 0.9820784718241599, 'val_mae_target_7': 0.8048770098553316, 'val_r2_target_7': -8.60560375368722}",COMPLETE
14,1.1842106680113753,2026-02-23 21:02:24.420674,2026-02-23 21:03:47.236012,0 days 00:01:22.815338,True,10.0,0.30000000000000004,10,11,400,70,"{'val_rmse_mean': 1.08782608230098, 'val_mae_mean': 0.8586539065319851, 'val_r2_mean': -37813.817113058234, 'val_rmse_target_0': 1.0856549837393348, 'val_mae_target_0': 0.8410235384918882, 'val_r2_target_0': -18493.622389009506, 'val_rmse_target_1': 1.0853459391043914, 'val_mae_target_1': 0.8256933314210056, 'val_r2_target_1': -33889.28944932675, 'val_rmse_target_2': 1.0763182239695295, 'val_mae_target_2': 0.868293638456258, 'val_r2_target_2': -27987.618747740096, 'val_rmse_target_3': 1.0698393154596737, 'val_mae_target_3': 0.8852167618588024, 'val_r2_target_3': -19777.632226892143, 'val_rmse_target_4': 1.0723218586639363, 'val_mae_target_4': 0.8705951098438434, 'val_r2_target_4': -17959.8175372983, 'val_rmse_target_5': 1.0816660914215142, 'val_mae_target_5': 0.894182184397917, 'val_r2_target_5': -60162.802107648284, 'val_rmse_target_6': 1.1629441139212233, 'val_mae_target_6': 0.8019001823072827, 'val_r2_target_6': -84180.55634048811, 'val_rmse_target_7': 1.0685181321282367, 'val_mae_target_7': 0.882326505478884, 'val_r2_target_7': -40059.19810606269}",COMPLETE
15,0.988205660788905,2026-02-23 21:03:47.466983,2026-02-23 21:05:13.829161,0 days 00:01:26.362178,True,20.0,0.1,4,6,400,20,"{'val_rmse_mean': 0.9900179143463523, 'val_mae_mean': 0.7867655546977413, 'val_r2_mean': -8.218520045237002, 'val_rmse_target_0': 0.865225243257988, 'val_mae_target_0': 0.6898073165256697, 'val_r2_target_0': -2.353544894697904, 'val_rmse_target_1': 0.9320691490196884, 'val_mae_target_1': 0.6875161568972916, 'val_r2_target_1': -3.7869355864243053, 'val_rmse_target_2': 0.9164304078370477, 'val_mae_target_2': 0.7339474181382372, 'val_r2_target_2': -3.765802462012786, 'val_rmse_target_3': 0.9634467132489126, 'val_mae_target_3': 0.774328286619381, 'val_r2_target_3': -5.380246711546869, 'val_rmse_target_4': 0.9611515905415948, 'val_mae_target_4': 0.7874226075225095, 'val_r2_target_4': -6.1391309191695385, 'val_rmse_target_5': 1.1554635597707494, 'val_mae_target_5': 0.945423351234834, 'val_r2_target_5': -24.56357684740054, 'val_rmse_target_6': 1.0804798098947754, 'val_mae_target_6': 0.7825856630975179, 'val_r2_target_6': -10.305076956158464, 'val_rmse_target_7': 1.0458768412000619, 'val_mae_target_7': 0.8930936375464898, 'val_r2_target_7': -9.45384598448561}",COMPLETE
16,0.9902894877465759,2026-02-23 21:05:14.081583,2026-02-23 21:06:30.122432,0 days 00:01:16.040849,True,20.0,0.30000000000000004,4,10,300,70,"{'val_rmse_mean': 0.9913291363129004, 'val_mae_mean': 0.7887132476350526, 'val_r2_mean': -11.666794423414803, 'val_rmse_target_0': 0.8810148105491641, 'val_mae_target_0': 0.704527020792857, 'val_r2_target_0': -3.358867312934125, 'val_rmse_target_1': 0.878627913168433, 'val_mae_target_1': 0.6436685037737682, 'val_r2_target_1': -3.697419579755617, 'val_rmse_target_2': 0.9637709148483594, 'val_mae_target_2': 0.8027906374070028, 'val_r2_target_2': -6.444757917337207, 'val_rmse_target_3': 0.9982200962645034, 'val_mae_target_3': 0.8297315510734395, 'val_r2_target_3': -10.190529730541886, 'val_rmse_target_4': 0.9828360087721151, 'val_mae_target_4': 0.8119427362313151, 'val_r2_target_4': -9.34904552144035, 'val_rmse_target_5': 1.1315070259684223, 'val_mae_target_5': 0.9265892504363148, 'val_r2_target_5': -33.21070009408299, 'val_rmse_target_6': 1.113572924437779, 'val_mae_target_6': 0.7788728827569016, 'val_r2_target_6': -19.142698024336962, 'val_rmse_target_7': 0.9810833964944271, 'val_mae_target_7': 0.8115833986088212, 'val_r2_target_7': -7.940337206889319}",COMPLETE
17,0.9818166099085915,2026-02-23 21:06:30.356552,2026-02-23 21:08:01.887480,0 days 00:01:31.530928,True,10.0,0.30000000000000004,6,5,450,45,"{'val_rmse_mean': 0.9876430120079239, 'val_mae_mean': 0.7866275931939721, 'val_r2_mean': -14.251209687235338, 'val_rmse_target_0': 0.8837290932533107, 'val_mae_target_0': 0.6844427654778437, 'val_r2_target_0': -4.028735616751629, 'val_rmse_target_1': 0.9079880900027316, 'val_mae_target_1': 0.6781242653077529, 'val_r2_target_1': -5.934240038115541, 'val_rmse_target_2': 0.9495915987098863, 'val_mae_target_2': 0.788431584466888, 'val_r2_target_2': -7.360557899693362, 'val_rmse_target_3': 0.9951880298362079, 'val_mae_target_3': 0.8337594644327221, 'val_r2_target_3': -10.353058513892991, 'val_rmse_target_4': 0.9706559515953295, 'val_mae_target_4': 0.8049868763095686, 'val_r2_target_4': -8.939642736666773, 'val_rmse_target_5': 1.1300745690128893, 'val_mae_target_5': 0.9116091770100582, 'val_r2_target_5': -29.104311628333466, 'val_rmse_target_6': 1.0946969935772628, 'val_mae_target_6': 0.7855347321784082, 'val_r2_target_6': -36.00731072301695, 'val_rmse_target_7': 0.9692197700757732, 'val_mae_target_7': 0.8061318803685361, 'val_r2_target_7': -12.281820341412018}",COMPLETE
18,1.068893115839025,2026-02-23 21:08:02.121791,2026-02-23 21:09:19.157630,0 days 00:01:17.035839,False,20.0,0.4,11,4,450,30,"{'val_rmse_mean': 1.0253258845921, 'val_mae_mean': 0.8189229454331037, 'val_r2_mean': -4.568957632063144, 'val_rmse_target_0': 0.9477117691859758, 'val_mae_target_0': 0.7346518251845404, 'val_r2_target_0': -1.6549398324781146, 'val_rmse_target_1': 0.7797668042636129, 'val_mae_target_1': 0.5894157652803281, 'val_r2_target_1': -1.7543115206912976, 'val_rmse_target_2': 1.0936997182154669, 'val_mae_target_2': 0.9111673144055971, 'val_r2_target_2': -4.695657994418033, 'val_rmse_target_3': 1.0241844732798329, 'val_mae_target_3': 0.8333637752817643, 'val_r2_target_3': -3.283147905547441, 'val_rmse_target_4': 1.1025906185005823, 'val_mae_target_4': 0.9498073545087977, 'val_r2_target_4': -4.565594521596329, 'val_rmse_target_5': 1.2696653130227584, 'val_mae_target_5': 1.0288391311536995, 'val_r2_target_5': -9.37186399045642, 'val_rmse_target_6': 1.0238999005682252, 'val_mae_target_6': 0.7538587394810612, 'val_r2_target_6': -7.232109224267621, 'val_rmse_target_7': 0.9610884797003457, 'val_mae_target_7': 0.7502796581690412, 'val_r2_target_7': -3.9940360670499}",COMPLETE
19,1.0039142528193135,2026-02-23 21:09:19.390042,2026-02-23 21:10:49.857004,0 days 00:01:30.466962,True,10.0,0.30000000000000004,7,5,450,45,"{'val_rmse_mean': 0.9995055225995696, 'val_mae_mean': 0.7961808802752204, 'val_r2_mean': -17.72033426415548, 'val_rmse_target_0': 0.9155264626656053, 'val_mae_target_0': 0.7007581261214298, 'val_r2_target_0': -5.942194801365199, 'val_rmse_target_1': 0.924073590662077, 'val_mae_target_1': 0.6913029456647756, 'val_r2_target_1': -8.055604672813265, 'val_rmse_target_2': 0.9642495858412848, 'val_mae_target_2': 0.7991260774202047, 'val_r2_target_2': -10.192168925019487, 'val_rmse_target_3': 0.9988194309936427, 'val_mae_target_3': 0.8357835155342213, 'val_r2_target_3': -11.323777809336908, 'val_rmse_target_4': 0.984930234556235, 'val_mae_target_4': 0.81812079615024, 'val_r2_target_4': -11.833514274645845, 'val_rmse_target_5': 1.1208474230692524, 'val_mae_target_5': 0.9096974827368571, 'val_r2_target_5': -36.855969531592976, 'val_rmse_target_6': 1.1002687299625575, 'val_mae_target_6': 0.7973184448904689, 'val_r2_target_6': -41.85873431618017, 'val_rmse_target_7': 0.9873287230459022, 'val_mae_target_7': 0.8173396536835651, 'val_r2_target_7': -15.700709782289987}",COMPLETE
