parameter,importance
max_features,0.42983954963323856
min_samples_split,0.2304206507158651
min_samples_leaf,0.14234549565823998
bootstrap,0.08379656265243819
n_estimators,0.05930443602605192
n_path_features,0.029572136082634648
max_depth,0.024721169231531562
