number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cnn_channels,params_dropout_reg,params_lr,params_n_path_features,params_path_aggregation,params_regressor_dim,params_weight_decay,user_attrs_val_metrics,state
20,0.32458204716444017,2026-03-01 11:15:16.892416,2026-03-01 11:17:45.086422,0 days 00:02:28.194006,6,10,0.21287075415354073,0.0005139639122772113,25,mean,512,0.0012480326894907124,"{'val_rmse_mean': 0.8641524314880371, 'val_mae_mean': 0.6718299388885498, 'val_r2_mean': -2.5271971225738525, 'val_rmse_target_0': 0.8182174563407898, 'val_mae_target_0': 0.6752507090568542, 'val_r2_target_0': -1.0890381336212158, 'val_rmse_target_1': 0.8303518891334534, 'val_mae_target_1': 0.6186292171478271, 'val_r2_target_1': -1.2595148086547852, 'val_rmse_target_2': 0.7785584926605225, 'val_mae_target_2': 0.5958247780799866, 'val_r2_target_2': -0.5646165609359741, 'val_rmse_target_3': 0.7011328935623169, 'val_mae_target_3': 0.5593660473823547, 'val_r2_target_3': -0.35844218730926514, 'val_rmse_target_4': 0.7586526274681091, 'val_mae_target_4': 0.6263453364372253, 'val_r2_target_4': -0.9038988351821899, 'val_rmse_target_5': 1.01239013671875, 'val_mae_target_5': 0.8469381928443909, 'val_r2_target_5': -7.591880798339844, 'val_rmse_target_6': 1.0739848613739014, 'val_mae_target_6': 0.6776667833328247, 'val_r2_target_6': -5.206838607788086, 'val_rmse_target_7': 0.9399311542510986, 'val_mae_target_7': 0.7746179699897766, 'val_r2_target_7': -3.243347644805908}",COMPLETE
21,0.3116283385455608,2026-03-01 11:17:45.146783,2026-03-01 11:19:55.096590,0 days 00:02:09.949807,6,12,0.5519260191275582,0.0009628661507521789,35,mean,512,0.0033954306517177935,"{'val_rmse_mean': 0.8436892032623291, 'val_mae_mean': 0.6549749374389648, 'val_r2_mean': -2.1118173599243164, 'val_rmse_target_0': 0.7876673340797424, 'val_mae_target_0': 0.648587167263031, 'val_r2_target_0': -0.5447535514831543, 'val_rmse_target_1': 0.8352874517440796, 'val_mae_target_1': 0.6373450756072998, 'val_r2_target_1': -1.110830545425415, 'val_rmse_target_2': 0.766973614692688, 'val_mae_target_2': 0.5895591974258423, 'val_r2_target_2': -0.3965587615966797, 'val_rmse_target_3': 0.6510602831840515, 'val_mae_target_3': 0.5092569589614868, 'val_r2_target_3': 0.012223362922668457, 'val_rmse_target_4': 0.7262110710144043, 'val_mae_target_4': 0.596436619758606, 'val_r2_target_4': -0.6280113458633423, 'val_rmse_target_5': 0.9847473502159119, 'val_mae_target_5': 0.825215756893158, 'val_r2_target_5': -6.637426376342773, 'val_rmse_target_6': 1.0560811758041382, 'val_mae_target_6': 0.681675136089325, 'val_r2_target_6': -4.762031555175781, 'val_rmse_target_7': 0.9414854645729065, 'val_mae_target_7': 0.7517234683036804, 'val_r2_target_7': -2.8271484375}",COMPLETE
22,0.31340545386075974,2026-03-01 11:19:55.156063,2026-03-01 11:21:25.792324,0 days 00:01:30.636261,6,6,0.49812254057055405,0.0015579847516907423,30,mean,512,0.0018389476616891267,"{'val_rmse_mean': 0.8540359735488892, 'val_mae_mean': 0.6529261469841003, 'val_r2_mean': -1.381374478340149, 'val_rmse_target_0': 0.828231155872345, 'val_mae_target_0': 0.677623987197876, 'val_r2_target_0': -0.6534774303436279, 'val_rmse_target_1': 0.8446578979492188, 'val_mae_target_1': 0.6398066282272339, 'val_r2_target_1': -0.875543475151062, 'val_rmse_target_2': 0.7873883843421936, 'val_mae_target_2': 0.5859704613685608, 'val_r2_target_2': -0.32967638969421387, 'val_rmse_target_3': 0.6928257346153259, 'val_mae_target_3': 0.5495308637619019, 'val_r2_target_3': 0.02355968952178955, 'val_rmse_target_4': 0.7084461450576782, 'val_mae_target_4': 0.5852314829826355, 'val_r2_target_4': -0.19176721572875977, 'val_rmse_target_5': 1.0007283687591553, 'val_mae_target_5': 0.8053247332572937, 'val_r2_target_5': -3.729369640350342, 'val_rmse_target_6': 1.0427167415618896, 'val_mae_target_6': 0.6455121040344238, 'val_r2_target_6': -3.2900242805480957, 'val_rmse_target_7': 0.9272934794425964, 'val_mae_target_7': 0.734408974647522, 'val_r2_target_7': -2.0046980381011963}",COMPLETE
23,0.3195565341413021,2026-03-01 11:21:25.855755,2026-03-01 11:23:32.529343,0 days 00:02:06.673588,6,6,0.5107069617512456,0.000909759417667751,20,mean,512,0.005382760787528204,"{'val_rmse_mean': 0.8605806827545166, 'val_mae_mean': 0.6622202396392822, 'val_r2_mean': -1.8774182796478271, 'val_rmse_target_0': 0.8692888617515564, 'val_mae_target_0': 0.6979386210441589, 'val_r2_target_0': -1.476245641708374, 'val_rmse_target_1': 0.8466418385505676, 'val_mae_target_1': 0.6494638919830322, 'val_r2_target_1': -1.1849758625030518, 'val_rmse_target_2': 0.7777870297431946, 'val_mae_target_2': 0.5939287543296814, 'val_r2_target_2': -0.6649384498596191, 'val_rmse_target_3': 0.6955941319465637, 'val_mae_target_3': 0.5418558716773987, 'val_r2_target_3': -0.13078320026397705, 'val_rmse_target_4': 0.7304812073707581, 'val_mae_target_4': 0.6046326160430908, 'val_r2_target_4': -0.5789096355438232, 'val_rmse_target_5': 1.002284288406372, 'val_mae_target_5': 0.8316304087638855, 'val_r2_target_5': -4.39782190322876, 'val_rmse_target_6': 1.0293457508087158, 'val_mae_target_6': 0.6433184742927551, 'val_r2_target_6': -4.31854772567749, 'val_rmse_target_7': 0.9332221150398254, 'val_mae_target_7': 0.7349934577941895, 'val_r2_target_7': -2.2671234607696533}",COMPLETE
24,0.3263140656799078,2026-03-01 11:23:32.589138,2026-03-01 11:25:09.217680,0 days 00:01:36.628542,6,6,0.5630921508391546,0.0014856792312624378,35,mean,512,0.003150065616284804,"{'val_rmse_mean': 0.8683457374572754, 'val_mae_mean': 0.6708654165267944, 'val_r2_mean': -1.4885058403015137, 'val_rmse_target_0': 0.7871770858764648, 'val_mae_target_0': 0.6363157033920288, 'val_r2_target_0': -0.3218820095062256, 'val_rmse_target_1': 0.860551655292511, 'val_mae_target_1': 0.6499372720718384, 'val_r2_target_1': -0.9428672790527344, 'val_rmse_target_2': 0.7695164680480957, 'val_mae_target_2': 0.584710419178009, 'val_r2_target_2': -0.526657223701477, 'val_rmse_target_3': 0.6732350587844849, 'val_mae_target_3': 0.5259514451026917, 'val_r2_target_3': 0.08166205883026123, 'val_rmse_target_4': 0.8024930357933044, 'val_mae_target_4': 0.6539061069488525, 'val_r2_target_4': -0.8889397382736206, 'val_rmse_target_5': 1.033446192741394, 'val_mae_target_5': 0.8475505709648132, 'val_r2_target_5': -4.534213542938232, 'val_rmse_target_6': 1.0454367399215698, 'val_mae_target_6': 0.6963232159614563, 'val_r2_target_6': -3.043300151824951, 'val_rmse_target_7': 0.9749094843864441, 'val_mae_target_7': 0.7722285985946655, 'val_r2_target_7': -1.7318470478057861}",COMPLETE
25,0.3225224782526493,2026-03-01 11:25:09.280848,2026-03-01 11:26:36.002519,0 days 00:01:26.721671,6,6,0.49249158056134296,0.002081559284824645,25,mean,384,0.0012589912208233165,"{'val_rmse_mean': 0.8652623891830444, 'val_mae_mean': 0.6593443155288696, 'val_r2_mean': -1.3979166746139526, 'val_rmse_target_0': 0.824253261089325, 'val_mae_target_0': 0.6601159572601318, 'val_r2_target_0': -0.49015092849731445, 'val_rmse_target_1': 0.8823434114456177, 'val_mae_target_1': 0.6976898908615112, 'val_r2_target_1': -0.7903562784194946, 'val_rmse_target_2': 0.7613738775253296, 'val_mae_target_2': 0.5568071007728577, 'val_r2_target_2': -0.11245036125183105, 'val_rmse_target_3': 0.6828386187553406, 'val_mae_target_3': 0.5137932300567627, 'val_r2_target_3': 0.14446419477462769, 'val_rmse_target_4': 0.7421083450317383, 'val_mae_target_4': 0.5917907953262329, 'val_r2_target_4': -0.20739960670471191, 'val_rmse_target_5': 1.0356496572494507, 'val_mae_target_5': 0.8609760999679565, 'val_r2_target_5': -4.442862033843994, 'val_rmse_target_6': 1.0664743185043335, 'val_mae_target_6': 0.6663807034492493, 'val_r2_target_6': -3.3308396339416504, 'val_rmse_target_7': 0.9270581603050232, 'val_mae_target_7': 0.727200448513031, 'val_r2_target_7': -1.9537384510040283}",COMPLETE
26,0.31675313517451287,2026-03-01 11:26:36.063945,2026-03-01 11:29:04.310892,0 days 00:02:28.246947,6,6,0.5853559453841191,0.000705656859833304,30,mean,512,0.0021405502914011473,"{'val_rmse_mean': 0.8536824584007263, 'val_mae_mean': 0.6629914045333862, 'val_r2_mean': -2.65720534324646, 'val_rmse_target_0': 0.83441162109375, 'val_mae_target_0': 0.6563321948051453, 'val_r2_target_0': -1.1224429607391357, 'val_rmse_target_1': 0.8248907327651978, 'val_mae_target_1': 0.6190147995948792, 'val_r2_target_1': -1.3647193908691406, 'val_rmse_target_2': 0.7734985947608948, 'val_mae_target_2': 0.5960383415222168, 'val_r2_target_2': -0.7824859619140625, 'val_rmse_target_3': 0.6766211986541748, 'val_mae_target_3': 0.5429593920707703, 'val_r2_target_3': -0.2638324499130249, 'val_rmse_target_4': 0.7332953214645386, 'val_mae_target_4': 0.6183320879936218, 'val_r2_target_4': -0.6990933418273926, 'val_rmse_target_5': 0.9981530904769897, 'val_mae_target_5': 0.82831871509552, 'val_r2_target_5': -7.442392349243164, 'val_rmse_target_6': 1.0438573360443115, 'val_mae_target_6': 0.668941855430603, 'val_r2_target_6': -5.707481861114502, 'val_rmse_target_7': 0.9447317123413086, 'val_mae_target_7': 0.7739935517311096, 'val_r2_target_7': -3.875195026397705}",COMPLETE
27,0.31656701132655146,2026-03-01 11:29:04.371009,2026-03-01 11:31:02.926678,0 days 00:01:58.555669,6,6,0.5312595391509166,0.001001546286010702,35,mean,512,0.004595757508610818,"{'val_rmse_mean': 0.8538403511047363, 'val_mae_mean': 0.6659765243530273, 'val_r2_mean': -1.9416821002960205, 'val_rmse_target_0': 0.793163537979126, 'val_mae_target_0': 0.6493979096412659, 'val_r2_target_0': -0.7665140628814697, 'val_rmse_target_1': 0.833308756351471, 'val_mae_target_1': 0.6259621977806091, 'val_r2_target_1': -1.0429480075836182, 'val_rmse_target_2': 0.760534942150116, 'val_mae_target_2': 0.580639123916626, 'val_r2_target_2': -0.34961211681365967, 'val_rmse_target_3': 0.7104032635688782, 'val_mae_target_3': 0.5661839246749878, 'val_r2_target_3': -0.2700749635696411, 'val_rmse_target_4': 0.7578755021095276, 'val_mae_target_4': 0.6336385607719421, 'val_r2_target_4': -0.7436017990112305, 'val_rmse_target_5': 1.025643229484558, 'val_mae_target_5': 0.8686724901199341, 'val_r2_target_5': -6.823101997375488, 'val_rmse_target_6': 1.0321636199951172, 'val_mae_target_6': 0.655791163444519, 'val_r2_target_6': -3.3025522232055664, 'val_rmse_target_7': 0.9176301956176758, 'val_mae_target_7': 0.7475270628929138, 'val_r2_target_7': -2.2350516319274902}",COMPLETE
28,0.3497297662496567,2026-03-01 11:31:02.987968,2026-03-01 11:32:23.587579,0 days 00:01:20.599611,6,12,0.5562022590809852,0.0025935602972430288,45,mean,512,0.0064116391441588075,"{'val_rmse_mean': 0.8995457887649536, 'val_mae_mean': 0.7062222361564636, 'val_r2_mean': -1.346070408821106, 'val_rmse_target_0': 0.7872686386108398, 'val_mae_target_0': 0.656029462814331, 'val_r2_target_0': -0.17861104011535645, 'val_rmse_target_1': 0.9242181181907654, 'val_mae_target_1': 0.7246750593185425, 'val_r2_target_1': -0.8028092384338379, 'val_rmse_target_2': 0.8504037261009216, 'val_mae_target_2': 0.6542407274246216, 'val_r2_target_2': -0.43229103088378906, 'val_rmse_target_3': 0.7673168778419495, 'val_mae_target_3': 0.6342419981956482, 'val_r2_target_3': -0.18134987354278564, 'val_rmse_target_4': 0.7781798839569092, 'val_mae_target_4': 0.6272885799407959, 'val_r2_target_4': -0.5858849287033081, 'val_rmse_target_5': 1.029516339302063, 'val_mae_target_5': 0.8297748565673828, 'val_r2_target_5': -4.4000630378723145, 'val_rmse_target_6': 1.0496904850006104, 'val_mae_target_6': 0.7132390737533569, 'val_r2_target_6': -2.3864927291870117, 'val_rmse_target_7': 1.0097719430923462, 'val_mae_target_7': 0.8102883100509644, 'val_r2_target_7': -1.8010609149932861}",COMPLETE
29,0.3187262451648712,2026-03-01 11:32:23.651058,2026-03-01 11:34:06.254574,0 days 00:01:42.603516,6,8,0.5867417861388178,0.0013134959807264359,20,mean,512,0.0032514849642134736,"{'val_rmse_mean': 0.8604652881622314, 'val_mae_mean': 0.6594763994216919, 'val_r2_mean': -1.3790791034698486, 'val_rmse_target_0': 0.8202146291732788, 'val_mae_target_0': 0.65639328956604, 'val_r2_target_0': -0.9636528491973877, 'val_rmse_target_1': 0.9053907990455627, 'val_mae_target_1': 0.6985011100769043, 'val_r2_target_1': -1.5730476379394531, 'val_rmse_target_2': 0.7914058566093445, 'val_mae_target_2': 0.6100411415100098, 'val_r2_target_2': -0.6723946332931519, 'val_rmse_target_3': 0.6636921763420105, 'val_mae_target_3': 0.5280835628509521, 'val_r2_target_3': 0.15530753135681152, 'val_rmse_target_4': 0.7287291288375854, 'val_mae_target_4': 0.5828582048416138, 'val_r2_target_4': -0.3060494661331177, 'val_rmse_target_5': 1.0354160070419312, 'val_mae_target_5': 0.8520914316177368, 'val_r2_target_5': -3.035696506500244, 'val_rmse_target_6': 1.0131913423538208, 'val_mae_target_6': 0.6363765597343445, 'val_r2_target_6': -2.812302350997925, 'val_rmse_target_7': 0.9256818890571594, 'val_mae_target_7': 0.7114658355712891, 'val_r2_target_7': -1.8247969150543213}",COMPLETE
