number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cnn_channels,params_dropout_reg,params_lr,params_n_path_features,params_path_aggregation,params_regressor_dim,params_weight_decay,user_attrs_val_metrics,state
10,0.3459273402392864,2026-03-01 10:58:12.549243,2026-03-01 11:01:01.061645,0 days 00:02:48.512402,6,10,0.3773162046360703,0.0005088177008935153,20,mean,384,0.0005352888875882053,"{'val_rmse_mean': 0.898128867149353, 'val_mae_mean': 0.6976165771484375, 'val_r2_mean': -4.5331268310546875, 'val_rmse_target_0': 0.9225507974624634, 'val_mae_target_0': 0.7386056780815125, 'val_r2_target_0': -3.5915613174438477, 'val_rmse_target_1': 0.890110433101654, 'val_mae_target_1': 0.6659786701202393, 'val_r2_target_1': -3.4986634254455566, 'val_rmse_target_2': 0.8331171870231628, 'val_mae_target_2': 0.6410791277885437, 'val_r2_target_2': -2.2842819690704346, 'val_rmse_target_3': 0.7260987758636475, 'val_mae_target_3': 0.579521894454956, 'val_r2_target_3': -0.8096297979354858, 'val_rmse_target_4': 0.7828927636146545, 'val_mae_target_4': 0.6535802483558655, 'val_r2_target_4': -1.522434949874878, 'val_rmse_target_5': 1.0202698707580566, 'val_mae_target_5': 0.8412944078445435, 'val_r2_target_5': -9.000883102416992, 'val_rmse_target_6': 1.0407583713531494, 'val_mae_target_6': 0.6626513004302979, 'val_r2_target_6': -8.290914535522461, 'val_rmse_target_7': 0.9692325592041016, 'val_mae_target_7': 0.7982208728790283, 'val_r2_target_7': -7.266646385192871}",COMPLETE
11,0.33806372940540313,2026-03-01 11:01:01.120980,2026-03-01 11:02:35.255642,0 days 00:01:34.134662,6,12,0.579198718251627,0.0012074392786315556,65,mean,640,0.0020399727359311525,"{'val_rmse_mean': 0.8816820979118347, 'val_mae_mean': 0.698395848274231, 'val_r2_mean': -2.1373188495635986, 'val_rmse_target_0': 0.8028949499130249, 'val_mae_target_0': 0.6692714095115662, 'val_r2_target_0': -0.42855751514434814, 'val_rmse_target_1': 0.8681892156600952, 'val_mae_target_1': 0.6739131808280945, 'val_r2_target_1': -0.7576348781585693, 'val_rmse_target_2': 0.7679466009140015, 'val_mae_target_2': 0.5860352516174316, 'val_r2_target_2': -0.2976062297821045, 'val_rmse_target_3': 0.7892711758613586, 'val_mae_target_3': 0.6490083932876587, 'val_r2_target_3': -0.6586971282958984, 'val_rmse_target_4': 0.8070394992828369, 'val_mae_target_4': 0.682588517665863, 'val_r2_target_4': -1.092972993850708, 'val_rmse_target_5': 1.0006043910980225, 'val_mae_target_5': 0.8260873556137085, 'val_r2_target_5': -7.771482467651367, 'val_rmse_target_6': 1.077706217765808, 'val_mae_target_6': 0.7278377413749695, 'val_r2_target_6': -3.601046085357666, 'val_rmse_target_7': 0.9398047924041748, 'val_mae_target_7': 0.7724249958992004, 'val_r2_target_7': -2.4905529022216797}",COMPLETE
12,0.4313879731297493,2026-03-01 11:02:35.314619,2026-03-01 11:03:41.057913,0 days 00:01:05.743294,6,6,0.4718980340598253,0.009578000643102493,20,mean,640,0.00996520964706005,"{'val_rmse_mean': 1.0137901306152344, 'val_mae_mean': 0.8058939576148987, 'val_r2_mean': -0.7145702838897705, 'val_rmse_target_0': 1.0341333150863647, 'val_mae_target_0': 0.8395587205886841, 'val_r2_target_0': -0.24805784225463867, 'val_rmse_target_1': 1.177824854850769, 'val_mae_target_1': 0.9224438667297363, 'val_r2_target_1': -1.3100807666778564, 'val_rmse_target_2': 1.028593897819519, 'val_mae_target_2': 0.7882990837097168, 'val_r2_target_2': -0.5254858732223511, 'val_rmse_target_3': 0.7636041045188904, 'val_mae_target_3': 0.628729522228241, 'val_r2_target_3': -0.03746616840362549, 'val_rmse_target_4': 0.7610754370689392, 'val_mae_target_4': 0.6287345290184021, 'val_r2_target_4': 0.12129402160644531, 'val_rmse_target_5': 1.141981601715088, 'val_mae_target_5': 0.9291784167289734, 'val_r2_target_5': -1.0199894905090332, 'val_rmse_target_6': 1.0358341932296753, 'val_mae_target_6': 0.7337959408760071, 'val_r2_target_6': -1.2088959217071533, 'val_rmse_target_7': 1.1672735214233398, 'val_mae_target_7': 0.9764112830162048, 'val_r2_target_7': -1.4878802299499512}",COMPLETE
13,0.32968975335359574,2026-03-01 11:03:41.117616,2026-03-01 11:05:26.317035,0 days 00:01:45.199419,6,12,0.3460752988453163,0.0011231951150114086,60,mean,384,0.002390076447174117,"{'val_rmse_mean': 0.8671121597290039, 'val_mae_mean': 0.682590126991272, 'val_r2_mean': -2.090038537979126, 'val_rmse_target_0': 0.7742781043052673, 'val_mae_target_0': 0.6436500549316406, 'val_r2_target_0': -0.4748266935348511, 'val_rmse_target_1': 0.8169547319412231, 'val_mae_target_1': 0.6047452092170715, 'val_r2_target_1': -0.7947491407394409, 'val_rmse_target_2': 0.7341442704200745, 'val_mae_target_2': 0.5627474188804626, 'val_r2_target_2': -0.4562215805053711, 'val_rmse_target_3': 0.7573484778404236, 'val_mae_target_3': 0.6163436770439148, 'val_r2_target_3': -0.4685540199279785, 'val_rmse_target_4': 0.8007215261459351, 'val_mae_target_4': 0.6871328949928284, 'val_r2_target_4': -1.0081064701080322, 'val_rmse_target_5': 1.06602942943573, 'val_mae_target_5': 0.873117983341217, 'val_r2_target_5': -8.033714294433594, 'val_rmse_target_6': 1.0441144704818726, 'val_mae_target_6': 0.684654712677002, 'val_r2_target_6': -3.363058567047119, 'val_rmse_target_7': 0.9433065056800842, 'val_mae_target_7': 0.7883292436599731, 'val_r2_target_7': -2.1210803985595703}",COMPLETE
14,0.3306127828359604,2026-03-01 11:05:26.376078,2026-03-01 11:06:49.709748,0 days 00:01:23.333670,6,6,0.44370933387120787,0.0016982808041502598,25,mean,640,0.0014660876694979278,"{'val_rmse_mean': 0.880484938621521, 'val_mae_mean': 0.6787628531455994, 'val_r2_mean': -1.0132458209991455, 'val_rmse_target_0': 0.8313934206962585, 'val_mae_target_0': 0.6722504496574402, 'val_r2_target_0': -0.38245856761932373, 'val_rmse_target_1': 0.8947291374206543, 'val_mae_target_1': 0.6993175745010376, 'val_r2_target_1': -0.9094882011413574, 'val_rmse_target_2': 0.7796825766563416, 'val_mae_target_2': 0.5874850153923035, 'val_r2_target_2': -0.1496143341064453, 'val_rmse_target_3': 0.7176857590675354, 'val_mae_target_3': 0.5851739645004272, 'val_r2_target_3': 0.14832043647766113, 'val_rmse_target_4': 0.7521316409111023, 'val_mae_target_4': 0.5989300608634949, 'val_r2_target_4': -0.16489100456237793, 'val_rmse_target_5': 1.0633896589279175, 'val_mae_target_5': 0.8629392385482788, 'val_r2_target_5': -2.8238718509674072, 'val_rmse_target_6': 1.0259778499603271, 'val_mae_target_6': 0.6522190570831299, 'val_r2_target_6': -2.134368896484375, 'val_rmse_target_7': 0.9788894057273865, 'val_mae_target_7': 0.771787703037262, 'val_r2_target_7': -1.6895930767059326}",COMPLETE
15,0.3311327248811722,2026-03-01 11:06:49.768589,2026-03-01 11:08:47.181321,0 days 00:01:57.412732,6,12,0.5584409851852624,0.0007946188310554146,70,mean,512,0.0036908466831597174,"{'val_rmse_mean': 0.8696568608283997, 'val_mae_mean': 0.6875115633010864, 'val_r2_mean': -2.9739322662353516, 'val_rmse_target_0': 0.7830106616020203, 'val_mae_target_0': 0.6372263431549072, 'val_r2_target_0': -0.6706081628799438, 'val_rmse_target_1': 0.8001402616500854, 'val_mae_target_1': 0.5843676924705505, 'val_r2_target_1': -0.7962735891342163, 'val_rmse_target_2': 0.7402521967887878, 'val_mae_target_2': 0.5647914409637451, 'val_r2_target_2': -0.5012602806091309, 'val_rmse_target_3': 0.7861490249633789, 'val_mae_target_3': 0.639661431312561, 'val_r2_target_3': -0.912476658821106, 'val_rmse_target_4': 0.8064953684806824, 'val_mae_target_4': 0.6809120178222656, 'val_r2_target_4': -1.7262365818023682, 'val_rmse_target_5': 1.0180245637893677, 'val_mae_target_5': 0.8467057943344116, 'val_r2_target_5': -10.880539894104004, 'val_rmse_target_6': 1.0656712055206299, 'val_mae_target_6': 0.7449190616607666, 'val_r2_target_6': -4.871387004852295, 'val_rmse_target_7': 0.9575117230415344, 'val_mae_target_7': 0.8015085458755493, 'val_r2_target_7': -3.4326729774475098}",COMPLETE
16,0.322325519323349,2026-03-01 11:08:47.242448,2026-03-01 11:10:53.087135,0 days 00:02:05.844687,6,8,0.5113643375046945,0.0007086583219874126,55,mean,640,0.0008495137154167683,"{'val_rmse_mean': 0.8631268739700317, 'val_mae_mean': 0.6682142019271851, 'val_r2_mean': -2.449753522872925, 'val_rmse_target_0': 0.7855393290519714, 'val_mae_target_0': 0.6245298981666565, 'val_r2_target_0': -0.6548569202423096, 'val_rmse_target_1': 0.8270899057388306, 'val_mae_target_1': 0.6371284127235413, 'val_r2_target_1': -0.8880552053451538, 'val_rmse_target_2': 0.7554733157157898, 'val_mae_target_2': 0.5653066039085388, 'val_r2_target_2': -0.46445226669311523, 'val_rmse_target_3': 0.7827270030975342, 'val_mae_target_3': 0.6367032527923584, 'val_r2_target_3': -0.7310595512390137, 'val_rmse_target_4': 0.7799438238143921, 'val_mae_target_4': 0.6329492330551147, 'val_r2_target_4': -1.2912964820861816, 'val_rmse_target_5': 1.002832055091858, 'val_mae_target_5': 0.7857578992843628, 'val_r2_target_5': -7.821910858154297, 'val_rmse_target_6': 1.0373966693878174, 'val_mae_target_6': 0.6877673268318176, 'val_r2_target_6': -4.501225471496582, 'val_rmse_target_7': 0.9340131282806396, 'val_mae_target_7': 0.775570809841156, 'val_r2_target_7': -3.2451725006103516}",COMPLETE
17,0.31655761748552325,2026-03-01 11:10:53.146929,2026-03-01 11:12:27.572668,0 days 00:01:34.425739,6,10,0.4385641535087529,0.001573635678100723,30,mean,512,0.0018069413616864179,"{'val_rmse_mean': 0.8566678762435913, 'val_mae_mean': 0.663922905921936, 'val_r2_mean': -1.4667789936065674, 'val_rmse_target_0': 0.8161370754241943, 'val_mae_target_0': 0.6624521017074585, 'val_r2_target_0': -0.6892480850219727, 'val_rmse_target_1': 0.880893886089325, 'val_mae_target_1': 0.680595338344574, 'val_r2_target_1': -1.079629898071289, 'val_rmse_target_2': 0.7833623290061951, 'val_mae_target_2': 0.6144506335258484, 'val_r2_target_2': -0.42883729934692383, 'val_rmse_target_3': 0.6697918772697449, 'val_mae_target_3': 0.5322216153144836, 'val_r2_target_3': 0.08089685440063477, 'val_rmse_target_4': 0.7124179601669312, 'val_mae_target_4': 0.5792592763900757, 'val_r2_target_4': -0.19331061840057373, 'val_rmse_target_5': 1.0266634225845337, 'val_mae_target_5': 0.8291621208190918, 'val_r2_target_5': -4.2369279861450195, 'val_rmse_target_6': 1.0195525884628296, 'val_mae_target_6': 0.6486731767654419, 'val_r2_target_6': -2.932100534439087, 'val_rmse_target_7': 0.9445239305496216, 'val_mae_target_7': 0.764569103717804, 'val_r2_target_7': -2.2550737857818604}",COMPLETE
18,0.32528160005807877,2026-03-01 11:12:27.632169,2026-03-01 11:13:58.394181,0 days 00:01:30.762012,6,10,0.4272469674543078,0.0016616126388761937,25,mean,512,0.0016985573010303541,"{'val_rmse_mean': 0.8677325248718262, 'val_mae_mean': 0.6679079532623291, 'val_r2_mean': -1.2509222030639648, 'val_rmse_target_0': 0.8243699669837952, 'val_mae_target_0': 0.6698390245437622, 'val_r2_target_0': -0.6686618328094482, 'val_rmse_target_1': 0.8716108798980713, 'val_mae_target_1': 0.6841372847557068, 'val_r2_target_1': -0.8377113342285156, 'val_rmse_target_2': 0.7545198798179626, 'val_mae_target_2': 0.5810756683349609, 'val_r2_target_2': -0.20670318603515625, 'val_rmse_target_3': 0.7064656019210815, 'val_mae_target_3': 0.5535131692886353, 'val_r2_target_3': 0.030350148677825928, 'val_rmse_target_4': 0.7238382697105408, 'val_mae_target_4': 0.5773570537567139, 'val_r2_target_4': -0.18371248245239258, 'val_rmse_target_5': 1.0653902292251587, 'val_mae_target_5': 0.863724946975708, 'val_r2_target_5': -3.5740699768066406, 'val_rmse_target_6': 1.025471806526184, 'val_mae_target_6': 0.6573720574378967, 'val_r2_target_6': -2.7132434844970703, 'val_rmse_target_7': 0.9701938033103943, 'val_mae_target_7': 0.7562445998191833, 'val_r2_target_7': -1.8536243438720703}",COMPLETE
19,0.3406281177699566,2026-03-01 11:13:58.458777,2026-03-01 11:15:16.833809,0 days 00:01:18.375032,6,10,0.342388931424251,0.002634305099905041,30,mean,512,0.0007602126713255453,"{'val_rmse_mean': 0.8896386623382568, 'val_mae_mean': 0.6904512047767639, 'val_r2_mean': -1.0705474615097046, 'val_rmse_target_0': 0.8808350563049316, 'val_mae_target_0': 0.6955890655517578, 'val_r2_target_0': -0.2671058177947998, 'val_rmse_target_1': 0.9087819457054138, 'val_mae_target_1': 0.726797878742218, 'val_r2_target_1': -0.8795560598373413, 'val_rmse_target_2': 0.8115468621253967, 'val_mae_target_2': 0.61801677942276, 'val_r2_target_2': -0.2434375286102295, 'val_rmse_target_3': 0.6891879439353943, 'val_mae_target_3': 0.5704384446144104, 'val_r2_target_3': 0.11685037612915039, 'val_rmse_target_4': 0.7266387343406677, 'val_mae_target_4': 0.576217770576477, 'val_r2_target_4': -0.20492339134216309, 'val_rmse_target_5': 1.0715094804763794, 'val_mae_target_5': 0.8805348873138428, 'val_r2_target_5': -3.3038687705993652, 'val_rmse_target_6': 1.0369372367858887, 'val_mae_target_6': 0.6787654161453247, 'val_r2_target_6': -2.3365302085876465, 'val_rmse_target_7': 0.9916720986366272, 'val_mae_target_7': 0.7772494554519653, 'val_r2_target_7': -1.4458091259002686}",COMPLETE
