number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_lstm,params_dropout_path,params_dropout_reg,params_lr,params_lstm_hidden_dim,params_lstm_layers,params_path_aggregation,params_path_dim,params_regressor_dim,params_weight_decay,user_attrs_val_metrics,state
45,0.36191040249886336,2026-01-29 14:38:57.710256,2026-01-29 14:39:57.015281,0 days 00:00:59.305025,16,True,0.053671697250264765,0.27059516189830213,0.27357270305902354,0.0001462126710942122,32,3,static,32,256,0.002604598158402884,"{'val_rmse_mean': 0.9605709314346313, 'val_mae_mean': 0.7160485982894897, 'val_r2_mean': -15.48116683959961, 'val_rmse_target_0': 0.992861270904541, 'val_mae_target_0': 0.6624574065208435, 'val_r2_target_0': -17.451732635498047, 'val_rmse_target_1': 0.9827261567115784, 'val_mae_target_1': 0.7125053405761719, 'val_r2_target_1': -11.074410438537598, 'val_rmse_target_2': 0.7823861837387085, 'val_mae_target_2': 0.7035916447639465, 'val_r2_target_2': -1.6292407512664795, 'val_rmse_target_3': 1.0843101739883423, 'val_mae_target_3': 0.7856398820877075, 'val_r2_target_3': -31.76927947998047}",COMPLETE
46,0.3592857058953356,2026-01-29 14:39:57.090245,2026-01-29 14:40:52.733592,0 days 00:00:55.643347,16,True,0.14107680100636652,0.29476889726366184,0.23182729970926916,0.00017751166487083638,8,2,static,32,128,0.0001063298128641382,"{'val_rmse_mean': 0.9615923166275024, 'val_mae_mean': 0.6983333826065063, 'val_r2_mean': -28.740413665771484, 'val_rmse_target_0': 0.9902319312095642, 'val_mae_target_0': 0.6460996270179749, 'val_r2_target_0': -45.010337829589844, 'val_rmse_target_1': 0.9781863689422607, 'val_mae_target_1': 0.6742047071456909, 'val_r2_target_1': -19.105876922607422, 'val_rmse_target_2': 0.8184799551963806, 'val_mae_target_2': 0.7093749046325684, 'val_r2_target_2': -4.039605617523193, 'val_rmse_target_3': 1.0594710111618042, 'val_mae_target_3': 0.763654351234436, 'val_r2_target_3': -46.805843353271484}",COMPLETE
47,0.3565917910525092,2026-01-29 14:40:52.807532,2026-01-29 14:41:52.938493,0 days 00:01:00.130961,16,True,0.12190305228167096,0.3078593709690153,0.21471099099541793,0.00016448768200002034,16,3,attention,32,256,0.0010874007960288532,"{'val_rmse_mean': 0.9524844884872437, 'val_mae_mean': 0.711951494216919, 'val_r2_mean': -14.57968521118164, 'val_rmse_target_0': 1.0081158876419067, 'val_mae_target_0': 0.6719629764556885, 'val_r2_target_0': -18.358081817626953, 'val_rmse_target_1': 0.9621701836585999, 'val_mae_target_1': 0.7024621367454529, 'val_r2_target_1': -9.473544120788574, 'val_rmse_target_2': 0.7590693831443787, 'val_mae_target_2': 0.6748076677322388, 'val_r2_target_2': -1.5061094760894775, 'val_rmse_target_3': 1.0805823802947998, 'val_mae_target_3': 0.7985730767250061, 'val_r2_target_3': -28.981006622314453}",COMPLETE
48,0.35652054501352487,2026-01-29 14:41:53.012647,2026-01-29 14:42:47.993403,0 days 00:00:54.980756,16,True,0.24586906326067035,0.32174885475941395,0.25090137049111266,0.0002477852002994119,8,2,static,32,128,0.00012879702615450957,"{'val_rmse_mean': 0.9571479558944702, 'val_mae_mean': 0.7024606466293335, 'val_r2_mean': -16.821025848388672, 'val_rmse_target_0': 0.9835833311080933, 'val_mae_target_0': 0.6407642960548401, 'val_r2_target_0': -18.91883659362793, 'val_rmse_target_1': 0.9954376220703125, 'val_mae_target_1': 0.689450740814209, 'val_r2_target_1': -13.370237350463867, 'val_rmse_target_2': 0.7765296101570129, 'val_mae_target_2': 0.6979297399520874, 'val_r2_target_2': -1.9310338497161865, 'val_rmse_target_3': 1.073041319847107, 'val_mae_target_3': 0.781697690486908, 'val_r2_target_3': -33.063995361328125}",COMPLETE
49,0.36370150310297805,2026-01-29 14:42:48.069228,2026-01-29 14:43:49.542257,0 days 00:01:01.473029,16,True,0.0946631601692496,0.2175069539342101,0.26258635322633617,0.00012896171980897436,32,3,mean,16,64,0.0007581727398053591,"{'val_rmse_mean': 0.9760962128639221, 'val_mae_mean': 0.6993741989135742, 'val_r2_mean': -78.47612762451172, 'val_rmse_target_0': 1.001437783241272, 'val_mae_target_0': 0.6359809637069702, 'val_r2_target_0': -72.86476135253906, 'val_rmse_target_1': 0.9988706111907959, 'val_mae_target_1': 0.7006134986877441, 'val_r2_target_1': -47.499755859375, 'val_rmse_target_2': 0.8843342065811157, 'val_mae_target_2': 0.7570359706878662, 'val_r2_target_2': -14.820796966552734, 'val_rmse_target_3': 1.0197422504425049, 'val_mae_target_3': 0.7038664817810059, 'val_r2_target_3': -178.71920776367188}",COMPLETE
50,0.3632245855750861,2026-01-29 14:43:49.617198,2026-01-29 14:44:37.126020,0 days 00:00:47.508822,16,True,0.062412762605592254,0.3344351961927552,0.3196131304989816,5.843263791697202e-05,8,1,static,32,256,1.0579845442566964e-05,"{'val_rmse_mean': 0.9757522940635681, 'val_mae_mean': 0.6956580877304077, 'val_r2_mean': -88.263916015625, 'val_rmse_target_0': 1.0156357288360596, 'val_mae_target_0': 0.6339274048805237, 'val_r2_target_0': -112.98037719726562, 'val_rmse_target_1': 0.9838589429855347, 'val_mae_target_1': 0.6638745069503784, 'val_r2_target_1': -84.00439453125, 'val_rmse_target_2': 0.8985261917114258, 'val_mae_target_2': 0.7779145240783691, 'val_r2_target_2': -25.863510131835938, 'val_rmse_target_3': 1.004988431930542, 'val_mae_target_3': 0.7069157958030701, 'val_r2_target_3': -130.20736694335938}",COMPLETE
51,0.3584678980211417,2026-01-29 14:44:37.200923,2026-01-29 14:45:31.131803,0 days 00:00:53.930880,16,True,0.0017556079227059318,0.3383231170197541,0.19246950144359437,0.00020839724169622207,8,3,static,8,256,0.0015690867384087796,"{'val_rmse_mean': 0.9476888179779053, 'val_mae_mean': 0.7092233896255493, 'val_r2_mean': -10.310493469238281, 'val_rmse_target_0': 1.0231491327285767, 'val_mae_target_0': 0.6768507361412048, 'val_r2_target_0': -14.888639450073242, 'val_rmse_target_1': 0.9788262844085693, 'val_mae_target_1': 0.7159796357154846, 'val_r2_target_1': -6.063000202178955, 'val_rmse_target_2': 0.7393600940704346, 'val_mae_target_2': 0.6560660004615784, 'val_r2_target_2': -0.35572779178619385, 'val_rmse_target_3': 1.049419641494751, 'val_mae_target_3': 0.7879971861839294, 'val_r2_target_3': -19.93460464477539}",COMPLETE
52,0.35443099477776774,2026-01-29 14:45:31.207005,2026-01-29 14:46:33.369446,0 days 00:01:02.162441,16,False,0.18444652310686363,0.31895885969450594,0.23624959443124707,0.00019067438670563144,8,3,static,8,256,0.0027487154315713014,"{'val_rmse_mean': 0.951086163520813, 'val_mae_mean': 0.6996092796325684, 'val_r2_mean': -16.633399963378906, 'val_rmse_target_0': 1.014858603477478, 'val_mae_target_0': 0.6545330286026001, 'val_r2_target_0': -26.799922943115234, 'val_rmse_target_1': 0.9695218801498413, 'val_mae_target_1': 0.6961747407913208, 'val_r2_target_1': -8.850872993469238, 'val_rmse_target_2': 0.7641373872756958, 'val_mae_target_2': 0.6740050315856934, 'val_r2_target_2': -0.6166044473648071, 'val_rmse_target_3': 1.0558267831802368, 'val_mae_target_3': 0.7737243175506592, 'val_r2_target_3': -30.266193389892578}",COMPLETE
53,0.3500541616921072,2026-01-29 14:46:33.444469,2026-01-29 14:47:30.196930,0 days 00:00:56.752461,16,True,0.22836806360900685,0.3487085096545731,0.29456175017455377,0.00023417561858554483,8,3,static,8,256,0.00028578348234292744,"{'val_rmse_mean': 0.9429287314414978, 'val_mae_mean': 0.688022792339325, 'val_r2_mean': -12.190916061401367, 'val_rmse_target_0': 1.0026699304580688, 'val_mae_target_0': 0.6358122825622559, 'val_r2_target_0': -17.495960235595703, 'val_rmse_target_1': 0.9615403413772583, 'val_mae_target_1': 0.6946032047271729, 'val_r2_target_1': -6.827764511108398, 'val_rmse_target_2': 0.7323583364486694, 'val_mae_target_2': 0.6429274678230286, 'val_r2_target_2': -0.39201390743255615, 'val_rmse_target_3': 1.0751464366912842, 'val_mae_target_3': 0.7787483334541321, 'val_r2_target_3': -24.04791831970215}",COMPLETE
54,0.36349878791305756,2026-01-29 14:47:30.271750,2026-01-29 14:48:27.954524,0 days 00:00:57.682774,16,True,0.2350567754176784,0.3031323240651593,0.2914645368045193,0.0002808633434945561,8,3,static,8,256,0.00024020547210548796,"{'val_rmse_mean': 0.9574589729309082, 'val_mae_mean': 0.7055222988128662, 'val_r2_mean': -11.365964889526367, 'val_rmse_target_0': 1.0089149475097656, 'val_mae_target_0': 0.6597927212715149, 'val_r2_target_0': -16.68695068359375, 'val_rmse_target_1': 1.0012351274490356, 'val_mae_target_1': 0.7309150099754333, 'val_r2_target_1': -5.545454025268555, 'val_rmse_target_2': 0.7472500205039978, 'val_mae_target_2': 0.6445977687835693, 'val_r2_target_2': -0.21117615699768066, 'val_rmse_target_3': 1.072435736656189, 'val_mae_target_3': 0.7867835760116577, 'val_r2_target_3': -23.020265579223633}",COMPLETE
55,0.3546530078682635,2026-01-29 14:48:28.031290,2026-01-29 14:49:25.079774,0 days 00:00:57.048484,16,True,0.25959424137091397,0.15576581102075246,0.29869960392549644,0.00023471400834240534,8,3,static,32,128,0.00028715720474804796,"{'val_rmse_mean': 0.9539477229118347, 'val_mae_mean': 0.6919909715652466, 'val_r2_mean': -17.62665557861328, 'val_rmse_target_0': 0.9838776588439941, 'val_mae_target_0': 0.6194698810577393, 'val_r2_target_0': -24.36263084411621, 'val_rmse_target_1': 0.9775931239128113, 'val_mae_target_1': 0.6914587616920471, 'val_r2_target_1': -15.243082046508789, 'val_rmse_target_2': 0.7834028005599976, 'val_mae_target_2': 0.6865769624710083, 'val_r2_target_2': -2.2101428508758545, 'val_rmse_target_3': 1.0709173679351807, 'val_mae_target_3': 0.7704583406448364, 'val_r2_target_3': -28.690765380859375}",COMPLETE
56,0.36244546953174805,2026-01-29 14:49:25.155169,2026-01-29 14:50:18.360766,0 days 00:00:53.205597,16,True,0.21640401456115246,0.3164734654400453,0.2759467273526405,0.00024266372355697977,16,2,static,8,256,0.0006160754959926381,"{'val_rmse_mean': 0.9566006660461426, 'val_mae_mean': 0.7091490030288696, 'val_r2_mean': -11.51518726348877, 'val_rmse_target_0': 1.0201648473739624, 'val_mae_target_0': 0.6781466603279114, 'val_r2_target_0': -14.600349426269531, 'val_rmse_target_1': 0.9820795655250549, 'val_mae_target_1': 0.7159835696220398, 'val_r2_target_1': -6.807884693145752, 'val_rmse_target_2': 0.7477469444274902, 'val_mae_target_2': 0.6533978581428528, 'val_r2_target_2': -0.2732630968093872, 'val_rmse_target_3': 1.0764113664627075, 'val_mae_target_3': 0.7890681028366089, 'val_r2_target_3': -24.379255294799805}",COMPLETE
