,mean_weight
0,0.050311744
1,0.049768016
2,0.050213493
3,0.04820949
4,0.048521776
5,0.048502624
6,0.049763035
7,0.049923684
8,0.049038682
9,0.04915596
10,0.050089505
11,0.047934722
12,0.05162487
13,0.0489348
14,0.051351983
15,0.05083944
16,0.052111544
17,0.0517744
18,0.050809734
19,0.05112048
