number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_lstm,params_dropout_path,params_dropout_reg,params_lr,params_lstm_hidden_dim,params_lstm_layers,params_path_aggregation,params_path_dim,params_regressor_dim,params_weight_decay,user_attrs_val_metrics,state
0,0.43083226316108875,2026-02-05 03:35:49.073668,2026-02-05 03:36:42.629678,0 days 00:00:53.556010,16,False,0.24018157565004536,0.29396535418042813,0.38241572515177086,8.067862988932549e-05,32,2,static,16,128,2.134939219371444e-05,"{'val_rmse_mean': 1.0117342472076416, 'val_mae_mean': 0.7955909371376038, 'val_r2_mean': -69.13195037841797, 'val_rmse_target_0': 1.0117342472076416, 'val_mae_target_0': 0.7955909371376038, 'val_r2_target_0': -69.13195037841797}",COMPLETE
1,0.3650761575511381,2026-02-05 03:36:42.904940,2026-02-05 03:37:34.880503,0 days 00:00:51.975563,16,False,0.14139545841012727,0.2207126968769435,0.38251472994326696,7.149056539060339e-05,32,2,static,16,256,0.0013051149921745647,"{'val_rmse_mean': 0.9174666404724121, 'val_mae_mean': 0.716308057308197, 'val_r2_mean': -19.797157287597656, 'val_rmse_target_0': 0.9174666404724121, 'val_mae_target_0': 0.716308057308197, 'val_r2_target_0': -19.797157287597656}",COMPLETE
2,0.3329693806306885,2026-02-05 03:37:35.154719,2026-02-05 03:38:29.157098,0 days 00:00:54.002379,16,False,0.25537986076832186,0.2803137294784218,0.3212182815795329,0.0003559459464475661,8,2,static,16,512,0.0008881385117989405,"{'val_rmse_mean': 0.8741057515144348, 'val_mae_mean': 0.6873414516448975, 'val_r2_mean': -0.48951470851898193, 'val_rmse_target_0': 0.8741057515144348, 'val_mae_target_0': 0.6873414516448975, 'val_r2_target_0': -0.48951470851898193}",COMPLETE
3,0.32840292659373654,2026-02-05 03:38:29.433634,2026-02-05 03:39:21.563490,0 days 00:00:52.129856,16,False,0.21778618812170403,0.20568767942888477,0.39328186357737327,0.0003520683799345611,8,2,static,16,256,0.007662409473321711,"{'val_rmse_mean': 0.8535723090171814, 'val_mae_mean': 0.6789664626121521, 'val_r2_mean': -0.8154647350311279, 'val_rmse_target_0': 0.8535723090171814, 'val_mae_target_0': 0.6789664626121521, 'val_r2_target_0': -0.8154647350311279}",COMPLETE
4,0.40090137876190796,2026-02-05 03:39:21.839861,2026-02-05 03:40:17.659443,0 days 00:00:55.819582,16,False,0.2831648273947657,0.3837413703765578,0.31252319318705285,6.700763440200856e-05,32,2,static,16,256,0.0004271308793540244,"{'val_rmse_mean': 0.970278263092041, 'val_mae_mean': 0.7586308717727661, 'val_r2_mean': -28.644737243652344, 'val_rmse_target_0': 0.970278263092041, 'val_mae_target_0': 0.7586308717727661, 'val_r2_target_0': -28.644737243652344}",COMPLETE
5,0.36185069790937835,2026-02-05 03:40:17.932600,2026-02-05 03:41:11.826046,0 days 00:00:53.893446,16,False,0.17328936866706451,0.2412256035377528,0.31397233051946255,0.00023909030022438782,8,2,static,8,256,1.756643605537867e-05,"{'val_rmse_mean': 0.9067805409431458, 'val_mae_mean': 0.7114906907081604, 'val_r2_mean': -1.835475206375122, 'val_rmse_target_0': 0.9067805409431458, 'val_mae_target_0': 0.7114906907081604, 'val_r2_target_0': -1.835475206375122}",COMPLETE
6,0.378274025792187,2026-02-05 03:41:12.099831,2026-02-05 03:42:03.683022,0 days 00:00:51.583191,16,False,0.2405113552211753,0.35749414135600405,0.3336583765336,0.0004688702831095582,32,2,static,8,256,1.9990580291803853e-05,"{'val_rmse_mean': 0.9199668765068054, 'val_mae_mean': 0.7582046985626221, 'val_r2_mean': -0.6554598808288574, 'val_rmse_target_0': 0.9199668765068054, 'val_mae_target_0': 0.7582046985626221, 'val_r2_target_0': -0.6554598808288574}",COMPLETE
7,0.350290988506054,2026-02-05 03:42:03.957988,2026-02-05 03:42:56.309763,0 days 00:00:52.351775,16,False,0.1618833452921312,0.3311178031158123,0.23695623368026583,0.0003837911187007546,8,2,static,16,128,6.254862741337708e-05,"{'val_rmse_mean': 0.8918514251708984, 'val_mae_mean': 0.7063754200935364, 'val_r2_mean': -0.7064279317855835, 'val_rmse_target_0': 0.8918514251708984, 'val_mae_target_0': 0.7063754200935364, 'val_r2_target_0': -0.7064279317855835}",COMPLETE
8,0.3285825510671977,2026-02-05 03:42:56.582392,2026-02-05 03:43:48.920522,0 days 00:00:52.338130,16,False,0.27952977773825294,0.3126601184422326,0.2607965139493881,0.0003918069935924719,32,2,static,16,512,3.786472862226515e-05,"{'val_rmse_mean': 0.8584199547767639, 'val_mae_mean': 0.6918171048164368, 'val_r2_mean': -0.500253438949585, 'val_rmse_target_0': 0.8584199547767639, 'val_mae_target_0': 0.6918171048164368, 'val_r2_target_0': -0.500253438949585}",COMPLETE
9,0.36779285876589174,2026-02-05 03:43:49.193433,2026-02-05 03:44:41.876549,0 days 00:00:52.683116,16,False,0.28577525071883897,0.3730413471705845,0.285581360387422,6.608288110185304e-05,8,2,static,8,512,9.689978692185015e-05,"{'val_rmse_mean': 0.9200305342674255, 'val_mae_mean': 0.7195925116539001, 'val_r2_mean': -8.884917259216309, 'val_rmse_target_0': 0.9200305342674255, 'val_mae_target_0': 0.7195925116539001, 'val_r2_target_0': -8.884917259216309}",COMPLETE
10,0.36045035479926607,2026-02-05 03:44:42.151631,2026-02-05 03:45:35.546354,0 days 00:00:53.394723,16,False,0.10567479933338245,0.20613192989315623,0.3994467129251625,0.00015985336920504696,16,2,static,8,256,0.008587795703304266,"{'val_rmse_mean': 0.9053460955619812, 'val_mae_mean': 0.7189516425132751, 'val_r2_mean': -5.19844913482666, 'val_rmse_target_0': 0.9053460955619812, 'val_mae_target_0': 0.7189516425132751, 'val_r2_target_0': -5.19844913482666}",COMPLETE
11,0.35854317577603206,2026-02-05 03:45:35.820306,2026-02-05 03:46:28.584838,0 days 00:00:52.764532,16,False,0.20830693053403002,0.2626869008992094,0.23487951935353013,0.00024867739300378576,16,2,static,16,512,0.008466542348563696,"{'val_rmse_mean': 0.8958792090415955, 'val_mae_mean': 0.715551495552063, 'val_r2_mean': -0.9022434949874878, 'val_rmse_target_0': 0.8958792090415955, 'val_mae_target_0': 0.715551495552063, 'val_r2_target_0': -0.9022434949874878}",COMPLETE
12,0.33819270675519,2026-02-05 03:46:28.857472,2026-02-05 03:47:19.725357,0 days 00:00:50.867885,16,False,0.21973816254297945,0.32871423686855805,0.274084955672852,0.00025256193434103656,32,2,static,16,512,0.0024648178815775677,"{'val_rmse_mean': 0.8655213117599487, 'val_mae_mean': 0.6942944526672363, 'val_r2_mean': -0.42335712909698486, 'val_rmse_target_0': 0.8655213117599487, 'val_mae_target_0': 0.6942944526672363, 'val_r2_target_0': -0.42335712909698486}",COMPLETE
13,0.366308874692078,2026-02-05 03:47:19.997467,2026-02-05 03:48:14.766891,0 days 00:00:54.769424,16,False,0.2934203260813718,0.3266701582834535,0.26207109539532397,0.0001267585759642817,8,2,static,16,512,0.00014202571284213585,"{'val_rmse_mean': 0.9188655018806458, 'val_mae_mean': 0.7227309346199036, 'val_r2_mean': -2.987889051437378, 'val_rmse_target_0': 0.9188655018806458, 'val_mae_target_0': 0.7227309346199036, 'val_r2_target_0': -2.987889051437378}",COMPLETE
14,0.33584680844473447,2026-02-05 03:48:15.040041,2026-02-05 03:49:08.851966,0 days 00:00:53.811925,16,False,0.18592100029176883,0.25456269958530303,0.2123952787727439,0.00031460976062839424,16,2,static,16,128,0.00025772749282952374,"{'val_rmse_mean': 0.881088376045227, 'val_mae_mean': 0.6657652258872986, 'val_r2_mean': -0.9520221948623657, 'val_rmse_target_0': 0.881088376045227, 'val_mae_target_0': 0.6657652258872986, 'val_r2_target_0': -0.9520221948623657}",COMPLETE
15,0.3659309020268093,2026-02-05 03:49:09.124867,2026-02-05 03:50:03.459420,0 days 00:00:54.334553,16,False,0.2630875573790915,0.3143089378497226,0.35347745348577014,0.00016500917092291374,8,2,static,16,256,0.0037186031523627826,"{'val_rmse_mean': 0.9143218398094177, 'val_mae_mean': 0.715660810470581, 'val_r2_mean': -4.074670791625977, 'val_rmse_target_0': 0.9143218398094177, 'val_mae_target_0': 0.715660810470581, 'val_r2_target_0': -4.074670791625977}",COMPLETE
16,0.35657908671122707,2026-02-05 03:50:03.733516,2026-02-05 03:50:58.729635,0 days 00:00:54.996119,16,False,0.21983812465484387,0.2817140146137073,0.35212742043869316,0.0004939271799388524,32,2,static,16,512,4.519824440446601e-05,"{'val_rmse_mean': 0.8920443654060364, 'val_mae_mean': 0.7317573428153992, 'val_r2_mean': -0.3355519771575928, 'val_rmse_target_0': 0.8920443654060364, 'val_mae_target_0': 0.7317573428153992, 'val_r2_target_0': -0.3355519771575928}",COMPLETE
17,0.3548981702964132,2026-02-05 03:50:59.002827,2026-02-05 03:51:53.971201,0 days 00:00:54.968374,16,False,0.2635499625535681,0.35328592348448506,0.25357566170030915,0.00019652080691403648,8,2,static,16,512,0.0003876629521037874,"{'val_rmse_mean': 0.8903553485870361, 'val_mae_mean': 0.7184047102928162, 'val_r2_mean': -1.149632215499878, 'val_rmse_target_0': 0.8903553485870361, 'val_mae_target_0': 0.7184047102928162, 'val_r2_target_0': -1.149632215499878}",COMPLETE
18,0.3746221696406051,2026-02-05 03:51:54.244449,2026-02-05 03:52:49.648617,0 days 00:00:55.404168,16,False,0.14106386755299388,0.23207399903742323,0.29614762493639896,0.0001105830375168799,32,2,static,8,256,1.1199611384503282e-05,"{'val_rmse_mean': 0.929764986038208, 'val_mae_mean': 0.7491403222084045, 'val_r2_mean': -7.5510969161987305, 'val_rmse_target_0': 0.929764986038208, 'val_mae_target_0': 0.7491403222084045, 'val_r2_target_0': -7.5510969161987305}",COMPLETE
19,0.333975530093691,2026-02-05 03:52:49.921950,2026-02-05 03:53:42.536010,0 days 00:00:52.614060,16,False,0.23422374323521938,0.30584089016974186,0.20583573068643324,0.0003084705659066014,16,2,static,16,128,0.0008721598443764996,"{'val_rmse_mean': 0.8678197860717773, 'val_mae_mean': 0.6868075132369995, 'val_r2_mean': -1.024808406829834, 'val_rmse_target_0': 0.8678197860717773, 'val_mae_target_0': 0.6868075132369995, 'val_r2_target_0': -1.024808406829834}",COMPLETE
20,0.389356440909776,2026-02-05 03:53:42.810583,2026-02-05 03:54:34.903814,0 days 00:00:52.093231,16,False,0.18901791194958303,0.20098741092575978,0.34939779115217284,5.064323762675813e-05,32,2,static,16,512,4.541695433509188e-05,"{'val_rmse_mean': 0.9505022764205933, 'val_mae_mean': 0.7550320625305176, 'val_r2_mean': -23.633615493774414, 'val_rmse_target_0': 0.9505022764205933, 'val_mae_target_0': 0.7550320625305176, 'val_r2_target_0': -23.633615493774414}",COMPLETE
21,0.3842506664446706,2026-02-05 03:54:35.176869,2026-02-05 03:55:29.463855,0 days 00:00:54.286986,16,False,0.263427454363649,0.2763283142035144,0.32894900846504094,0.00036190648151083126,8,2,static,16,512,0.0011028668011870974,"{'val_rmse_mean': 0.9255531430244446, 'val_mae_mean': 0.7367755770683289, 'val_r2_mean': -0.7021875381469727, 'val_rmse_target_0': 0.9255531430244446, 'val_mae_target_0': 0.7367755770683289, 'val_r2_target_0': -0.7021875381469727}",COMPLETE
22,0.33878664907361206,2026-02-05 03:55:29.737240,2026-02-05 03:56:24.131892,0 days 00:00:54.394652,16,False,0.2549077155479198,0.28210636616008977,0.3711249204173202,0.0003863355928802565,8,2,static,16,512,0.0022897777296295757,"{'val_rmse_mean': 0.877722442150116, 'val_mae_mean': 0.7060925960540771, 'val_r2_mean': -0.5788317918777466, 'val_rmse_target_0': 0.877722442150116, 'val_mae_target_0': 0.7060925960540771, 'val_r2_target_0': -0.5788317918777466}",COMPLETE
