number,value,datetime_start,datetime_complete,duration,params_aggregation,params_alpha,params_l1_ratio,params_lr,user_attrs_val_metrics,state
10,0.40313865216793837,2026-01-31 10:33:45.234738,2026-01-31 10:34:21.795689,0 days 00:00:36.560951,mean,0.0008524504522127943,0.8974999532977717,0.00010438626667084932,"{'val_rmse_mean': 0.9969932436943054, 'val_mae_mean': 0.7707420587539673, 'val_r2_mean': -14.481639862060547, 'val_rmse_target_0': 0.9142552614212036, 'val_mae_target_0': 0.6126880645751953, 'val_r2_target_0': -11.348434448242188, 'val_rmse_target_1': 0.9388222098350525, 'val_mae_target_1': 0.7575076222419739, 'val_r2_target_1': -15.007469177246094, 'val_rmse_target_2': 1.063773512840271, 'val_mae_target_2': 0.9438461661338806, 'val_r2_target_2': -13.009891510009766, 'val_rmse_target_3': 1.0711219310760498, 'val_mae_target_3': 0.7689265012741089, 'val_r2_target_3': -18.560762405395508}",COMPLETE
11,0.41038884822693134,2026-01-31 10:34:21.936739,2026-01-31 10:34:59.544564,0 days 00:00:37.607825,mean,0.08439537392889147,0.5688601831512273,0.00021518259072831627,"{'val_rmse_mean': 1.00969398021698, 'val_mae_mean': 0.7773095369338989, 'val_r2_mean': -12.537629127502441, 'val_rmse_target_0': 0.9287775754928589, 'val_mae_target_0': 0.6780772805213928, 'val_r2_target_0': -5.218878746032715, 'val_rmse_target_1': 0.98923259973526, 'val_mae_target_1': 0.734138011932373, 'val_r2_target_1': -15.84402084350586, 'val_rmse_target_2': 1.063092589378357, 'val_mae_target_2': 0.9277259111404419, 'val_r2_target_2': -12.45654582977295, 'val_rmse_target_3': 1.0576728582382202, 'val_mae_target_3': 0.7692971229553223, 'val_r2_target_3': -16.631065368652344}",COMPLETE
12,0.3896802274717225,2026-01-31 10:34:59.685624,2026-01-31 10:35:36.677028,0 days 00:00:36.991404,mean,0.04138648946354258,0.48009268609044575,0.0004893979205099695,"{'val_rmse_mean': 0.9616967439651489, 'val_mae_mean': 0.7441515326499939, 'val_r2_mean': -5.758864402770996, 'val_rmse_target_0': 0.8970373868942261, 'val_mae_target_0': 0.6309982538223267, 'val_r2_target_0': -3.4232864379882812, 'val_rmse_target_1': 0.8459607362747192, 'val_mae_target_1': 0.6427773237228394, 'val_r2_target_1': -3.519418716430664, 'val_rmse_target_2': 0.9875355958938599, 'val_mae_target_2': 0.876867949962616, 'val_r2_target_2': -6.108855247497559, 'val_rmse_target_3': 1.11625337600708, 'val_mae_target_3': 0.8259625434875488, 'val_r2_target_3': -9.98389720916748}",COMPLETE
13,0.4348475615735407,2026-01-31 10:35:36.819747,2026-01-31 10:36:13.580108,0 days 00:00:36.760361,mean,0.0012008256464501011,0.49188416211196495,0.001607697374885408,"{'val_rmse_mean': 1.0302931070327759, 'val_mae_mean': 0.8022298812866211, 'val_r2_mean': -1.9145861864089966, 'val_rmse_target_0': 1.0351918935775757, 'val_mae_target_0': 0.790178656578064, 'val_r2_target_0': -1.5404715538024902, 'val_rmse_target_1': 0.9248780012130737, 'val_mae_target_1': 0.6494624018669128, 'val_r2_target_1': -1.6682813167572021, 'val_rmse_target_2': 1.0472599267959595, 'val_mae_target_2': 0.8544723391532898, 'val_r2_target_2': -1.2263286113739014, 'val_rmse_target_3': 1.1138426065444946, 'val_mae_target_3': 0.9148060083389282, 'val_r2_target_3': -3.223264217376709}",COMPLETE
14,0.4078748968464357,2026-01-31 10:36:13.721927,2026-01-31 10:36:51.850948,0 days 00:00:38.129021,mean,0.22673270914665888,0.7160954747638303,0.00012132557895250712,"{'val_rmse_mean': 1.0136404037475586, 'val_mae_mean': 0.7637710571289062, 'val_r2_mean': -20.858409881591797, 'val_rmse_target_0': 1.012097716331482, 'val_mae_target_0': 0.6810902953147888, 'val_r2_target_0': -15.614585876464844, 'val_rmse_target_1': 1.019680380821228, 'val_mae_target_1': 0.7541798949241638, 'val_r2_target_1': -19.874013900756836, 'val_rmse_target_2': 0.9923485517501831, 'val_mae_target_2': 0.8761330842971802, 'val_r2_target_2': -22.7288818359375, 'val_rmse_target_3': 1.0304350852966309, 'val_mae_target_3': 0.743681013584137, 'val_r2_target_3': -25.216157913208008}",COMPLETE
15,0.39657606018914116,2026-01-31 10:36:51.992561,2026-01-31 10:37:30.405681,0 days 00:00:38.413120,mean,0.016290586680055553,0.10618500268872164,0.00045710788826143153,"{'val_rmse_mean': 0.9698426127433777, 'val_mae_mean': 0.7565280199050903, 'val_r2_mean': -6.033305644989014, 'val_rmse_target_0': 0.9087451696395874, 'val_mae_target_0': 0.6281532645225525, 'val_r2_target_0': -3.115525722503662, 'val_rmse_target_1': 0.899793267250061, 'val_mae_target_1': 0.7212255001068115, 'val_r2_target_1': -4.800175189971924, 'val_rmse_target_2': 0.9949984550476074, 'val_mae_target_2': 0.8975945115089417, 'val_r2_target_2': -5.234912872314453, 'val_rmse_target_3': 1.0758335590362549, 'val_mae_target_3': 0.7791386842727661, 'val_r2_target_3': -10.982608795166016}",COMPLETE
16,0.4061315430811158,2026-01-31 10:37:30.548266,2026-01-31 10:38:07.006941,0 days 00:00:36.458675,mean,0.0005634991418763195,0.4246379995248718,0.00019554337331015694,"{'val_rmse_mean': 1.0050313472747803, 'val_mae_mean': 0.7607553601264954, 'val_r2_mean': -12.069133758544922, 'val_rmse_target_0': 0.9292093515396118, 'val_mae_target_0': 0.6184834241867065, 'val_r2_target_0': -7.99449348449707, 'val_rmse_target_1': 0.9591462016105652, 'val_mae_target_1': 0.7530934810638428, 'val_r2_target_1': -8.138287544250488, 'val_rmse_target_2': 1.0611275434494019, 'val_mae_target_2': 0.9408795237541199, 'val_r2_target_2': -13.027170181274414, 'val_rmse_target_3': 1.0706424713134766, 'val_mae_target_3': 0.7305651307106018, 'val_r2_target_3': -19.1165828704834}",COMPLETE
17,0.47498701954329453,2026-01-31 10:38:07.149427,2026-01-31 10:38:45.573836,0 days 00:00:38.424409,mean,0.004278875828502419,0.28167602843369155,0.002216824824874253,"{'val_rmse_mean': 1.0863858461380005, 'val_mae_mean': 0.8518881797790527, 'val_r2_mean': -1.608257532119751, 'val_rmse_target_0': 1.053580641746521, 'val_mae_target_0': 0.826220691204071, 'val_r2_target_0': -1.384186029434204, 'val_rmse_target_1': 0.9509022831916809, 'val_mae_target_1': 0.6665969491004944, 'val_r2_target_1': -1.3047451972961426, 'val_rmse_target_2': 1.1294888257980347, 'val_mae_target_2': 0.9138767719268799, 'val_r2_target_2': -1.22344970703125, 'val_rmse_target_3': 1.2115718126296997, 'val_mae_target_3': 1.000858187675476, 'val_r2_target_3': -2.520648717880249}",COMPLETE
18,0.3847007114026282,2026-01-31 10:38:45.716153,2026-01-31 10:39:23.885807,0 days 00:00:38.169654,mean,0.3026346029983156,0.6016509598112535,0.0003330620646493216,"{'val_rmse_mean': 0.975061297416687, 'val_mae_mean': 0.7323971390724182, 'val_r2_mean': -9.355958938598633, 'val_rmse_target_0': 0.9173892140388489, 'val_mae_target_0': 0.5921933054924011, 'val_r2_target_0': -6.300477981567383, 'val_rmse_target_1': 0.9349132180213928, 'val_mae_target_1': 0.6915374994277954, 'val_r2_target_1': -5.71625280380249, 'val_rmse_target_2': 1.0336401462554932, 'val_mae_target_2': 0.9031920433044434, 'val_r2_target_2': -7.317898750305176, 'val_rmse_target_3': 1.0143028497695923, 'val_mae_target_3': 0.742665708065033, 'val_r2_target_3': -18.089204788208008}",COMPLETE
19,0.40178850210375255,2026-01-31 10:39:24.028141,2026-01-31 10:40:00.820055,0 days 00:00:36.791914,mean,0.0003649316514234226,0.775001723802323,0.0006529402648886047,"{'val_rmse_mean': 0.9759953022003174, 'val_mae_mean': 0.7667346596717834, 'val_r2_mean': -5.072127819061279, 'val_rmse_target_0': 0.9001238346099854, 'val_mae_target_0': 0.6910077333450317, 'val_r2_target_0': -1.8489477634429932, 'val_rmse_target_1': 0.8947480916976929, 'val_mae_target_1': 0.6688171625137329, 'val_r2_target_1': -4.229940891265869, 'val_rmse_target_2': 0.9744457602500916, 'val_mae_target_2': 0.8559228181838989, 'val_r2_target_2': -3.7575297355651855, 'val_rmse_target_3': 1.134663462638855, 'val_mae_target_3': 0.8511908650398254, 'val_r2_target_3': -10.452093124389648}",COMPLETE
