number,value,datetime_start,datetime_complete,duration,params_aggregation,params_dropout,params_hidden_dim,params_lr,params_weight_decay,user_attrs_val_metrics,state
0,0.47019151494893136,2026-02-04 04:22:19.729916,2026-02-04 04:22:55.195317,0 days 00:00:35.465401,attention,0.39464678799535835,64,0.0003884953941720348,0.009034510224376555,"{'val_rmse_mean': 1.034484624862671, 'val_mae_mean': 0.8481221199035645, 'val_r2_mean': -9.904816627502441, 'val_rmse_target_0': 1.034484624862671, 'val_mae_target_0': 0.8481221199035645, 'val_r2_target_0': -9.904816627502441}",COMPLETE
1,0.5114067837367421,2026-02-04 04:22:55.404901,2026-02-04 04:23:28.337521,0 days 00:00:32.932620,mean,0.06439974760254766,32,0.0007160308710247209,0.00034407158290540677,"{'val_rmse_mean': 1.0833414793014526, 'val_mae_mean': 0.8797262907028198, 'val_r2_mean': -7.3484392166137695, 'val_rmse_target_0': 1.0833414793014526, 'val_mae_target_0': 0.8797262907028198, 'val_r2_target_0': -7.3484392166137695}",COMPLETE
2,0.43121866240700774,2026-02-04 04:23:28.545328,2026-02-04 04:24:02.999150,0 days 00:00:34.453822,attention,0.33104144477116054,128,0.003105685276296648,0.0007733227914980961,"{'val_rmse_mean': 0.9776819944381714, 'val_mae_mean': 0.8155075907707214, 'val_r2_mean': -7.016951560974121, 'val_rmse_target_0': 0.9776819944381714, 'val_mae_target_0': 0.8155075907707214, 'val_r2_target_0': -7.016951560974121}",COMPLETE
3,0.4727518745650606,2026-02-04 04:24:03.207943,2026-02-04 04:24:35.085141,0 days 00:00:31.877198,mean,0.03919878597046589,64,0.0007774859861607791,0.0003963106233429924,"{'val_rmse_mean': 1.0365612506866455, 'val_mae_mean': 0.8333478569984436, 'val_r2_mean': -5.008213520050049, 'val_rmse_target_0': 1.0365612506866455, 'val_mae_target_0': 0.8333478569984436, 'val_r2_target_0': -5.008213520050049}",COMPLETE
4,0.5354670093705257,2026-02-04 04:24:35.292701,2026-02-04 04:25:10.539525,0 days 00:00:35.246824,attention,0.38903385115225586,32,0.0009773373594465298,0.007771716734173762,"{'val_rmse_mean': 1.1176742315292358, 'val_mae_mean': 0.9313181638717651, 'val_r2_mean': -3.7571287155151367, 'val_rmse_target_0': 1.1176742315292358, 'val_mae_target_0': 0.9313181638717651, 'val_r2_target_0': -3.7571287155151367}",COMPLETE
5,0.4546489307820728,2026-02-04 04:25:10.748992,2026-02-04 04:25:44.790210,0 days 00:00:34.041218,mean,0.35944015071981555,32,0.0003835270984701912,0.00018568350233850255,"{'val_rmse_mean': 1.002485990524292, 'val_mae_mean': 0.8342108130455017, 'val_r2_mean': -24.268125534057617, 'val_rmse_target_0': 1.002485990524292, 'val_mae_target_0': 0.8342108130455017, 'val_r2_target_0': -24.268125534057617}",COMPLETE
6,0.4741378083212853,2026-02-04 04:25:44.997924,2026-02-04 04:26:21.670792,0 days 00:00:36.672868,attention,0.07609061768535828,128,0.0011036583641106958,4.3450806729855836e-05,"{'val_rmse_mean': 1.0459085702896118, 'val_mae_mean': 0.8394953608512878, 'val_r2_mean': -5.630158424377441, 'val_rmse_target_0': 1.0459085702896118, 'val_mae_target_0': 0.8394953608512878, 'val_r2_target_0': -5.630158424377441}",COMPLETE
7,0.4852576299583436,2026-02-04 04:26:21.879359,2026-02-04 04:26:55.272914,0 days 00:00:33.393555,mean,0.12723726671035518,128,0.000822065199260614,0.006638120407715464,"{'val_rmse_mean': 1.0405267477035522, 'val_mae_mean': 0.8626546263694763, 'val_r2_mean': -5.175416469573975, 'val_rmse_target_0': 1.0405267477035522, 'val_mae_target_0': 0.8626546263694763, 'val_r2_target_0': -5.175416469573975}",COMPLETE
8,0.4980520283107008,2026-02-04 04:26:55.481392,2026-02-04 04:27:28.896216,0 days 00:00:33.414824,mean,0.37970536181799996,32,0.0009990099527018954,0.00011150848500006756,"{'val_rmse_mean': 1.0677988529205322, 'val_mae_mean': 0.8773995637893677, 'val_r2_mean': -8.425461769104004, 'val_rmse_target_0': 1.0677988529205322, 'val_mae_target_0': 0.8773995637893677, 'val_r2_target_0': -8.425461769104004}",COMPLETE
9,0.47216284761412275,2026-02-04 04:27:29.105663,2026-02-04 04:28:02.460329,0 days 00:00:33.354666,attention,0.20005534385170376,64,0.0002259130362421426,0.00925629792112588,"{'val_rmse_mean': 1.0485645532608032, 'val_mae_mean': 0.8546948432922363, 'val_r2_mean': -31.16992950439453, 'val_rmse_target_0': 1.0485645532608032, 'val_mae_target_0': 0.8546948432922363, 'val_r2_target_0': -31.16992950439453}",COMPLETE
10,0.4957214731898771,2026-02-04 04:28:02.669684,2026-02-04 04:28:36.228669,0 days 00:00:33.558985,attention,0.27775965856165385,128,0.00474199608724082,0.0013278306159032775,"{'val_rmse_mean': 1.079404354095459, 'val_mae_mean': 0.885712206363678, 'val_r2_mean': -6.509834289550781, 'val_rmse_target_0': 1.079404354095459, 'val_mae_target_0': 0.885712206363678, 'val_r2_target_0': -6.509834289550781}",COMPLETE
11,0.5506125684931047,2026-02-04 04:28:36.437144,2026-02-04 04:29:10.090071,0 days 00:00:33.652927,mean,0.29122958648221575,32,0.0028316300920490215,1.071519563432726e-05,"{'val_rmse_mean': 1.1278010606765747, 'val_mae_mean': 0.9451686143875122, 'val_r2_mean': -5.311016082763672, 'val_rmse_target_0': 1.1278010606765747, 'val_mae_target_0': 0.9451686143875122, 'val_r2_target_0': -5.311016082763672}",COMPLETE
