,mean_weight
0,0.03462605
1,0.019818105
2,0.07444095
3,0.018246658
4,0.018635107
5,0.01949818
6,0.021142745
7,0.018473689
8,0.029927129
9,0.017570546
10,0.12137268
11,0.028246444
12,0.1159841
13,0.12154131
14,0.04505003
15,0.06453355
16,0.04262029
17,0.05726841
18,0.049487416
19,0.08151653
