number,value,datetime_start,datetime_complete,duration,params_aggregation,params_dropout,params_hidden_dim,params_lr,params_weight_decay,user_attrs_val_metrics,state
0,0.4200281444333356,2026-02-04 19:43:10.806540,2026-02-04 19:43:48.645785,0 days 00:00:37.839245,attention,0.28619135814489355,64,0.00027811113008378196,0.0019244859886765504,"{'val_rmse_mean': 1.0115680694580078, 'val_mae_mean': 0.7673937678337097, 'val_r2_mean': -17.605907440185547, 'val_rmse_target_0': 1.0115680694580078, 'val_mae_target_0': 0.7673937678337097, 'val_r2_target_0': -17.605907440185547}",COMPLETE
1,0.4432658243803652,2026-02-04 19:43:48.899120,2026-02-04 19:44:27.939191,0 days 00:00:39.040071,attention,0.20873597509520436,128,0.0020950790704354055,0.0016907792665034806,"{'val_rmse_mean': 1.003382921218872, 'val_mae_mean': 0.848675549030304, 'val_r2_mean': -3.0309786796569824, 'val_rmse_target_0': 1.003382921218872, 'val_mae_target_0': 0.848675549030304, 'val_r2_target_0': -3.0309786796569824}",COMPLETE
2,0.395253591445335,2026-02-04 19:44:28.192699,2026-02-04 19:45:04.341693,0 days 00:00:36.148994,mean,0.2899662810112764,32,0.00010550801115082562,0.00018539363371325717,"{'val_rmse_mean': 1.0048397779464722, 'val_mae_mean': 0.6940560936927795, 'val_r2_mean': -63.54643249511719, 'val_rmse_target_0': 1.0048397779464722, 'val_mae_target_0': 0.6940560936927795, 'val_r2_target_0': -63.54643249511719}",COMPLETE
3,0.45451487756023806,2026-02-04 19:45:04.593027,2026-02-04 19:45:40.574546,0 days 00:00:35.981519,mean,0.05931964249249977,128,0.0010866799002507864,0.00011295123595727437,"{'val_rmse_mean': 1.0255717039108276, 'val_mae_mean': 0.8756089806556702, 'val_r2_mean': -3.7254390716552734, 'val_rmse_target_0': 1.0255717039108276, 'val_mae_target_0': 0.8756089806556702, 'val_r2_target_0': -3.7254390716552734}",COMPLETE
4,0.41102026976834705,2026-02-04 19:45:40.827128,2026-02-04 19:46:17.808892,0 days 00:00:36.981764,attention,0.2831907282239375,128,0.00033066155609735387,1.2409084740110336e-05,"{'val_rmse_mean': 0.9923970103263855, 'val_mae_mean': 0.7616437077522278, 'val_r2_mean': -6.9474945068359375, 'val_rmse_target_0': 0.9923970103263855, 'val_mae_target_0': 0.7616437077522278, 'val_r2_target_0': -6.9474945068359375}",COMPLETE
5,0.3785880178822508,2026-02-04 19:46:18.061749,2026-02-04 19:46:57.008071,0 days 00:00:38.946322,attention,0.3976574229290541,128,0.00019952651536302407,0.0002788505942531586,"{'val_rmse_mean': 0.9690228700637817, 'val_mae_mean': 0.6949633955955505, 'val_r2_mean': -22.524497985839844, 'val_rmse_target_0': 0.9690228700637817, 'val_mae_target_0': 0.6949633955955505, 'val_r2_target_0': -22.524497985839844}",COMPLETE
6,0.3963242599658972,2026-02-04 19:46:57.259994,2026-02-04 19:47:33.389676,0 days 00:00:36.129682,mean,0.1674127979480086,64,0.00011486509225354707,1.6441121775046055e-05,"{'val_rmse_mean': 1.0002506971359253, 'val_mae_mean': 0.6991573572158813, 'val_r2_mean': -58.90243148803711, 'val_rmse_target_0': 1.0002506971359253, 'val_mae_target_0': 0.6991573572158813, 'val_r2_target_0': -58.90243148803711}",COMPLETE
7,0.46672823403410063,2026-02-04 19:47:33.640962,2026-02-04 19:48:11.122105,0 days 00:00:37.481143,attention,0.18614321657258084,64,0.0022465782242516172,0.0008268816271784556,"{'val_rmse_mean': 1.023909091949463, 'val_mae_mean': 0.8714084029197693, 'val_r2_mean': -3.0362253189086914, 'val_rmse_target_0': 1.023909091949463, 'val_mae_target_0': 0.8714084029197693, 'val_r2_target_0': -3.0362253189086914}",COMPLETE
8,0.3880602821914686,2026-02-04 19:48:11.374436,2026-02-04 19:48:47.228781,0 days 00:00:35.854345,attention,0.12056644599003913,32,0.000572151043832822,0.00020440916298111283,"{'val_rmse_mean': 0.9604413509368896, 'val_mae_mean': 0.759428083896637, 'val_r2_mean': -10.814166069030762, 'val_rmse_target_0': 0.9604413509368896, 'val_mae_target_0': 0.759428083896637, 'val_r2_target_0': -10.814166069030762}",COMPLETE
9,0.3948129345317958,2026-02-04 19:48:47.481154,2026-02-04 19:49:22.831189,0 days 00:00:35.350035,mean,0.3200554457384397,32,0.0006493463491054367,0.0003793810123401202,"{'val_rmse_mean': 0.970075786113739, 'val_mae_mean': 0.7403006553649902, 'val_r2_mean': -13.252623558044434, 'val_rmse_target_0': 0.970075786113739, 'val_mae_target_0': 0.7403006553649902, 'val_r2_target_0': -13.252623558044434}",COMPLETE
