train_loss,val_loss,epoch
0.38646920522054035,0.8473818302154541,1
0.3733203328318066,0.8171707987785339,2
0.3420434511370129,0.7877291440963745,3
0.3273037506474389,0.7566760182380676,4
0.3077114323774974,0.7220087647438049,5
0.2984713498089049,0.6921064853668213,6
0.2813607073492474,0.6641165018081665,7
0.26965817477968,0.6399321556091309,8
0.2683737542894151,0.6160529851913452,9
0.2529272321197722,0.5941405296325684,10
0.2460729463232888,0.5713434219360352,11
0.24024175107479095,0.5429933667182922,12
0.2185350259145101,0.5163288712501526,13
0.2241293125682407,0.5011478662490845,14
0.2126599219110277,0.48599374294281006,15
0.2059017452928755,0.47073251008987427,16
0.2019832564724816,0.45973026752471924,17
0.18857217828432718,0.4520381689071655,18
0.18617963790893555,0.43906670808792114,19
0.1831014702717463,0.4273781180381775,20
0.17848560379611123,0.41953641176223755,21
0.17237364914682177,0.41266459226608276,22
0.1775342838631736,0.4072479009628296,23
0.16537122593985665,0.39703044295310974,24
0.17110346092118156,0.39316537976264954,25
0.16210720439751944,0.3880293369293213,26
0.1568173724744055,0.3842880427837372,27
0.16193397757079867,0.3817518949508667,28
0.15406029091940987,0.3796347677707672,29
0.1515906337234709,0.375569224357605,30
0.15021619531843397,0.37171560525894165,31
0.14495924529102114,0.3692084848880768,32
0.15283214300870895,0.3677549362182617,33
0.1554392609331343,0.3650454878807068,34
0.145503924952613,0.3643167018890381,35
0.14493302173084682,0.3626329302787781,36
0.14349459773964351,0.3609936833381653,37
0.13964408139387766,0.360193133354187,38
0.13962395158078936,0.35938483476638794,39
0.14778000778622097,0.3585563898086548,40
0.14590067747566435,0.35843437910079956,41
0.1435502055618498,0.3572922945022583,42
0.1353048433860143,0.356534868478775,43
0.13501034925381342,0.3561081290245056,44
0.139178400238355,0.3558325171470642,45
0.14337083366182116,0.3555571436882019,46
0.13657069702943167,0.35543087124824524,47
0.13668452203273773,0.35536229610443115,48
0.1349939074781206,0.35532405972480774,49
0.13589933762947717,0.35531267523765564,50
