number,value,datetime_start,datetime_complete,duration,params_alpha,params_fit_intercept,params_l1_ratio,params_n_path_features,params_selection,user_attrs_val_metrics,state
10,1.186988685131073,2026-02-23 20:10:19.268220,2026-02-23 20:11:00.511015,0 days 00:00:41.242795,76.02326215933718,True,0.2008936320653084,50,random,"{'val_rmse_mean': 1.0891036987304688, 'val_mae_mean': 0.8595873117446899, 'val_r2_mean': -142963069943808.0, 'val_rmse_target_0': 1.0903788805007935, 'val_mae_target_0': 0.8452845215797424, 'val_r2_target_0': -216310642376704.0, 'val_rmse_target_1': 1.087052583694458, 'val_mae_target_1': 0.8262152671813965, 'val_r2_target_1': -79838073323520.0, 'val_rmse_target_2': 1.0774803161621094, 'val_mae_target_2': 0.8688509464263916, 'val_r2_target_2': -185728596180992.0, 'val_rmse_target_3': 1.0713231563568115, 'val_mae_target_3': 0.8864813446998596, 'val_r2_target_3': -78818941337600.0, 'val_rmse_target_4': 1.0731843709945679, 'val_mae_target_4': 0.8704732656478882, 'val_r2_target_4': -81458366513152.0, 'val_rmse_target_5': 1.0801255702972412, 'val_mae_target_5': 0.893266499042511, 'val_r2_target_5': -76761014468608.0, 'val_rmse_target_6': 1.1636892557144165, 'val_mae_target_6': 0.8022686839103699, 'val_r2_target_6': -33396535328768.0, 'val_rmse_target_7': 1.069595456123352, 'val_mae_target_7': 0.883858323097229, 'val_r2_target_7': -391392450838528.0}",COMPLETE
11,1.1262134492397309,2026-02-23 20:11:00.743244,2026-02-23 20:11:43.976373,0 days 00:00:43.233129,0.09698385465913116,False,0.31706165133983755,30,random,"{'val_rmse_mean': 1.053335428237915, 'val_mae_mean': 0.8434751033782959, 'val_r2_mean': -1.8885551691055298, 'val_rmse_target_0': 0.8904747366905212, 'val_mae_target_0': 0.7225315570831299, 'val_r2_target_0': -2.654387950897217, 'val_rmse_target_1': 1.3257763385772705, 'val_mae_target_1': 1.0748757123947144, 'val_r2_target_1': -1.6032636165618896, 'val_rmse_target_2': 1.0337082147598267, 'val_mae_target_2': 0.884270191192627, 'val_r2_target_2': -1.243360996246338, 'val_rmse_target_3': 0.9553771018981934, 'val_mae_target_3': 0.7376835346221924, 'val_r2_target_3': -1.5272068977355957, 'val_rmse_target_4': 1.0925692319869995, 'val_mae_target_4': 0.8718282580375671, 'val_r2_target_4': -1.7040092945098877, 'val_rmse_target_5': 1.1384172439575195, 'val_mae_target_5': 0.9256455898284912, 'val_r2_target_5': -3.2207627296447754, 'val_rmse_target_6': 1.0556515455245972, 'val_mae_target_6': 0.8113449215888977, 'val_r2_target_6': -0.7156182527542114, 'val_rmse_target_7': 0.934708297252655, 'val_mae_target_7': 0.7196211218833923, 'val_r2_target_7': -2.439833402633667}",COMPLETE
12,1.2296755331754685,2026-02-23 20:11:44.206474,2026-02-23 20:12:26.890882,0 days 00:00:42.684408,0.055751217690019776,False,0.31661562844030927,25,random,"{'val_rmse_mean': 1.0952509641647339, 'val_mae_mean': 0.8562073707580566, 'val_r2_mean': -2.1285533905029297, 'val_rmse_target_0': 1.0010179281234741, 'val_mae_target_0': 0.7995862364768982, 'val_r2_target_0': -2.5819242000579834, 'val_rmse_target_1': 1.399612307548523, 'val_mae_target_1': 1.1356898546218872, 'val_r2_target_1': -1.6057395935058594, 'val_rmse_target_2': 0.9983857870101929, 'val_mae_target_2': 0.8114253878593445, 'val_r2_target_2': -0.9307132959365845, 'val_rmse_target_3': 0.9121631383895874, 'val_mae_target_3': 0.7522628903388977, 'val_r2_target_3': -1.9361293315887451, 'val_rmse_target_4': 1.0030109882354736, 'val_mae_target_4': 0.7788240909576416, 'val_r2_target_4': -2.3835325241088867, 'val_rmse_target_5': 1.188382625579834, 'val_mae_target_5': 0.9653677940368652, 'val_r2_target_5': -2.56614089012146, 'val_rmse_target_6': 1.325714111328125, 'val_mae_target_6': 0.8720640540122986, 'val_r2_target_6': -1.6769077777862549, 'val_rmse_target_7': 0.9337208867073059, 'val_mae_target_7': 0.7344387769699097, 'val_r2_target_7': -3.3473410606384277}",COMPLETE
13,1.1670575791597366,2026-02-23 20:12:27.119817,2026-02-23 20:13:09.408785,0 days 00:00:42.288968,0.09411289751691022,True,0.2880992105590709,50,random,"{'val_rmse_mean': 1.0751638412475586, 'val_mae_mean': 0.8652708530426025, 'val_r2_mean': -1.5181859731674194, 'val_rmse_target_0': 0.918048620223999, 'val_mae_target_0': 0.758054792881012, 'val_r2_target_0': -1.4975810050964355, 'val_rmse_target_1': 1.1808955669403076, 'val_mae_target_1': 0.9954032897949219, 'val_r2_target_1': -0.8539022207260132, 'val_rmse_target_2': 1.0497230291366577, 'val_mae_target_2': 0.8740283250808716, 'val_r2_target_2': -0.7382769584655762, 'val_rmse_target_3': 1.0401577949523926, 'val_mae_target_3': 0.7980930209159851, 'val_r2_target_3': -1.2801575660705566, 'val_rmse_target_4': 1.2262707948684692, 'val_mae_target_4': 1.005277156829834, 'val_r2_target_4': -1.1768207550048828, 'val_rmse_target_5': 1.1930752992630005, 'val_mae_target_5': 0.9595649838447571, 'val_r2_target_5': -3.823009490966797, 'val_rmse_target_6': 1.026679277420044, 'val_mae_target_6': 0.738319993019104, 'val_r2_target_6': -1.437483549118042, 'val_rmse_target_7': 0.9664610028266907, 'val_mae_target_7': 0.7934257388114929, 'val_r2_target_7': -1.3382561206817627}",COMPLETE
14,1.0307281082868576,2026-02-23 20:13:09.640696,2026-02-23 20:13:54.538979,0 days 00:00:44.898283,0.014207452436271325,False,0.038145518149209745,30,random,"{'val_rmse_mean': 1.0096180438995361, 'val_mae_mean': 0.8015490174293518, 'val_r2_mean': -1.952754020690918, 'val_rmse_target_0': 0.910411536693573, 'val_mae_target_0': 0.7542948126792908, 'val_r2_target_0': -1.7480957508087158, 'val_rmse_target_1': 1.183393955230713, 'val_mae_target_1': 0.9954808950424194, 'val_r2_target_1': -1.3477063179016113, 'val_rmse_target_2': 0.947432279586792, 'val_mae_target_2': 0.8096281290054321, 'val_r2_target_2': -0.8465965986251831, 'val_rmse_target_3': 0.9768489599227905, 'val_mae_target_3': 0.780823290348053, 'val_r2_target_3': -1.5991792678833008, 'val_rmse_target_4': 1.0404016971588135, 'val_mae_target_4': 0.8000583052635193, 'val_r2_target_4': -1.5532135963439941, 'val_rmse_target_5': 1.1708225011825562, 'val_mae_target_5': 0.9027354717254639, 'val_r2_target_5': -5.3305864334106445, 'val_rmse_target_6': 0.9715549945831299, 'val_mae_target_6': 0.6668086051940918, 'val_r2_target_6': -0.9685478210449219, 'val_rmse_target_7': 0.8760779500007629, 'val_mae_target_7': 0.7025625705718994, 'val_r2_target_7': -2.2281062602996826}",COMPLETE
15,1.039634072780609,2026-02-23 20:13:54.768377,2026-02-23 20:14:46.058462,0 days 00:00:51.290085,0.008378492740201223,True,0.009396706039802243,60,random,"{'val_rmse_mean': 1.0167875289916992, 'val_mae_mean': 0.805345356464386, 'val_r2_mean': -1.6543896198272705, 'val_rmse_target_0': 0.9142751693725586, 'val_mae_target_0': 0.7512236833572388, 'val_r2_target_0': -0.8133591413497925, 'val_rmse_target_1': 1.051387071609497, 'val_mae_target_1': 0.8514625430107117, 'val_r2_target_1': -1.087949275970459, 'val_rmse_target_2': 1.0181505680084229, 'val_mae_target_2': 0.7692049145698547, 'val_r2_target_2': -0.7191276550292969, 'val_rmse_target_3': 1.0369311571121216, 'val_mae_target_3': 0.8565798997879028, 'val_r2_target_3': -1.2667889595031738, 'val_rmse_target_4': 1.0232596397399902, 'val_mae_target_4': 0.8216917514801025, 'val_r2_target_4': -0.836445689201355, 'val_rmse_target_5': 1.169897437095642, 'val_mae_target_5': 0.9245626330375671, 'val_r2_target_5': -5.070768356323242, 'val_rmse_target_6': 1.0061161518096924, 'val_mae_target_6': 0.703402578830719, 'val_r2_target_6': -1.9876618385314941, 'val_rmse_target_7': 0.9142820835113525, 'val_mae_target_7': 0.7646347284317017, 'val_r2_target_7': -1.453016757965088}",COMPLETE
16,1.033169801235199,2026-02-23 20:14:46.288311,2026-02-23 20:15:42.932340,0 days 00:00:56.644029,0.010151389033380436,False,0.00500962440228879,70,random,"{'val_rmse_mean': 1.01252281665802, 'val_mae_mean': 0.7975069284439087, 'val_r2_mean': -1.6860299110412598, 'val_rmse_target_0': 0.8922535181045532, 'val_mae_target_0': 0.7207400798797607, 'val_r2_target_0': -0.6277921199798584, 'val_rmse_target_1': 1.056697964668274, 'val_mae_target_1': 0.8353686332702637, 'val_r2_target_1': -1.129530906677246, 'val_rmse_target_2': 1.0368893146514893, 'val_mae_target_2': 0.8026100397109985, 'val_r2_target_2': -0.8724137544631958, 'val_rmse_target_3': 1.0327380895614624, 'val_mae_target_3': 0.840240478515625, 'val_r2_target_3': -1.4109671115875244, 'val_rmse_target_4': 1.0177372694015503, 'val_mae_target_4': 0.8223006725311279, 'val_r2_target_4': -1.0086920261383057, 'val_rmse_target_5': 1.1675100326538086, 'val_mae_target_5': 0.9098354578018188, 'val_r2_target_5': -5.359792232513428, 'val_rmse_target_6': 1.031815767288208, 'val_mae_target_6': 0.7254363894462585, 'val_r2_target_6': -1.8250048160552979, 'val_rmse_target_7': 0.8645409941673279, 'val_mae_target_7': 0.7235233187675476, 'val_r2_target_7': -1.2540464401245117}",COMPLETE
17,1.1007042193412782,2026-02-23 20:15:43.160125,2026-02-23 20:16:30.962631,0 days 00:00:47.802506,0.015207363597555874,False,0.13188057388731073,70,random,"{'val_rmse_mean': 1.0400242805480957, 'val_mae_mean': 0.8389197587966919, 'val_r2_mean': -1.5876144170761108, 'val_rmse_target_0': 0.8437675833702087, 'val_mae_target_0': 0.6845819354057312, 'val_r2_target_0': -0.8899210691452026, 'val_rmse_target_1': 1.2807576656341553, 'val_mae_target_1': 1.1200227737426758, 'val_r2_target_1': -1.2302217483520508, 'val_rmse_target_2': 0.9818221926689148, 'val_mae_target_2': 0.7960294485092163, 'val_r2_target_2': -0.6687674522399902, 'val_rmse_target_3': 0.9494208097457886, 'val_mae_target_3': 0.7525155544281006, 'val_r2_target_3': -1.5810577869415283, 'val_rmse_target_4': 1.1538138389587402, 'val_mae_target_4': 0.9174704551696777, 'val_r2_target_4': -1.2867248058319092, 'val_rmse_target_5': 1.1756612062454224, 'val_mae_target_5': 0.9590103030204773, 'val_r2_target_5': -4.389491081237793, 'val_rmse_target_6': 1.002765417098999, 'val_mae_target_6': 0.731914222240448, 'val_r2_target_6': -1.3095951080322266, 'val_rmse_target_7': 0.9321860671043396, 'val_mae_target_7': 0.7498133182525635, 'val_r2_target_7': -1.345137119293213}",COMPLETE
18,1.1504294157028199,2026-02-23 20:16:31.191763,2026-02-23 20:17:18.326688,0 days 00:00:47.134925,0.0011229523484618518,False,0.15491963385996682,20,random,"{'val_rmse_mean': 1.0612303018569946, 'val_mae_mean': 0.8300141096115112, 'val_r2_mean': -1.6131901741027832, 'val_rmse_target_0': 1.077580213546753, 'val_mae_target_0': 0.8690353631973267, 'val_r2_target_0': -2.8105781078338623, 'val_rmse_target_1': 1.2424089908599854, 'val_mae_target_1': 0.9831437468528748, 'val_r2_target_1': -1.391266107559204, 'val_rmse_target_2': 0.9157132506370544, 'val_mae_target_2': 0.7668448686599731, 'val_r2_target_2': -1.1334490776062012, 'val_rmse_target_3': 0.9937318563461304, 'val_mae_target_3': 0.8221046328544617, 'val_r2_target_3': -2.353182792663574, 'val_rmse_target_4': 0.9976244568824768, 'val_mae_target_4': 0.7416971325874329, 'val_r2_target_4': -1.6608011722564697, 'val_rmse_target_5': 1.2566931247711182, 'val_mae_target_5': 0.9905307292938232, 'val_r2_target_5': -1.3447108268737793, 'val_rmse_target_6': 1.2103004455566406, 'val_mae_target_6': 0.8290327191352844, 'val_r2_target_6': -1.5846402645111084, 'val_rmse_target_7': 0.7957907319068909, 'val_mae_target_7': 0.637723982334137, 'val_r2_target_7': -0.6268928050994873}",COMPLETE
19,1.0354036837816238,2026-02-23 20:17:18.555012,2026-02-23 20:18:05.248177,0 days 00:00:46.693165,0.018449970045875817,False,0.014951364812629266,40,random,"{'val_rmse_mean': 1.0124292373657227, 'val_mae_mean': 0.7973612546920776, 'val_r2_mean': -1.6211220026016235, 'val_rmse_target_0': 0.9222590327262878, 'val_mae_target_0': 0.749430775642395, 'val_r2_target_0': -1.0623650550842285, 'val_rmse_target_1': 1.1095364093780518, 'val_mae_target_1': 0.9139935374259949, 'val_r2_target_1': -1.1676292419433594, 'val_rmse_target_2': 1.0232526063919067, 'val_mae_target_2': 0.8018359541893005, 'val_r2_target_2': -0.8102531433105469, 'val_rmse_target_3': 0.9809393882751465, 'val_mae_target_3': 0.7929344773292542, 'val_r2_target_3': -1.2940547466278076, 'val_rmse_target_4': 1.0407651662826538, 'val_mae_target_4': 0.8208978176116943, 'val_r2_target_4': -1.1113831996917725, 'val_rmse_target_5': 1.2081713676452637, 'val_mae_target_5': 0.9507527947425842, 'val_r2_target_5': -4.477456092834473, 'val_rmse_target_6': 0.9473560452461243, 'val_mae_target_6': 0.6339786052703857, 'val_r2_target_6': -1.7605607509613037, 'val_rmse_target_7': 0.8671532869338989, 'val_mae_target_7': 0.7150658965110779, 'val_r2_target_7': -1.2852728366851807}",COMPLETE
