number,value,datetime_start,datetime_complete,duration,params_alpha,params_fit_intercept,params_l1_ratio,params_n_path_features,params_selection,user_attrs_val_metrics,state
20,0.9849952751398087,2026-02-23 20:18:05.476635,2026-02-23 20:18:47.322865,0 days 00:00:41.846230,0.29638326361377665,False,0.21508269373148955,65,random,"{'val_rmse_mean': 0.9858434796333313, 'val_mae_mean': 0.7930909991264343, 'val_r2_mean': -1.9772388935089111, 'val_rmse_target_0': 0.8180233836174011, 'val_mae_target_0': 0.6628877520561218, 'val_r2_target_0': -1.0637757778167725, 'val_rmse_target_1': 1.1413769721984863, 'val_mae_target_1': 0.9971095323562622, 'val_r2_target_1': -1.3207340240478516, 'val_rmse_target_2': 0.8834348320960999, 'val_mae_target_2': 0.7164132595062256, 'val_r2_target_2': -0.812667727470398, 'val_rmse_target_3': 0.9088494777679443, 'val_mae_target_3': 0.7311539649963379, 'val_r2_target_3': -2.435067653656006, 'val_rmse_target_4': 1.1042976379394531, 'val_mae_target_4': 0.8920459151268005, 'val_r2_target_4': -2.004599094390869, 'val_rmse_target_5': 1.1223729848861694, 'val_mae_target_5': 0.9020957350730896, 'val_r2_target_5': -4.794990062713623, 'val_rmse_target_6': 0.980831503868103, 'val_mae_target_6': 0.7002618908882141, 'val_r2_target_6': -1.754464864730835, 'val_rmse_target_7': 0.9275610446929932, 'val_mae_target_7': 0.7427600622177124, 'val_r2_target_7': -1.631610631942749}",COMPLETE
21,1.0599137079715728,2026-02-23 20:18:47.550065,2026-02-23 20:19:30.312634,0 days 00:00:42.762569,0.16995844621027223,False,0.10611486357871718,70,random,"{'val_rmse_mean': 1.0223016738891602, 'val_mae_mean': 0.8230278491973877, 'val_r2_mean': -1.748137354850769, 'val_rmse_target_0': 0.8355168700218201, 'val_mae_target_0': 0.6754365563392639, 'val_r2_target_0': -0.8737893104553223, 'val_rmse_target_1': 1.2160439491271973, 'val_mae_target_1': 1.058569312095642, 'val_r2_target_1': -1.3352224826812744, 'val_rmse_target_2': 0.9829041957855225, 'val_mae_target_2': 0.8015815615653992, 'val_r2_target_2': -0.8281100988388062, 'val_rmse_target_3': 0.9547410011291504, 'val_mae_target_3': 0.7666058540344238, 'val_r2_target_3': -1.8249623775482178, 'val_rmse_target_4': 1.1092209815979004, 'val_mae_target_4': 0.8791346549987793, 'val_r2_target_4': -1.4547502994537354, 'val_rmse_target_5': 1.1699156761169434, 'val_mae_target_5': 0.9575491547584534, 'val_r2_target_5': -4.663697719573975, 'val_rmse_target_6': 0.9830491542816162, 'val_mae_target_6': 0.7108180522918701, 'val_r2_target_6': -1.4167633056640625, 'val_rmse_target_7': 0.9270209670066833, 'val_mae_target_7': 0.7345279455184937, 'val_r2_target_7': -1.5878024101257324}",COMPLETE
22,0.960350958108902,2026-02-23 20:19:30.540048,2026-02-23 20:20:12.541155,0 days 00:00:42.001107,0.41118175239390287,False,0.20110075878128217,65,random,"{'val_rmse_mean': 0.9748615026473999, 'val_mae_mean': 0.7814887762069702, 'val_r2_mean': -2.2493691444396973, 'val_rmse_target_0': 0.8219044208526611, 'val_mae_target_0': 0.6703118085861206, 'val_r2_target_0': -1.2064199447631836, 'val_rmse_target_1': 1.0976924896240234, 'val_mae_target_1': 0.9490180015563965, 'val_r2_target_1': -1.399010419845581, 'val_rmse_target_2': 0.8874071836471558, 'val_mae_target_2': 0.7223755121231079, 'val_r2_target_2': -0.9930962324142456, 'val_rmse_target_3': 0.9119367599487305, 'val_mae_target_3': 0.7313995361328125, 'val_r2_target_3': -2.9858579635620117, 'val_rmse_target_4': 1.067042589187622, 'val_mae_target_4': 0.8568711280822754, 'val_r2_target_4': -2.339837074279785, 'val_rmse_target_5': 1.1128077507019043, 'val_mae_target_5': 0.8952925205230713, 'val_r2_target_5': -5.254349231719971, 'val_rmse_target_6': 0.9736998677253723, 'val_mae_target_6': 0.6846694946289062, 'val_r2_target_6': -1.9083771705627441, 'val_rmse_target_7': 0.9264010787010193, 'val_mae_target_7': 0.7419722080230713, 'val_r2_target_7': -1.9080097675323486}",COMPLETE
23,0.9722464311122895,2026-02-23 20:20:12.768877,2026-02-23 20:20:54.363573,0 days 00:00:41.594696,0.3392304527373273,False,0.2230676296194942,65,random,"{'val_rmse_mean': 0.9802790880203247, 'val_mae_mean': 0.787070631980896, 'val_r2_mean': -2.1179542541503906, 'val_rmse_target_0': 0.8229015469551086, 'val_mae_target_0': 0.6684867739677429, 'val_r2_target_0': -1.1488680839538574, 'val_rmse_target_1': 1.1187174320220947, 'val_mae_target_1': 0.9725947380065918, 'val_r2_target_1': -1.3406121730804443, 'val_rmse_target_2': 0.8793736100196838, 'val_mae_target_2': 0.7142781615257263, 'val_r2_target_2': -0.868881106376648, 'val_rmse_target_3': 0.9094291925430298, 'val_mae_target_3': 0.7304189801216125, 'val_r2_target_3': -2.729703903198242, 'val_rmse_target_4': 1.0848833322525024, 'val_mae_target_4': 0.8732777237892151, 'val_r2_target_4': -2.186873435974121, 'val_rmse_target_5': 1.1143964529037476, 'val_mae_target_5': 0.897773027420044, 'val_r2_target_5': -5.0434794425964355, 'val_rmse_target_6': 0.9805278182029724, 'val_mae_target_6': 0.6938784122467041, 'val_r2_target_6': -1.8401556015014648, 'val_rmse_target_7': 0.9320030808448792, 'val_mae_target_7': 0.7458574771881104, 'val_r2_target_7': -1.7850604057312012}",COMPLETE
24,1.1869887107610702,2026-02-23 20:20:54.591119,2026-02-23 20:21:35.680811,0 days 00:00:41.089692,13.785379980543365,False,0.2173905099074586,65,random,"{'val_rmse_mean': 1.0891036987304688, 'val_mae_mean': 0.8595874309539795, 'val_r2_mean': 0.0, 'val_rmse_target_0': 1.0903788805007935, 'val_mae_target_0': 0.8452845811843872, 'val_r2_target_0': 0.0, 'val_rmse_target_1': 1.087052583694458, 'val_mae_target_1': 0.8262152671813965, 'val_r2_target_1': 0.0, 'val_rmse_target_2': 1.0774801969528198, 'val_mae_target_2': 0.8688510060310364, 'val_r2_target_2': 0.0, 'val_rmse_target_3': 1.0713231563568115, 'val_mae_target_3': 0.8864812254905701, 'val_r2_target_3': 0.0, 'val_rmse_target_4': 1.0731843709945679, 'val_mae_target_4': 0.870473325252533, 'val_r2_target_4': 0.0, 'val_rmse_target_5': 1.0801255702972412, 'val_mae_target_5': 0.8932667374610901, 'val_r2_target_5': 0.0, 'val_rmse_target_6': 1.163689136505127, 'val_mae_target_6': 0.8022688031196594, 'val_r2_target_6': 0.0, 'val_rmse_target_7': 1.0695953369140625, 'val_mae_target_7': 0.883858323097229, 'val_r2_target_7': 0.0}",COMPLETE
25,0.9449155455827714,2026-02-23 20:21:35.910640,2026-02-23 20:22:17.205601,0 days 00:00:41.294961,0.3023619027059614,False,0.4234055873144623,55,random,"{'val_rmse_mean': 0.9700566530227661, 'val_mae_mean': 0.7717524766921997, 'val_r2_mean': -2.4795093536376953, 'val_rmse_target_0': 0.897915780544281, 'val_mae_target_0': 0.7430485486984253, 'val_r2_target_0': -1.8036351203918457, 'val_rmse_target_1': 1.0173879861831665, 'val_mae_target_1': 0.8563347458839417, 'val_r2_target_1': -1.3809657096862793, 'val_rmse_target_2': 0.895901083946228, 'val_mae_target_2': 0.7337040901184082, 'val_r2_target_2': -1.1740388870239258, 'val_rmse_target_3': 0.9061703085899353, 'val_mae_target_3': 0.7097134590148926, 'val_r2_target_3': -4.041007041931152, 'val_rmse_target_4': 0.9825432896614075, 'val_mae_target_4': 0.774360179901123, 'val_r2_target_4': -2.544074058532715, 'val_rmse_target_5': 1.0813708305358887, 'val_mae_target_5': 0.8485308289527893, 'val_r2_target_5': -4.788937091827393, 'val_rmse_target_6': 1.0109044313430786, 'val_mae_target_6': 0.7176234722137451, 'val_r2_target_6': -2.07979679107666, 'val_rmse_target_7': 0.9682601690292358, 'val_mae_target_7': 0.7907047867774963, 'val_r2_target_7': -2.023622751235962}",COMPLETE
26,0.9524695217609406,2026-02-23 20:22:17.434166,2026-02-23 20:22:58.519909,0 days 00:00:41.085743,0.5360505249351777,False,0.4193192302134341,55,cyclic,"{'val_rmse_mean': 0.975153923034668, 'val_mae_mean': 0.7785444259643555, 'val_r2_mean': -4.2149248123168945, 'val_rmse_target_0': 0.9126976728439331, 'val_mae_target_0': 0.7565827965736389, 'val_r2_target_0': -2.4734041690826416, 'val_rmse_target_1': 0.9806888699531555, 'val_mae_target_1': 0.8167195320129395, 'val_r2_target_1': -2.3963401317596436, 'val_rmse_target_2': 0.9596419334411621, 'val_mae_target_2': 0.8011684417724609, 'val_r2_target_2': -2.846588611602783, 'val_rmse_target_3': 0.9592586755752563, 'val_mae_target_3': 0.7563560605049133, 'val_r2_target_3': -7.222099304199219, 'val_rmse_target_4': 0.9393020272254944, 'val_mae_target_4': 0.7510302662849426, 'val_r2_target_4': -4.484963893890381, 'val_rmse_target_5': 1.0366441011428833, 'val_mae_target_5': 0.8266412615776062, 'val_r2_target_5': -7.2250165939331055, 'val_rmse_target_6': 1.027705430984497, 'val_mae_target_6': 0.7071401476860046, 'val_r2_target_6': -3.3732380867004395, 'val_rmse_target_7': 0.9852921962738037, 'val_mae_target_7': 0.8127169013023376, 'val_r2_target_7': -3.6977500915527344}",COMPLETE
27,1.1869887107610702,2026-02-23 20:22:58.750089,2026-02-23 20:23:40.091784,0 days 00:00:41.341695,13.781552334800752,False,0.5912402532857145,55,cyclic,"{'val_rmse_mean': 1.0891036987304688, 'val_mae_mean': 0.8595874309539795, 'val_r2_mean': 0.0, 'val_rmse_target_0': 1.0903788805007935, 'val_mae_target_0': 0.8452845811843872, 'val_r2_target_0': 0.0, 'val_rmse_target_1': 1.087052583694458, 'val_mae_target_1': 0.8262152671813965, 'val_r2_target_1': 0.0, 'val_rmse_target_2': 1.0774801969528198, 'val_mae_target_2': 0.8688510060310364, 'val_r2_target_2': 0.0, 'val_rmse_target_3': 1.0713231563568115, 'val_mae_target_3': 0.8864812254905701, 'val_r2_target_3': 0.0, 'val_rmse_target_4': 1.0731843709945679, 'val_mae_target_4': 0.870473325252533, 'val_r2_target_4': 0.0, 'val_rmse_target_5': 1.0801255702972412, 'val_mae_target_5': 0.8932667374610901, 'val_r2_target_5': 0.0, 'val_rmse_target_6': 1.163689136505127, 'val_mae_target_6': 0.8022688031196594, 'val_r2_target_6': 0.0, 'val_rmse_target_7': 1.0695953369140625, 'val_mae_target_7': 0.883858323097229, 'val_r2_target_7': 0.0}",COMPLETE
28,0.9663821023702621,2026-02-23 20:23:40.338508,2026-02-23 20:24:21.519411,0 days 00:00:41.180903,0.2457458204556009,False,0.4039696304353472,55,cyclic,"{'val_rmse_mean': 0.9796397089958191, 'val_mae_mean': 0.7828642725944519, 'val_r2_mean': -2.113253355026245, 'val_rmse_target_0': 0.8819819688796997, 'val_mae_target_0': 0.7252158522605896, 'val_r2_target_0': -1.5854051113128662, 'val_rmse_target_1': 1.0721752643585205, 'val_mae_target_1': 0.9194561243057251, 'val_r2_target_1': -1.2755496501922607, 'val_rmse_target_2': 0.8798463940620422, 'val_mae_target_2': 0.72320157289505, 'val_r2_target_2': -0.8381214141845703, 'val_rmse_target_3': 0.894093930721283, 'val_mae_target_3': 0.704903781414032, 'val_r2_target_3': -3.1272706985473633, 'val_rmse_target_4': 1.0322564840316772, 'val_mae_target_4': 0.8166055083274841, 'val_r2_target_4': -2.232250690460205, 'val_rmse_target_5': 1.0923219919204712, 'val_mae_target_5': 0.848095178604126, 'val_r2_target_5': -4.178128242492676, 'val_rmse_target_6': 1.026466727256775, 'val_mae_target_6': 0.7343071103096008, 'val_r2_target_6': -1.9411277770996094, 'val_rmse_target_7': 0.9579752087593079, 'val_mae_target_7': 0.7911290526390076, 'val_r2_target_7': -1.7281732559204102}",COMPLETE
29,1.1512975013256073,2026-02-23 20:24:21.746248,2026-02-23 20:25:04.965333,0 days 00:00:43.219085,0.04678401792809371,False,0.5691964039788251,55,cyclic,"{'val_rmse_mean': 1.0612998008728027, 'val_mae_mean': 0.8579439520835876, 'val_r2_mean': -1.384732961654663, 'val_rmse_target_0': 0.87599778175354, 'val_mae_target_0': 0.7117030620574951, 'val_r2_target_0': -1.2029204368591309, 'val_rmse_target_1': 1.241121768951416, 'val_mae_target_1': 1.1030323505401611, 'val_r2_target_1': -0.9338223934173584, 'val_rmse_target_2': 0.8689703345298767, 'val_mae_target_2': 0.704516589641571, 'val_r2_target_2': -0.34004104137420654, 'val_rmse_target_3': 0.9481698274612427, 'val_mae_target_3': 0.7504621744155884, 'val_r2_target_3': -1.5893876552581787, 'val_rmse_target_4': 1.3007875680923462, 'val_mae_target_4': 1.0571292638778687, 'val_r2_target_4': -1.5534405708312988, 'val_rmse_target_5': 1.1610504388809204, 'val_mae_target_5': 0.8933433294296265, 'val_r2_target_5': -2.858834743499756, 'val_rmse_target_6': 1.1347709894180298, 'val_mae_target_6': 0.861121416091919, 'val_r2_target_6': -1.579965591430664, 'val_rmse_target_7': 0.9595299959182739, 'val_mae_target_7': 0.782243549823761, 'val_r2_target_7': -1.0194518566131592}",COMPLETE
