number,value,datetime_start,datetime_complete,duration,params_aggregation,params_depth,params_dropout,params_hidden_dim,params_lr,params_weight_decay,user_attrs_val_metrics,state
10,0.39059372018608784,2026-01-31 13:05:38.561915,2026-01-31 13:06:17.789157,0 days 00:00:39.227242,attention,1,0.019156963287607076,32,0.00011721886524102045,0.0013436748993059312,"{'val_rmse_mean': 1.009581446647644, 'val_mae_mean': 0.7313802242279053, 'val_r2_mean': -68.2024154663086, 'val_rmse_target_0': 0.9984199404716492, 'val_mae_target_0': 0.6539658904075623, 'val_r2_target_0': -26.762414932250977, 'val_rmse_target_1': 0.9873976707458496, 'val_mae_target_1': 0.6802554130554199, 'val_r2_target_1': -41.37337112426758, 'val_rmse_target_2': 1.0097357034683228, 'val_mae_target_2': 0.8863034248352051, 'val_r2_target_2': -19.108301162719727, 'val_rmse_target_3': 1.0427721738815308, 'val_mae_target_3': 0.7049959897994995, 'val_r2_target_3': -185.56558227539062}",COMPLETE
11,0.3764324976062333,2026-01-31 13:06:17.938732,2026-01-31 13:07:01.142745,0 days 00:00:43.204013,attention,1,0.41803254309727855,32,0.00010616681323313146,7.191136111728258e-05,"{'val_rmse_mean': 0.9861559271812439, 'val_mae_mean': 0.7145141363143921, 'val_r2_mean': -52.666297912597656, 'val_rmse_target_0': 0.9975675344467163, 'val_mae_target_0': 0.6442497372627258, 'val_r2_target_0': -69.0073471069336, 'val_rmse_target_1': 0.9843005537986755, 'val_mae_target_1': 0.6820849180221558, 'val_r2_target_1': -51.627685546875, 'val_rmse_target_2': 0.9583008885383606, 'val_mae_target_2': 0.8167771697044373, 'val_r2_target_2': -30.738088607788086, 'val_rmse_target_3': 1.0044548511505127, 'val_mae_target_3': 0.71494460105896, 'val_r2_target_3': -59.29207992553711}",COMPLETE
12,0.39218074828386307,2026-01-31 13:07:01.290734,2026-01-31 13:07:46.196222,0 days 00:00:44.905488,attention,1,0.20861441725043375,64,0.0012643694377133506,0.00014671071791027288,"{'val_rmse_mean': 0.9658609628677368, 'val_mae_mean': 0.7508594393730164, 'val_r2_mean': -2.800525665283203, 'val_rmse_target_0': 0.9930193424224854, 'val_mae_target_0': 0.7109252214431763, 'val_r2_target_0': -1.6590731143951416, 'val_rmse_target_1': 0.8609266877174377, 'val_mae_target_1': 0.6069115400314331, 'val_r2_target_1': -2.3334007263183594, 'val_rmse_target_2': 0.8908213973045349, 'val_mae_target_2': 0.7896004915237427, 'val_r2_target_2': -2.3737165927886963, 'val_rmse_target_3': 1.1186763048171997, 'val_mae_target_3': 0.8960006237030029, 'val_r2_target_3': -4.835912704467773}",COMPLETE
13,0.3943877697887796,2026-01-31 13:07:46.345207,2026-01-31 13:08:28.506527,0 days 00:00:42.161320,attention,1,0.3991832408741073,32,0.00017568128562305493,0.001123593097528602,"{'val_rmse_mean': 1.0075323581695557, 'val_mae_mean': 0.7294974327087402, 'val_r2_mean': -23.64773178100586, 'val_rmse_target_0': 1.00572669506073, 'val_mae_target_0': 0.6410389542579651, 'val_r2_target_0': -21.21847152709961, 'val_rmse_target_1': 0.9355366826057434, 'val_mae_target_1': 0.6530658006668091, 'val_r2_target_1': -17.149747848510742, 'val_rmse_target_2': 1.0394498109817505, 'val_mae_target_2': 0.8944492936134338, 'val_r2_target_2': -23.87200927734375, 'val_rmse_target_3': 1.0494163036346436, 'val_mae_target_3': 0.7294358015060425, 'val_r2_target_3': -32.35069274902344}",COMPLETE
14,0.4029754692757571,2026-01-31 13:08:28.656883,2026-01-31 13:09:12.384717,0 days 00:00:43.727834,attention,1,0.24858531719346436,128,0.0012784857805974571,0.0002447362611235418,"{'val_rmse_mean': 0.994351327419281, 'val_mae_mean': 0.7598857283592224, 'val_r2_mean': -2.416813850402832, 'val_rmse_target_0': 0.9903190732002258, 'val_mae_target_0': 0.6579359769821167, 'val_r2_target_0': -3.559446334838867, 'val_rmse_target_1': 0.9221499562263489, 'val_mae_target_1': 0.6473022699356079, 'val_r2_target_1': -2.388777732849121, 'val_rmse_target_2': 1.0048075914382935, 'val_mae_target_2': 0.8604261875152588, 'val_r2_target_2': -1.0706520080566406, 'val_rmse_target_3': 1.0601286888122559, 'val_mae_target_3': 0.8738784790039062, 'val_r2_target_3': -2.6483805179595947}",COMPLETE
15,0.38403294387238995,2026-01-31 13:09:12.532280,2026-01-31 13:09:58.110492,0 days 00:00:45.578212,attention,1,0.3886691116021208,64,0.0002301580351181665,4.248121434124003e-05,"{'val_rmse_mean': 0.9830271005630493, 'val_mae_mean': 0.7215996384620667, 'val_r2_mean': -13.98973560333252, 'val_rmse_target_0': 0.9308293461799622, 'val_mae_target_0': 0.6170735359191895, 'val_r2_target_0': -6.24945068359375, 'val_rmse_target_1': 0.9569596648216248, 'val_mae_target_1': 0.6710029244422913, 'val_r2_target_1': -14.354825019836426, 'val_rmse_target_2': 0.9858115315437317, 'val_mae_target_2': 0.8685039281845093, 'val_r2_target_2': -10.238155364990234, 'val_rmse_target_3': 1.0585078001022339, 'val_mae_target_3': 0.7298181056976318, 'val_r2_target_3': -25.116506576538086}",COMPLETE
16,0.4389640611630899,2026-01-31 13:09:58.260018,2026-01-31 13:10:44.719457,0 days 00:00:46.459439,attention,2,0.14942475685282694,32,0.0009957734894179393,0.0006255712870877836,"{'val_rmse_mean': 1.043377161026001, 'val_mae_mean': 0.7845689058303833, 'val_r2_mean': -2.5903260707855225, 'val_rmse_target_0': 1.0463413000106812, 'val_mae_target_0': 0.7116342186927795, 'val_r2_target_0': -2.434870481491089, 'val_rmse_target_1': 1.0032215118408203, 'val_mae_target_1': 0.6937949657440186, 'val_r2_target_1': -2.2172343730926514, 'val_rmse_target_2': 1.0322742462158203, 'val_mae_target_2': 0.9066672325134277, 'val_r2_target_2': -2.341813802719116, 'val_rmse_target_3': 1.0916714668273926, 'val_mae_target_3': 0.8261791467666626, 'val_r2_target_3': -3.3673882484436035}",COMPLETE
17,0.41984223877942123,2026-01-31 13:10:44.868502,2026-01-31 13:11:29.304172,0 days 00:00:44.435670,attention,1,0.314131983706359,64,0.004168151818097862,1.0679337169382269e-05,"{'val_rmse_mean': 0.9997454881668091, 'val_mae_mean': 0.7685083746910095, 'val_r2_mean': -2.2287817001342773, 'val_rmse_target_0': 1.008225917816162, 'val_mae_target_0': 0.7335941195487976, 'val_r2_target_0': -1.5600225925445557, 'val_rmse_target_1': 0.9468193650245667, 'val_mae_target_1': 0.6747726798057556, 'val_r2_target_1': -1.6352152824401855, 'val_rmse_target_2': 0.8947359323501587, 'val_mae_target_2': 0.7784472107887268, 'val_r2_target_2': -1.344902515411377, 'val_rmse_target_3': 1.1492010354995728, 'val_mae_target_3': 0.8872194886207581, 'val_r2_target_3': -4.374987602233887}",COMPLETE
18,0.3840318624344137,2026-01-31 13:11:29.452971,2026-01-31 13:12:15.106275,0 days 00:00:45.653304,attention,2,0.27384367934071435,32,0.00016407266266418253,0.0025743761435295396,"{'val_rmse_mean': 1.0008419752120972, 'val_mae_mean': 0.7264046669006348, 'val_r2_mean': -76.82722473144531, 'val_rmse_target_0': 1.0010757446289062, 'val_mae_target_0': 0.6383610963821411, 'val_r2_target_0': -44.0333251953125, 'val_rmse_target_1': 0.970314621925354, 'val_mae_target_1': 0.6700150370597839, 'val_r2_target_1': -74.459716796875, 'val_rmse_target_2': 1.002086877822876, 'val_mae_target_2': 0.8765750527381897, 'val_r2_target_2': -35.47999572753906, 'val_rmse_target_3': 1.0298906564712524, 'val_mae_target_3': 0.7206675410270691, 'val_r2_target_3': -153.3358612060547}",COMPLETE
19,0.388763308249138,2026-01-31 13:12:15.254958,2026-01-31 13:12:53.378805,0 days 00:00:38.123847,mean,1,0.4960685193023857,128,0.00035650959782544336,9.97969533388938e-05,"{'val_rmse_mean': 0.9771347641944885, 'val_mae_mean': 0.7361068725585938, 'val_r2_mean': -5.640328407287598, 'val_rmse_target_0': 0.9505585432052612, 'val_mae_target_0': 0.6479222774505615, 'val_r2_target_0': -3.066178798675537, 'val_rmse_target_1': 0.9765212535858154, 'val_mae_target_1': 0.6986753940582275, 'val_r2_target_1': -5.072029113769531, 'val_rmse_target_2': 0.9327006936073303, 'val_mae_target_2': 0.8201960921287537, 'val_r2_target_2': -3.374864101409912, 'val_rmse_target_3': 1.0487585067749023, 'val_mae_target_3': 0.7776337265968323, 'val_r2_target_3': -11.04824447631836}",COMPLETE
