number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_lstm,params_dropout_path,params_dropout_reg,params_lr,params_lstm_hidden,params_lstm_layers,params_n_path_features,params_path_aggregation,params_path_dim,params_regressor_dim,params_weight_decay,user_attrs_val_metrics,state
10,0.3471127924323082,2026-03-01 01:25:16.798880,2026-03-01 01:40:49.592377,0 days 00:15:32.793497,6,0.2998228835286088,0.23745495423973362,0.13837266257598724,0.0009590536722968639,12,1,45,mean,12,48,0.0004893355988272704,"{'val_rmse_mean': 0.9009065628051758, 'val_mae_mean': 0.6979409456253052, 'val_r2_mean': -5.903625965118408, 'val_rmse_target_0': 0.9387516975402832, 'val_mae_target_0': 0.7330422401428223, 'val_r2_target_0': -6.834259510040283, 'val_rmse_target_1': 0.9001278281211853, 'val_mae_target_1': 0.6515470147132874, 'val_r2_target_1': -4.422778129577637, 'val_rmse_target_2': 0.8214850425720215, 'val_mae_target_2': 0.6482748985290527, 'val_r2_target_2': -2.409152030944824, 'val_rmse_target_3': 0.7544507384300232, 'val_mae_target_3': 0.6001193523406982, 'val_r2_target_3': -0.9756608009338379, 'val_rmse_target_4': 0.7605246901512146, 'val_mae_target_4': 0.6186696887016296, 'val_r2_target_4': -1.3133447170257568, 'val_rmse_target_5': 0.9732849597930908, 'val_mae_target_5': 0.8072301745414734, 'val_r2_target_5': -8.538002014160156, 'val_rmse_target_6': 1.071897268295288, 'val_mae_target_6': 0.6923683285713196, 'val_r2_target_6': -13.982975006103516, 'val_rmse_target_7': 0.9867303967475891, 'val_mae_target_7': 0.8322761058807373, 'val_r2_target_7': -8.752832412719727}",COMPLETE
11,0.33419515937566757,2026-03-01 01:40:49.645377,2026-03-01 01:57:45.619535,0 days 00:16:55.974158,6,0.2961007000817169,0.24844783599669437,0.11443799526387838,0.0009686127053779225,12,1,45,mean,12,48,0.0005127463806111016,"{'val_rmse_mean': 0.8869216442108154, 'val_mae_mean': 0.6743110418319702, 'val_r2_mean': -3.3620128631591797, 'val_rmse_target_0': 0.9319494366645813, 'val_mae_target_0': 0.7179518342018127, 'val_r2_target_0': -5.570878505706787, 'val_rmse_target_1': 0.913497269153595, 'val_mae_target_1': 0.6599271297454834, 'val_r2_target_1': -2.6817312240600586, 'val_rmse_target_2': 0.8101112842559814, 'val_mae_target_2': 0.6323869824409485, 'val_r2_target_2': -1.654839038848877, 'val_rmse_target_3': 0.7113729119300842, 'val_mae_target_3': 0.5546886324882507, 'val_r2_target_3': -0.4725456237792969, 'val_rmse_target_4': 0.7191075682640076, 'val_mae_target_4': 0.5759239196777344, 'val_r2_target_4': -0.8162014484405518, 'val_rmse_target_5': 1.0126370191574097, 'val_mae_target_5': 0.838253915309906, 'val_r2_target_5': -5.576029300689697, 'val_rmse_target_6': 1.0511032342910767, 'val_mae_target_6': 0.6805940270423889, 'val_r2_target_6': -5.928381443023682, 'val_rmse_target_7': 0.945594310760498, 'val_mae_target_7': 0.7347615957260132, 'val_r2_target_7': -4.195497035980225}",COMPLETE
12,0.42306292936205864,2026-03-01 01:57:45.672581,2026-03-01 02:20:40.964189,0 days 00:22:55.291608,6,0.014421714941819985,0.27005682048296775,0.10707858994569416,0.00043969100802653563,12,1,45,mean,12,48,0.0003539994692717732,"{'val_rmse_mean': 1.015561580657959, 'val_mae_mean': 0.7794196605682373, 'val_r2_mean': -32.77772521972656, 'val_rmse_target_0': 1.0310280323028564, 'val_mae_target_0': 0.800487756729126, 'val_r2_target_0': -31.659008026123047, 'val_rmse_target_1': 1.0309189558029175, 'val_mae_target_1': 0.7681796550750732, 'val_r2_target_1': -48.076175689697266, 'val_rmse_target_2': 1.0268683433532715, 'val_mae_target_2': 0.7930251955986023, 'val_r2_target_2': -31.245765686035156, 'val_rmse_target_3': 0.9593775272369385, 'val_mae_target_3': 0.7465324401855469, 'val_r2_target_3': -13.488908767700195, 'val_rmse_target_4': 0.960235595703125, 'val_mae_target_4': 0.7584214210510254, 'val_r2_target_4': -18.755107879638672, 'val_rmse_target_5': 1.0383448600769043, 'val_mae_target_5': 0.844867467880249, 'val_r2_target_5': -59.369876861572266, 'val_rmse_target_6': 1.0939440727233887, 'val_mae_target_6': 0.7290076613426208, 'val_r2_target_6': -36.289180755615234, 'val_rmse_target_7': 0.9837749004364014, 'val_mae_target_7': 0.7948355674743652, 'val_r2_target_7': -23.337785720825195}",COMPLETE
13,0.44324529469013213,2026-03-01 02:20:41.016284,2026-03-01 02:42:28.050584,0 days 00:21:47.034300,6,0.2968100057335598,0.2614946014370576,0.21666780357298537,0.00032818040799634273,12,1,70,mean,12,48,0.0003961557198828541,"{'val_rmse_mean': 1.0335018634796143, 'val_mae_mean': 0.8190304040908813, 'val_r2_mean': -44.15972900390625, 'val_rmse_target_0': 1.0414437055587769, 'val_mae_target_0': 0.7974874973297119, 'val_r2_target_0': -55.2277717590332, 'val_rmse_target_1': 1.0262340307235718, 'val_mae_target_1': 0.7638754844665527, 'val_r2_target_1': -27.364803314208984, 'val_rmse_target_2': 1.0462348461151123, 'val_mae_target_2': 0.8429442048072815, 'val_r2_target_2': -65.0204086303711, 'val_rmse_target_3': 0.9885867238044739, 'val_mae_target_3': 0.8160728216171265, 'val_r2_target_3': -31.908557891845703, 'val_rmse_target_4': 0.9825787544250488, 'val_mae_target_4': 0.8016043305397034, 'val_r2_target_4': -29.304893493652344, 'val_rmse_target_5': 1.057576060295105, 'val_mae_target_5': 0.9008193016052246, 'val_r2_target_5': -56.59137725830078, 'val_rmse_target_6': 1.1106557846069336, 'val_mae_target_6': 0.7529612183570862, 'val_r2_target_6': -56.78514862060547, 'val_rmse_target_7': 1.0147056579589844, 'val_mae_target_7': 0.8764784336090088, 'val_r2_target_7': -31.074909210205078}",COMPLETE
14,0.3411452457308769,2026-03-01 02:42:28.102514,2026-03-01 03:01:57.360173,0 days 00:19:29.257659,6,0.24735681640654097,0.26837734730307927,0.14676545143916772,0.000977499418596327,12,1,45,mean,12,48,0.0004824733378747137,"{'val_rmse_mean': 0.8922104835510254, 'val_mae_mean': 0.6861720681190491, 'val_r2_mean': -4.902921199798584, 'val_rmse_target_0': 0.9075241088867188, 'val_mae_target_0': 0.7030296325683594, 'val_r2_target_0': -4.57934045791626, 'val_rmse_target_1': 0.9022340774536133, 'val_mae_target_1': 0.6567562818527222, 'val_r2_target_1': -4.317471981048584, 'val_rmse_target_2': 0.8045432567596436, 'val_mae_target_2': 0.6474102139472961, 'val_r2_target_2': -2.712351083755493, 'val_rmse_target_3': 0.7246557474136353, 'val_mae_target_3': 0.5531679391860962, 'val_r2_target_3': -0.8491189479827881, 'val_rmse_target_4': 0.771964967250824, 'val_mae_target_4': 0.6298677325248718, 'val_r2_target_4': -1.3112778663635254, 'val_rmse_target_5': 0.9972509741783142, 'val_mae_target_5': 0.815209150314331, 'val_r2_target_5': -8.627701759338379, 'val_rmse_target_6': 1.0443764925003052, 'val_mae_target_6': 0.6596388220787048, 'val_r2_target_6': -8.432205200195312, 'val_rmse_target_7': 0.9851338863372803, 'val_mae_target_7': 0.8242964744567871, 'val_r2_target_7': -8.393900871276855}",COMPLETE
15,0.45120454221963885,2026-03-01 03:01:57.413124,2026-03-01 03:25:35.484712,0 days 00:23:38.071588,6,0.23830205295359225,0.29915678930863693,0.15434997231601538,0.00031543886317818276,12,1,40,mean,12,48,0.0015739339938525751,"{'val_rmse_mean': 1.05204439163208, 'val_mae_mean': 0.8189264535903931, 'val_r2_mean': -60.62177276611328, 'val_rmse_target_0': 1.0608603954315186, 'val_mae_target_0': 0.820361852645874, 'val_r2_target_0': -79.14968872070312, 'val_rmse_target_1': 1.069188117980957, 'val_mae_target_1': 0.7857241630554199, 'val_r2_target_1': -54.16106414794922, 'val_rmse_target_2': 1.0399270057678223, 'val_mae_target_2': 0.827606201171875, 'val_r2_target_2': -75.06867980957031, 'val_rmse_target_3': 0.9997032284736633, 'val_mae_target_3': 0.8061460852622986, 'val_r2_target_3': -38.85538101196289, 'val_rmse_target_4': 0.979706346988678, 'val_mae_target_4': 0.7953363060951233, 'val_r2_target_4': -32.5327033996582, 'val_rmse_target_5': 1.0470958948135376, 'val_mae_target_5': 0.8576291799545288, 'val_r2_target_5': -54.87717819213867, 'val_rmse_target_6': 1.1368932723999023, 'val_mae_target_6': 0.7452291250228882, 'val_r2_target_6': -67.43649291992188, 'val_rmse_target_7': 1.0829805135726929, 'val_mae_target_7': 0.9133788347244263, 'val_r2_target_7': -82.89299011230469}",COMPLETE
16,0.41722104340791705,2026-03-01 03:25:35.537368,2026-03-01 03:45:39.026015,0 days 00:20:03.488647,6,0.26333188088977666,0.22090624841535458,0.22023252386672035,0.0004769501616783274,12,1,50,mean,12,48,0.00022798364285990524,"{'val_rmse_mean': 1.0026689767837524, 'val_mae_mean': 0.7803534269332886, 'val_r2_mean': -24.840599060058594, 'val_rmse_target_0': 1.0357283353805542, 'val_mae_target_0': 0.7791523933410645, 'val_r2_target_0': -38.961395263671875, 'val_rmse_target_1': 1.0174496173858643, 'val_mae_target_1': 0.76613450050354, 'val_r2_target_1': -33.148250579833984, 'val_rmse_target_2': 1.0098717212677002, 'val_mae_target_2': 0.8241991996765137, 'val_r2_target_2': -25.239946365356445, 'val_rmse_target_3': 0.8666269183158875, 'val_mae_target_3': 0.7074499726295471, 'val_r2_target_3': -10.148801803588867, 'val_rmse_target_4': 0.9075639843940735, 'val_mae_target_4': 0.7367185354232788, 'val_r2_target_4': -11.130706787109375, 'val_rmse_target_5': 1.0283607244491577, 'val_mae_target_5': 0.8478624820709229, 'val_r2_target_5': -22.25447654724121, 'val_rmse_target_6': 1.0762213468551636, 'val_mae_target_6': 0.7052719593048096, 'val_r2_target_6': -21.246076583862305, 'val_rmse_target_7': 1.0795291662216187, 'val_mae_target_7': 0.8760384917259216, 'val_r2_target_7': -36.595149993896484}",COMPLETE
17,0.4588755840063095,2026-03-01 03:45:39.078460,2026-03-01 04:07:09.625280,0 days 00:21:30.546820,6,0.20763307859372226,0.19378576778706547,0.10142258814237844,0.00022978394885753584,12,1,20,mean,12,48,0.003065985679601612,"{'val_rmse_mean': 1.0618739128112793, 'val_mae_mean': 0.8344482779502869, 'val_r2_mean': -59.750267028808594, 'val_rmse_target_0': 1.0957404375076294, 'val_mae_target_0': 0.8657739758491516, 'val_r2_target_0': -70.27403259277344, 'val_rmse_target_1': 1.023908019065857, 'val_mae_target_1': 0.7673960328102112, 'val_r2_target_1': -41.05146789550781, 'val_rmse_target_2': 1.0509072542190552, 'val_mae_target_2': 0.8348987102508545, 'val_r2_target_2': -60.80609130859375, 'val_rmse_target_3': 1.0040254592895508, 'val_mae_target_3': 0.827879786491394, 'val_r2_target_3': -36.264930725097656, 'val_rmse_target_4': 1.0135307312011719, 'val_mae_target_4': 0.8254787921905518, 'val_r2_target_4': -34.26518249511719, 'val_rmse_target_5': 1.0848619937896729, 'val_mae_target_5': 0.8928782939910889, 'val_r2_target_5': -92.47704315185547, 'val_rmse_target_6': 1.1654174327850342, 'val_mae_target_6': 0.7635966539382935, 'val_r2_target_6': -82.91844940185547, 'val_rmse_target_7': 1.0566006898880005, 'val_mae_target_7': 0.8976840376853943, 'val_r2_target_7': -59.9449348449707}",COMPLETE
18,0.3245262961089611,2026-03-01 04:07:09.679750,2026-03-01 04:22:47.900514,0 days 00:15:38.220764,6,0.2596053561405025,0.30807648872337967,0.1727335218342718,0.0009883405876509705,8,1,70,mean,12,48,0.0009484230000347363,"{'val_rmse_mean': 0.8712624311447144, 'val_mae_mean': 0.6692156791687012, 'val_r2_mean': -3.696498394012451, 'val_rmse_target_0': 0.8379412889480591, 'val_mae_target_0': 0.6233770847320557, 'val_r2_target_0': -2.9232535362243652, 'val_rmse_target_1': 0.8718946576118469, 'val_mae_target_1': 0.6403375864028931, 'val_r2_target_1': -2.940876007080078, 'val_rmse_target_2': 0.8005093336105347, 'val_mae_target_2': 0.6201288104057312, 'val_r2_target_2': -2.594266176223755, 'val_rmse_target_3': 0.698638916015625, 'val_mae_target_3': 0.5616059303283691, 'val_r2_target_3': -0.4226878881454468, 'val_rmse_target_4': 0.805988609790802, 'val_mae_target_4': 0.6708556413650513, 'val_r2_target_4': -2.096574306488037, 'val_rmse_target_5': 0.9871005415916443, 'val_mae_target_5': 0.8285272717475891, 'val_r2_target_5': -6.6158905029296875, 'val_rmse_target_6': 1.0498476028442383, 'val_mae_target_6': 0.6718895435333252, 'val_r2_target_6': -8.23530101776123, 'val_rmse_target_7': 0.9181780815124512, 'val_mae_target_7': 0.7370038032531738, 'val_r2_target_7': -3.743138313293457}",COMPLETE
19,0.3763568887114525,2026-03-01 04:22:47.952812,2026-03-01 04:42:00.967049,0 days 00:19:13.014237,6,0.19771812831497534,0.32371180564436847,0.18262895062661616,0.0005335331987628274,8,1,70,mean,12,64,0.0008981280564031712,"{'val_rmse_mean': 0.9461023807525635, 'val_mae_mean': 0.7327638864517212, 'val_r2_mean': -10.707530975341797, 'val_rmse_target_0': 0.9663458466529846, 'val_mae_target_0': 0.7627952098846436, 'val_r2_target_0': -10.622998237609863, 'val_rmse_target_1': 0.955841064453125, 'val_mae_target_1': 0.7162538170814514, 'val_r2_target_1': -10.942138671875, 'val_rmse_target_2': 0.922541618347168, 'val_mae_target_2': 0.7188791036605835, 'val_r2_target_2': -10.027445793151855, 'val_rmse_target_3': 0.8397508263587952, 'val_mae_target_3': 0.6759086847305298, 'val_r2_target_3': -5.309794902801514, 'val_rmse_target_4': 0.8508086204528809, 'val_mae_target_4': 0.6760841608047485, 'val_r2_target_4': -6.63124942779541, 'val_rmse_target_5': 1.012784481048584, 'val_mae_target_5': 0.8366736769676208, 'val_r2_target_5': -17.744699478149414, 'val_rmse_target_6': 1.0675313472747803, 'val_mae_target_6': 0.691017210483551, 'val_r2_target_6': -11.273175239562988, 'val_rmse_target_7': 0.9532151818275452, 'val_mae_target_7': 0.7844996452331543, 'val_r2_target_7': -13.108753204345703}",COMPLETE
20,0.4786713469028473,2026-03-01 04:42:01.018048,2026-03-01 05:04:17.591431,0 days 00:22:16.573383,6,0.27109089352335686,0.18667718743939393,0.2310144528865959,8.292353043303187e-05,8,1,65,mean,12,24,0.0013564406685103868,"{'val_rmse_mean': 1.0815669298171997, 'val_mae_mean': 0.8592209219932556, 'val_r2_mean': -46.07833480834961, 'val_rmse_target_0': 1.1091076135635376, 'val_mae_target_0': 0.8694902658462524, 'val_r2_target_0': -31.18756103515625, 'val_rmse_target_1': 1.0495792627334595, 'val_mae_target_1': 0.8136034607887268, 'val_r2_target_1': -47.8970832824707, 'val_rmse_target_2': 1.0980901718139648, 'val_mae_target_2': 0.8891844153404236, 'val_r2_target_2': -59.005279541015625, 'val_rmse_target_3': 1.068365454673767, 'val_mae_target_3': 0.8692362904548645, 'val_r2_target_3': -45.721046447753906, 'val_rmse_target_4': 1.0560693740844727, 'val_mae_target_4': 0.8516238927841187, 'val_r2_target_4': -39.363677978515625, 'val_rmse_target_5': 1.022148847579956, 'val_mae_target_5': 0.8337728381156921, 'val_r2_target_5': -44.46749496459961, 'val_rmse_target_6': 1.1872899532318115, 'val_mae_target_6': 0.8565704822540283, 'val_r2_target_6': -60.04502487182617, 'val_rmse_target_7': 1.0618844032287598, 'val_mae_target_7': 0.8902856707572937, 'val_r2_target_7': -40.93952941894531}",COMPLETE
21,0.33449222981929777,2026-03-01 05:04:17.649236,2026-03-01 05:22:29.087091,0 days 00:18:11.437855,6,0.25454804261306163,0.33812431276207605,0.1340198729139733,0.0009591645363908296,8,1,50,mean,12,48,0.0004840267000793307,"{'val_rmse_mean': 0.8822603225708008, 'val_mae_mean': 0.681370735168457, 'val_r2_mean': -3.4937963485717773, 'val_rmse_target_0': 0.9119321703910828, 'val_mae_target_0': 0.7038168907165527, 'val_r2_target_0': -2.768918991088867, 'val_rmse_target_1': 0.918786883354187, 'val_mae_target_1': 0.6571179032325745, 'val_r2_target_1': -2.8123385906219482, 'val_rmse_target_2': 0.8424908518791199, 'val_mae_target_2': 0.6693361401557922, 'val_r2_target_2': -2.0110385417938232, 'val_rmse_target_3': 0.6714079976081848, 'val_mae_target_3': 0.5140579342842102, 'val_r2_target_3': -0.48433876037597656, 'val_rmse_target_4': 0.7808163166046143, 'val_mae_target_4': 0.6250205039978027, 'val_r2_target_4': -1.262152910232544, 'val_rmse_target_5': 1.010654330253601, 'val_mae_target_5': 0.8500530123710632, 'val_r2_target_5': -7.723645210266113, 'val_rmse_target_6': 1.0077705383300781, 'val_mae_target_6': 0.6685521602630615, 'val_r2_target_6': -7.1334228515625, 'val_rmse_target_7': 0.9142237305641174, 'val_mae_target_7': 0.763011634349823, 'val_r2_target_7': -3.7545204162597656}",COMPLETE
22,0.3848192551732063,2026-03-01 05:22:29.139395,2026-03-01 05:42:28.371833,0 days 00:19:59.232438,6,0.26979517666969116,0.32470777762583014,0.12540770365691237,0.0006264608824763354,8,1,50,mean,12,48,0.000650864515566888,"{'val_rmse_mean': 0.9552841782569885, 'val_mae_mean': 0.7360026836395264, 'val_r2_mean': -10.771795272827148, 'val_rmse_target_0': 0.9516201019287109, 'val_mae_target_0': 0.6932319402694702, 'val_r2_target_0': -10.616400718688965, 'val_rmse_target_1': 0.9493592381477356, 'val_mae_target_1': 0.6993896961212158, 'val_r2_target_1': -8.094718933105469, 'val_rmse_target_2': 0.9439678192138672, 'val_mae_target_2': 0.7425837516784668, 'val_r2_target_2': -17.366172790527344, 'val_rmse_target_3': 0.8458259105682373, 'val_mae_target_3': 0.6893313527107239, 'val_r2_target_3': -5.928843021392822, 'val_rmse_target_4': 0.8536487817764282, 'val_mae_target_4': 0.6869692206382751, 'val_r2_target_4': -5.143990993499756, 'val_rmse_target_5': 1.0017396211624146, 'val_mae_target_5': 0.8266618847846985, 'val_r2_target_5': -16.79508399963379, 'val_rmse_target_6': 1.1356167793273926, 'val_mae_target_6': 0.7604315280914307, 'val_r2_target_6': -11.74475383758545, 'val_rmse_target_7': 0.9604952335357666, 'val_mae_target_7': 0.7894222736358643, 'val_r2_target_7': -10.484405517578125}",COMPLETE
23,0.43750900447368624,2026-03-01 05:42:28.423351,2026-03-01 06:01:37.876715,0 days 00:19:09.453364,6,0.19440048525701142,0.4570737191709999,0.17392503047118427,0.00034160604825036415,8,1,65,mean,12,48,0.00032730787131363056,"{'val_rmse_mean': 1.0307623147964478, 'val_mae_mean': 0.8080214262008667, 'val_r2_mean': -49.88124465942383, 'val_rmse_target_0': 1.0127242803573608, 'val_mae_target_0': 0.7988008260726929, 'val_r2_target_0': -38.366397857666016, 'val_rmse_target_1': 1.0377026796340942, 'val_mae_target_1': 0.7930412292480469, 'val_r2_target_1': -72.20507049560547, 'val_rmse_target_2': 0.9713956117630005, 'val_mae_target_2': 0.7805526852607727, 'val_r2_target_2': -38.10816192626953, 'val_rmse_target_3': 0.9766923189163208, 'val_mae_target_3': 0.8036264181137085, 'val_r2_target_3': -21.741437911987305, 'val_rmse_target_4': 1.004770278930664, 'val_mae_target_4': 0.7918630838394165, 'val_r2_target_4': -33.79914474487305, 'val_rmse_target_5': 1.0109045505523682, 'val_mae_target_5': 0.8217880129814148, 'val_r2_target_5': -52.93384552001953, 'val_rmse_target_6': 1.1443074941635132, 'val_mae_target_6': 0.779044508934021, 'val_r2_target_6': -106.82929229736328, 'val_rmse_target_7': 1.0876007080078125, 'val_mae_target_7': 0.8954547047615051, 'val_r2_target_7': -35.06660079956055}",COMPLETE
24,0.3456550344824791,2026-03-01 06:01:37.929807,2026-03-01 06:17:14.470563,0 days 00:15:36.540756,6,0.254506210837265,0.33250410916562934,0.12669248426848753,0.000905482734803833,8,1,55,mean,12,48,0.001093632033417514,"{'val_rmse_mean': 0.8976995944976807, 'val_mae_mean': 0.6966249346733093, 'val_r2_mean': -4.235709190368652, 'val_rmse_target_0': 0.8627793788909912, 'val_mae_target_0': 0.6662174463272095, 'val_r2_target_0': -3.555516242980957, 'val_rmse_target_1': 0.9072343707084656, 'val_mae_target_1': 0.6841867566108704, 'val_r2_target_1': -3.2046103477478027, 'val_rmse_target_2': 0.844735860824585, 'val_mae_target_2': 0.6712249517440796, 'val_r2_target_2': -1.7786509990692139, 'val_rmse_target_3': 0.754463255405426, 'val_mae_target_3': 0.5912926197052002, 'val_r2_target_3': -1.3668859004974365, 'val_rmse_target_4': 0.8112025260925293, 'val_mae_target_4': 0.6604551672935486, 'val_r2_target_4': -1.474411964416504, 'val_rmse_target_5': 1.0070043802261353, 'val_mae_target_5': 0.8425512909889221, 'val_r2_target_5': -8.086166381835938, 'val_rmse_target_6': 1.0370028018951416, 'val_mae_target_6': 0.6639177203178406, 'val_r2_target_6': -8.972643852233887, 'val_rmse_target_7': 0.957173764705658, 'val_mae_target_7': 0.793153703212738, 'val_r2_target_7': -5.446787357330322}",COMPLETE
25,0.40280166670680045,2026-03-01 06:17:14.523114,2026-03-01 06:36:34.646167,0 days 00:19:20.123053,6,0.2206185051254172,0.30061206439453575,0.16534022082048966,0.0006278540253074599,8,1,40,mean,12,48,0.0026636716696682317,"{'val_rmse_mean': 0.9882695078849792, 'val_mae_mean': 0.7610097527503967, 'val_r2_mean': -17.152690887451172, 'val_rmse_target_0': 0.9993530511856079, 'val_mae_target_0': 0.7464963793754578, 'val_r2_target_0': -17.39417839050293, 'val_rmse_target_1': 0.9763443470001221, 'val_mae_target_1': 0.7026587724685669, 'val_r2_target_1': -11.457869529724121, 'val_rmse_target_2': 0.9920398592948914, 'val_mae_target_2': 0.7856287360191345, 'val_r2_target_2': -16.848812103271484, 'val_rmse_target_3': 0.898728609085083, 'val_mae_target_3': 0.7403059601783752, 'val_r2_target_3': -11.509858131408691, 'val_rmse_target_4': 0.9241647124290466, 'val_mae_target_4': 0.7485100626945496, 'val_r2_target_4': -13.490985870361328, 'val_rmse_target_5': 1.017962098121643, 'val_mae_target_5': 0.8251053690910339, 'val_r2_target_5': -23.123062133789062, 'val_rmse_target_6': 1.1003578901290894, 'val_mae_target_6': 0.7236415147781372, 'val_r2_target_6': -20.90692710876465, 'val_rmse_target_7': 0.9972054958343506, 'val_mae_target_7': 0.8157312870025635, 'val_r2_target_7': -22.48981475830078}",COMPLETE
26,0.4576385223865509,2026-03-01 06:36:34.699476,2026-03-01 06:59:39.910552,0 days 00:23:05.211076,6,0.28177193016832924,0.3567685801603823,0.20003462687418594,0.00023917190185364227,8,1,50,mean,12,48,0.0006380457091259315,"{'val_rmse_mean': 1.0574696063995361, 'val_mae_mean': 0.8338496685028076, 'val_r2_mean': -60.086647033691406, 'val_rmse_target_0': 1.0952149629592896, 'val_mae_target_0': 0.8490647673606873, 'val_r2_target_0': -82.99223327636719, 'val_rmse_target_1': 1.0794808864593506, 'val_mae_target_1': 0.7935374975204468, 'val_r2_target_1': -74.63077545166016, 'val_rmse_target_2': 1.0136934518814087, 'val_mae_target_2': 0.8361192345619202, 'val_r2_target_2': -47.560218811035156, 'val_rmse_target_3': 0.9936582446098328, 'val_mae_target_3': 0.812888503074646, 'val_r2_target_3': -34.13058090209961, 'val_rmse_target_4': 1.0216100215911865, 'val_mae_target_4': 0.8306481838226318, 'val_r2_target_4': -49.52244186401367, 'val_rmse_target_5': 1.0546760559082031, 'val_mae_target_5': 0.8871902227401733, 'val_r2_target_5': -70.1957015991211, 'val_rmse_target_6': 1.1799854040145874, 'val_mae_target_6': 0.8090989589691162, 'val_r2_target_6': -88.132080078125, 'val_rmse_target_7': 1.0214380025863647, 'val_mae_target_7': 0.8522500395774841, 'val_r2_target_7': -33.529136657714844}",COMPLETE
27,0.4342851221561432,2026-03-01 06:59:39.962576,2026-03-01 07:21:15.498953,0 days 00:21:35.536377,6,0.014525785352833692,0.177932785670062,0.12737539926670588,0.0003913429951046955,8,1,60,mean,12,48,0.00025185507732829816,"{'val_rmse_mean': 1.020674705505371, 'val_mae_mean': 0.8034771084785461, 'val_r2_mean': -27.078353881835938, 'val_rmse_target_0': 1.0196986198425293, 'val_mae_target_0': 0.7859711647033691, 'val_r2_target_0': -33.41356658935547, 'val_rmse_target_1': 1.0609148740768433, 'val_mae_target_1': 0.7701001167297363, 'val_r2_target_1': -42.45186233520508, 'val_rmse_target_2': 1.0045511722564697, 'val_mae_target_2': 0.8177279829978943, 'val_r2_target_2': -24.894527435302734, 'val_rmse_target_3': 0.9394775629043579, 'val_mae_target_3': 0.7652111053466797, 'val_r2_target_3': -16.1790828704834, 'val_rmse_target_4': 0.9793124794960022, 'val_mae_target_4': 0.8010873198509216, 'val_r2_target_4': -22.13018226623535, 'val_rmse_target_5': 1.0153822898864746, 'val_mae_target_5': 0.8703978061676025, 'val_r2_target_5': -20.77733612060547, 'val_rmse_target_6': 1.1085704565048218, 'val_mae_target_6': 0.7601247429847717, 'val_r2_target_6': -29.412546157836914, 'val_rmse_target_7': 1.0374892950057983, 'val_mae_target_7': 0.857196569442749, 'val_r2_target_7': -27.367740631103516}",COMPLETE
28,0.4091587796807289,2026-03-01 07:21:15.551529,2026-03-01 07:37:54.767317,0 days 00:16:39.215788,6,0.1195708818276162,0.22665362493510163,0.24692566913101427,0.0007190602031689388,6,1,40,mean,24,24,0.0011344020728018414,"{'val_rmse_mean': 0.9892478585243225, 'val_mae_mean': 0.776330292224884, 'val_r2_mean': -19.802352905273438, 'val_rmse_target_0': 0.9831282496452332, 'val_mae_target_0': 0.7511615753173828, 'val_r2_target_0': -20.780162811279297, 'val_rmse_target_1': 0.9574443697929382, 'val_mae_target_1': 0.7311060428619385, 'val_r2_target_1': -14.589356422424316, 'val_rmse_target_2': 1.0088489055633545, 'val_mae_target_2': 0.7863999009132385, 'val_r2_target_2': -19.365991592407227, 'val_rmse_target_3': 0.9206646084785461, 'val_mae_target_3': 0.7644031643867493, 'val_r2_target_3': -13.496317863464355, 'val_rmse_target_4': 0.9102028012275696, 'val_mae_target_4': 0.7561355829238892, 'val_r2_target_4': -8.803491592407227, 'val_rmse_target_5': 1.0181257724761963, 'val_mae_target_5': 0.8300227522850037, 'val_r2_target_5': -28.819869995117188, 'val_rmse_target_6': 1.1056334972381592, 'val_mae_target_6': 0.7494134306907654, 'val_r2_target_6': -28.63128089904785, 'val_rmse_target_7': 1.009934663772583, 'val_mae_target_7': 0.8420001864433289, 'val_r2_target_7': -23.9323673248291}",COMPLETE
29,0.45759600281715396,2026-03-01 07:37:54.819400,2026-03-01 07:59:54.437401,0 days 00:21:59.618001,6,0.22542371866840274,0.28303933839053697,0.2002688984148568,0.00016268480097214298,8,1,20,mean,16,64,0.00011443091867819715,"{'val_rmse_mean': 1.0588879585266113, 'val_mae_mean': 0.8333008885383606, 'val_r2_mean': -78.77294921875, 'val_rmse_target_0': 1.116897702217102, 'val_mae_target_0': 0.8601977825164795, 'val_r2_target_0': -87.18634796142578, 'val_rmse_target_1': 1.0724263191223145, 'val_mae_target_1': 0.8144487142562866, 'val_r2_target_1': -123.45826721191406, 'val_rmse_target_2': 1.0203710794448853, 'val_mae_target_2': 0.8274059891700745, 'val_r2_target_2': -87.76264953613281, 'val_rmse_target_3': 1.0110161304473877, 'val_mae_target_3': 0.8250396251678467, 'val_r2_target_3': -85.14330291748047, 'val_rmse_target_4': 1.0050482749938965, 'val_mae_target_4': 0.8095313310623169, 'val_r2_target_4': -54.8206901550293, 'val_rmse_target_5': 1.0617902278900146, 'val_mae_target_5': 0.8865148425102234, 'val_r2_target_5': -42.171260833740234, 'val_rmse_target_6': 1.148615837097168, 'val_mae_target_6': 0.7907692193984985, 'val_r2_target_6': -102.131591796875, 'val_rmse_target_7': 1.0349377393722534, 'val_mae_target_7': 0.8524995446205139, 'val_r2_target_7': -47.5095100402832}",COMPLETE
