epoch,train_loss,val_loss
1,0.4283076673746109,0.6948524713516235
2,0.43051306903362274,0.6810421347618103
3,0.4145081788301468,0.6674274206161499
4,0.40572942048311234,0.6565292477607727
5,0.4029504656791687,0.645145058631897
6,0.39653219282627106,0.6352181434631348
7,0.3902697041630745,0.6261177659034729
8,0.3802512660622597,0.6175838708877563
9,0.3766057938337326,0.6084321141242981
10,0.3676397502422333,0.597168505191803
11,0.36587613075971603,0.5880566835403442
12,0.35355566442012787,0.5791022777557373
13,0.3426949232816696,0.5707532167434692
14,0.34012018516659737,0.5618913173675537
15,0.33560507744550705,0.5531638264656067
16,0.3308454304933548,0.5443453788757324
17,0.3303719572722912,0.5353760719299316
18,0.30141741782426834,0.5284778475761414
19,0.3011610545217991,0.5219289660453796
20,0.30299246683716774,0.5168441534042358
21,0.28671200200915337,0.5124943256378174
22,0.2870728634297848,0.510219156742096
23,0.27988216280937195,0.509579062461853
24,0.27954189851880074,0.5102559924125671
25,0.2696394622325897,0.5118205547332764
