number,value,datetime_start,datetime_complete,duration,params_C,params_degree,params_epsilon,params_gamma,params_kernel,params_n_path_features,params_shrinking,user_attrs_val_metrics,state
10,0.9827442061940131,2026-02-23 20:32:03.258687,2026-02-23 20:32:43.930020,0 days 00:00:40.671333,61.913492156889596,2.0,0.17707415381010766,scale,poly,70,False,"{'val_rmse_mean': 0.9879954350932152, 'val_mae_mean': 0.7873646745229175, 'val_r2_mean': -3.1985695894362944, 'val_rmse_target_0': 0.8979761636470056, 'val_mae_target_0': 0.7232176271333394, 'val_r2_target_0': -1.6038221217259396, 'val_rmse_target_1': 0.9684738835647901, 'val_mae_target_1': 0.7405068750827722, 'val_r2_target_1': -1.7863565753837407, 'val_rmse_target_2': 0.948407495873051, 'val_mae_target_2': 0.7740077789465183, 'val_r2_target_2': -1.5501739035099007, 'val_rmse_target_3': 0.9645355050957678, 'val_mae_target_3': 0.807228869100441, 'val_r2_target_3': -2.7132452015735016, 'val_rmse_target_4': 0.9939900602001677, 'val_mae_target_4': 0.8297193844082271, 'val_r2_target_4': -2.781950753954076, 'val_rmse_target_5': 1.15925424060899, 'val_mae_target_5': 0.8999912954673644, 'val_r2_target_5': -7.934932809804069, 'val_rmse_target_6': 1.0659602765695926, 'val_mae_target_6': 0.7757677503899564, 'val_r2_target_6': -3.798978082155588, 'val_rmse_target_7': 0.9053658551863576, 'val_mae_target_7': 0.7484778156547212, 'val_r2_target_7': -3.419097267383542}",COMPLETE
11,0.9618205208333768,2026-02-23 20:32:44.156482,2026-02-23 20:33:25.595326,0 days 00:00:41.438844,407.77725366718755,,0.11584343230747987,,linear,35,True,"{'val_rmse_mean': 0.9769217721587852, 'val_mae_mean': 0.7652258538683865, 'val_r2_mean': -1.8504520368842192, 'val_rmse_target_0': 0.9062484428058949, 'val_mae_target_0': 0.74046728130923, 'val_r2_target_0': -0.8203579534103571, 'val_rmse_target_1': 0.9509889651551602, 'val_mae_target_1': 0.7366411548888574, 'val_r2_target_1': -0.8843781850229777, 'val_rmse_target_2': 0.947040878550432, 'val_mae_target_2': 0.7636007581742362, 'val_r2_target_2': -0.7955493517519581, 'val_rmse_target_3': 0.9860305071056185, 'val_mae_target_3': 0.7971362652461447, 'val_r2_target_3': -1.5099623411389933, 'val_rmse_target_4': 1.007041997151876, 'val_mae_target_4': 0.8145577287788913, 'val_r2_target_4': -1.5137906410674957, 'val_rmse_target_5': 1.1700150486244605, 'val_mae_target_5': 0.9058366299449611, 'val_r2_target_5': -5.374300032272457, 'val_rmse_target_6': 0.9915286892143479, 'val_mae_target_6': 0.6515603241746223, 'val_r2_target_6': -2.2555059388395304, 'val_rmse_target_7': 0.8564796486624914, 'val_mae_target_7': 0.7120066884301494, 'val_r2_target_7': -1.6497718515699846}",COMPLETE
12,0.9191980373397428,2026-02-23 20:33:25.843324,2026-02-23 20:34:06.972830,0 days 00:00:41.129506,965.4061802346185,,0.19308386970666086,,linear,30,True,"{'val_rmse_mean': 0.9543357023363941, 'val_mae_mean': 0.7418753285502429, 'val_r2_mean': -2.3786999029091813, 'val_rmse_target_0': 0.8705508434620376, 'val_mae_target_0': 0.6946259679210743, 'val_r2_target_0': -1.0558671748724464, 'val_rmse_target_1': 0.9601984560201431, 'val_mae_target_1': 0.7339819129813704, 'val_r2_target_1': -1.1830264136628776, 'val_rmse_target_2': 0.869065404069407, 'val_mae_target_2': 0.7140838889446255, 'val_r2_target_2': -0.8666135741141043, 'val_rmse_target_3': 0.9539049782985156, 'val_mae_target_3': 0.7489884321782165, 'val_r2_target_3': -2.2654549603400462, 'val_rmse_target_4': 0.9924055940003982, 'val_mae_target_4': 0.7762489454412724, 'val_r2_target_4': -2.596585405293864, 'val_rmse_target_5': 1.1699626125302094, 'val_mae_target_5': 0.9103511389440638, 'val_r2_target_5': -7.12276465067943, 'val_rmse_target_6': 0.9338430954553884, 'val_mae_target_6': 0.6340430799500841, 'val_r2_target_6': -1.4750295429099118, 'val_rmse_target_7': 0.8847546348550533, 'val_mae_target_7': 0.7226792620412354, 'val_r2_target_7': -2.4642575014007666}",COMPLETE
13,0.996921764521839,2026-02-23 20:34:07.202303,2026-02-23 20:34:47.852395,0 days 00:00:40.650092,743.9928523023932,,0.35225476381051385,,linear,20,True,"{'val_rmse_mean': 0.9938876965603163, 'val_mae_mean': 0.7745431491289312, 'val_r2_mean': -2.5953668258971954, 'val_rmse_target_0': 0.9365693597842286, 'val_mae_target_0': 0.7220688557017696, 'val_r2_target_0': -1.5594362777290365, 'val_rmse_target_1': 0.9740735083147003, 'val_mae_target_1': 0.7298732092044744, 'val_r2_target_1': -1.409784337996928, 'val_rmse_target_2': 0.8997205929667108, 'val_mae_target_2': 0.7720743702411319, 'val_r2_target_2': -1.4819029040254157, 'val_rmse_target_3': 0.979711058693995, 'val_mae_target_3': 0.7817894491716821, 'val_r2_target_3': -3.315049223289912, 'val_rmse_target_4': 0.960119316255069, 'val_mae_target_4': 0.7721513392797063, 'val_r2_target_4': -3.2619254032437643, 'val_rmse_target_5': 1.2089818537932349, 'val_mae_target_5': 0.9506477220131271, 'val_r2_target_5': -4.890713860679834, 'val_rmse_target_6': 1.0756851517619361, 'val_mae_target_6': 0.730848698793925, 'val_r2_target_6': -1.91066606735123, 'val_rmse_target_7': 0.9162407309126559, 'val_mae_target_7': 0.7368915486256331, 'val_r2_target_7': -2.9334565328614506}",COMPLETE
14,0.977129748803636,2026-02-23 20:34:48.082800,2026-02-23 20:35:29.459152,0 days 00:00:41.376352,133.38037044011915,,0.00652000961280831,,linear,60,False,"{'val_rmse_mean': 0.9854623469527704, 'val_mae_mean': 0.7746773130899794, 'val_r2_mean': -1.5142898651556276, 'val_rmse_target_0': 0.9113731409271528, 'val_mae_target_0': 0.7481702367989085, 'val_r2_target_0': -0.5802568974473108, 'val_rmse_target_1': 0.9673215774269958, 'val_mae_target_1': 0.750271022549677, 'val_r2_target_1': -0.7851727606846781, 'val_rmse_target_2': 0.9978549687071637, 'val_mae_target_2': 0.7772890174764325, 'val_r2_target_2': -0.6749795686623441, 'val_rmse_target_3': 0.9894434808563773, 'val_mae_target_3': 0.8112174268542102, 'val_r2_target_3': -1.1068654457233502, 'val_rmse_target_4': 0.9919031282105997, 'val_mae_target_4': 0.8050940158020873, 'val_r2_target_4': -0.9256625679958363, 'val_rmse_target_5': 1.1437762939387963, 'val_mae_target_5': 0.8757449693646275, 'val_r2_target_5': -4.919087581946704, 'val_rmse_target_6': 1.021342744834596, 'val_mae_target_6': 0.709275827317109, 'val_r2_target_6': -1.796163856073553, 'val_rmse_target_7': 0.8606834407204803, 'val_mae_target_7': 0.7203559885567834, 'val_r2_target_7': -1.3261302427112414}",COMPLETE
15,0.962283547530715,2026-02-23 20:35:29.689906,2026-02-23 20:36:10.427174,0 days 00:00:40.737268,15.741505472685633,2.0,0.36366034478853615,scale,poly,30,True,"{'val_rmse_mean': 0.9784281428237178, 'val_mae_mean': 0.7677729555525257, 'val_r2_mean': -6.925551493890441, 'val_rmse_target_0': 0.9057034574762844, 'val_mae_target_0': 0.7059210809513685, 'val_r2_target_0': -4.055704167277081, 'val_rmse_target_1': 0.978338478183627, 'val_mae_target_1': 0.7075890168114509, 'val_r2_target_1': -4.501759502293113, 'val_rmse_target_2': 0.8988307545390426, 'val_mae_target_2': 0.7288082502884986, 'val_r2_target_2': -3.768262849288212, 'val_rmse_target_3': 0.9696630840445353, 'val_mae_target_3': 0.7899053877753343, 'val_r2_target_3': -8.907997536242423, 'val_rmse_target_4': 1.0334588394383697, 'val_mae_target_4': 0.8403028778594082, 'val_r2_target_4': -11.521362168662034, 'val_rmse_target_5': 1.1262891700459148, 'val_mae_target_5': 0.8993721123955585, 'val_r2_target_5': -12.842859667492618, 'val_rmse_target_6': 0.9909813664542603, 'val_mae_target_6': 0.7216920430039263, 'val_r2_target_6': -5.056154965735731, 'val_rmse_target_7': 0.9241599924077084, 'val_mae_target_7': 0.7485928753346601, 'val_r2_target_7': -4.750311094132323}",COMPLETE
16,0.9649276908134441,2026-02-23 20:36:10.656382,2026-02-23 20:36:51.947461,0 days 00:00:41.291079,254.26547770430244,,0.059571858022197485,,linear,50,False,"{'val_rmse_mean': 0.9793842446434924, 'val_mae_mean': 0.774684969762393, 'val_r2_mean': -1.6655073105667153, 'val_rmse_target_0': 0.9287166340552562, 'val_mae_target_0': 0.7761267804797847, 'val_r2_target_0': -0.7022129900214744, 'val_rmse_target_1': 0.9461040203211104, 'val_mae_target_1': 0.7266074579667101, 'val_r2_target_1': -0.7593227946800694, 'val_rmse_target_2': 0.9609873007976689, 'val_mae_target_2': 0.7542765026309837, 'val_r2_target_2': -0.6080600817041937, 'val_rmse_target_3': 0.9965202798985305, 'val_mae_target_3': 0.8164858390798299, 'val_r2_target_3': -1.342100321701459, 'val_rmse_target_4': 0.9801289398846343, 'val_mae_target_4': 0.8104785066211165, 'val_r2_target_4': -1.1876048218513136, 'val_rmse_target_5': 1.1510692516277452, 'val_mae_target_5': 0.8771442168123034, 'val_r2_target_5': -5.381099846682475, 'val_rmse_target_6': 1.0001423209005664, 'val_mae_target_6': 0.7028162705774699, 'val_r2_target_6': -1.850123715850588, 'val_rmse_target_7': 0.8714052096624265, 'val_mae_target_7': 0.733544183930946, 'val_r2_target_7': -1.4935339120421465}",COMPLETE
17,0.9714395814691413,2026-02-23 20:36:52.177293,2026-02-23 20:37:33.741069,0 days 00:00:41.563776,632.1796914615812,,0.010314443159455478,,linear,65,True,"{'val_rmse_mean': 0.9821289443435478, 'val_mae_mean': 0.7714195221440224, 'val_r2_mean': -1.496974875094669, 'val_rmse_target_0': 0.9117374650648067, 'val_mae_target_0': 0.7428538169615322, 'val_r2_target_0': -0.5553063081997494, 'val_rmse_target_1': 0.9659411053398433, 'val_mae_target_1': 0.745790270763528, 'val_r2_target_1': -0.7671926849368425, 'val_rmse_target_2': 0.9839050878274297, 'val_mae_target_2': 0.7646032578205886, 'val_r2_target_2': -0.6767892642093878, 'val_rmse_target_3': 0.9876626378028125, 'val_mae_target_3': 0.8138359314433014, 'val_r2_target_3': -1.1021257087027987, 'val_rmse_target_4': 0.9827970148314967, 'val_mae_target_4': 0.8054435701687709, 'val_r2_target_4': -0.9116582269814788, 'val_rmse_target_5': 1.1463739559988197, 'val_mae_target_5': 0.8850999866040367, 'val_r2_target_5': -5.0155500185499795, 'val_rmse_target_6': 1.0367840102416848, 'val_mae_target_6': 0.7185596854459148, 'val_r2_target_6': -1.8064847677986453, 'val_rmse_target_7': 0.8418302776414883, 'val_mae_target_7': 0.6951696579445071, 'val_r2_target_7': -1.1406920213784701}",COMPLETE
18,0.9768862821576317,2026-02-23 20:37:33.970290,2026-02-23 20:38:14.721134,0 days 00:00:40.750844,109.52966536184114,,0.0027454967194891697,auto,rbf,50,False,"{'val_rmse_mean': 0.9858470634092866, 'val_mae_mean': 0.7804035622772332, 'val_r2_mean': -5.5183669976074015, 'val_rmse_target_0': 0.9457074857019608, 'val_mae_target_0': 0.771315118473664, 'val_r2_target_0': -3.649901328361497, 'val_rmse_target_1': 0.9349968664855699, 'val_mae_target_1': 0.719114632518262, 'val_r2_target_1': -3.0198325013683, 'val_rmse_target_2': 0.9204772955589828, 'val_mae_target_2': 0.7527320976425798, 'val_r2_target_2': -2.42785587488317, 'val_rmse_target_3': 0.9884147932055912, 'val_mae_target_3': 0.7994632930374012, 'val_r2_target_3': -5.525898030644177, 'val_rmse_target_4': 0.9906690607232965, 'val_mae_target_4': 0.7990597947610477, 'val_r2_target_4': -5.7301828567776045, 'val_rmse_target_5': 1.160267744366368, 'val_mae_target_5': 0.9332546096433088, 'val_r2_target_5': -12.871114970619898, 'val_rmse_target_6': 0.9916738664028092, 'val_mae_target_6': 0.6590918668165897, 'val_r2_target_6': -5.273227662747797, 'val_rmse_target_7': 0.9545693948297149, 'val_mae_target_7': 0.8091970853250123, 'val_r2_target_7': -5.648922755456764}",COMPLETE
19,1.1124378278536216,2026-02-23 20:38:14.951257,2026-02-23 20:38:55.712140,0 days 00:00:40.760883,18.882866312835603,5.0,0.19825802352576508,scale,poly,30,True,"{'val_rmse_mean': 1.0536980114012502, 'val_mae_mean': 0.839012926924642, 'val_r2_mean': -35.76317454304805, 'val_rmse_target_0': 1.0087650277324605, 'val_mae_target_0': 0.769477894428543, 'val_r2_target_0': -33.67289094024381, 'val_rmse_target_1': 1.0639776468879547, 'val_mae_target_1': 0.8092682113045985, 'val_r2_target_1': -39.668524008816185, 'val_rmse_target_2': 1.0155802575112436, 'val_mae_target_2': 0.8030681071224771, 'val_r2_target_2': -23.225516927602488, 'val_rmse_target_3': 1.0572776875339598, 'val_mae_target_3': 0.8898443589757591, 'val_r2_target_3': -48.11503754018267, 'val_rmse_target_4': 1.109110359075305, 'val_mae_target_4': 0.9507661399968993, 'val_r2_target_4': -68.01573614957518, 'val_rmse_target_5': 1.105071898399934, 'val_mae_target_5': 0.9059681383968402, 'val_r2_target_5': -36.06652135390464, 'val_rmse_target_6': 1.095148920079314, 'val_mae_target_6': 0.7777596894118466, 'val_r2_target_6': -26.485268397275497, 'val_rmse_target_7': 0.9746522939898301, 'val_mae_target_7': 0.8059508757601722, 'val_r2_target_7': -10.855901026783966}",COMPLETE
