number,value,datetime_start,datetime_complete,duration,params_aggregation,params_lr,params_weight_decay,user_attrs_val_metrics,state
10,0.38903184110919636,2026-01-31 11:22:51.984158,2026-01-31 11:23:29.480367,0 days 00:00:37.496209,mean,0.00010088003238987802,0.002412700984640341,"{'val_rmse_mean': 0.9904933571815491, 'val_mae_mean': 0.7460454702377319, 'val_r2_mean': -16.2803955078125, 'val_rmse_target_0': 0.9785244464874268, 'val_mae_target_0': 0.6575724482536316, 'val_r2_target_0': -9.75250244140625, 'val_rmse_target_1': 0.9842787384986877, 'val_mae_target_1': 0.747299075126648, 'val_r2_target_1': -15.463205337524414, 'val_rmse_target_2': 0.965864360332489, 'val_mae_target_2': 0.843346118927002, 'val_r2_target_2': -13.419862747192383, 'val_rmse_target_3': 1.0333058834075928, 'val_mae_target_3': 0.7359641790390015, 'val_r2_target_3': -26.486003875732422}",COMPLETE
11,0.3788806055155065,2026-01-31 11:23:29.624175,2026-01-31 11:24:05.621279,0 days 00:00:35.997104,mean,0.00010334079838480974,0.0062396870991378,"{'val_rmse_mean': 0.9712003469467163, 'val_mae_mean': 0.7287309765815735, 'val_r2_mean': -13.527813911437988, 'val_rmse_target_0': 0.9424984455108643, 'val_mae_target_0': 0.6761717200279236, 'val_r2_target_0': -11.175039291381836, 'val_rmse_target_1': 0.9979073405265808, 'val_mae_target_1': 0.7112921476364136, 'val_r2_target_1': -12.838309288024902, 'val_rmse_target_2': 0.9273201823234558, 'val_mae_target_2': 0.7942555546760559, 'val_r2_target_2': -9.57393741607666, 'val_rmse_target_3': 1.0170754194259644, 'val_mae_target_3': 0.7332046031951904, 'val_r2_target_3': -20.523971557617188}",COMPLETE
12,0.42962689232081175,2026-01-31 11:24:05.765301,2026-01-31 11:24:42.601968,0 days 00:00:36.836667,mean,0.00010133117881070849,7.282994036417827e-05,"{'val_rmse_mean': 1.0438017845153809, 'val_mae_mean': 0.7817627191543579, 'val_r2_mean': -15.51437759399414, 'val_rmse_target_0': 1.0921648740768433, 'val_mae_target_0': 0.7482428550720215, 'val_r2_target_0': -16.100141525268555, 'val_rmse_target_1': 0.9800455570220947, 'val_mae_target_1': 0.723060667514801, 'val_r2_target_1': -16.970687866210938, 'val_rmse_target_2': 1.0235649347305298, 'val_mae_target_2': 0.8677462935447693, 'val_r2_target_2': -18.15192985534668, 'val_rmse_target_3': 1.0794320106506348, 'val_mae_target_3': 0.7880011796951294, 'val_r2_target_3': -10.834741592407227}",COMPLETE
13,0.38759730356159033,2026-01-31 11:24:42.746141,2026-01-31 11:25:20.221369,0 days 00:00:37.475228,mean,0.00022840418188767566,0.006286913719403045,"{'val_rmse_mean': 0.9813789129257202, 'val_mae_mean': 0.7377322912216187, 'val_r2_mean': -13.01550579071045, 'val_rmse_target_0': 0.9405317902565002, 'val_mae_target_0': 0.6307520866394043, 'val_r2_target_0': -8.318553924560547, 'val_rmse_target_1': 0.9327656030654907, 'val_mae_target_1': 0.7245081663131714, 'val_r2_target_1': -10.259963989257812, 'val_rmse_target_2': 1.0016509294509888, 'val_mae_target_2': 0.8664047718048096, 'val_r2_target_2': -10.917299270629883, 'val_rmse_target_3': 1.0505670309066772, 'val_mae_target_3': 0.7292641997337341, 'val_r2_target_3': -22.566200256347656}",COMPLETE
14,0.3740222603082657,2026-01-31 11:25:20.365290,2026-01-31 11:25:57.139501,0 days 00:00:36.774211,mean,0.00020365104446882178,0.00038136643504647173,"{'val_rmse_mean': 0.9722914695739746, 'val_mae_mean': 0.7113950252532959, 'val_r2_mean': -16.888591766357422, 'val_rmse_target_0': 1.00351881980896, 'val_mae_target_0': 0.6500915884971619, 'val_r2_target_0': -10.842751502990723, 'val_rmse_target_1': 0.9140855073928833, 'val_mae_target_1': 0.6829136610031128, 'val_r2_target_1': -10.240696907043457, 'val_rmse_target_2': 0.960896372795105, 'val_mae_target_2': 0.826813280582428, 'val_r2_target_2': -18.788692474365234, 'val_rmse_target_3': 1.0106651782989502, 'val_mae_target_3': 0.6857617497444153, 'val_r2_target_3': -27.682220458984375}",COMPLETE
15,0.36646393431281604,2026-01-31 11:25:57.285097,2026-01-31 11:26:35.045461,0 days 00:00:37.760364,mean,0.00025400320859318107,0.00023903539410142173,"{'val_rmse_mean': 0.9417586326599121, 'val_mae_mean': 0.708163321018219, 'val_r2_mean': -10.058616638183594, 'val_rmse_target_0': 0.9324809908866882, 'val_mae_target_0': 0.6245574355125427, 'val_r2_target_0': -10.113054275512695, 'val_rmse_target_1': 0.8660616874694824, 'val_mae_target_1': 0.673294723033905, 'val_r2_target_1': -5.861559867858887, 'val_rmse_target_2': 0.9869511723518372, 'val_mae_target_2': 0.8599520325660706, 'val_r2_target_2': -9.656824111938477, 'val_rmse_target_3': 0.9815406799316406, 'val_mae_target_3': 0.6748490929603577, 'val_r2_target_3': -14.603028297424316}",COMPLETE
16,0.3789657041154526,2026-01-31 11:26:35.189120,2026-01-31 11:27:13.211831,0 days 00:00:38.022711,mean,0.00026360647349357627,2.931998333973988e-05,"{'val_rmse_mean': 0.9541847705841064, 'val_mae_mean': 0.7352921366691589, 'val_r2_mean': -9.95029067993164, 'val_rmse_target_0': 0.9090814590454102, 'val_mae_target_0': 0.6618731617927551, 'val_r2_target_0': -6.3058953285217285, 'val_rmse_target_1': 0.938110888004303, 'val_mae_target_1': 0.6972960829734802, 'val_r2_target_1': -11.073760986328125, 'val_rmse_target_2': 0.9245412349700928, 'val_mae_target_2': 0.8007965683937073, 'val_r2_target_2': -7.895895957946777, 'val_rmse_target_3': 1.0450056791305542, 'val_mae_target_3': 0.7812027931213379, 'val_r2_target_3': -14.525615692138672}",COMPLETE
17,0.42813149674071205,2026-01-31 11:27:13.355572,2026-01-31 11:27:50.006543,0 days 00:00:36.650971,mean,0.0016007026938854561,0.0003168252089352677,"{'val_rmse_mean': 1.0204341411590576, 'val_mae_mean': 0.8007785081863403, 'val_r2_mean': -1.740970492362976, 'val_rmse_target_0': 1.0128313302993774, 'val_mae_target_0': 0.786474883556366, 'val_r2_target_0': -1.3750660419464111, 'val_rmse_target_1': 0.9046329855918884, 'val_mae_target_1': 0.6514207124710083, 'val_r2_target_1': -1.4042904376983643, 'val_rmse_target_2': 1.0018436908721924, 'val_mae_target_2': 0.8260306119918823, 'val_r2_target_2': -1.3100314140319824, 'val_rmse_target_3': 1.162428379058838, 'val_mae_target_3': 0.9391879439353943, 'val_r2_target_3': -2.8744943141937256}",COMPLETE
18,0.5375174529574536,2026-01-31 11:27:50.150069,2026-01-31 11:28:27.332803,0 days 00:00:37.182734,mean,0.009000338983625303,0.00015729665978765156,"{'val_rmse_mean': 1.1528828144073486, 'val_mae_mean': 0.9177137613296509, 'val_r2_mean': -0.9396243691444397, 'val_rmse_target_0': 1.1889197826385498, 'val_mae_target_0': 0.9697045087814331, 'val_r2_target_0': -0.9817565679550171, 'val_rmse_target_1': 0.9930486679077148, 'val_mae_target_1': 0.7023765444755554, 'val_r2_target_1': -0.9126631021499634, 'val_rmse_target_2': 1.2090734243392944, 'val_mae_target_2': 0.9504973888397217, 'val_r2_target_2': -0.6235018968582153, 'val_rmse_target_3': 1.220489740371704, 'val_mae_target_3': 1.048276662826538, 'val_r2_target_3': -1.2405757904052734}",COMPLETE
19,0.4041652704278628,2026-01-31 11:28:27.475245,2026-01-31 11:29:06.085608,0 days 00:00:38.610363,mean,0.0011043947305883926,2.95863212000724e-05,"{'val_rmse_mean': 0.9983657598495483, 'val_mae_mean': 0.765587568283081, 'val_r2_mean': -3.1214168071746826, 'val_rmse_target_0': 1.0337285995483398, 'val_mae_target_0': 0.7792457938194275, 'val_r2_target_0': -2.3273987770080566, 'val_rmse_target_1': 0.8944205641746521, 'val_mae_target_1': 0.6192958950996399, 'val_r2_target_1': -3.031383514404297, 'val_rmse_target_2': 0.9625200629234314, 'val_mae_target_2': 0.8068878650665283, 'val_r2_target_2': -1.5815255641937256, 'val_rmse_target_3': 1.1027936935424805, 'val_mae_target_3': 0.8569207191467285, 'val_r2_target_3': -5.5453596115112305}",COMPLETE
