number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_path,params_dropout_reg,params_lr,params_n_path_features,params_path_aggregation,params_path_dim,params_regressor_dim,params_weight_decay,user_attrs_val_metrics,state
10,0.3490372917056084,2026-02-28 18:57:22.845748,2026-02-28 18:59:27.772017,0 days 00:02:04.926269,6,0.2268111415429171,0.21123746436104243,0.0012733242781589268,30,flatten,4,128,0.0005696697095003261,"{'val_rmse_mean': 0.9047486782073975, 'val_mae_mean': 0.7070391774177551, 'val_r2_mean': -4.653172016143799, 'val_rmse_target_0': 0.8983722925186157, 'val_mae_target_0': 0.6977999806404114, 'val_r2_target_0': -3.816537857055664, 'val_rmse_target_1': 0.8597089052200317, 'val_mae_target_1': 0.6065025329589844, 'val_r2_target_1': -3.665022850036621, 'val_rmse_target_2': 0.8565762639045715, 'val_mae_target_2': 0.6732961535453796, 'val_r2_target_2': -2.620384454727173, 'val_rmse_target_3': 0.8032004237174988, 'val_mae_target_3': 0.653168797492981, 'val_r2_target_3': -1.5444560050964355, 'val_rmse_target_4': 0.8347601294517517, 'val_mae_target_4': 0.7129197120666504, 'val_r2_target_4': -2.194284200668335, 'val_rmse_target_5': 0.992533802986145, 'val_mae_target_5': 0.8403466939926147, 'val_r2_target_5': -8.685928344726562, 'val_rmse_target_6': 1.0658271312713623, 'val_mae_target_6': 0.7074432373046875, 'val_r2_target_6': -8.355772018432617, 'val_rmse_target_7': 0.9270107746124268, 'val_mae_target_7': 0.7648364901542664, 'val_r2_target_7': -6.342990398406982}",COMPLETE
11,0.35538333356380464,2026-02-28 18:59:27.831326,2026-02-28 19:01:40.532953,0 days 00:02:12.701627,6,0.2241248657160245,0.20451731521040253,0.0010853273666265482,30,flatten,4,128,0.0005100580585485466,"{'val_rmse_mean': 0.9078037738800049, 'val_mae_mean': 0.7178839445114136, 'val_r2_mean': -4.4144206047058105, 'val_rmse_target_0': 0.9008902311325073, 'val_mae_target_0': 0.7263970971107483, 'val_r2_target_0': -3.4389538764953613, 'val_rmse_target_1': 0.9006093144416809, 'val_mae_target_1': 0.6841687560081482, 'val_r2_target_1': -4.273270606994629, 'val_rmse_target_2': 0.8616229891777039, 'val_mae_target_2': 0.6993536949157715, 'val_r2_target_2': -2.8882455825805664, 'val_rmse_target_3': 0.7933934926986694, 'val_mae_target_3': 0.6425468921661377, 'val_r2_target_3': -1.8355116844177246, 'val_rmse_target_4': 0.8368889689445496, 'val_mae_target_4': 0.6821564435958862, 'val_r2_target_4': -2.2780685424804688, 'val_rmse_target_5': 0.9369872808456421, 'val_mae_target_5': 0.7844047546386719, 'val_r2_target_5': -5.562995910644531, 'val_rmse_target_6': 1.0858359336853027, 'val_mae_target_6': 0.7343219518661499, 'val_r2_target_6': -9.03919792175293, 'val_rmse_target_7': 0.9462019801139832, 'val_mae_target_7': 0.7897219061851501, 'val_r2_target_7': -5.999121189117432}",COMPLETE
12,0.3821832646429539,2026-02-28 19:01:40.590063,2026-02-28 19:03:29.172724,0 days 00:01:48.582661,6,0.21761903313728453,0.295535807562042,0.0013435010049423345,30,flatten,4,128,0.0005720779872123729,"{'val_rmse_mean': 0.946555495262146, 'val_mae_mean': 0.7383193969726562, 'val_r2_mean': -5.291412830352783, 'val_rmse_target_0': 0.9403460025787354, 'val_mae_target_0': 0.7010437846183777, 'val_r2_target_0': -4.796761989593506, 'val_rmse_target_1': 0.9070284962654114, 'val_mae_target_1': 0.663283109664917, 'val_r2_target_1': -3.5737757682800293, 'val_rmse_target_2': 0.9035114049911499, 'val_mae_target_2': 0.7235875129699707, 'val_r2_target_2': -3.222470283508301, 'val_rmse_target_3': 0.8572901487350464, 'val_mae_target_3': 0.7066375613212585, 'val_r2_target_3': -2.168957471847534, 'val_rmse_target_4': 0.9470488429069519, 'val_mae_target_4': 0.7847726941108704, 'val_r2_target_4': -4.353096961975098, 'val_rmse_target_5': 1.0760059356689453, 'val_mae_target_5': 0.9034745693206787, 'val_r2_target_5': -8.790244102478027, 'val_rmse_target_6': 1.0420459508895874, 'val_mae_target_6': 0.676405131816864, 'val_r2_target_6': -8.018898963928223, 'val_rmse_target_7': 0.8991671800613403, 'val_mae_target_7': 0.7473507523536682, 'val_r2_target_7': -7.407100677490234}",COMPLETE
13,0.3819511672854424,2026-02-28 19:03:29.229378,2026-02-28 19:05:06.744937,0 days 00:01:37.515559,6,0.25831544047968197,0.20041126761293337,0.0014374511043477,20,flatten,4,128,0.0040476785574321,"{'val_rmse_mean': 0.9528199434280396, 'val_mae_mean': 0.7408429384231567, 'val_r2_mean': -6.866519927978516, 'val_rmse_target_0': 0.9420778155326843, 'val_mae_target_0': 0.7693153619766235, 'val_r2_target_0': -6.440489292144775, 'val_rmse_target_1': 0.9259984493255615, 'val_mae_target_1': 0.7063776254653931, 'val_r2_target_1': -7.369280815124512, 'val_rmse_target_2': 0.8969116806983948, 'val_mae_target_2': 0.7166631817817688, 'val_r2_target_2': -4.561008930206299, 'val_rmse_target_3': 0.8839500546455383, 'val_mae_target_3': 0.6757486462593079, 'val_r2_target_3': -3.082587242126465, 'val_rmse_target_4': 0.8877988457679749, 'val_mae_target_4': 0.7210326194763184, 'val_r2_target_4': -3.2769393920898438, 'val_rmse_target_5': 1.0782335996627808, 'val_mae_target_5': 0.8708107471466064, 'val_r2_target_5': -10.723406791687012, 'val_rmse_target_6': 0.9824132919311523, 'val_mae_target_6': 0.6377533674240112, 'val_r2_target_6': -8.170711517333984, 'val_rmse_target_7': 1.02517569065094, 'val_mae_target_7': 0.8290417194366455, 'val_r2_target_7': -11.307729721069336}",COMPLETE
14,0.3358784444630146,2026-02-28 19:05:06.809547,2026-02-28 19:06:50.913268,0 days 00:01:44.103721,6,0.17418698359614018,0.33702645473442605,0.0008939797951342804,45,flatten,8,256,0.008540038717134,"{'val_rmse_mean': 0.8756574392318726, 'val_mae_mean': 0.6887396574020386, 'val_r2_mean': -3.0765416622161865, 'val_rmse_target_0': 0.8024066090583801, 'val_mae_target_0': 0.6589832305908203, 'val_r2_target_0': -0.7139923572540283, 'val_rmse_target_1': 0.7685092687606812, 'val_mae_target_1': 0.5544145703315735, 'val_r2_target_1': -0.8958824872970581, 'val_rmse_target_2': 0.7512938380241394, 'val_mae_target_2': 0.6113231778144836, 'val_r2_target_2': -0.3823634386062622, 'val_rmse_target_3': 0.8001956343650818, 'val_mae_target_3': 0.6435451507568359, 'val_r2_target_3': -0.7375080585479736, 'val_rmse_target_4': 0.8516854643821716, 'val_mae_target_4': 0.6856334805488586, 'val_r2_target_4': -1.8336920738220215, 'val_rmse_target_5': 1.0497539043426514, 'val_mae_target_5': 0.8658550381660461, 'val_r2_target_5': -13.213201522827148, 'val_rmse_target_6': 1.0771321058273315, 'val_mae_target_6': 0.7346149682998657, 'val_r2_target_6': -4.507678031921387, 'val_rmse_target_7': 0.90428227186203, 'val_mae_target_7': 0.7555477023124695, 'val_r2_target_7': -2.3280134201049805}",COMPLETE
15,0.36088983073830605,2026-02-28 19:06:50.971694,2026-02-28 19:08:28.734205,0 days 00:01:37.762511,6,0.1689619851602804,0.32994501946508675,0.0008684177298296004,50,flatten,8,256,0.009532518035013328,"{'val_rmse_mean': 0.9152403473854065, 'val_mae_mean': 0.7260339856147766, 'val_r2_mean': -4.255920886993408, 'val_rmse_target_0': 0.8928093314170837, 'val_mae_target_0': 0.7055330872535706, 'val_r2_target_0': -2.698385715484619, 'val_rmse_target_1': 0.8337177038192749, 'val_mae_target_1': 0.6206380724906921, 'val_r2_target_1': -1.586216688156128, 'val_rmse_target_2': 0.7872467637062073, 'val_mae_target_2': 0.6332714557647705, 'val_r2_target_2': -1.1074681282043457, 'val_rmse_target_3': 0.8291195034980774, 'val_mae_target_3': 0.6855292320251465, 'val_r2_target_3': -1.1381609439849854, 'val_rmse_target_4': 0.9035464525222778, 'val_mae_target_4': 0.7559697031974792, 'val_r2_target_4': -2.4794936180114746, 'val_rmse_target_5': 1.0451486110687256, 'val_mae_target_5': 0.8800953030586243, 'val_r2_target_5': -12.950535774230957, 'val_rmse_target_6': 1.0771557092666626, 'val_mae_target_6': 0.7117408514022827, 'val_r2_target_6': -5.673919200897217, 'val_rmse_target_7': 0.9531788229942322, 'val_mae_target_7': 0.8154942393302917, 'val_r2_target_7': -6.413188934326172}",COMPLETE
16,0.35537121415138245,2026-02-28 19:08:28.793112,2026-02-28 19:09:50.164572,0 days 00:01:21.371460,6,0.28094747786787816,0.3921813023788921,0.0019671482075814426,45,flatten,8,256,0.0028699531819890416,"{'val_rmse_mean': 0.905977725982666, 'val_mae_mean': 0.7099505662918091, 'val_r2_mean': -3.5048508644104004, 'val_rmse_target_0': 0.8452033400535583, 'val_mae_target_0': 0.6618488430976868, 'val_r2_target_0': -1.9523437023162842, 'val_rmse_target_1': 0.900745689868927, 'val_mae_target_1': 0.6568676829338074, 'val_r2_target_1': -2.928574800491333, 'val_rmse_target_2': 0.8901192545890808, 'val_mae_target_2': 0.7231556177139282, 'val_r2_target_2': -2.020993709564209, 'val_rmse_target_3': 0.8158380389213562, 'val_mae_target_3': 0.647962749004364, 'val_r2_target_3': -1.3032021522521973, 'val_rmse_target_4': 0.8227019906044006, 'val_mae_target_4': 0.6411280035972595, 'val_r2_target_4': -1.895540714263916, 'val_rmse_target_5': 1.0338060855865479, 'val_mae_target_5': 0.8778330087661743, 'val_r2_target_5': -10.097641944885254, 'val_rmse_target_6': 1.0016893148422241, 'val_mae_target_6': 0.6953340768814087, 'val_r2_target_6': -4.194364070892334, 'val_rmse_target_7': 0.937718391418457, 'val_mae_target_7': 0.7754746079444885, 'val_r2_target_7': -3.6461453437805176}",COMPLETE
17,0.3655067247152328,2026-02-28 19:09:50.222913,2026-02-28 19:11:27.202535,0 days 00:01:36.979622,6,0.16426513796590347,0.38501838625185325,0.0008066989896989521,40,flatten,8,384,0.005419818704343714,"{'val_rmse_mean': 0.9154155254364014, 'val_mae_mean': 0.7292819023132324, 'val_r2_mean': -4.450871467590332, 'val_rmse_target_0': 0.8538159728050232, 'val_mae_target_0': 0.6762931942939758, 'val_r2_target_0': -2.355581760406494, 'val_rmse_target_1': 0.8704527616500854, 'val_mae_target_1': 0.6711780428886414, 'val_r2_target_1': -3.0337400436401367, 'val_rmse_target_2': 0.8290517330169678, 'val_mae_target_2': 0.6819009184837341, 'val_r2_target_2': -1.6536338329315186, 'val_rmse_target_3': 0.7888306379318237, 'val_mae_target_3': 0.6597643494606018, 'val_r2_target_3': -1.9149982929229736, 'val_rmse_target_4': 0.8374893069267273, 'val_mae_target_4': 0.663801372051239, 'val_r2_target_4': -2.5036396980285645, 'val_rmse_target_5': 1.0676445960998535, 'val_mae_target_5': 0.8904440402984619, 'val_r2_target_5': -12.680278778076172, 'val_rmse_target_6': 1.0508790016174316, 'val_mae_target_6': 0.7237116098403931, 'val_r2_target_6': -5.220703125, 'val_rmse_target_7': 1.0251604318618774, 'val_mae_target_7': 0.8671619296073914, 'val_r2_target_7': -6.24439811706543}",COMPLETE
18,0.36896874457597734,2026-02-28 19:11:27.260706,2026-02-28 19:13:11.857108,0 days 00:01:44.596402,6,0.34581048821961097,0.2776844758915445,0.0007880933188039549,50,flatten,8,256,0.0036301974210114925,"{'val_rmse_mean': 0.9367731809616089, 'val_mae_mean': 0.7302886247634888, 'val_r2_mean': -3.5055222511291504, 'val_rmse_target_0': 0.9897863864898682, 'val_mae_target_0': 0.7705541253089905, 'val_r2_target_0': -3.055915355682373, 'val_rmse_target_1': 0.8793939352035522, 'val_mae_target_1': 0.6801406741142273, 'val_r2_target_1': -1.9937431812286377, 'val_rmse_target_2': 0.8440068960189819, 'val_mae_target_2': 0.6785962581634521, 'val_r2_target_2': -1.2458202838897705, 'val_rmse_target_3': 0.7992832064628601, 'val_mae_target_3': 0.6555030941963196, 'val_r2_target_3': -1.178107500076294, 'val_rmse_target_4': 0.8553783297538757, 'val_mae_target_4': 0.6988266706466675, 'val_r2_target_4': -1.7106094360351562, 'val_rmse_target_5': 1.0560189485549927, 'val_mae_target_5': 0.8654725551605225, 'val_r2_target_5': -9.978743553161621, 'val_rmse_target_6': 1.1587361097335815, 'val_mae_target_6': 0.7397050261497498, 'val_r2_target_6': -5.251969337463379, 'val_rmse_target_7': 0.9115819334983826, 'val_mae_target_7': 0.7535104155540466, 'val_r2_target_7': -3.629270553588867}",COMPLETE
19,0.3859869013726711,2026-02-28 19:13:11.918540,2026-02-28 19:15:38.979324,0 days 00:02:27.060784,6,0.17254269707683015,0.47258910030577705,0.0006403646623722123,70,flatten,2,256,0.005739984975773433,"{'val_rmse_mean': 0.9618965983390808, 'val_mae_mean': 0.7334829568862915, 'val_r2_mean': -10.183313369750977, 'val_rmse_target_0': 0.9785749912261963, 'val_mae_target_0': 0.7135228514671326, 'val_r2_target_0': -9.859384536743164, 'val_rmse_target_1': 1.017242193222046, 'val_mae_target_1': 0.7787712216377258, 'val_r2_target_1': -10.389323234558105, 'val_rmse_target_2': 0.9148007035255432, 'val_mae_target_2': 0.7091009020805359, 'val_r2_target_2': -6.195606231689453, 'val_rmse_target_3': 0.8046566843986511, 'val_mae_target_3': 0.6271190047264099, 'val_r2_target_3': -3.481264114379883, 'val_rmse_target_4': 0.8860530257225037, 'val_mae_target_4': 0.6912930011749268, 'val_r2_target_4': -6.33292293548584, 'val_rmse_target_5': 1.0174024105072021, 'val_mae_target_5': 0.8464117646217346, 'val_r2_target_5': -18.892780303955078, 'val_rmse_target_6': 1.0758763551712036, 'val_mae_target_6': 0.690900444984436, 'val_r2_target_6': -8.30726432800293, 'val_rmse_target_7': 1.0005663633346558, 'val_mae_target_7': 0.8107445240020752, 'val_r2_target_7': -18.00795555114746}",COMPLETE
