number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_path,params_dropout_reg,params_lr,params_n_path_features,params_path_aggregation,params_path_dim,params_regressor_dim,params_weight_decay,user_attrs_val_metrics,state
20,0.35799677565693855,2026-02-28 19:15:39.037892,2026-02-28 19:16:56.819893,0 days 00:01:17.782001,6,0.26811050639633927,0.3399975131621228,0.0018795189516127202,40,flatten,8,384,0.0009291882701845736,"{'val_rmse_mean': 0.9126591682434082, 'val_mae_mean': 0.7131251096725464, 'val_r2_mean': -2.6606554985046387, 'val_rmse_target_0': 0.8836665749549866, 'val_mae_target_0': 0.7311932444572449, 'val_r2_target_0': -1.6426668167114258, 'val_rmse_target_1': 0.8885473012924194, 'val_mae_target_1': 0.6793445348739624, 'val_r2_target_1': -2.348396062850952, 'val_rmse_target_2': 0.8621301651000977, 'val_mae_target_2': 0.6813706159591675, 'val_r2_target_2': -1.0077521800994873, 'val_rmse_target_3': 0.7968029379844666, 'val_mae_target_3': 0.6046574115753174, 'val_r2_target_3': -0.5051732063293457, 'val_rmse_target_4': 0.8803293704986572, 'val_mae_target_4': 0.6908089518547058, 'val_r2_target_4': -1.2292227745056152, 'val_rmse_target_5': 1.0725020170211792, 'val_mae_target_5': 0.8754146695137024, 'val_r2_target_5': -8.195425033569336, 'val_rmse_target_6': 0.9404771327972412, 'val_mae_target_6': 0.6496565341949463, 'val_r2_target_6': -3.188840866088867, 'val_rmse_target_7': 0.9768176674842834, 'val_mae_target_7': 0.7925552129745483, 'val_r2_target_7': -3.167764663696289}",COMPLETE
21,0.35534500032663346,2026-02-28 19:16:56.878056,2026-02-28 19:19:07.380971,0 days 00:02:10.502915,6,0.24416921022388507,0.2415438155197157,0.0011816934407238313,30,flatten,4,128,0.0007987273970625583,"{'val_rmse_mean': 0.9083188772201538, 'val_mae_mean': 0.709091305732727, 'val_r2_mean': -5.181391716003418, 'val_rmse_target_0': 0.9266584515571594, 'val_mae_target_0': 0.7545077800750732, 'val_r2_target_0': -6.867614269256592, 'val_rmse_target_1': 0.8827692270278931, 'val_mae_target_1': 0.6139482855796814, 'val_r2_target_1': -3.721862316131592, 'val_rmse_target_2': 0.821888267993927, 'val_mae_target_2': 0.674335777759552, 'val_r2_target_2': -2.5371687412261963, 'val_rmse_target_3': 0.738468587398529, 'val_mae_target_3': 0.6024779677391052, 'val_r2_target_3': -1.617065668106079, 'val_rmse_target_4': 0.8194606900215149, 'val_mae_target_4': 0.6596861481666565, 'val_r2_target_4': -2.5734193325042725, 'val_rmse_target_5': 1.0705920457839966, 'val_mae_target_5': 0.88262540102005, 'val_r2_target_5': -7.898489952087402, 'val_rmse_target_6': 1.0336673259735107, 'val_mae_target_6': 0.6843950748443604, 'val_r2_target_6': -5.826155185699463, 'val_rmse_target_7': 0.973046600818634, 'val_mae_target_7': 0.8007537126541138, 'val_r2_target_7': -10.409358024597168}",COMPLETE
22,0.387413729429245,2026-02-28 19:19:07.438966,2026-02-28 19:21:02.907139,0 days 00:01:55.468173,6,0.19500482711122363,0.292623390006784,0.0009823471260835305,35,flatten,4,128,0.009999599704584576,"{'val_rmse_mean': 0.9606361389160156, 'val_mae_mean': 0.7486145496368408, 'val_r2_mean': -9.128174781799316, 'val_rmse_target_0': 0.9480025768280029, 'val_mae_target_0': 0.7571722269058228, 'val_r2_target_0': -7.696183204650879, 'val_rmse_target_1': 0.9126328825950623, 'val_mae_target_1': 0.6919888854026794, 'val_r2_target_1': -4.730772018432617, 'val_rmse_target_2': 0.894035816192627, 'val_mae_target_2': 0.7139461636543274, 'val_r2_target_2': -3.7343711853027344, 'val_rmse_target_3': 0.9186491966247559, 'val_mae_target_3': 0.7295806407928467, 'val_r2_target_3': -5.132434844970703, 'val_rmse_target_4': 0.9273651242256165, 'val_mae_target_4': 0.7438943982124329, 'val_r2_target_4': -4.450735092163086, 'val_rmse_target_5': 1.0161659717559814, 'val_mae_target_5': 0.8472567796707153, 'val_r2_target_5': -20.8868465423584, 'val_rmse_target_6': 1.0554478168487549, 'val_mae_target_6': 0.6911947727203369, 'val_r2_target_6': -13.866043090820312, 'val_rmse_target_7': 1.0127894878387451, 'val_mae_target_7': 0.8138828873634338, 'val_r2_target_7': -12.52801513671875}",COMPLETE
23,0.33951360136270525,2026-02-28 19:21:02.965156,2026-02-28 19:22:49.417935,0 days 00:01:46.452779,6,0.14438350976521955,0.24383826299246608,0.0016278733303928038,25,flatten,4,96,0.0006960870108729693,"{'val_rmse_mean': 0.8862512707710266, 'val_mae_mean': 0.6887680292129517, 'val_r2_mean': -2.648826837539673, 'val_rmse_target_0': 0.8633464574813843, 'val_mae_target_0': 0.6759521961212158, 'val_r2_target_0': -1.8127965927124023, 'val_rmse_target_1': 0.9225775599479675, 'val_mae_target_1': 0.7049185037612915, 'val_r2_target_1': -2.4544637203216553, 'val_rmse_target_2': 0.8263612985610962, 'val_mae_target_2': 0.6636685132980347, 'val_r2_target_2': -1.2781720161437988, 'val_rmse_target_3': 0.725411057472229, 'val_mae_target_3': 0.5797890424728394, 'val_r2_target_3': -0.6165235042572021, 'val_rmse_target_4': 0.7849689722061157, 'val_mae_target_4': 0.6019121408462524, 'val_r2_target_4': -1.612269401550293, 'val_rmse_target_5': 0.9744609594345093, 'val_mae_target_5': 0.8177737593650818, 'val_r2_target_5': -6.062272548675537, 'val_rmse_target_6': 1.0795947313308716, 'val_mae_target_6': 0.7353250980377197, 'val_r2_target_6': -4.6675310134887695, 'val_rmse_target_7': 0.9132892489433289, 'val_mae_target_7': 0.7308051586151123, 'val_r2_target_7': -2.686584234237671}",COMPLETE
24,0.3583555692434311,2026-02-28 19:22:49.475052,2026-02-28 19:24:29.707195,0 days 00:01:40.232143,6,0.1459395093281065,0.31330048135585975,0.0015155605540576097,25,flatten,4,96,0.002113850023600157,"{'val_rmse_mean': 0.913080096244812, 'val_mae_mean': 0.7233660221099854, 'val_r2_mean': -5.005293846130371, 'val_rmse_target_0': 0.9132313132286072, 'val_mae_target_0': 0.7559278607368469, 'val_r2_target_0': -5.031391620635986, 'val_rmse_target_1': 0.8984861969947815, 'val_mae_target_1': 0.6694090366363525, 'val_r2_target_1': -4.565577030181885, 'val_rmse_target_2': 0.8463404774665833, 'val_mae_target_2': 0.686133861541748, 'val_r2_target_2': -3.157395362854004, 'val_rmse_target_3': 0.8691152334213257, 'val_mae_target_3': 0.6878411173820496, 'val_r2_target_3': -2.031449317932129, 'val_rmse_target_4': 0.8503403663635254, 'val_mae_target_4': 0.6984631419181824, 'val_r2_target_4': -1.9017987251281738, 'val_rmse_target_5': 1.0067065954208374, 'val_mae_target_5': 0.8518490791320801, 'val_r2_target_5': -8.442834854125977, 'val_rmse_target_6': 0.9943853616714478, 'val_mae_target_6': 0.6708680987358093, 'val_r2_target_6': -7.500075340270996, 'val_rmse_target_7': 0.926035463809967, 'val_mae_target_7': 0.7664358019828796, 'val_r2_target_7': -7.411823272705078}",COMPLETE
25,0.34940996959805487,2026-02-28 19:24:29.766247,2026-02-28 19:26:20.139958,0 days 00:01:50.373711,6,0.14559623570788321,0.36282681433798775,0.001762800131114416,25,flatten,4,96,0.00616006843207228,"{'val_rmse_mean': 0.898453950881958, 'val_mae_mean': 0.7084540128707886, 'val_r2_mean': -4.90383243560791, 'val_rmse_target_0': 0.8787497282028198, 'val_mae_target_0': 0.7051213979721069, 'val_r2_target_0': -3.1184253692626953, 'val_rmse_target_1': 0.8957757353782654, 'val_mae_target_1': 0.6836370825767517, 'val_r2_target_1': -4.667857646942139, 'val_rmse_target_2': 0.8182398080825806, 'val_mae_target_2': 0.653901219367981, 'val_r2_target_2': -1.869786024093628, 'val_rmse_target_3': 0.7713536620140076, 'val_mae_target_3': 0.630325198173523, 'val_r2_target_3': -1.8292546272277832, 'val_rmse_target_4': 0.816356360912323, 'val_mae_target_4': 0.6658191680908203, 'val_r2_target_4': -2.419743776321411, 'val_rmse_target_5': 1.0039862394332886, 'val_mae_target_5': 0.840059220790863, 'val_r2_target_5': -7.349906921386719, 'val_rmse_target_6': 1.0453011989593506, 'val_mae_target_6': 0.6992934346199036, 'val_r2_target_6': -7.4144392013549805, 'val_rmse_target_7': 0.9578689336776733, 'val_mae_target_7': 0.7894755005836487, 'val_r2_target_7': -10.56124496459961}",COMPLETE
26,0.3922459524869919,2026-02-28 19:26:20.197763,2026-02-28 19:28:41.746989,0 days 00:02:21.549226,6,0.19216234425166898,0.25015646835993705,0.0007078194804296193,35,flatten,8,96,0.0027128746799865524,"{'val_rmse_mean': 0.9675393104553223, 'val_mae_mean': 0.751512348651886, 'val_r2_mean': -11.419636726379395, 'val_rmse_target_0': 0.96763014793396, 'val_mae_target_0': 0.7304869890213013, 'val_r2_target_0': -4.384760856628418, 'val_rmse_target_1': 0.9473167657852173, 'val_mae_target_1': 0.6950937509536743, 'val_r2_target_1': -5.697542667388916, 'val_rmse_target_2': 0.9434969425201416, 'val_mae_target_2': 0.7349119782447815, 'val_r2_target_2': -5.481680870056152, 'val_rmse_target_3': 0.8592448830604553, 'val_mae_target_3': 0.6934013962745667, 'val_r2_target_3': -3.2985219955444336, 'val_rmse_target_4': 0.8974359631538391, 'val_mae_target_4': 0.7104091644287109, 'val_r2_target_4': -6.534034729003906, 'val_rmse_target_5': 1.0410137176513672, 'val_mae_target_5': 0.877413272857666, 'val_r2_target_5': -32.29764175415039, 'val_rmse_target_6': 1.1142752170562744, 'val_mae_target_6': 0.7617465257644653, 'val_r2_target_6': -17.308549880981445, 'val_rmse_target_7': 0.9699010252952576, 'val_mae_target_7': 0.8086355328559875, 'val_r2_target_7': -16.354354858398438}",COMPLETE
27,0.34865401953458786,2026-02-28 19:28:41.804558,2026-02-28 19:30:02.546145,0 days 00:01:20.741587,6,0.1028651600704091,0.44522562609040917,0.002222542418662342,20,flatten,2,512,0.0008297489432746444,"{'val_rmse_mean': 0.9022447466850281, 'val_mae_mean': 0.6946365237236023, 'val_r2_mean': -1.5316414833068848, 'val_rmse_target_0': 0.937404453754425, 'val_mae_target_0': 0.7162050604820251, 'val_r2_target_0': -2.4294698238372803, 'val_rmse_target_1': 0.9892951846122742, 'val_mae_target_1': 0.7880216240882874, 'val_r2_target_1': -2.606579065322876, 'val_rmse_target_2': 0.9487376809120178, 'val_mae_target_2': 0.7623351812362671, 'val_r2_target_2': -1.2502470016479492, 'val_rmse_target_3': 0.6551755666732788, 'val_mae_target_3': 0.5132003426551819, 'val_r2_target_3': 0.28899335861206055, 'val_rmse_target_4': 0.6916760802268982, 'val_mae_target_4': 0.5297893285751343, 'val_r2_target_4': 0.10637402534484863, 'val_rmse_target_5': 0.9929639101028442, 'val_mae_target_5': 0.8123063445091248, 'val_r2_target_5': -1.6667656898498535, 'val_rmse_target_6': 1.0177370309829712, 'val_mae_target_6': 0.6415652632713318, 'val_r2_target_6': -2.0919947624206543, 'val_rmse_target_7': 0.9849679470062256, 'val_mae_target_7': 0.7936691045761108, 'val_r2_target_7': -2.6034414768218994}",COMPLETE
28,0.4084042990207672,2026-02-28 19:30:02.602639,2026-02-28 19:32:01.856087,0 days 00:01:59.253448,6,0.3042708238765478,0.26525400612701205,0.0009510354947422351,50,flatten,4,96,0.0006849746187996493,"{'val_rmse_mean': 0.9873087406158447, 'val_mae_mean': 0.7771517038345337, 'val_r2_mean': -14.893425941467285, 'val_rmse_target_0': 1.0055655241012573, 'val_mae_target_0': 0.7761220335960388, 'val_r2_target_0': -8.289399147033691, 'val_rmse_target_1': 0.9879481196403503, 'val_mae_target_1': 0.7322284579277039, 'val_r2_target_1': -16.497264862060547, 'val_rmse_target_2': 0.998390793800354, 'val_mae_target_2': 0.8008707165718079, 'val_r2_target_2': -10.18293571472168, 'val_rmse_target_3': 0.8963559865951538, 'val_mae_target_3': 0.735756516456604, 'val_r2_target_3': -6.8688225746154785, 'val_rmse_target_4': 0.9199360013008118, 'val_mae_target_4': 0.7780357599258423, 'val_r2_target_4': -8.969104766845703, 'val_rmse_target_5': 0.9819529056549072, 'val_mae_target_5': 0.8152288794517517, 'val_r2_target_5': -26.877538681030273, 'val_rmse_target_6': 1.0785776376724243, 'val_mae_target_6': 0.7378237843513489, 'val_r2_target_6': -23.617826461791992, 'val_rmse_target_7': 1.0297431945800781, 'val_mae_target_7': 0.8411476612091064, 'val_r2_target_7': -17.844501495361328}",COMPLETE
29,0.3798847872018814,2026-02-28 19:32:01.914321,2026-02-28 19:34:10.864810,0 days 00:02:08.950489,6,0.2001467190279247,0.2294501992096632,0.0006049798736362372,45,flatten,6,256,0.0011241790983215108,"{'val_rmse_mean': 0.9525150656700134, 'val_mae_mean': 0.7389736175537109, 'val_r2_mean': -8.108905792236328, 'val_rmse_target_0': 0.932228147983551, 'val_mae_target_0': 0.7641538381576538, 'val_r2_target_0': -4.622871398925781, 'val_rmse_target_1': 0.9418378472328186, 'val_mae_target_1': 0.7130957841873169, 'val_r2_target_1': -5.013221263885498, 'val_rmse_target_2': 0.8849086761474609, 'val_mae_target_2': 0.6785973906517029, 'val_r2_target_2': -4.630871772766113, 'val_rmse_target_3': 0.8595696091651917, 'val_mae_target_3': 0.6687987446784973, 'val_r2_target_3': -3.0216217041015625, 'val_rmse_target_4': 0.8591094017028809, 'val_mae_target_4': 0.6571316719055176, 'val_r2_target_4': -4.106818675994873, 'val_rmse_target_5': 1.0194931030273438, 'val_mae_target_5': 0.8765580058097839, 'val_r2_target_5': -16.932252883911133, 'val_rmse_target_6': 1.0898282527923584, 'val_mae_target_6': 0.7098936438560486, 'val_r2_target_6': -13.361790657043457, 'val_rmse_target_7': 1.0331459045410156, 'val_mae_target_7': 0.8435598015785217, 'val_r2_target_7': -13.181793212890625}",COMPLETE
