,mean_weight
0,0.05035419
1,0.03285235
2,0.032826226
3,0.049807146
4,0.024455514
5,0.029359719
6,0.06894328
7,0.021369744
8,0.05641024
9,0.020859217
10,0.029362982
11,0.057594314
12,0.12624203
13,0.12408057
14,0.0481848
15,0.0333426
16,0.06682553
17,0.057947535
18,0.0386291
19,0.030552853
