number,value,datetime_start,datetime_complete,duration,params_aggregation,params_dropout,params_hidden_dim,params_lr,params_weight_decay,user_attrs_val_metrics,state
0,0.41416335361147366,2026-02-03 23:30:39.641945,2026-02-03 23:31:12.117833,0 days 00:00:32.475888,mean,0.27061454067242247,64,0.00019574813575410718,7.416456838848902e-05,"{'val_rmse_mean': 0.9699963331222534, 'val_mae_mean': 0.7978894114494324, 'val_r2_mean': -14.642486572265625, 'val_rmse_target_0': 0.9699963331222534, 'val_mae_target_0': 0.7978894114494324, 'val_r2_target_0': -14.642486572265625}",COMPLETE
1,0.41576682374862783,2026-02-03 23:31:12.318274,2026-02-03 23:31:45.311044,0 days 00:00:32.992770,mean,0.3427294901774502,64,0.00034980706266146027,0.00010770538934581881,"{'val_rmse_mean': 0.9638990759849548, 'val_mae_mean': 0.7972315549850464, 'val_r2_mean': -5.934902667999268, 'val_rmse_target_0': 0.9638990759849548, 'val_mae_target_0': 0.7972315549850464, 'val_r2_target_0': -5.934902667999268}",COMPLETE
2,0.394307637582878,2026-02-03 23:31:45.505103,2026-02-03 23:32:17.476933,0 days 00:00:31.971830,mean,0.3431798873066723,128,0.0021465646308437337,8.792282227683973e-05,"{'val_rmse_mean': 0.9353926777839661, 'val_mae_mean': 0.7577201128005981, 'val_r2_mean': -1.5129735469818115, 'val_rmse_target_0': 0.9353926777839661, 'val_mae_target_0': 0.7577201128005981, 'val_r2_target_0': -1.5129735469818115}",COMPLETE
3,0.4380024600907712,2026-02-03 23:32:17.671248,2026-02-03 23:32:52.338716,0 days 00:00:34.667468,attention,0.18345478219762068,128,0.0004834802531626572,0.00012677522179221283,"{'val_rmse_mean': 1.0112395286560059, 'val_mae_mean': 0.8052142262458801, 'val_r2_mean': -3.33516788482666, 'val_rmse_target_0': 1.0112395286560059, 'val_mae_target_0': 0.8052142262458801, 'val_r2_target_0': -3.33516788482666}",COMPLETE
4,0.4151428919199302,2026-02-03 23:32:52.532280,2026-02-03 23:33:25.063429,0 days 00:00:32.531149,mean,0.3404891961684271,32,0.00023044649038184357,0.00018081130867225688,"{'val_rmse_mean': 0.9680841565132141, 'val_mae_mean': 0.8052761554718018, 'val_r2_mean': -27.950197219848633, 'val_rmse_target_0': 0.9680841565132141, 'val_mae_target_0': 0.8052761554718018, 'val_r2_target_0': -27.950197219848633}",COMPLETE
5,0.4322286494511732,2026-02-03 23:33:25.258558,2026-02-03 23:33:56.318104,0 days 00:00:31.059546,mean,0.35655305447245444,64,0.0016022268924463568,0.005936598411832847,"{'val_rmse_mean': 0.992371678352356, 'val_mae_mean': 0.7944928407669067, 'val_r2_mean': -2.185213088989258, 'val_rmse_target_0': 0.992371678352356, 'val_mae_target_0': 0.7944928407669067, 'val_r2_target_0': -2.185213088989258}",COMPLETE
6,0.38670230668449895,2026-02-03 23:33:56.510551,2026-02-03 23:34:32.388559,0 days 00:00:35.878008,attention,0.1454100296589543,128,0.0006280131650008538,0.0007480163913176308,"{'val_rmse_mean': 0.9360001683235168, 'val_mae_mean': 0.7343659996986389, 'val_r2_mean': -1.731947422027588, 'val_rmse_target_0': 0.9360001683235168, 'val_mae_target_0': 0.7343659996986389, 'val_r2_target_0': -1.731947422027588}",COMPLETE
7,0.41800070002123163,2026-02-03 23:34:32.582650,2026-02-03 23:35:06.529563,0 days 00:00:33.946913,attention,0.027192198854061947,128,0.00011959541128584742,6.385090320420885e-05,"{'val_rmse_mean': 0.976861834526062, 'val_mae_mean': 0.8142349123954773, 'val_r2_mean': -14.622833251953125, 'val_rmse_target_0': 0.976861834526062, 'val_mae_target_0': 0.8142349123954773, 'val_r2_target_0': -14.622833251953125}",COMPLETE
8,0.3939691553120644,2026-02-03 23:35:06.723811,2026-02-03 23:35:42.313645,0 days 00:00:35.589834,attention,0.15701546392964044,64,0.0014695014998230352,0.008292461568360537,"{'val_rmse_mean': 0.9445697069168091, 'val_mae_mean': 0.7601779699325562, 'val_r2_mean': -2.49519944190979, 'val_rmse_target_0': 0.9445697069168091, 'val_mae_target_0': 0.7601779699325562, 'val_r2_target_0': -2.49519944190979}",COMPLETE
9,0.43875746132323035,2026-02-03 23:35:42.507828,2026-02-03 23:36:17.358721,0 days 00:00:34.850893,attention,0.020735240147115166,128,0.0001273308657061721,0.0006521432123404099,"{'val_rmse_mean': 0.9937450885772705, 'val_mae_mean': 0.8390262722969055, 'val_r2_mean': -12.934030532836914, 'val_rmse_target_0': 0.9937450885772705, 'val_mae_target_0': 0.8390262722969055, 'val_r2_target_0': -12.934030532836914}",COMPLETE
