number,value,datetime_start,datetime_complete,duration,params_n_estimators,params_n_path_features,user_attrs_val_metrics,state
20,0.9422262376546859,2026-03-01 17:54:03.641778,2026-03-01 17:56:21.377551,0 days 00:02:17.735773,6,45,"{'val_rmse_mean': 0.9656916260719299, 'val_mae_mean': 0.7475570440292358, 'val_r2_mean': -10.054413795471191, 'val_rmse_target_0': 0.8414688110351562, 'val_mae_target_0': 0.6609737277030945, 'val_r2_target_0': -0.7270963191986084, 'val_rmse_target_1': 0.8703597784042358, 'val_mae_target_1': 0.6541014909744263, 'val_r2_target_1': -1.164994478225708, 'val_rmse_target_2': 0.9075524210929871, 'val_mae_target_2': 0.7302888631820679, 'val_r2_target_2': -1.7272377014160156, 'val_rmse_target_3': 0.9591651558876038, 'val_mae_target_3': 0.7433379292488098, 'val_r2_target_3': -4.289924621582031, 'val_rmse_target_4': 1.015860915184021, 'val_mae_target_4': 0.8137468695640564, 'val_r2_target_4': -6.217203140258789, 'val_rmse_target_5': 1.0907548666000366, 'val_mae_target_5': 0.8628314137458801, 'val_r2_target_5': -54.903743743896484, 'val_rmse_target_6': 1.132629156112671, 'val_mae_target_6': 0.7787388563156128, 'val_r2_target_6': -7.788247108459473, 'val_rmse_target_7': 0.9077423810958862, 'val_mae_target_7': 0.7364370226860046, 'val_r2_target_7': -3.6168713569641113}",COMPLETE
21,0.8945463421940804,2026-03-01 17:56:21.448156,2026-03-01 17:59:58.429566,0 days 00:03:36.981410,16,30,"{'val_rmse_mean': 0.9396011829376221, 'val_mae_mean': 0.7141463160514832, 'val_r2_mean': -6.935826301574707, 'val_rmse_target_0': 0.8382141590118408, 'val_mae_target_0': 0.6493105292320251, 'val_r2_target_0': -0.8224352598190308, 'val_rmse_target_1': 0.8919015526771545, 'val_mae_target_1': 0.6587502956390381, 'val_r2_target_1': -1.3187425136566162, 'val_rmse_target_2': 0.9139469861984253, 'val_mae_target_2': 0.699881374835968, 'val_r2_target_2': -1.6494786739349365, 'val_rmse_target_3': 0.7960627675056458, 'val_mae_target_3': 0.596285343170166, 'val_r2_target_3': -0.6760437488555908, 'val_rmse_target_4': 0.8709750175476074, 'val_mae_target_4': 0.6789592504501343, 'val_r2_target_4': -1.2850708961486816, 'val_rmse_target_5': 1.0996663570404053, 'val_mae_target_5': 0.8816498517990112, 'val_r2_target_5': -35.904327392578125, 'val_rmse_target_6': 1.0959851741790771, 'val_mae_target_6': 0.7275464534759521, 'val_r2_target_6': -9.822131156921387, 'val_rmse_target_7': 1.010057806968689, 'val_mae_target_7': 0.8207874298095703, 'val_r2_target_7': -4.008381366729736}",COMPLETE
22,0.8945463421940804,2026-03-01 17:59:58.499625,2026-03-01 18:03:34.764948,0 days 00:03:36.265323,16,30,"{'val_rmse_mean': 0.9396011829376221, 'val_mae_mean': 0.7141463160514832, 'val_r2_mean': -6.935826301574707, 'val_rmse_target_0': 0.8382141590118408, 'val_mae_target_0': 0.6493105292320251, 'val_r2_target_0': -0.8224352598190308, 'val_rmse_target_1': 0.8919015526771545, 'val_mae_target_1': 0.6587502956390381, 'val_r2_target_1': -1.3187425136566162, 'val_rmse_target_2': 0.9139469861984253, 'val_mae_target_2': 0.699881374835968, 'val_r2_target_2': -1.6494786739349365, 'val_rmse_target_3': 0.7960627675056458, 'val_mae_target_3': 0.596285343170166, 'val_r2_target_3': -0.6760437488555908, 'val_rmse_target_4': 0.8709750175476074, 'val_mae_target_4': 0.6789592504501343, 'val_r2_target_4': -1.2850708961486816, 'val_rmse_target_5': 1.0996663570404053, 'val_mae_target_5': 0.8816498517990112, 'val_r2_target_5': -35.904327392578125, 'val_rmse_target_6': 1.0959851741790771, 'val_mae_target_6': 0.7275464534759521, 'val_r2_target_6': -9.822131156921387, 'val_rmse_target_7': 1.010057806968689, 'val_mae_target_7': 0.8207874298095703, 'val_r2_target_7': -4.008381366729736}",COMPLETE
23,0.8945463421940804,2026-03-01 18:03:34.833976,2026-03-01 18:07:11.863510,0 days 00:03:37.029534,16,30,"{'val_rmse_mean': 0.9396011829376221, 'val_mae_mean': 0.7141463160514832, 'val_r2_mean': -6.935826301574707, 'val_rmse_target_0': 0.8382141590118408, 'val_mae_target_0': 0.6493105292320251, 'val_r2_target_0': -0.8224352598190308, 'val_rmse_target_1': 0.8919015526771545, 'val_mae_target_1': 0.6587502956390381, 'val_r2_target_1': -1.3187425136566162, 'val_rmse_target_2': 0.9139469861984253, 'val_mae_target_2': 0.699881374835968, 'val_r2_target_2': -1.6494786739349365, 'val_rmse_target_3': 0.7960627675056458, 'val_mae_target_3': 0.596285343170166, 'val_r2_target_3': -0.6760437488555908, 'val_rmse_target_4': 0.8709750175476074, 'val_mae_target_4': 0.6789592504501343, 'val_r2_target_4': -1.2850708961486816, 'val_rmse_target_5': 1.0996663570404053, 'val_mae_target_5': 0.8816498517990112, 'val_r2_target_5': -35.904327392578125, 'val_rmse_target_6': 1.0959851741790771, 'val_mae_target_6': 0.7275464534759521, 'val_r2_target_6': -9.822131156921387, 'val_rmse_target_7': 1.010057806968689, 'val_mae_target_7': 0.8207874298095703, 'val_r2_target_7': -4.008381366729736}",COMPLETE
24,0.8974397403001785,2026-03-01 18:07:11.936266,2026-03-01 18:10:40.319823,0 days 00:03:28.383557,15,30,"{'val_rmse_mean': 0.941390335559845, 'val_mae_mean': 0.716733455657959, 'val_r2_mean': -7.205564498901367, 'val_rmse_target_0': 0.834985613822937, 'val_mae_target_0': 0.6427366733551025, 'val_r2_target_0': -0.841443657875061, 'val_rmse_target_1': 0.8929620981216431, 'val_mae_target_1': 0.6663709878921509, 'val_r2_target_1': -1.2689611911773682, 'val_rmse_target_2': 0.9122515916824341, 'val_mae_target_2': 0.7003514766693115, 'val_r2_target_2': -1.7259137630462646, 'val_rmse_target_3': 0.8035020232200623, 'val_mae_target_3': 0.6000179052352905, 'val_r2_target_3': -0.7257823944091797, 'val_rmse_target_4': 0.8866675496101379, 'val_mae_target_4': 0.6922397017478943, 'val_r2_target_4': -1.3763446807861328, 'val_rmse_target_5': 1.098057746887207, 'val_mae_target_5': 0.8800187706947327, 'val_r2_target_5': -38.42884063720703, 'val_rmse_target_6': 1.0989971160888672, 'val_mae_target_6': 0.7319573760032654, 'val_r2_target_6': -9.448484420776367, 'val_rmse_target_7': 1.0036994218826294, 'val_mae_target_7': 0.8201749920845032, 'val_r2_target_7': -3.828737258911133}",COMPLETE
25,0.8974397403001785,2026-03-01 18:10:40.389488,2026-03-01 18:14:08.184745,0 days 00:03:27.795257,15,30,"{'val_rmse_mean': 0.941390335559845, 'val_mae_mean': 0.716733455657959, 'val_r2_mean': -7.205564498901367, 'val_rmse_target_0': 0.834985613822937, 'val_mae_target_0': 0.6427366733551025, 'val_r2_target_0': -0.841443657875061, 'val_rmse_target_1': 0.8929620981216431, 'val_mae_target_1': 0.6663709878921509, 'val_r2_target_1': -1.2689611911773682, 'val_rmse_target_2': 0.9122515916824341, 'val_mae_target_2': 0.7003514766693115, 'val_r2_target_2': -1.7259137630462646, 'val_rmse_target_3': 0.8035020232200623, 'val_mae_target_3': 0.6000179052352905, 'val_r2_target_3': -0.7257823944091797, 'val_rmse_target_4': 0.8866675496101379, 'val_mae_target_4': 0.6922397017478943, 'val_r2_target_4': -1.3763446807861328, 'val_rmse_target_5': 1.098057746887207, 'val_mae_target_5': 0.8800187706947327, 'val_r2_target_5': -38.42884063720703, 'val_rmse_target_6': 1.0989971160888672, 'val_mae_target_6': 0.7319573760032654, 'val_r2_target_6': -9.448484420776367, 'val_rmse_target_7': 1.0036994218826294, 'val_mae_target_7': 0.8201749920845032, 'val_r2_target_7': -3.828737258911133}",COMPLETE
26,0.9306043601036071,2026-03-01 18:14:08.254433,2026-03-01 18:17:18.531812,0 days 00:03:10.277379,12,40,"{'val_rmse_mean': 0.9597625732421875, 'val_mae_mean': 0.7425987124443054, 'val_r2_mean': -10.17872142791748, 'val_rmse_target_0': 0.8214601278305054, 'val_mae_target_0': 0.6580923199653625, 'val_r2_target_0': -0.6944087743759155, 'val_rmse_target_1': 0.9032655358314514, 'val_mae_target_1': 0.6809782385826111, 'val_r2_target_1': -1.154054880142212, 'val_rmse_target_2': 0.9303923845291138, 'val_mae_target_2': 0.7425870299339294, 'val_r2_target_2': -1.8040292263031006, 'val_rmse_target_3': 0.9061324596405029, 'val_mae_target_3': 0.6901451945304871, 'val_r2_target_3': -3.2466092109680176, 'val_rmse_target_4': 0.9779546856880188, 'val_mae_target_4': 0.7627027630805969, 'val_r2_target_4': -4.384383678436279, 'val_rmse_target_5': 1.1033399105072021, 'val_mae_target_5': 0.8850321173667908, 'val_r2_target_5': -58.11635208129883, 'val_rmse_target_6': 1.122530221939087, 'val_mae_target_6': 0.769702136516571, 'val_r2_target_6': -8.061556816101074, 'val_rmse_target_7': 0.9130251407623291, 'val_mae_target_7': 0.7515496611595154, 'val_r2_target_7': -3.9683737754821777}",COMPLETE
27,0.9314984315633774,2026-03-01 18:17:18.604016,2026-03-01 18:21:05.022897,0 days 00:03:46.418881,16,40,"{'val_rmse_mean': 0.9608404636383057, 'val_mae_mean': 0.7432838678359985, 'val_r2_mean': -9.055777549743652, 'val_rmse_target_0': 0.8494163751602173, 'val_mae_target_0': 0.6708794236183167, 'val_r2_target_0': -0.9927036762237549, 'val_rmse_target_1': 0.9128142595291138, 'val_mae_target_1': 0.6918662786483765, 'val_r2_target_1': -1.3921852111816406, 'val_rmse_target_2': 0.9396250247955322, 'val_mae_target_2': 0.7405948042869568, 'val_r2_target_2': -1.963118076324463, 'val_rmse_target_3': 0.8978070616722107, 'val_mae_target_3': 0.6865133047103882, 'val_r2_target_3': -2.7018630504608154, 'val_rmse_target_4': 0.9370611906051636, 'val_mae_target_4': 0.7440022826194763, 'val_r2_target_4': -3.7561192512512207, 'val_rmse_target_5': 1.105991244316101, 'val_mae_target_5': 0.8819726705551147, 'val_r2_target_5': -48.96513748168945, 'val_rmse_target_6': 1.1169004440307617, 'val_mae_target_6': 0.7636080980300903, 'val_r2_target_6': -8.727083206176758, 'val_rmse_target_7': 0.9271084070205688, 'val_mae_target_7': 0.7668340802192688, 'val_r2_target_7': -3.948014736175537}",COMPLETE
28,0.9014987987279892,2026-03-01 18:21:05.092212,2026-03-01 18:24:05.285581,0 days 00:03:00.193369,13,25,"{'val_rmse_mean': 0.9422346353530884, 'val_mae_mean': 0.7184668779373169, 'val_r2_mean': -9.223047256469727, 'val_rmse_target_0': 0.8156031370162964, 'val_mae_target_0': 0.6228220462799072, 'val_r2_target_0': -0.6290421485900879, 'val_rmse_target_1': 0.9022160172462463, 'val_mae_target_1': 0.6914020776748657, 'val_r2_target_1': -1.0579757690429688, 'val_rmse_target_2': 0.908149003982544, 'val_mae_target_2': 0.6855061054229736, 'val_r2_target_2': -1.4694442749023438, 'val_rmse_target_3': 0.7870460152626038, 'val_mae_target_3': 0.5890243649482727, 'val_r2_target_3': -0.5131486654281616, 'val_rmse_target_4': 0.873650848865509, 'val_mae_target_4': 0.6793532371520996, 'val_r2_target_4': -1.0470490455627441, 'val_rmse_target_5': 1.1094166040420532, 'val_mae_target_5': 0.9055009484291077, 'val_r2_target_5': -56.024208068847656, 'val_rmse_target_6': 1.0920696258544922, 'val_mae_target_6': 0.7094303369522095, 'val_r2_target_6': -8.318941116333008, 'val_rmse_target_7': 1.0497260093688965, 'val_mae_target_7': 0.8646960258483887, 'val_r2_target_7': -4.724567890167236}",COMPLETE
29,0.8974397403001785,2026-03-01 18:24:05.355493,2026-03-01 18:27:33.787590,0 days 00:03:28.432097,15,30,"{'val_rmse_mean': 0.941390335559845, 'val_mae_mean': 0.716733455657959, 'val_r2_mean': -7.205564498901367, 'val_rmse_target_0': 0.834985613822937, 'val_mae_target_0': 0.6427366733551025, 'val_r2_target_0': -0.841443657875061, 'val_rmse_target_1': 0.8929620981216431, 'val_mae_target_1': 0.6663709878921509, 'val_r2_target_1': -1.2689611911773682, 'val_rmse_target_2': 0.9122515916824341, 'val_mae_target_2': 0.7003514766693115, 'val_r2_target_2': -1.7259137630462646, 'val_rmse_target_3': 0.8035020232200623, 'val_mae_target_3': 0.6000179052352905, 'val_r2_target_3': -0.7257823944091797, 'val_rmse_target_4': 0.8866675496101379, 'val_mae_target_4': 0.6922397017478943, 'val_r2_target_4': -1.3763446807861328, 'val_rmse_target_5': 1.098057746887207, 'val_mae_target_5': 0.8800187706947327, 'val_r2_target_5': -38.42884063720703, 'val_rmse_target_6': 1.0989971160888672, 'val_mae_target_6': 0.7319573760032654, 'val_r2_target_6': -9.448484420776367, 'val_rmse_target_7': 1.0036994218826294, 'val_mae_target_7': 0.8201749920845032, 'val_r2_target_7': -3.828737258911133}",COMPLETE
