number,value,datetime_start,datetime_complete,duration,params_n_estimators,params_n_path_features,user_attrs_val_metrics,state
10,0.8993190002441406,2026-03-01 17:24:55.964968,2026-03-01 17:26:47.491377,0 days 00:01:51.526409,4,35,"{'val_rmse_mean': 0.942896842956543, 'val_mae_mean': 0.7251684665679932, 'val_r2_mean': -8.773580551147461, 'val_rmse_target_0': 0.8307923078536987, 'val_mae_target_0': 0.632834255695343, 'val_r2_target_0': -0.7947893142700195, 'val_rmse_target_1': 0.92236328125, 'val_mae_target_1': 0.7094324231147766, 'val_r2_target_1': -1.5018284320831299, 'val_rmse_target_2': 0.9428278803825378, 'val_mae_target_2': 0.7567952871322632, 'val_r2_target_2': -2.089724540710449, 'val_rmse_target_3': 0.8107035756111145, 'val_mae_target_3': 0.5987929105758667, 'val_r2_target_3': -1.111982822418213, 'val_rmse_target_4': 0.8889909982681274, 'val_mae_target_4': 0.7161399126052856, 'val_r2_target_4': -1.7622501850128174, 'val_rmse_target_5': 1.0901235342025757, 'val_mae_target_5': 0.8762659430503845, 'val_r2_target_5': -50.381832122802734, 'val_rmse_target_6': 1.1072739362716675, 'val_mae_target_6': 0.732143223285675, 'val_r2_target_6': -8.776646614074707, 'val_rmse_target_7': 0.9500988721847534, 'val_mae_target_7': 0.7789434194564819, 'val_r2_target_7': -3.7695999145507812}",COMPLETE
11,0.8954618510603904,2026-03-01 17:26:47.569217,2026-03-01 17:29:51.179467,0 days 00:03:03.610250,11,45,"{'val_rmse_mean': 0.9407891035079956, 'val_mae_mean': 0.7282587885856628, 'val_r2_mean': -10.359842300415039, 'val_rmse_target_0': 0.8457239270210266, 'val_mae_target_0': 0.6540363430976868, 'val_r2_target_0': -1.0079803466796875, 'val_rmse_target_1': 0.8626152873039246, 'val_mae_target_1': 0.6525735259056091, 'val_r2_target_1': -1.1322154998779297, 'val_rmse_target_2': 0.9102697372436523, 'val_mae_target_2': 0.7271904945373535, 'val_r2_target_2': -1.944072961807251, 'val_rmse_target_3': 0.8528129458427429, 'val_mae_target_3': 0.6470819711685181, 'val_r2_target_3': -2.0308103561401367, 'val_rmse_target_4': 0.8931651711463928, 'val_mae_target_4': 0.7126390337944031, 'val_r2_target_4': -2.8445591926574707, 'val_rmse_target_5': 1.1069315671920776, 'val_mae_target_5': 0.8832511305809021, 'val_r2_target_5': -61.211082458496094, 'val_rmse_target_6': 1.1120398044586182, 'val_mae_target_6': 0.7730445861816406, 'val_r2_target_6': -8.714835166931152, 'val_rmse_target_7': 0.9427542090415955, 'val_mae_target_7': 0.7762531042098999, 'val_r2_target_7': -3.9931764602661133}",COMPLETE
12,0.9193887865543365,2026-03-01 17:29:51.248254,2026-03-01 17:32:47.386003,0 days 00:02:56.137749,11,35,"{'val_rmse_mean': 0.9539503455162048, 'val_mae_mean': 0.7309635877609253, 'val_r2_mean': -8.422048568725586, 'val_rmse_target_0': 0.8378767967224121, 'val_mae_target_0': 0.6363020539283752, 'val_r2_target_0': -0.9872028827667236, 'val_rmse_target_1': 0.9271422028541565, 'val_mae_target_1': 0.712587833404541, 'val_r2_target_1': -1.5441102981567383, 'val_rmse_target_2': 0.9364805817604065, 'val_mae_target_2': 0.742836058139801, 'val_r2_target_2': -1.9273929595947266, 'val_rmse_target_3': 0.844001829624176, 'val_mae_target_3': 0.6198601722717285, 'val_r2_target_3': -1.3580694198608398, 'val_rmse_target_4': 0.9127126932144165, 'val_mae_target_4': 0.7329736351966858, 'val_r2_target_4': -2.0706708431243896, 'val_rmse_target_5': 1.0970423221588135, 'val_mae_target_5': 0.8831394910812378, 'val_r2_target_5': -46.84709548950195, 'val_rmse_target_6': 1.1156071424484253, 'val_mae_target_6': 0.7500035166740417, 'val_r2_target_6': -9.282256126403809, 'val_rmse_target_7': 0.9607389569282532, 'val_mae_target_7': 0.770006000995636, 'val_r2_target_7': -3.359597682952881}",COMPLETE
13,0.9298115652799607,2026-03-01 17:32:47.455898,2026-03-01 17:35:50.969775,0 days 00:03:03.513877,10,55,"{'val_rmse_mean': 0.9601491093635559, 'val_mae_mean': 0.7437276840209961, 'val_r2_mean': -12.807726860046387, 'val_rmse_target_0': 0.8420566320419312, 'val_mae_target_0': 0.6434285640716553, 'val_r2_target_0': -0.9058868885040283, 'val_rmse_target_1': 0.8833367824554443, 'val_mae_target_1': 0.6532077193260193, 'val_r2_target_1': -1.3355109691619873, 'val_rmse_target_2': 0.954069197177887, 'val_mae_target_2': 0.7599759697914124, 'val_r2_target_2': -2.1446523666381836, 'val_rmse_target_3': 0.9252032041549683, 'val_mae_target_3': 0.7292420864105225, 'val_r2_target_3': -4.5406813621521, 'val_rmse_target_4': 0.9591650366783142, 'val_mae_target_4': 0.7678290009498596, 'val_r2_target_4': -6.573572635650635, 'val_rmse_target_5': 1.1019104719161987, 'val_mae_target_5': 0.8942916989326477, 'val_r2_target_5': -74.82713317871094, 'val_rmse_target_6': 1.1017292737960815, 'val_mae_target_6': 0.751227855682373, 'val_r2_target_6': -9.202727317810059, 'val_rmse_target_7': 0.9137223362922668, 'val_mae_target_7': 0.7506188154220581, 'val_r2_target_7': -2.9316513538360596}",COMPLETE
14,0.9120927107334137,2026-03-01 17:35:51.047941,2026-03-01 17:39:33.646301,0 days 00:03:42.598360,16,35,"{'val_rmse_mean': 0.9497560262680054, 'val_mae_mean': 0.7279667258262634, 'val_r2_mean': -8.63827896118164, 'val_rmse_target_0': 0.8187901973724365, 'val_mae_target_0': 0.62408447265625, 'val_r2_target_0': -0.8292688131332397, 'val_rmse_target_1': 0.9214378595352173, 'val_mae_target_1': 0.7037250399589539, 'val_r2_target_1': -1.4890823364257812, 'val_rmse_target_2': 0.9313652515411377, 'val_mae_target_2': 0.7352064251899719, 'val_r2_target_2': -1.734510898590088, 'val_rmse_target_3': 0.8441182971000671, 'val_mae_target_3': 0.6265117526054382, 'val_r2_target_3': -1.411813735961914, 'val_rmse_target_4': 0.9168443083763123, 'val_mae_target_4': 0.7263514995574951, 'val_r2_target_4': -2.2034902572631836, 'val_rmse_target_5': 1.103041172027588, 'val_mae_target_5': 0.888258159160614, 'val_r2_target_5': -48.977577209472656, 'val_rmse_target_6': 1.1122944355010986, 'val_mae_target_6': 0.7508694529533386, 'val_r2_target_6': -8.876811981201172, 'val_rmse_target_7': 0.9501563906669617, 'val_mae_target_7': 0.7687268257141113, 'val_r2_target_7': -3.5836801528930664}",COMPLETE
15,0.8919734507799149,2026-03-01 17:39:33.741993,2026-03-01 17:42:28.631346,0 days 00:02:54.889353,10,45,"{'val_rmse_mean': 0.9386814832687378, 'val_mae_mean': 0.7260171175003052, 'val_r2_mean': -9.914817810058594, 'val_rmse_target_0': 0.8574732542037964, 'val_mae_target_0': 0.666782557964325, 'val_r2_target_0': -1.1698601245880127, 'val_rmse_target_1': 0.8602789640426636, 'val_mae_target_1': 0.6489841938018799, 'val_r2_target_1': -1.1528782844543457, 'val_rmse_target_2': 0.9137597680091858, 'val_mae_target_2': 0.7285711765289307, 'val_r2_target_2': -1.9730737209320068, 'val_rmse_target_3': 0.8283594846725464, 'val_mae_target_3': 0.6194981932640076, 'val_r2_target_3': -1.4749400615692139, 'val_rmse_target_4': 0.8834941983222961, 'val_mae_target_4': 0.7106475830078125, 'val_r2_target_4': -2.4236838817596436, 'val_rmse_target_5': 1.1087161302566528, 'val_mae_target_5': 0.8880650997161865, 'val_r2_target_5': -58.68621063232422, 'val_rmse_target_6': 1.1096516847610474, 'val_mae_target_6': 0.7600256204605103, 'val_r2_target_6': -8.488848686218262, 'val_rmse_target_7': 0.9477187991142273, 'val_mae_target_7': 0.7855627536773682, 'val_r2_target_7': -3.949045181274414}",COMPLETE
16,0.9298115652799607,2026-03-01 17:42:28.699879,2026-03-01 17:45:31.544959,0 days 00:03:02.845080,10,55,"{'val_rmse_mean': 0.9601491093635559, 'val_mae_mean': 0.7437276840209961, 'val_r2_mean': -12.807726860046387, 'val_rmse_target_0': 0.8420566320419312, 'val_mae_target_0': 0.6434285640716553, 'val_r2_target_0': -0.9058868885040283, 'val_rmse_target_1': 0.8833367824554443, 'val_mae_target_1': 0.6532077193260193, 'val_r2_target_1': -1.3355109691619873, 'val_rmse_target_2': 0.954069197177887, 'val_mae_target_2': 0.7599759697914124, 'val_r2_target_2': -2.1446523666381836, 'val_rmse_target_3': 0.9252032041549683, 'val_mae_target_3': 0.7292420864105225, 'val_r2_target_3': -4.5406813621521, 'val_rmse_target_4': 0.9591650366783142, 'val_mae_target_4': 0.7678290009498596, 'val_r2_target_4': -6.573572635650635, 'val_rmse_target_5': 1.1019104719161987, 'val_mae_target_5': 0.8942916989326477, 'val_r2_target_5': -74.82713317871094, 'val_rmse_target_6': 1.1017292737960815, 'val_mae_target_6': 0.751227855682373, 'val_r2_target_6': -9.202727317810059, 'val_rmse_target_7': 0.9137223362922668, 'val_mae_target_7': 0.7506188154220581, 'val_r2_target_7': -2.9316513538360596}",COMPLETE
17,0.904176507294178,2026-03-01 17:45:31.614892,2026-03-01 17:48:06.807568,0 days 00:02:35.192676,8,45,"{'val_rmse_mean': 0.9451072812080383, 'val_mae_mean': 0.733121931552887, 'val_r2_mean': -10.753640174865723, 'val_rmse_target_0': 0.8420224189758301, 'val_mae_target_0': 0.6613156199455261, 'val_r2_target_0': -0.873807430267334, 'val_rmse_target_1': 0.8611357808113098, 'val_mae_target_1': 0.6520324945449829, 'val_r2_target_1': -1.1504979133605957, 'val_rmse_target_2': 0.9046952724456787, 'val_mae_target_2': 0.7198489308357239, 'val_r2_target_2': -1.8401551246643066, 'val_rmse_target_3': 0.8684020638465881, 'val_mae_target_3': 0.6597931385040283, 'val_r2_target_3': -2.1917622089385986, 'val_rmse_target_4': 0.9190366864204407, 'val_mae_target_4': 0.7378495931625366, 'val_r2_target_4': -3.2041196823120117, 'val_rmse_target_5': 1.1076257228851318, 'val_mae_target_5': 0.8849664926528931, 'val_r2_target_5': -64.20669555664062, 'val_rmse_target_6': 1.1320163011550903, 'val_mae_target_6': 0.7792903780937195, 'val_r2_target_6': -8.630171775817871, 'val_rmse_target_7': 0.9259241223335266, 'val_mae_target_7': 0.7698789834976196, 'val_r2_target_7': -3.931915760040283}",COMPLETE
18,0.9337552997469902,2026-03-01 17:48:06.876139,2026-03-01 17:51:06.653468,0 days 00:02:59.777329,11,40,"{'val_rmse_mean': 0.9616298675537109, 'val_mae_mean': 0.7455413937568665, 'val_r2_mean': -9.506633758544922, 'val_rmse_target_0': 0.8340848684310913, 'val_mae_target_0': 0.6657220721244812, 'val_r2_target_0': -0.7831661701202393, 'val_rmse_target_1': 0.9094064831733704, 'val_mae_target_1': 0.6950796246528625, 'val_r2_target_1': -1.2599174976348877, 'val_rmse_target_2': 0.936944842338562, 'val_mae_target_2': 0.7557967901229858, 'val_r2_target_2': -1.8251729011535645, 'val_rmse_target_3': 0.9072389602661133, 'val_mae_target_3': 0.6880087852478027, 'val_r2_target_3': -2.938563823699951, 'val_rmse_target_4': 0.9721099734306335, 'val_mae_target_4': 0.7587060332298279, 'val_r2_target_4': -3.9980459213256836, 'val_rmse_target_5': 1.1003639698028564, 'val_mae_target_5': 0.8807926774024963, 'val_r2_target_5': -53.576271057128906, 'val_rmse_target_6': 1.1265751123428345, 'val_mae_target_6': 0.7781661152839661, 'val_r2_target_6': -8.091334342956543, 'val_rmse_target_7': 0.9063146710395813, 'val_mae_target_7': 0.7420588731765747, 'val_r2_target_7': -3.5805935859680176}",COMPLETE
19,0.9267624953389167,2026-03-01 17:51:06.723986,2026-03-01 17:54:03.572808,0 days 00:02:56.848822,9,60,"{'val_rmse_mean': 0.9585362076759338, 'val_mae_mean': 0.7445068955421448, 'val_r2_mean': -12.792830467224121, 'val_rmse_target_0': 0.852703869342804, 'val_mae_target_0': 0.6716169714927673, 'val_r2_target_0': -1.0793883800506592, 'val_rmse_target_1': 0.8718348145484924, 'val_mae_target_1': 0.6519249677658081, 'val_r2_target_1': -1.2870526313781738, 'val_rmse_target_2': 0.9308919906616211, 'val_mae_target_2': 0.7457430958747864, 'val_r2_target_2': -1.9436817169189453, 'val_rmse_target_3': 0.9494129419326782, 'val_mae_target_3': 0.7415344715118408, 'val_r2_target_3': -4.776979923248291, 'val_rmse_target_4': 0.9643818140029907, 'val_mae_target_4': 0.7656835317611694, 'val_r2_target_4': -7.374550819396973, 'val_rmse_target_5': 1.089022159576416, 'val_mae_target_5': 0.874076247215271, 'val_r2_target_5': -74.71000671386719, 'val_rmse_target_6': 1.1118371486663818, 'val_mae_target_6': 0.7784522175788879, 'val_r2_target_6': -8.166659355163574, 'val_rmse_target_7': 0.898205041885376, 'val_mae_target_7': 0.727023720741272, 'val_r2_target_7': -3.0042996406555176}",COMPLETE
