,mean_weight
0,0.048717152
1,0.050433915
2,0.05022955
3,0.04945168
4,0.05030447
5,0.04998856
6,0.05139963
7,0.049616802
8,0.049489588
9,0.04869676
10,0.0520306
11,0.04826008
12,0.05007684
13,0.050540596
14,0.05100166
15,0.05015046
16,0.04980365
17,0.04894944
18,0.05044712
19,0.05041142
