,mean_weight
0,0.028107274
1,0.026149163
2,0.032510526
3,0.108126186
4,0.07530999
5,0.11276243
6,0.09360827
7,0.07307765
8,0.049604587
9,0.045747794
10,0.035032764
11,0.10029819
12,0.020618103
13,0.05679011
14,0.027053514
15,0.021914702
16,0.019953083
17,0.02807405
18,0.025014237
19,0.020247372
