number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_lr,params_n_layers,params_n_path_features,params_shrink_factor,params_weight_decay,user_attrs_val_metrics,state
10,0.45804812759160995,2026-03-01 15:06:23.217226,2026-03-01 15:08:58.264443,0 days 00:02:35.047217,6,0.28914666994370336,256,0.0001010691932025633,3,20,0.75,2.1604920416519543e-05,"{'val_rmse_mean': 1.0570201873779297, 'val_mae_mean': 0.8313040733337402, 'val_r2_mean': -146.78289794921875, 'val_rmse_target_0': 1.0402820110321045, 'val_mae_target_0': 0.8032016754150391, 'val_r2_target_0': -66.82302856445312, 'val_rmse_target_1': 1.0451018810272217, 'val_mae_target_1': 0.7863610982894897, 'val_r2_target_1': -110.92578887939453, 'val_rmse_target_2': 1.01735258102417, 'val_mae_target_2': 0.8270716071128845, 'val_r2_target_2': -81.84274291992188, 'val_rmse_target_3': 1.026160717010498, 'val_mae_target_3': 0.8485571146011353, 'val_r2_target_3': -107.62247467041016, 'val_rmse_target_4': 1.0376533269882202, 'val_mae_target_4': 0.843946099281311, 'val_r2_target_4': -168.6439666748047, 'val_rmse_target_5': 1.0673532485961914, 'val_mae_target_5': 0.8661773204803467, 'val_r2_target_5': -171.59471130371094, 'val_rmse_target_6': 1.156787633895874, 'val_mae_target_6': 0.7828259468078613, 'val_r2_target_6': -222.71966552734375, 'val_rmse_target_7': 1.065470576286316, 'val_mae_target_7': 0.8922917246818542, 'val_r2_target_7': -244.09092712402344}",COMPLETE
11,0.3670941889286041,2026-03-01 15:08:58.331266,2026-03-01 15:10:24.406644,0 days 00:01:26.075378,6,0.2733023514802217,384,0.00026263474530235616,1,30,0.75,0.00109658916296161,"{'val_rmse_mean': 0.9233121871948242, 'val_mae_mean': 0.7235386371612549, 'val_r2_mean': -3.8506927490234375, 'val_rmse_target_0': 0.8675138354301453, 'val_mae_target_0': 0.6779801845550537, 'val_r2_target_0': -1.484898567199707, 'val_rmse_target_1': 0.8151164650917053, 'val_mae_target_1': 0.627138614654541, 'val_r2_target_1': -0.9505105018615723, 'val_rmse_target_2': 0.8602135181427002, 'val_mae_target_2': 0.649594247341156, 'val_r2_target_2': -1.3205592632293701, 'val_rmse_target_3': 0.878958523273468, 'val_mae_target_3': 0.699059009552002, 'val_r2_target_3': -1.9921951293945312, 'val_rmse_target_4': 0.8999969363212585, 'val_mae_target_4': 0.719557523727417, 'val_r2_target_4': -2.872133255004883, 'val_rmse_target_5': 1.04746413230896, 'val_mae_target_5': 0.8343822956085205, 'val_r2_target_5': -10.986905097961426, 'val_rmse_target_6': 1.0378761291503906, 'val_mae_target_6': 0.7384541034698486, 'val_r2_target_6': -6.512900352478027, 'val_rmse_target_7': 0.979357898235321, 'val_mae_target_7': 0.8421432375907898, 'val_r2_target_7': -4.685438632965088}",COMPLETE
12,0.3792347061634064,2026-03-01 15:10:24.473106,2026-03-01 15:11:47.873737,0 days 00:01:23.400631,6,0.2904452802141924,384,0.00022414776535942832,1,45,0.75,0.001167525585586312,"{'val_rmse_mean': 0.9307665228843689, 'val_mae_mean': 0.745699405670166, 'val_r2_mean': -3.9056448936462402, 'val_rmse_target_0': 0.8491514921188354, 'val_mae_target_0': 0.7217617630958557, 'val_r2_target_0': -0.8478009700775146, 'val_rmse_target_1': 0.8375906348228455, 'val_mae_target_1': 0.6179348230361938, 'val_r2_target_1': -1.4018349647521973, 'val_rmse_target_2': 0.7811116576194763, 'val_mae_target_2': 0.6250212788581848, 'val_r2_target_2': -1.2868695259094238, 'val_rmse_target_3': 0.8690822720527649, 'val_mae_target_3': 0.6972452402114868, 'val_r2_target_3': -1.7031440734863281, 'val_rmse_target_4': 0.9091625213623047, 'val_mae_target_4': 0.7445770502090454, 'val_r2_target_4': -3.3330373764038086, 'val_rmse_target_5': 1.0970913171768188, 'val_mae_target_5': 0.8878214359283447, 'val_r2_target_5': -13.00473690032959, 'val_rmse_target_6': 1.0927226543426514, 'val_mae_target_6': 0.8018431067466736, 'val_r2_target_6': -5.275909900665283, 'val_rmse_target_7': 1.010219931602478, 'val_mae_target_7': 0.8693906664848328, 'val_r2_target_7': -4.391827583312988}",COMPLETE
13,0.35537549525499346,2026-03-01 15:11:47.939122,2026-03-01 15:13:37.580229,0 days 00:01:49.641107,6,0.27232360497014263,384,0.00015835461666790883,2,50,0.75,0.0024374833268916503,"{'val_rmse_mean': 0.8995239734649658, 'val_mae_mean': 0.7204061150550842, 'val_r2_mean': -5.7368340492248535, 'val_rmse_target_0': 0.8278115391731262, 'val_mae_target_0': 0.6807149648666382, 'val_r2_target_0': -1.5355737209320068, 'val_rmse_target_1': 0.8207999467849731, 'val_mae_target_1': 0.6143999695777893, 'val_r2_target_1': -1.7610447406768799, 'val_rmse_target_2': 0.7991305589675903, 'val_mae_target_2': 0.6634564995765686, 'val_r2_target_2': -1.3376636505126953, 'val_rmse_target_3': 0.8483263850212097, 'val_mae_target_3': 0.6716580986976624, 'val_r2_target_3': -1.8246829509735107, 'val_rmse_target_4': 0.9000349640846252, 'val_mae_target_4': 0.7277817726135254, 'val_r2_target_4': -4.662013053894043, 'val_rmse_target_5': 1.0273469686508179, 'val_mae_target_5': 0.8384038805961609, 'val_r2_target_5': -20.494569778442383, 'val_rmse_target_6': 1.058974027633667, 'val_mae_target_6': 0.7813143730163574, 'val_r2_target_6': -8.46367359161377, 'val_rmse_target_7': 0.9137675762176514, 'val_mae_target_7': 0.7855193614959717, 'val_r2_target_7': -5.815446853637695}",COMPLETE
14,0.3695711234211922,2026-03-01 15:13:37.646309,2026-03-01 15:15:41.828993,0 days 00:02:04.182684,6,0.16612767785391463,384,0.00010129415907884796,2,55,0.5,0.002871667445599973,"{'val_rmse_mean': 0.9212529063224792, 'val_mae_mean': 0.7358942627906799, 'val_r2_mean': -7.533634662628174, 'val_rmse_target_0': 0.8408709168434143, 'val_mae_target_0': 0.6543301343917847, 'val_r2_target_0': -2.814649820327759, 'val_rmse_target_1': 0.8656156659126282, 'val_mae_target_1': 0.6650433540344238, 'val_r2_target_1': -3.095733165740967, 'val_rmse_target_2': 0.8053341507911682, 'val_mae_target_2': 0.6659693121910095, 'val_r2_target_2': -2.5855250358581543, 'val_rmse_target_3': 0.8485198616981506, 'val_mae_target_3': 0.6815828084945679, 'val_r2_target_3': -2.811605930328369, 'val_rmse_target_4': 0.9259123206138611, 'val_mae_target_4': 0.7576624155044556, 'val_r2_target_4': -7.319517135620117, 'val_rmse_target_5': 1.0385366678237915, 'val_mae_target_5': 0.8518180847167969, 'val_r2_target_5': -22.38654899597168, 'val_rmse_target_6': 1.103338599205017, 'val_mae_target_6': 0.7913278937339783, 'val_r2_target_6': -13.218544006347656, 'val_rmse_target_7': 0.9418948292732239, 'val_mae_target_7': 0.8194200992584229, 'val_r2_target_7': -6.036958694458008}",COMPLETE
15,0.3538940015435219,2026-03-01 15:15:41.894073,2026-03-01 15:17:40.575888,0 days 00:01:58.681815,6,0.23288578535638005,384,0.00019760992961547613,3,40,0.75,0.002618508415767429,"{'val_rmse_mean': 0.9004137516021729, 'val_mae_mean': 0.7165582180023193, 'val_r2_mean': -5.625269412994385, 'val_rmse_target_0': 0.8883424401283264, 'val_mae_target_0': 0.7171108722686768, 'val_r2_target_0': -2.5399622917175293, 'val_rmse_target_1': 0.8378509283065796, 'val_mae_target_1': 0.6002508401870728, 'val_r2_target_1': -2.3954505920410156, 'val_rmse_target_2': 0.8161745071411133, 'val_mae_target_2': 0.6583807468414307, 'val_r2_target_2': -1.7877788543701172, 'val_rmse_target_3': 0.8191574215888977, 'val_mae_target_3': 0.6660301089286804, 'val_r2_target_3': -1.919525384902954, 'val_rmse_target_4': 0.8851382732391357, 'val_mae_target_4': 0.726047158241272, 'val_r2_target_4': -3.250030517578125, 'val_rmse_target_5': 1.0119667053222656, 'val_mae_target_5': 0.8280065655708313, 'val_r2_target_5': -17.669700622558594, 'val_rmse_target_6': 1.030585527420044, 'val_mae_target_6': 0.7557518482208252, 'val_r2_target_6': -9.551111221313477, 'val_rmse_target_7': 0.914094090461731, 'val_mae_target_7': 0.7808876037597656, 'val_r2_target_7': -5.88859748840332}",COMPLETE
16,0.38039807707071305,2026-03-01 15:17:40.643327,2026-03-01 15:19:54.703934,0 days 00:02:14.060607,6,0.2021911512784587,384,0.00015784657435233783,4,45,0.75,0.0025157646146410106,"{'val_rmse_mean': 0.9413115978240967, 'val_mae_mean': 0.742140531539917, 'val_r2_mean': -10.000321388244629, 'val_rmse_target_0': 0.9652351140975952, 'val_mae_target_0': 0.7450190782546997, 'val_r2_target_0': -6.328104019165039, 'val_rmse_target_1': 0.869337260723114, 'val_mae_target_1': 0.6349852085113525, 'val_r2_target_1': -4.9594526290893555, 'val_rmse_target_2': 0.865919828414917, 'val_mae_target_2': 0.7057203054428101, 'val_r2_target_2': -3.7859416007995605, 'val_rmse_target_3': 0.8491925001144409, 'val_mae_target_3': 0.6782147288322449, 'val_r2_target_3': -3.197535514831543, 'val_rmse_target_4': 0.9126749634742737, 'val_mae_target_4': 0.7406107187271118, 'val_r2_target_4': -5.966640949249268, 'val_rmse_target_5': 1.0557632446289062, 'val_mae_target_5': 0.8645528554916382, 'val_r2_target_5': -28.584936141967773, 'val_rmse_target_6': 1.0867950916290283, 'val_mae_target_6': 0.770426332950592, 'val_r2_target_6': -20.011642456054688, 'val_rmse_target_7': 0.9255748987197876, 'val_mae_target_7': 0.7975949645042419, 'val_r2_target_7': -7.168312072753906}",COMPLETE
17,0.44781643897295,2026-03-01 15:19:54.769575,2026-03-01 15:21:03.786227,0 days 00:01:09.016652,6,0.33714123482719116,384,0.002102332624451022,3,60,0.75,0.0032077804035476674,"{'val_rmse_mean': 1.0389443635940552, 'val_mae_mean': 0.8187102675437927, 'val_r2_mean': -6.900096893310547, 'val_rmse_target_0': 0.9994494318962097, 'val_mae_target_0': 0.7637882828712463, 'val_r2_target_0': -3.3544483184814453, 'val_rmse_target_1': 0.9795237183570862, 'val_mae_target_1': 0.7183489799499512, 'val_r2_target_1': -3.892446517944336, 'val_rmse_target_2': 0.937082827091217, 'val_mae_target_2': 0.7424983978271484, 'val_r2_target_2': -2.4689583778381348, 'val_rmse_target_3': 1.0544712543487549, 'val_mae_target_3': 0.8805203437805176, 'val_r2_target_3': -3.66788387298584, 'val_rmse_target_4': 1.0473350286483765, 'val_mae_target_4': 0.8307576179504395, 'val_r2_target_4': -4.814921855926514, 'val_rmse_target_5': 1.110446572303772, 'val_mae_target_5': 0.8997238874435425, 'val_r2_target_5': -16.65994644165039, 'val_rmse_target_6': 1.1177178621292114, 'val_mae_target_6': 0.8144689202308655, 'val_r2_target_6': -15.631376266479492, 'val_rmse_target_7': 1.065528154373169, 'val_mae_target_7': 0.89957594871521, 'val_r2_target_7': -4.710791110992432}",COMPLETE
18,0.41227913796901705,2026-03-01 15:21:03.854468,2026-03-01 15:22:46.051806,0 days 00:01:42.197338,6,0.19572498553126308,128,0.0003976734690442053,3,50,0.5,0.0004638492132110662,"{'val_rmse_mean': 0.9892587065696716, 'val_mae_mean': 0.7832512855529785, 'val_r2_mean': -14.902630805969238, 'val_rmse_target_0': 0.972577691078186, 'val_mae_target_0': 0.7350098490715027, 'val_r2_target_0': -9.484155654907227, 'val_rmse_target_1': 0.9104248881340027, 'val_mae_target_1': 0.6912819147109985, 'val_r2_target_1': -7.187504768371582, 'val_rmse_target_2': 0.8418350219726562, 'val_mae_target_2': 0.702057421207428, 'val_r2_target_2': -4.266475200653076, 'val_rmse_target_3': 0.9819716215133667, 'val_mae_target_3': 0.821867048740387, 'val_r2_target_3': -8.15273666381836, 'val_rmse_target_4': 1.022735595703125, 'val_mae_target_4': 0.8493126630783081, 'val_r2_target_4': -12.116853713989258, 'val_rmse_target_5': 1.0552221536636353, 'val_mae_target_5': 0.8586570620536804, 'val_r2_target_5': -32.92864990234375, 'val_rmse_target_6': 1.1751271486282349, 'val_mae_target_6': 0.802969217300415, 'val_r2_target_6': -30.70219612121582, 'val_rmse_target_7': 0.9541757702827454, 'val_mae_target_7': 0.8048553466796875, 'val_r2_target_7': -14.38247299194336}",COMPLETE
19,0.43080469220876694,2026-03-01 15:22:46.119204,2026-03-01 15:25:10.561183,0 days 00:02:24.441979,6,0.3521269173035212,512,0.00015332690981596865,4,35,0.75,5.01784354803667e-05,"{'val_rmse_mean': 1.0185225009918213, 'val_mae_mean': 0.8029131293296814, 'val_r2_mean': -43.7161750793457, 'val_rmse_target_0': 1.0049724578857422, 'val_mae_target_0': 0.7753505110740662, 'val_r2_target_0': -18.763324737548828, 'val_rmse_target_1': 0.9775649905204773, 'val_mae_target_1': 0.7192773222923279, 'val_r2_target_1': -19.621192932128906, 'val_rmse_target_2': 0.9693394899368286, 'val_mae_target_2': 0.7968457937240601, 'val_r2_target_2': -19.972267150878906, 'val_rmse_target_3': 0.9678035378456116, 'val_mae_target_3': 0.8100419640541077, 'val_r2_target_3': -18.931501388549805, 'val_rmse_target_4': 0.9889511466026306, 'val_mae_target_4': 0.7997807264328003, 'val_r2_target_4': -27.412208557128906, 'val_rmse_target_5': 1.0633007287979126, 'val_mae_target_5': 0.8695337772369385, 'val_r2_target_5': -137.35659790039062, 'val_rmse_target_6': 1.1481894254684448, 'val_mae_target_6': 0.7907930612564087, 'val_r2_target_6': -57.378662109375, 'val_rmse_target_7': 1.0280580520629883, 'val_mae_target_7': 0.8616815209388733, 'val_r2_target_7': -50.29365539550781}",COMPLETE
