number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_lstm,params_dropout_path,params_dropout_reg,params_lr,params_lstm_hidden_dim,params_lstm_layers,params_path_aggregation,params_path_dim,params_regressor_dim,params_weight_decay,user_attrs_val_metrics,state
0,0.4136114684634204,2026-02-04 11:48:44.689998,2026-02-04 11:49:37.196629,0 days 00:00:52.506631,16,False,0.22474575870956526,0.38944885761712683,0.2877793156826953,5.021386323549363e-05,8,2,static,16,128,0.00040739174189183616,"{'val_rmse_mean': 0.9633142352104187, 'val_mae_mean': 0.7847481966018677, 'val_r2_mean': -71.64452362060547, 'val_rmse_target_0': 0.9633142352104187, 'val_mae_target_0': 0.7847481966018677, 'val_r2_target_0': -71.64452362060547}",COMPLETE
1,0.4284015491311611,2026-02-04 11:49:37.427533,2026-02-04 11:50:30.314907,0 days 00:00:52.887374,16,False,0.27449634651838606,0.35196387602995144,0.3997851596555464,5.631871477463651e-05,16,2,static,16,128,2.45470604954516e-05,"{'val_rmse_mean': 0.9976630210876465, 'val_mae_mean': 0.7831908464431763, 'val_r2_mean': -75.58878326416016, 'val_rmse_target_0': 0.9976630210876465, 'val_mae_target_0': 0.7831908464431763, 'val_r2_target_0': -75.58878326416016}",COMPLETE
2,0.42374195919169494,2026-02-04 11:50:30.560585,2026-02-04 11:51:22.966128,0 days 00:00:52.405543,16,False,0.16907258678219045,0.23831976981286207,0.3548875584813582,0.00015778829815352445,16,2,static,8,512,2.878905071564517e-05,"{'val_rmse_mean': 0.9832920432090759, 'val_mae_mean': 0.7891222834587097, 'val_r2_mean': -4.723287105560303, 'val_rmse_target_0': 0.9832920432090759, 'val_mae_target_0': 0.7891222834587097, 'val_r2_target_0': -4.723287105560303}",COMPLETE
3,0.41546153985618056,2026-02-04 11:51:23.195658,2026-02-04 11:52:15.176646,0 days 00:00:51.980988,16,False,0.21351598180421966,0.3548037772896943,0.3702908086719587,8.980460210055901e-05,8,2,static,16,256,1.5115163287966946e-05,"{'val_rmse_mean': 0.9645230770111084, 'val_mae_mean': 0.7645557522773743, 'val_r2_mean': -32.48983383178711, 'val_rmse_target_0': 0.9645230770111084, 'val_mae_target_0': 0.7645557522773743, 'val_r2_target_0': -32.48983383178711}",COMPLETE
4,0.4224770916889948,2026-02-04 11:52:15.407280,2026-02-04 11:53:08.402278,0 days 00:00:52.994998,16,False,0.20093775279392398,0.2188395838018326,0.36734775722472995,0.0001383667592568224,32,2,static,8,128,0.0015349346763063646,"{'val_rmse_mean': 0.9731494784355164, 'val_mae_mean': 0.7887606024742126, 'val_r2_mean': -22.341938018798828, 'val_rmse_target_0': 0.9731494784355164, 'val_mae_target_0': 0.7887606024742126, 'val_r2_target_0': -22.341938018798828}",COMPLETE
5,0.4306638639062402,2026-02-04 11:53:08.632506,2026-02-04 11:53:58.326389,0 days 00:00:49.693883,16,False,0.1525231420938366,0.28705551456033374,0.35836471284450694,7.015146174326728e-05,8,2,static,8,512,4.451203613668684e-05,"{'val_rmse_mean': 0.9926877617835999, 'val_mae_mean': 0.7879329323768616, 'val_r2_mean': -13.324440002441406, 'val_rmse_target_0': 0.9926877617835999, 'val_mae_target_0': 0.7879329323768616, 'val_r2_target_0': -13.324440002441406}",COMPLETE
6,0.4027604461707934,2026-02-04 11:53:58.556792,2026-02-04 11:54:52.308703,0 days 00:00:53.751911,16,False,0.10541306920340139,0.2348713119979022,0.3462432658747435,0.0002008039150001027,32,2,static,16,128,3.5344447469640645e-05,"{'val_rmse_mean': 0.9512184262275696, 'val_mae_mean': 0.7753773331642151, 'val_r2_mean': -6.592825412750244, 'val_rmse_target_0': 0.9512184262275696, 'val_mae_target_0': 0.7753773331642151, 'val_r2_target_0': -6.592825412750244}",COMPLETE
7,0.39256881332645815,2026-02-04 11:54:52.538115,2026-02-04 11:55:43.634157,0 days 00:00:51.096042,16,False,0.2624796339859638,0.3903914228633058,0.2748734943542619,0.00030226274177752555,8,2,static,8,256,1.0702636555448455e-05,"{'val_rmse_mean': 0.9375123977661133, 'val_mae_mean': 0.7665558457374573, 'val_r2_mean': -3.0075888633728027, 'val_rmse_target_0': 0.9375123977661133, 'val_mae_target_0': 0.7665558457374573, 'val_r2_target_0': -3.0075888633728027}",COMPLETE
8,0.4289637987012948,2026-02-04 11:55:43.864228,2026-02-04 11:56:36.729936,0 days 00:00:52.865708,16,False,0.13992611886344378,0.20130936926826085,0.3729765221713008,0.00012485157020613734,16,2,static,8,256,0.0024526664253773918,"{'val_rmse_mean': 0.9896802306175232, 'val_mae_mean': 0.7860192060470581, 'val_r2_mean': -13.053282737731934, 'val_rmse_target_0': 0.9896802306175232, 'val_mae_target_0': 0.7860192060470581, 'val_r2_target_0': -13.053282737731934}",COMPLETE
9,0.35026658501441554,2026-02-04 11:56:36.959286,2026-02-04 11:57:30.707287,0 days 00:00:53.748001,16,False,0.2441077194970899,0.3263797680609182,0.30108128320545885,0.00036096572737183663,16,2,static,16,128,0.00603494981255653,"{'val_rmse_mean': 0.8747475147247314, 'val_mae_mean': 0.7130924463272095, 'val_r2_mean': -1.4830715656280518, 'val_rmse_target_0': 0.8747475147247314, 'val_mae_target_0': 0.7130924463272095, 'val_r2_target_0': -1.4830715656280518}",COMPLETE
