train_loss,val_loss,epoch
0.4311185990061079,0.3421730697154999,1
0.3087917183126722,0.24286887049674988,2
0.2365011317389352,0.18343207240104675,3
0.19381571454661234,0.14882078766822815,4
0.1646201695714678,0.10696584731340408,5
0.1396324560046196,0.08129813522100449,6
0.12653249821492604,0.06258266419172287,7
0.1067595471228872,0.05897516757249832,8
0.09003582543560437,0.03671899065375328,9
0.07803982868790627,0.026957886293530464,10
0.06558743225676673,0.02024954929947853,11
0.05471457966736385,0.008640546351671219,12
0.04696680818285261,0.0036182203330099583,13
0.03915677485721452,0.0023426422849297523,14
0.03436453800116267,0.002274915110319853,15
0.029039912457977022,0.0009733061888255179,16
0.025018382551414624,0.0007258278783410788,17
0.022124033953462328,0.00019769601931329817,18
0.019681014120578766,6.746424332959577e-05,19
0.017423407307692935,2.558043888711836e-06,20
0.015783630843673433,0.00018615266890265048,21
0.014633872546255589,0.000699580938089639,22
0.013487577704446656,0.0008503137505613267,23
0.012828209969614233,0.0020061784889549017,24
0.011936510580458812,0.0011413519969210029,25
0.011736706298376833,0.001129048876464367,26
0.011057460347988777,0.0018772035837173462,27
0.010716201271861792,0.0025423825718462467,28
0.010064395610243082,0.0028789453208446503,29
0.009717993305197783,0.0033282742369920015,30
0.009453487382935626,0.004129493143409491,31
0.009197452305150884,0.004792593419551849,32
0.009047892609877246,0.004340184386819601,33
0.008705119070197855,0.0038485005497932434,34
0.008608280880642789,0.004017570521682501,35
0.008638410895530666,0.0041845147497951984,36
0.008281946647912264,0.00445478456094861,37
0.008244708246950592,0.00428555766120553,38
0.00825247953512839,0.004556277301162481,39
0.008290572491075312,0.004739521071314812,40
0.007934165586318289,0.00501651456579566,41
0.008021998152668987,0.004969139117747545,42
0.007776239687310798,0.005050579085946083,43
0.007828680133180959,0.005193406715989113,44
0.00799373657043491,0.005239054095000029,45
0.007731291465461254,0.00528669124469161,46
0.007762941332267863,0.0053188311867415905,47
0.007705053514135736,0.005293594673275948,48
0.007778840405600411,0.005299827549606562,49
0.007772214976804597,0.005298072472214699,50
