,mean_weight
0,0.06508996
1,0.0600622
2,0.053471934
3,0.03082468
4,0.08116887
5,0.039646883
6,0.067541674
7,0.054115795
8,0.030312154
9,0.060834397
10,0.085805826
11,0.026477946
12,0.06759724
13,0.085752234
14,0.026486158
15,0.05662961
16,0.029941745
17,0.014150166
18,0.052450612
19,0.011639948
