number,value,datetime_start,datetime_complete,duration,params_aggregation,params_depth,params_dropout,params_hidden_dim,params_lr,params_weight_decay,user_attrs_val_metrics,state
0,0.3877695362876963,2026-01-30 19:00:58.747988,2026-01-30 19:01:16.543439,0 days 00:00:17.795451,attention,2,0.09882029079817661,128,0.0005008049113974875,2.7683903677026875e-05,"{'val_rmse_mean': 0.9808953404426575, 'val_mae_mean': 0.7372519969940186, 'val_r2_mean': -3.964967966079712, 'val_rmse_target_0': 0.8449051976203918, 'val_mae_target_0': 0.5590067505836487, 'val_r2_target_0': -1.7417428493499756, 'val_rmse_target_1': 1.019679069519043, 'val_mae_target_1': 0.7367749810218811, 'val_r2_target_1': -2.7126288414001465, 'val_rmse_target_2': 0.9580816030502319, 'val_mae_target_2': 0.8384972810745239, 'val_r2_target_2': -1.2962405681610107, 'val_rmse_target_3': 1.1009156703948975, 'val_mae_target_3': 0.8147289156913757, 'val_r2_target_3': -10.109257698059082}",COMPLETE
1,0.39197321029173005,2026-01-30 19:01:16.643157,2026-01-30 19:01:33.701849,0 days 00:00:17.058692,attention,2,0.19140048685238276,64,0.0005972803837409625,8.558013758237966e-05,"{'val_rmse_mean': 0.9995801448822021, 'val_mae_mean': 0.7375186681747437, 'val_r2_mean': -12.584358215332031, 'val_rmse_target_0': 0.9264043569564819, 'val_mae_target_0': 0.6142367124557495, 'val_r2_target_0': -7.45942497253418, 'val_rmse_target_1': 1.0010008811950684, 'val_mae_target_1': 0.7093150019645691, 'val_r2_target_1': -11.9297513961792, 'val_rmse_target_2': 0.9683952927589417, 'val_mae_target_2': 0.8356601595878601, 'val_r2_target_2': -3.7251930236816406, 'val_rmse_target_3': 1.1025198698043823, 'val_mae_target_3': 0.7908629179000854, 'val_r2_target_3': -27.223054885864258}",COMPLETE
2,0.3930805664923456,2026-01-30 19:01:33.801780,2026-01-30 19:01:51.094032,0 days 00:00:17.292252,attention,3,0.3802024276767841,64,0.00155270113064916,0.005436990925585826,"{'val_rmse_mean': 0.9960024356842041, 'val_mae_mean': 0.7480270266532898, 'val_r2_mean': -5.482029914855957, 'val_rmse_target_0': 0.9860724210739136, 'val_mae_target_0': 0.6774249076843262, 'val_r2_target_0': -5.357006072998047, 'val_rmse_target_1': 0.9717730283737183, 'val_mae_target_1': 0.6768824458122253, 'val_r2_target_1': -4.703926086425781, 'val_rmse_target_2': 0.9340042471885681, 'val_mae_target_2': 0.8390788435935974, 'val_r2_target_2': -1.8674380779266357, 'val_rmse_target_3': 1.0921598672866821, 'val_mae_target_3': 0.7987217307090759, 'val_r2_target_3': -9.999749183654785}",COMPLETE
3,0.3934560002138217,2026-01-30 19:01:51.185631,2026-01-30 19:02:08.517801,0 days 00:00:17.332170,attention,3,0.03993584564325853,32,0.00015535079675571594,0.00025593172928135887,"{'val_rmse_mean': 1.0121004581451416, 'val_mae_mean': 0.7368149161338806, 'val_r2_mean': -118.2567138671875, 'val_rmse_target_0': 0.9939055442810059, 'val_mae_target_0': 0.6409596800804138, 'val_r2_target_0': -108.18486022949219, 'val_rmse_target_1': 1.0264922380447388, 'val_mae_target_1': 0.7221717834472656, 'val_r2_target_1': -93.15350341796875, 'val_rmse_target_2': 1.0019266605377197, 'val_mae_target_2': 0.8588129878044128, 'val_r2_target_2': -142.04916381835938, 'val_rmse_target_3': 1.0260777473449707, 'val_mae_target_3': 0.7253151535987854, 'val_r2_target_3': -129.6393280029297}",COMPLETE
4,0.38141548433513556,2026-01-30 19:02:08.617511,2026-01-30 19:02:27.551031,0 days 00:00:18.933520,attention,3,0.3266650276895246,128,0.00020763841138715148,0.0021194767958406927,"{'val_rmse_mean': 1.001635193824768, 'val_mae_mean': 0.7147639989852905, 'val_r2_mean': -286.30609130859375, 'val_rmse_target_0': 0.9806889891624451, 'val_mae_target_0': 0.6269983649253845, 'val_r2_target_0': -214.80169677734375, 'val_rmse_target_1': 1.0245765447616577, 'val_mae_target_1': 0.6980732679367065, 'val_r2_target_1': -216.17401123046875, 'val_rmse_target_2': 0.9806791543960571, 'val_mae_target_2': 0.8286136984825134, 'val_r2_target_2': -122.56673431396484, 'val_rmse_target_3': 1.0205961465835571, 'val_mae_target_3': 0.7053707838058472, 'val_r2_target_3': -591.681884765625}",COMPLETE
5,0.38117624874468203,2026-01-30 19:02:27.652736,2026-01-30 19:02:46.844556,0 days 00:00:19.191820,attention,3,0.39745512548093853,32,0.00026735418846899126,1.1432367717624262e-05,"{'val_rmse_mean': 1.0049347877502441, 'val_mae_mean': 0.7209755182266235, 'val_r2_mean': -176.56344604492188, 'val_rmse_target_0': 1.0049504041671753, 'val_mae_target_0': 0.6405960917472839, 'val_r2_target_0': -146.11663818359375, 'val_rmse_target_1': 1.017683744430542, 'val_mae_target_1': 0.717837929725647, 'val_r2_target_1': -190.57574462890625, 'val_rmse_target_2': 0.9881290793418884, 'val_mae_target_2': 0.8306601047515869, 'val_r2_target_2': -165.46006774902344, 'val_rmse_target_3': 1.0089757442474365, 'val_mae_target_3': 0.6948081254959106, 'val_r2_target_3': -204.1012420654297}",COMPLETE
6,0.37776898337459125,2026-01-30 19:02:46.934653,2026-01-30 19:03:02.593955,0 days 00:00:15.659302,mean,1,0.19767663005505415,64,0.0001901316234679004,0.0031910810988937145,"{'val_rmse_mean': 0.9831241965293884, 'val_mae_mean': 0.7180535197257996, 'val_r2_mean': -57.707916259765625, 'val_rmse_target_0': 0.916891872882843, 'val_mae_target_0': 0.5708375573158264, 'val_r2_target_0': -33.68266677856445, 'val_rmse_target_1': 1.0244815349578857, 'val_mae_target_1': 0.7305443286895752, 'val_r2_target_1': -61.556800842285156, 'val_rmse_target_2': 0.9683229327201843, 'val_mae_target_2': 0.8475991487503052, 'val_r2_target_2': -39.871280670166016, 'val_rmse_target_3': 1.0228004455566406, 'val_mae_target_3': 0.7232330441474915, 'val_r2_target_3': -95.72090148925781}",COMPLETE
7,0.38695670371116314,2026-01-30 19:03:02.683370,2026-01-30 19:03:20.127253,0 days 00:00:17.443883,mean,3,0.05691738518097811,32,0.0007788607259658553,0.0005982554214760362,"{'val_rmse_mean': 0.9934307336807251, 'val_mae_mean': 0.7304806709289551, 'val_r2_mean': -23.593852996826172, 'val_rmse_target_0': 0.9407203793525696, 'val_mae_target_0': 0.6082032322883606, 'val_r2_target_0': -19.846866607666016, 'val_rmse_target_1': 0.9843634366989136, 'val_mae_target_1': 0.6860476136207581, 'val_r2_target_1': -14.456583976745605, 'val_rmse_target_2': 1.0172605514526367, 'val_mae_target_2': 0.8859925270080566, 'val_r2_target_2': -14.801741600036621, 'val_rmse_target_3': 1.0313786268234253, 'val_mae_target_3': 0.7416792511940002, 'val_r2_target_3': -45.27021789550781}",COMPLETE
8,0.40794288077288204,2026-01-30 19:03:20.227668,2026-01-30 19:03:37.180585,0 days 00:00:16.952917,mean,3,0.1626088408536121,32,0.003762191453381234,0.0005352600849175584,"{'val_rmse_mean': 1.0154612064361572, 'val_mae_mean': 0.7625575065612793, 'val_r2_mean': -2.9460740089416504, 'val_rmse_target_0': 1.0582882165908813, 'val_mae_target_0': 0.7407290935516357, 'val_r2_target_0': -2.260981559753418, 'val_rmse_target_1': 1.061850666999817, 'val_mae_target_1': 0.7276307344436646, 'val_r2_target_1': -3.4971671104431152, 'val_rmse_target_2': 0.9428855180740356, 'val_mae_target_2': 0.8049300312995911, 'val_r2_target_2': -1.7914657592773438, 'val_rmse_target_3': 0.9988203644752502, 'val_mae_target_3': 0.7769400477409363, 'val_r2_target_3': -4.234682083129883}",COMPLETE
9,0.37678809588154155,2026-01-30 19:03:37.271937,2026-01-30 19:03:53.989000,0 days 00:00:16.717063,mean,2,0.3868482024359641,64,0.0005461539413599085,6.882177527928699e-05,"{'val_rmse_mean': 0.9878045320510864, 'val_mae_mean': 0.7092351317405701, 'val_r2_mean': -56.87782287597656, 'val_rmse_target_0': 0.957793653011322, 'val_mae_target_0': 0.6017137169837952, 'val_r2_target_0': -61.31483840942383, 'val_rmse_target_1': 0.9988114237785339, 'val_mae_target_1': 0.6938492655754089, 'val_r2_target_1': -40.158634185791016, 'val_rmse_target_2': 0.9753871560096741, 'val_mae_target_2': 0.8415992259979248, 'val_r2_target_2': -27.765853881835938, 'val_rmse_target_3': 1.0192259550094604, 'val_mae_target_3': 0.6997783780097961, 'val_r2_target_3': -98.27195739746094}",COMPLETE
