number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_num_conv_layers,params_path_attention_type,params_path_dim,params_regressor_dim,params_ts_out_channels,params_weight_decay,user_attrs_val_metrics,state
0,0.38759261417996,2026-01-30 22:33:49.454595,2026-01-30 22:34:24.026294,0 days 00:00:34.571699,16,0.23791528522904584,6.672099655004551e-05,2,mean,16,128,16,0.0019513655886100611,"{'val_rmse_mean': 1.011167049407959, 'val_mae_mean': 0.7265971899032593, 'val_r2_mean': -107.43913269042969, 'val_rmse_target_0': 1.0462397336959839, 'val_mae_target_0': 0.6563982367515564, 'val_r2_target_0': -123.3635482788086, 'val_rmse_target_1': 1.0075557231903076, 'val_mae_target_1': 0.7029137015342712, 'val_r2_target_1': -78.9421157836914, 'val_rmse_target_2': 0.9831794500350952, 'val_mae_target_2': 0.8391731977462769, 'val_r2_target_2': -70.20399475097656, 'val_rmse_target_3': 1.0076935291290283, 'val_mae_target_3': 0.7079035639762878, 'val_r2_target_3': -157.24688720703125}",COMPLETE
1,0.39778965021725055,2026-01-30 22:34:24.135054,2026-01-30 22:35:02.025260,0 days 00:00:37.890206,16,0.3746371848419574,6.844459761605683e-05,2,mean,4,64,16,0.0026744484939287645,"{'val_rmse_mean': 1.025193214416504, 'val_mae_mean': 0.7488365173339844, 'val_r2_mean': -58.687191009521484, 'val_rmse_target_0': 1.0698840618133545, 'val_mae_target_0': 0.7086135745048523, 'val_r2_target_0': -111.96507263183594, 'val_rmse_target_1': 1.0520431995391846, 'val_mae_target_1': 0.7287431359291077, 'val_r2_target_1': -35.15978240966797, 'val_rmse_target_2': 0.9920195937156677, 'val_mae_target_2': 0.8558367490768433, 'val_r2_target_2': -51.7381591796875, 'val_rmse_target_3': 0.9868261814117432, 'val_mae_target_3': 0.7021527886390686, 'val_r2_target_3': -35.88576126098633}",COMPLETE
2,0.36516884617783407,2026-01-30 22:35:02.135029,2026-01-30 22:35:34.715736,0 days 00:00:32.580707,16,0.4824055070101303,0.00012628473786724934,2,mean,4,256,16,0.0023756458622527224,"{'val_rmse_mean': 0.9711977243423462, 'val_mae_mean': 0.7091208100318909, 'val_r2_mean': -30.988569259643555, 'val_rmse_target_0': 1.0536754131317139, 'val_mae_target_0': 0.678281843662262, 'val_r2_target_0': -46.929656982421875, 'val_rmse_target_1': 0.9738205671310425, 'val_mae_target_1': 0.6966991424560547, 'val_r2_target_1': -16.50074577331543, 'val_rmse_target_2': 0.823090136051178, 'val_mae_target_2': 0.7188128232955933, 'val_r2_target_2': -4.647749900817871, 'val_rmse_target_3': 1.0342050790786743, 'val_mae_target_3': 0.7426894307136536, 'val_r2_target_3': -55.87611389160156}",COMPLETE
3,0.3948166984374876,2026-01-30 22:35:34.825154,2026-01-30 22:36:07.404709,0 days 00:00:32.579555,16,0.3720182205917092,7.85556471041692e-05,2,mean,4,64,16,0.0019061454263729059,"{'val_rmse_mean': 1.0120015144348145, 'val_mae_mean': 0.7380566596984863, 'val_r2_mean': -48.68178939819336, 'val_rmse_target_0': 1.0339328050613403, 'val_mae_target_0': 0.6970641016960144, 'val_r2_target_0': -72.66890716552734, 'val_rmse_target_1': 0.9829496145248413, 'val_mae_target_1': 0.6921617984771729, 'val_r2_target_1': -45.840667724609375, 'val_rmse_target_2': 0.9981029033660889, 'val_mae_target_2': 0.8335328102111816, 'val_r2_target_2': -29.244918823242188, 'val_rmse_target_3': 1.0330207347869873, 'val_mae_target_3': 0.7294679284095764, 'val_r2_target_3': -46.972694396972656}",COMPLETE
4,0.3629928371972508,2026-01-30 22:36:07.512361,2026-01-30 22:36:38.499967,0 days 00:00:30.987606,16,0.20659029184527988,0.0002919360709778329,2,mean,16,256,16,0.003537135857007763,"{'val_rmse_mean': 0.9507138729095459, 'val_mae_mean': 0.7091667056083679, 'val_r2_mean': -8.50225830078125, 'val_rmse_target_0': 0.9803114533424377, 'val_mae_target_0': 0.6544318199157715, 'val_r2_target_0': -8.002700805664062, 'val_rmse_target_1': 0.9679258465766907, 'val_mae_target_1': 0.733673095703125, 'val_r2_target_1': -4.619728088378906, 'val_rmse_target_2': 0.7940775156021118, 'val_mae_target_2': 0.6664474010467529, 'val_r2_target_2': -0.4059513807296753, 'val_rmse_target_3': 1.0605405569076538, 'val_mae_target_3': 0.7821144461631775, 'val_r2_target_3': -20.980649948120117}",COMPLETE
5,0.3547731786966324,2026-01-30 22:36:38.608206,2026-01-30 22:37:12.145364,0 days 00:00:33.537158,16,0.30841812244817995,0.00010832409900764156,2,mean,8,256,16,0.002543037319273423,"{'val_rmse_mean': 0.9585497379302979, 'val_mae_mean': 0.6941723823547363, 'val_r2_mean': -37.63224792480469, 'val_rmse_target_0': 1.040260910987854, 'val_mae_target_0': 0.6678289771080017, 'val_r2_target_0': -72.78604888916016, 'val_rmse_target_1': 0.9656271934509277, 'val_mae_target_1': 0.6812215447425842, 'val_r2_target_1': -20.52460479736328, 'val_rmse_target_2': 0.8007505536079407, 'val_mae_target_2': 0.685631275177002, 'val_r2_target_2': -4.246601104736328, 'val_rmse_target_3': 1.0275603532791138, 'val_mae_target_3': 0.7420077323913574, 'val_r2_target_3': -52.97174835205078}",COMPLETE
6,0.38417766902043865,2026-01-30 22:37:12.253194,2026-01-30 22:37:47.770513,0 days 00:00:35.517319,16,0.4975792767297995,5.224532021306603e-05,2,mean,8,64,16,0.0021173599334194477,"{'val_rmse_mean': 1.001856803894043, 'val_mae_mean': 0.720224916934967, 'val_r2_mean': -69.25508117675781, 'val_rmse_target_0': 1.0165972709655762, 'val_mae_target_0': 0.6506703495979309, 'val_r2_target_0': -71.05467987060547, 'val_rmse_target_1': 1.0000152587890625, 'val_mae_target_1': 0.6962534785270691, 'val_r2_target_1': -92.35142517089844, 'val_rmse_target_2': 1.0104317665100098, 'val_mae_target_2': 0.8424494862556458, 'val_r2_target_2': -50.795631408691406, 'val_rmse_target_3': 0.9803829789161682, 'val_mae_target_3': 0.6915264129638672, 'val_r2_target_3': -62.81858825683594}",COMPLETE
7,0.35944748559483775,2026-01-30 22:37:47.879317,2026-01-30 22:38:24.113522,0 days 00:00:36.234205,16,0.25279049736170556,0.0003012047649955751,2,mean,4,128,16,0.003969645178173219,"{'val_rmse_mean': 0.9629347324371338, 'val_mae_mean': 0.69611656665802, 'val_r2_mean': -20.16152572631836, 'val_rmse_target_0': 1.066054105758667, 'val_mae_target_0': 0.6875587701797485, 'val_r2_target_0': -27.395042419433594, 'val_rmse_target_1': 0.964379072189331, 'val_mae_target_1': 0.6866356730461121, 'val_r2_target_1': -10.189081192016602, 'val_rmse_target_2': 0.762609601020813, 'val_mae_target_2': 0.6441423892974854, 'val_r2_target_2': -1.312511682510376, 'val_rmse_target_3': 1.0586961507797241, 'val_mae_target_3': 0.7661294341087341, 'val_r2_target_3': -41.74946212768555}",COMPLETE
8,0.3855312152041329,2026-01-30 22:38:24.222297,2026-01-30 22:38:58.206687,0 days 00:00:33.984390,16,0.20600154240498647,0.00013342616470765316,2,mean,16,32,16,0.002483252637443132,"{'val_rmse_mean': 1.006872296333313, 'val_mae_mean': 0.7237957119941711, 'val_r2_mean': -85.2957992553711, 'val_rmse_target_0': 1.0613408088684082, 'val_mae_target_0': 0.6856836676597595, 'val_r2_target_0': -149.66122436523438, 'val_rmse_target_1': 0.9788856506347656, 'val_mae_target_1': 0.6514430046081543, 'val_r2_target_1': -73.55738067626953, 'val_rmse_target_2': 0.9825592637062073, 'val_mae_target_2': 0.8473582863807678, 'val_r2_target_2': -44.458885192871094, 'val_rmse_target_3': 1.0047035217285156, 'val_mae_target_3': 0.7106978297233582, 'val_r2_target_3': -73.50566864013672}",COMPLETE
9,0.3913179216561494,2026-01-30 22:38:58.316054,2026-01-30 22:39:33.879903,0 days 00:00:35.563849,16,0.41657900859373265,0.00011120209364744789,2,mean,16,32,16,0.005474794915202024,"{'val_rmse_mean': 1.0136189460754395, 'val_mae_mean': 0.7344791889190674, 'val_r2_mean': -115.2232666015625, 'val_rmse_target_0': 1.0216774940490723, 'val_mae_target_0': 0.654768705368042, 'val_r2_target_0': -184.68768310546875, 'val_rmse_target_1': 1.0230928659439087, 'val_mae_target_1': 0.7330325245857239, 'val_r2_target_1': -48.41172409057617, 'val_rmse_target_2': 0.9929530024528503, 'val_mae_target_2': 0.8468634486198425, 'val_r2_target_2': -62.22298049926758, 'val_rmse_target_3': 1.0167524814605713, 'val_mae_target_3': 0.7032521367073059, 'val_r2_target_3': -165.57061767578125}",COMPLETE
