,mean_weight
0,0.08320528
1,0.08837103
2,0.046518672
3,0.019615332
4,0.0217472
5,0.018625747
6,0.01646823
7,0.034501154
8,0.041156616
9,0.030550191
10,0.015851697
11,0.017085023
12,0.015337675
13,0.01611937
14,0.07645839
15,0.1099035
16,0.10579739
17,0.056674443
18,0.07520169
19,0.11081138
