number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_lstm,params_dropout_path,params_dropout_reg,params_lr,params_lstm_hidden_dim,params_lstm_layers,params_path_aggregation,params_path_dim,params_regressor_dim,params_weight_decay,user_attrs_val_metrics,state
10,0.3501810141735607,2026-01-30 20:03:26.786876,2026-01-30 20:04:03.075045,0 days 00:00:36.288169,16,False,0.23733398359034483,0.2633842735955324,0.3507119621388197,0.0001674187791390592,32,2,static,16,512,0.009783656233769828,"{'val_rmse_mean': 0.9472581148147583, 'val_mae_mean': 0.6930088400840759, 'val_r2_mean': -21.703880310058594, 'val_rmse_target_0': 1.009135127067566, 'val_mae_target_0': 0.6460010409355164, 'val_r2_target_0': -39.545127868652344, 'val_rmse_target_1': 0.9686830639839172, 'val_mae_target_1': 0.690920352935791, 'val_r2_target_1': -9.354990005493164, 'val_rmse_target_2': 0.7552990317344666, 'val_mae_target_2': 0.674282968044281, 'val_r2_target_2': -1.0831217765808105, 'val_rmse_target_3': 1.055915117263794, 'val_mae_target_3': 0.760830819606781, 'val_r2_target_3': -36.832279205322266}",COMPLETE
11,0.3620536721966885,2026-01-30 20:04:03.170989,2026-01-30 20:04:38.379381,0 days 00:00:35.208392,16,False,0.2287235155930075,0.26018498692428216,0.3519742098609881,0.00019197303127475697,32,2,static,16,512,0.008502729429476958,"{'val_rmse_mean': 0.9610585570335388, 'val_mae_mean': 0.7062958478927612, 'val_r2_mean': -15.741731643676758, 'val_rmse_target_0': 1.0107569694519043, 'val_mae_target_0': 0.6402004361152649, 'val_r2_target_0': -26.440366744995117, 'val_rmse_target_1': 0.9811198711395264, 'val_mae_target_1': 0.71644526720047, 'val_r2_target_1': -6.485424518585205, 'val_rmse_target_2': 0.7790003418922424, 'val_mae_target_2': 0.6904747486114502, 'val_r2_target_2': -0.8223034143447876, 'val_rmse_target_3': 1.073357105255127, 'val_mae_target_3': 0.7780629396438599, 'val_r2_target_3': -29.21883201599121}",COMPLETE
12,0.3617982268333435,2026-01-30 20:04:38.477291,2026-01-30 20:05:12.838762,0 days 00:00:34.361471,16,False,0.23813281331195252,0.26648110348661497,0.3552203804997631,0.0002636293707685584,32,2,static,16,512,0.0094551960962956,"{'val_rmse_mean': 0.9534111618995667, 'val_mae_mean': 0.7093297243118286, 'val_r2_mean': -10.381589889526367, 'val_rmse_target_0': 1.0127028226852417, 'val_mae_target_0': 0.6662850975990295, 'val_r2_target_0': -16.34515953063965, 'val_rmse_target_1': 0.977193295955658, 'val_mae_target_1': 0.7225120663642883, 'val_r2_target_1': -5.09020471572876, 'val_rmse_target_2': 0.7504406571388245, 'val_mae_target_2': 0.6571230888366699, 'val_r2_target_2': -0.2424755096435547, 'val_rmse_target_3': 1.073307991027832, 'val_mae_target_3': 0.7913986444473267, 'val_r2_target_3': -19.848527908325195}",COMPLETE
13,0.3551916939516862,2026-01-30 20:05:12.935302,2026-01-30 20:05:47.057950,0 days 00:00:34.122648,16,False,0.24257765504279008,0.26720481849907296,0.3924102127400955,0.0001676364653778508,32,2,static,16,512,0.0013338920662486157,"{'val_rmse_mean': 0.9524691104888916, 'val_mae_mean': 0.6987055540084839, 'val_r2_mean': -20.463459014892578, 'val_rmse_target_0': 1.0078845024108887, 'val_mae_target_0': 0.6489485502243042, 'val_r2_target_0': -32.80244827270508, 'val_rmse_target_1': 0.976570188999176, 'val_mae_target_1': 0.7005374431610107, 'val_r2_target_1': -10.253971099853516, 'val_rmse_target_2': 0.7634329795837402, 'val_mae_target_2': 0.6750129461288452, 'val_r2_target_2': -1.3077189922332764, 'val_rmse_target_3': 1.0619888305664062, 'val_mae_target_3': 0.7703232169151306, 'val_r2_target_3': -37.489707946777344}",COMPLETE
14,0.3497569414752501,2026-01-30 20:05:47.155433,2026-01-30 20:06:21.558203,0 days 00:00:34.402770,16,False,0.29515287692008,0.20580303644437517,0.35460094031726413,0.00014111894922235602,32,2,static,8,512,9.092864776463252e-05,"{'val_rmse_mean': 0.9456405639648438, 'val_mae_mean': 0.6918282508850098, 'val_r2_mean': -20.447010040283203, 'val_rmse_target_0': 1.0161652565002441, 'val_mae_target_0': 0.6580657362937927, 'val_r2_target_0': -34.149051666259766, 'val_rmse_target_1': 0.9617833495140076, 'val_mae_target_1': 0.6824184060096741, 'val_r2_target_1': -10.122607231140137, 'val_rmse_target_2': 0.7513733506202698, 'val_mae_target_2': 0.6661977171897888, 'val_r2_target_2': -0.9807630777359009, 'val_rmse_target_3': 1.053240180015564, 'val_mae_target_3': 0.7606310844421387, 'val_r2_target_3': -36.53562545776367}",COMPLETE
15,0.3538597119903123,2026-01-30 20:06:21.655847,2026-01-30 20:06:57.324435,0 days 00:00:35.668588,16,False,0.291991548578071,0.2014612448332195,0.3327050173691555,0.00013488452797645522,32,2,static,16,512,7.385391153337267e-05,"{'val_rmse_mean': 0.9540249705314636, 'val_mae_mean': 0.6946904063224792, 'val_r2_mean': -23.228532791137695, 'val_rmse_target_0': 1.0079243183135986, 'val_mae_target_0': 0.6552322506904602, 'val_r2_target_0': -35.628814697265625, 'val_rmse_target_1': 0.9718377590179443, 'val_mae_target_1': 0.6762199401855469, 'val_r2_target_1': -11.742744445800781, 'val_rmse_target_2': 0.7738552093505859, 'val_mae_target_2': 0.6885830760002136, 'val_r2_target_2': -1.9998340606689453, 'val_rmse_target_3': 1.0624825954437256, 'val_mae_target_3': 0.7587264180183411, 'val_r2_target_3': -43.542747497558594}",COMPLETE
16,0.34977339263315554,2026-01-30 20:06:57.420736,2026-01-30 20:07:33.821997,0 days 00:00:36.401261,16,False,0.2978579382749472,0.28847731686701117,0.26656130285407253,0.0001423876022912166,32,2,static,8,512,4.968308473485596e-05,"{'val_rmse_mean': 0.9456606507301331, 'val_mae_mean': 0.6921844482421875, 'val_r2_mean': -19.252347946166992, 'val_rmse_target_0': 1.0090711116790771, 'val_mae_target_0': 0.6489230990409851, 'val_r2_target_0': -33.94237518310547, 'val_rmse_target_1': 0.9611615538597107, 'val_mae_target_1': 0.6828662157058716, 'val_r2_target_1': -9.583305358886719, 'val_rmse_target_2': 0.7464033961296082, 'val_mae_target_2': 0.6577519178390503, 'val_r2_target_2': -1.0898616313934326, 'val_rmse_target_3': 1.0660064220428467, 'val_mae_target_3': 0.779196560382843, 'val_r2_target_3': -32.39384460449219}",COMPLETE
17,0.35052890247768825,2026-01-30 20:07:33.918242,2026-01-30 20:08:08.813377,0 days 00:00:34.895135,16,False,0.2944954998686783,0.2875518725804522,0.26838174961598565,0.0001278765835638218,32,2,static,8,512,4.662119270176838e-05,"{'val_rmse_mean': 0.949655294418335, 'val_mae_mean': 0.6925840377807617, 'val_r2_mean': -25.569881439208984, 'val_rmse_target_0': 1.010902762413025, 'val_mae_target_0': 0.6430188417434692, 'val_r2_target_0': -48.03032302856445, 'val_rmse_target_1': 0.9691374897956848, 'val_mae_target_1': 0.6943190693855286, 'val_r2_target_1': -11.704728126525879, 'val_rmse_target_2': 0.7549229264259338, 'val_mae_target_2': 0.6665329337120056, 'val_r2_target_2': -1.2159457206726074, 'val_rmse_target_3': 1.0636581182479858, 'val_mae_target_3': 0.7664650678634644, 'val_r2_target_3': -41.328529357910156}",COMPLETE
18,0.40560927076472175,2026-01-30 20:08:08.909763,2026-01-30 20:08:40.770618,0 days 00:00:31.860855,16,False,0.10845396597528247,0.2003137537690448,0.24135184812537924,0.0004977739495642604,8,2,static,8,512,3.0128627326240058e-05,"{'val_rmse_mean': 1.002429485321045, 'val_mae_mean': 0.7576473355293274, 'val_r2_mean': -5.291254997253418, 'val_rmse_target_0': 0.9985948801040649, 'val_mae_target_0': 0.6859952211380005, 'val_r2_target_0': -7.32321834564209, 'val_rmse_target_1': 1.042436122894287, 'val_mae_target_1': 0.7996848821640015, 'val_r2_target_1': -2.834333896636963, 'val_rmse_target_2': 0.805648148059845, 'val_mae_target_2': 0.684585690498352, 'val_r2_target_2': -0.05905938148498535, 'val_rmse_target_3': 1.163039207458496, 'val_mae_target_3': 0.8603237271308899, 'val_r2_target_3': -10.948405265808105}",COMPLETE
19,0.3611017104100298,2026-01-30 20:08:40.867884,2026-01-30 20:09:14.349279,0 days 00:00:33.481395,16,False,0.263306110310925,0.3542762265638273,0.2727972762128274,7.898817062186921e-05,16,2,static,8,512,0.00014750336966746114,"{'val_rmse_mean': 0.9666278958320618, 'val_mae_mean': 0.7017874717712402, 'val_r2_mean': -32.326812744140625, 'val_rmse_target_0': 1.008487343788147, 'val_mae_target_0': 0.6576299071311951, 'val_r2_target_0': -44.72809600830078, 'val_rmse_target_1': 0.9569632411003113, 'val_mae_target_1': 0.6633397340774536, 'val_r2_target_1': -21.864795684814453, 'val_rmse_target_2': 0.8440178036689758, 'val_mae_target_2': 0.7303458452224731, 'val_r2_target_2': -5.6934404373168945, 'val_rmse_target_3': 1.0570433139801025, 'val_mae_target_3': 0.7558345198631287, 'val_r2_target_3': -57.02090072631836}",COMPLETE
