number,value,datetime_start,datetime_complete,duration,params_fit_intercept,params_n_path_features,user_attrs_val_metrics,state
10,1.0261389780044556,2026-02-23 19:46:35.569053,2026-02-23 19:47:18.680348,0 days 00:00:43.111295,True,20,"{'val_rmse_mean': 1.00845468044281, 'val_mae_mean': 0.7850143909454346, 'val_r2_mean': -1.5683856010437012, 'val_rmse_target_0': 1.0034962892532349, 'val_mae_target_0': 0.7912088632583618, 'val_r2_target_0': -1.4302842617034912, 'val_rmse_target_1': 1.032248854637146, 'val_mae_target_1': 0.7874851822853088, 'val_r2_target_1': -1.0075249671936035, 'val_rmse_target_2': 0.9160189032554626, 'val_mae_target_2': 0.7631716132164001, 'val_r2_target_2': -0.6392921209335327, 'val_rmse_target_3': 0.9866257905960083, 'val_mae_target_3': 0.7919850945472717, 'val_r2_target_3': -1.7811286449432373, 'val_rmse_target_4': 0.9662647843360901, 'val_mae_target_4': 0.779771625995636, 'val_r2_target_4': -2.171531915664673, 'val_rmse_target_5': 1.2282869815826416, 'val_mae_target_5': 0.9586843848228455, 'val_r2_target_5': -2.945098638534546, 'val_rmse_target_6': 1.0386499166488647, 'val_mae_target_6': 0.6841978430747986, 'val_r2_target_6': -1.1295764446258545, 'val_rmse_target_7': 0.8960457444190979, 'val_mae_target_7': 0.7236106395721436, 'val_r2_target_7': -1.442647933959961}",COMPLETE
11,0.9690030062198639,2026-02-23 19:47:18.920317,2026-02-23 19:48:05.773860,0 days 00:00:46.853543,False,35,"{'val_rmse_mean': 0.9807764291763306, 'val_mae_mean': 0.7716339826583862, 'val_r2_mean': -1.616725206375122, 'val_rmse_target_0': 0.9144337177276611, 'val_mae_target_0': 0.7505542635917664, 'val_r2_target_0': -0.6791507005691528, 'val_rmse_target_1': 0.955337405204773, 'val_mae_target_1': 0.757388174533844, 'val_r2_target_1': -0.8379316329956055, 'val_rmse_target_2': 0.9745211601257324, 'val_mae_target_2': 0.7825284004211426, 'val_r2_target_2': -0.7107174396514893, 'val_rmse_target_3': 0.9886689782142639, 'val_mae_target_3': 0.8010289669036865, 'val_r2_target_3': -1.2393012046813965, 'val_rmse_target_4': 1.021622896194458, 'val_mae_target_4': 0.834992527961731, 'val_r2_target_4': -1.2632215023040771, 'val_rmse_target_5': 1.1574896574020386, 'val_mae_target_5': 0.8913372755050659, 'val_r2_target_5': -4.932373523712158, 'val_rmse_target_6': 0.9894577264785767, 'val_mae_target_6': 0.6515386700630188, 'val_r2_target_6': -1.993156909942627, 'val_rmse_target_7': 0.8446803689002991, 'val_mae_target_7': 0.7037036418914795, 'val_r2_target_7': -1.2779502868652344}",COMPLETE
12,0.9202633595466614,2026-02-23 19:48:05.996137,2026-02-23 19:48:51.571434,0 days 00:00:45.575297,False,30,"{'val_rmse_mean': 0.9558770656585693, 'val_mae_mean': 0.7492092847824097, 'val_r2_mean': -1.890589952468872, 'val_rmse_target_0': 0.8899857997894287, 'val_mae_target_0': 0.7243812680244446, 'val_r2_target_0': -0.841270923614502, 'val_rmse_target_1': 0.9759977459907532, 'val_mae_target_1': 0.7700257897377014, 'val_r2_target_1': -1.0311262607574463, 'val_rmse_target_2': 0.8923966288566589, 'val_mae_target_2': 0.7346174120903015, 'val_r2_target_2': -0.587721586227417, 'val_rmse_target_3': 0.9462162852287292, 'val_mae_target_3': 0.7495242953300476, 'val_r2_target_3': -1.563697099685669, 'val_rmse_target_4': 1.0010713338851929, 'val_mae_target_4': 0.7839493751525879, 'val_r2_target_4': -1.9090261459350586, 'val_rmse_target_5': 1.1416878700256348, 'val_mae_target_5': 0.8802597522735596, 'val_r2_target_5': -6.214216709136963, 'val_rmse_target_6': 0.9195610284805298, 'val_mae_target_6': 0.6195715069770813, 'val_r2_target_6': -1.0966460704803467, 'val_rmse_target_7': 0.8800999522209167, 'val_mae_target_7': 0.7313446998596191, 'val_r2_target_7': -1.8810150623321533}",COMPLETE
13,0.9202633595466614,2026-02-23 19:48:51.810582,2026-02-23 19:49:37.294299,0 days 00:00:45.483717,False,30,"{'val_rmse_mean': 0.9558770656585693, 'val_mae_mean': 0.7492092847824097, 'val_r2_mean': -1.890589952468872, 'val_rmse_target_0': 0.8899857997894287, 'val_mae_target_0': 0.7243812680244446, 'val_r2_target_0': -0.841270923614502, 'val_rmse_target_1': 0.9759977459907532, 'val_mae_target_1': 0.7700257897377014, 'val_r2_target_1': -1.0311262607574463, 'val_rmse_target_2': 0.8923966288566589, 'val_mae_target_2': 0.7346174120903015, 'val_r2_target_2': -0.587721586227417, 'val_rmse_target_3': 0.9462162852287292, 'val_mae_target_3': 0.7495242953300476, 'val_r2_target_3': -1.563697099685669, 'val_rmse_target_4': 1.0010713338851929, 'val_mae_target_4': 0.7839493751525879, 'val_r2_target_4': -1.9090261459350586, 'val_rmse_target_5': 1.1416878700256348, 'val_mae_target_5': 0.8802597522735596, 'val_r2_target_5': -6.214216709136963, 'val_rmse_target_6': 0.9195610284805298, 'val_mae_target_6': 0.6195715069770813, 'val_r2_target_6': -1.0966460704803467, 'val_rmse_target_7': 0.8800999522209167, 'val_mae_target_7': 0.7313446998596191, 'val_r2_target_7': -1.8810150623321533}",COMPLETE
14,1.0206576120853423,2026-02-23 19:49:37.517309,2026-02-23 19:50:20.261259,0 days 00:00:42.743950,False,20,"{'val_rmse_mean': 1.0057777166366577, 'val_mae_mean': 0.7837804555892944, 'val_r2_mean': -1.569802165031433, 'val_rmse_target_0': 1.0001294612884521, 'val_mae_target_0': 0.7884269952774048, 'val_r2_target_0': -1.4351239204406738, 'val_rmse_target_1': 1.0296303033828735, 'val_mae_target_1': 0.7850387692451477, 'val_r2_target_1': -1.0328302383422852, 'val_rmse_target_2': 0.9188832640647888, 'val_mae_target_2': 0.7650481462478638, 'val_r2_target_2': -0.6603657007217407, 'val_rmse_target_3': 0.9872072339057922, 'val_mae_target_3': 0.7973496317863464, 'val_r2_target_3': -1.8085944652557373, 'val_rmse_target_4': 0.9628612399101257, 'val_mae_target_4': 0.7772287726402283, 'val_r2_target_4': -2.126873731613159, 'val_rmse_target_5': 1.221738338470459, 'val_mae_target_5': 0.9548555612564087, 'val_r2_target_5': -2.963606595993042, 'val_rmse_target_6': 1.0400060415267944, 'val_mae_target_6': 0.684810996055603, 'val_r2_target_6': -1.1407856941223145, 'val_rmse_target_7': 0.8857653141021729, 'val_mae_target_7': 0.7174845337867737, 'val_r2_target_7': -1.3902363777160645}",COMPLETE
15,0.9562335354089737,2026-02-23 19:50:20.501584,2026-02-23 19:51:06.283403,0 days 00:00:45.781819,False,45,"{'val_rmse_mean': 0.9743676781654358, 'val_mae_mean': 0.7642601728439331, 'val_r2_mean': -1.536529541015625, 'val_rmse_target_0': 0.9080538749694824, 'val_mae_target_0': 0.7379709482192993, 'val_r2_target_0': -0.5908330678939819, 'val_rmse_target_1': 0.9528236389160156, 'val_mae_target_1': 0.7435377240180969, 'val_r2_target_1': -0.758425235748291, 'val_rmse_target_2': 0.9874473810195923, 'val_mae_target_2': 0.7692694067955017, 'val_r2_target_2': -0.6362602710723877, 'val_rmse_target_3': 0.9653865098953247, 'val_mae_target_3': 0.7782549858093262, 'val_r2_target_3': -1.2276480197906494, 'val_rmse_target_4': 0.9911670684814453, 'val_mae_target_4': 0.8023910522460938, 'val_r2_target_4': -1.234459638595581, 'val_rmse_target_5': 1.1552653312683105, 'val_mae_target_5': 0.8830854892730713, 'val_r2_target_5': -5.009207248687744, 'val_rmse_target_6': 0.9885299205780029, 'val_mae_target_6': 0.6899412274360657, 'val_r2_target_6': -1.6469981670379639, 'val_rmse_target_7': 0.8462677001953125, 'val_mae_target_7': 0.7096303701400757, 'val_r2_target_7': -1.1884033679962158}",COMPLETE
16,0.9202633595466614,2026-02-23 19:51:06.523019,2026-02-23 19:51:51.420806,0 days 00:00:44.897787,False,30,"{'val_rmse_mean': 0.9558770656585693, 'val_mae_mean': 0.7492092847824097, 'val_r2_mean': -1.890589952468872, 'val_rmse_target_0': 0.8899857997894287, 'val_mae_target_0': 0.7243812680244446, 'val_r2_target_0': -0.841270923614502, 'val_rmse_target_1': 0.9759977459907532, 'val_mae_target_1': 0.7700257897377014, 'val_r2_target_1': -1.0311262607574463, 'val_rmse_target_2': 0.8923966288566589, 'val_mae_target_2': 0.7346174120903015, 'val_r2_target_2': -0.587721586227417, 'val_rmse_target_3': 0.9462162852287292, 'val_mae_target_3': 0.7495242953300476, 'val_r2_target_3': -1.563697099685669, 'val_rmse_target_4': 1.0010713338851929, 'val_mae_target_4': 0.7839493751525879, 'val_r2_target_4': -1.9090261459350586, 'val_rmse_target_5': 1.1416878700256348, 'val_mae_target_5': 0.8802597522735596, 'val_r2_target_5': -6.214216709136963, 'val_rmse_target_6': 0.9195610284805298, 'val_mae_target_6': 0.6195715069770813, 'val_r2_target_6': -1.0966460704803467, 'val_rmse_target_7': 0.8800999522209167, 'val_mae_target_7': 0.7313446998596191, 'val_r2_target_7': -1.8810150623321533}",COMPLETE
17,0.9736771523952484,2026-02-23 19:51:51.642947,2026-02-23 19:52:36.557855,0 days 00:00:44.914908,False,40,"{'val_rmse_mean': 0.9831368327140808, 'val_mae_mean': 0.7735186815261841, 'val_r2_mean': -1.5397071838378906, 'val_rmse_target_0': 0.9230648875236511, 'val_mae_target_0': 0.7557005882263184, 'val_r2_target_0': -0.6613450050354004, 'val_rmse_target_1': 0.9823306202888489, 'val_mae_target_1': 0.7646459937095642, 'val_r2_target_1': -0.8949506282806396, 'val_rmse_target_2': 1.0029008388519287, 'val_mae_target_2': 0.8023135662078857, 'val_r2_target_2': -0.7194153070449829, 'val_rmse_target_3': 0.963728666305542, 'val_mae_target_3': 0.7864060997962952, 'val_r2_target_3': -1.138904333114624, 'val_rmse_target_4': 1.0115197896957397, 'val_mae_target_4': 0.8263667225837708, 'val_r2_target_4': -1.1772654056549072, 'val_rmse_target_5': 1.1609017848968506, 'val_mae_target_5': 0.8816919922828674, 'val_r2_target_5': -4.707529544830322, 'val_rmse_target_6': 0.9794846177101135, 'val_mae_target_6': 0.6728752851486206, 'val_r2_target_6': -1.7947108745574951, 'val_rmse_target_7': 0.8411636352539062, 'val_mae_target_7': 0.6981489062309265, 'val_r2_target_7': -1.2235383987426758}",COMPLETE
18,0.9882923519611359,2026-02-23 19:52:36.797316,2026-02-23 19:53:19.941486,0 days 00:00:43.144170,True,25,"{'val_rmse_mean': 0.9911877512931824, 'val_mae_mean': 0.7763452529907227, 'val_r2_mean': -1.921204686164856, 'val_rmse_target_0': 0.9032053351402283, 'val_mae_target_0': 0.7311229109764099, 'val_r2_target_0': -0.7499759197235107, 'val_rmse_target_1': 1.0230653285980225, 'val_mae_target_1': 0.8316742777824402, 'val_r2_target_1': -0.9402050971984863, 'val_rmse_target_2': 0.9248982667922974, 'val_mae_target_2': 0.7469038963317871, 'val_r2_target_2': -0.6182553768157959, 'val_rmse_target_3': 0.995267927646637, 'val_mae_target_3': 0.7906930446624756, 'val_r2_target_3': -1.8294832706451416, 'val_rmse_target_4': 1.0256822109222412, 'val_mae_target_4': 0.8198391795158386, 'val_r2_target_4': -2.18475604057312, 'val_rmse_target_5': 1.1476191282272339, 'val_mae_target_5': 0.9238379001617432, 'val_r2_target_5': -5.604461669921875, 'val_rmse_target_6': 1.0061126947402954, 'val_mae_target_6': 0.6562399864196777, 'val_r2_target_6': -1.4080781936645508, 'val_rmse_target_7': 0.9036510586738586, 'val_mae_target_7': 0.7104503512382507, 'val_r2_target_7': -2.0344204902648926}",COMPLETE
19,0.9202633595466614,2026-02-23 19:53:20.181204,2026-02-23 19:54:04.429322,0 days 00:00:44.248118,False,30,"{'val_rmse_mean': 0.9558770656585693, 'val_mae_mean': 0.7492092847824097, 'val_r2_mean': -1.890589952468872, 'val_rmse_target_0': 0.8899857997894287, 'val_mae_target_0': 0.7243812680244446, 'val_r2_target_0': -0.841270923614502, 'val_rmse_target_1': 0.9759977459907532, 'val_mae_target_1': 0.7700257897377014, 'val_r2_target_1': -1.0311262607574463, 'val_rmse_target_2': 0.8923966288566589, 'val_mae_target_2': 0.7346174120903015, 'val_r2_target_2': -0.587721586227417, 'val_rmse_target_3': 0.9462162852287292, 'val_mae_target_3': 0.7495242953300476, 'val_r2_target_3': -1.563697099685669, 'val_rmse_target_4': 1.0010713338851929, 'val_mae_target_4': 0.7839493751525879, 'val_r2_target_4': -1.9090261459350586, 'val_rmse_target_5': 1.1416878700256348, 'val_mae_target_5': 0.8802597522735596, 'val_r2_target_5': -6.214216709136963, 'val_rmse_target_6': 0.9195610284805298, 'val_mae_target_6': 0.6195715069770813, 'val_r2_target_6': -1.0966460704803467, 'val_rmse_target_7': 0.8800999522209167, 'val_mae_target_7': 0.7313446998596191, 'val_r2_target_7': -1.8810150623321533}",COMPLETE
