number,value,datetime_start,datetime_complete,duration,params_fit_intercept,params_n_path_features,user_attrs_val_metrics,state
20,0.9736771523952484,2026-02-23 19:54:04.668053,2026-02-23 19:54:49.483477,0 days 00:00:44.815424,False,40,"{'val_rmse_mean': 0.9831368327140808, 'val_mae_mean': 0.7735186815261841, 'val_r2_mean': -1.5397071838378906, 'val_rmse_target_0': 0.9230648875236511, 'val_mae_target_0': 0.7557005882263184, 'val_r2_target_0': -0.6613450050354004, 'val_rmse_target_1': 0.9823306202888489, 'val_mae_target_1': 0.7646459937095642, 'val_r2_target_1': -0.8949506282806396, 'val_rmse_target_2': 1.0029008388519287, 'val_mae_target_2': 0.8023135662078857, 'val_r2_target_2': -0.7194153070449829, 'val_rmse_target_3': 0.963728666305542, 'val_mae_target_3': 0.7864060997962952, 'val_r2_target_3': -1.138904333114624, 'val_rmse_target_4': 1.0115197896957397, 'val_mae_target_4': 0.8263667225837708, 'val_r2_target_4': -1.1772654056549072, 'val_rmse_target_5': 1.1609017848968506, 'val_mae_target_5': 0.8816919922828674, 'val_r2_target_5': -4.707529544830322, 'val_rmse_target_6': 0.9794846177101135, 'val_mae_target_6': 0.6728752851486206, 'val_r2_target_6': -1.7947108745574951, 'val_rmse_target_7': 0.8411636352539062, 'val_mae_target_7': 0.6981489062309265, 'val_r2_target_7': -1.2235383987426758}",COMPLETE
21,0.9202633595466614,2026-02-23 19:54:49.721987,2026-02-23 19:55:34.055386,0 days 00:00:44.333399,False,30,"{'val_rmse_mean': 0.9558770656585693, 'val_mae_mean': 0.7492092847824097, 'val_r2_mean': -1.890589952468872, 'val_rmse_target_0': 0.8899857997894287, 'val_mae_target_0': 0.7243812680244446, 'val_r2_target_0': -0.841270923614502, 'val_rmse_target_1': 0.9759977459907532, 'val_mae_target_1': 0.7700257897377014, 'val_r2_target_1': -1.0311262607574463, 'val_rmse_target_2': 0.8923966288566589, 'val_mae_target_2': 0.7346174120903015, 'val_r2_target_2': -0.587721586227417, 'val_rmse_target_3': 0.9462162852287292, 'val_mae_target_3': 0.7495242953300476, 'val_r2_target_3': -1.563697099685669, 'val_rmse_target_4': 1.0010713338851929, 'val_mae_target_4': 0.7839493751525879, 'val_r2_target_4': -1.9090261459350586, 'val_rmse_target_5': 1.1416878700256348, 'val_mae_target_5': 0.8802597522735596, 'val_r2_target_5': -6.214216709136963, 'val_rmse_target_6': 0.9195610284805298, 'val_mae_target_6': 0.6195715069770813, 'val_r2_target_6': -1.0966460704803467, 'val_rmse_target_7': 0.8800999522209167, 'val_mae_target_7': 0.7313446998596191, 'val_r2_target_7': -1.8810150623321533}",COMPLETE
22,0.9873400163650513,2026-02-23 19:55:34.279779,2026-02-23 19:56:17.741478,0 days 00:00:43.461699,False,25,"{'val_rmse_mean': 0.9906200170516968, 'val_mae_mean': 0.7767225503921509, 'val_r2_mean': -1.8854105472564697, 'val_rmse_target_0': 0.8998114466667175, 'val_mae_target_0': 0.7271848320960999, 'val_r2_target_0': -0.7606528997421265, 'val_rmse_target_1': 1.0286657810211182, 'val_mae_target_1': 0.8332411050796509, 'val_r2_target_1': -0.9971392154693604, 'val_rmse_target_2': 0.9274680018424988, 'val_mae_target_2': 0.7538709044456482, 'val_r2_target_2': -0.6459642648696899, 'val_rmse_target_3': 0.990485668182373, 'val_mae_target_3': 0.7925832271575928, 'val_r2_target_3': -1.7894706726074219, 'val_rmse_target_4': 1.0198222398757935, 'val_mae_target_4': 0.8140267729759216, 'val_r2_target_4': -2.1150221824645996, 'val_rmse_target_5': 1.1474213600158691, 'val_mae_target_5': 0.9222040772438049, 'val_r2_target_5': -5.394863128662109, 'val_rmse_target_6': 1.0127739906311035, 'val_mae_target_6': 0.6667460799217224, 'val_r2_target_6': -1.430359125137329, 'val_rmse_target_7': 0.8985117673873901, 'val_mae_target_7': 0.7039235830307007, 'val_r2_target_7': -1.9498085975646973}",COMPLETE
23,0.9690030062198639,2026-02-23 19:56:17.980751,2026-02-23 19:57:04.267956,0 days 00:00:46.287205,False,35,"{'val_rmse_mean': 0.9807764291763306, 'val_mae_mean': 0.7716339826583862, 'val_r2_mean': -1.616725206375122, 'val_rmse_target_0': 0.9144337177276611, 'val_mae_target_0': 0.7505542635917664, 'val_r2_target_0': -0.6791507005691528, 'val_rmse_target_1': 0.955337405204773, 'val_mae_target_1': 0.757388174533844, 'val_r2_target_1': -0.8379316329956055, 'val_rmse_target_2': 0.9745211601257324, 'val_mae_target_2': 0.7825284004211426, 'val_r2_target_2': -0.7107174396514893, 'val_rmse_target_3': 0.9886689782142639, 'val_mae_target_3': 0.8010289669036865, 'val_r2_target_3': -1.2393012046813965, 'val_rmse_target_4': 1.021622896194458, 'val_mae_target_4': 0.834992527961731, 'val_r2_target_4': -1.2632215023040771, 'val_rmse_target_5': 1.1574896574020386, 'val_mae_target_5': 0.8913372755050659, 'val_r2_target_5': -4.932373523712158, 'val_rmse_target_6': 0.9894577264785767, 'val_mae_target_6': 0.6515386700630188, 'val_r2_target_6': -1.993156909942627, 'val_rmse_target_7': 0.8446803689002991, 'val_mae_target_7': 0.7037036418914795, 'val_r2_target_7': -1.2779502868652344}",COMPLETE
24,0.9562335354089737,2026-02-23 19:57:04.489817,2026-02-23 19:57:50.014205,0 days 00:00:45.524388,False,45,"{'val_rmse_mean': 0.9743676781654358, 'val_mae_mean': 0.7642601728439331, 'val_r2_mean': -1.536529541015625, 'val_rmse_target_0': 0.9080538749694824, 'val_mae_target_0': 0.7379709482192993, 'val_r2_target_0': -0.5908330678939819, 'val_rmse_target_1': 0.9528236389160156, 'val_mae_target_1': 0.7435377240180969, 'val_r2_target_1': -0.758425235748291, 'val_rmse_target_2': 0.9874473810195923, 'val_mae_target_2': 0.7692694067955017, 'val_r2_target_2': -0.6362602710723877, 'val_rmse_target_3': 0.9653865098953247, 'val_mae_target_3': 0.7782549858093262, 'val_r2_target_3': -1.2276480197906494, 'val_rmse_target_4': 0.9911670684814453, 'val_mae_target_4': 0.8023910522460938, 'val_r2_target_4': -1.234459638595581, 'val_rmse_target_5': 1.1552653312683105, 'val_mae_target_5': 0.8830854892730713, 'val_r2_target_5': -5.009207248687744, 'val_rmse_target_6': 0.9885299205780029, 'val_mae_target_6': 0.6899412274360657, 'val_r2_target_6': -1.6469981670379639, 'val_rmse_target_7': 0.8462677001953125, 'val_mae_target_7': 0.7096303701400757, 'val_r2_target_7': -1.1884033679962158}",COMPLETE
25,0.9202633595466614,2026-02-23 19:57:50.237799,2026-02-23 19:58:34.939099,0 days 00:00:44.701300,False,30,"{'val_rmse_mean': 0.9558770656585693, 'val_mae_mean': 0.7492092847824097, 'val_r2_mean': -1.890589952468872, 'val_rmse_target_0': 0.8899857997894287, 'val_mae_target_0': 0.7243812680244446, 'val_r2_target_0': -0.841270923614502, 'val_rmse_target_1': 0.9759977459907532, 'val_mae_target_1': 0.7700257897377014, 'val_r2_target_1': -1.0311262607574463, 'val_rmse_target_2': 0.8923966288566589, 'val_mae_target_2': 0.7346174120903015, 'val_r2_target_2': -0.587721586227417, 'val_rmse_target_3': 0.9462162852287292, 'val_mae_target_3': 0.7495242953300476, 'val_r2_target_3': -1.563697099685669, 'val_rmse_target_4': 1.0010713338851929, 'val_mae_target_4': 0.7839493751525879, 'val_r2_target_4': -1.9090261459350586, 'val_rmse_target_5': 1.1416878700256348, 'val_mae_target_5': 0.8802597522735596, 'val_r2_target_5': -6.214216709136963, 'val_rmse_target_6': 0.9195610284805298, 'val_mae_target_6': 0.6195715069770813, 'val_r2_target_6': -1.0966460704803467, 'val_rmse_target_7': 0.8800999522209167, 'val_mae_target_7': 0.7313446998596191, 'val_r2_target_7': -1.8810150623321533}",COMPLETE
26,1.0261389780044556,2026-02-23 19:58:35.162545,2026-02-23 19:59:17.526052,0 days 00:00:42.363507,True,20,"{'val_rmse_mean': 1.00845468044281, 'val_mae_mean': 0.7850143909454346, 'val_r2_mean': -1.5683856010437012, 'val_rmse_target_0': 1.0034962892532349, 'val_mae_target_0': 0.7912088632583618, 'val_r2_target_0': -1.4302842617034912, 'val_rmse_target_1': 1.032248854637146, 'val_mae_target_1': 0.7874851822853088, 'val_r2_target_1': -1.0075249671936035, 'val_rmse_target_2': 0.9160189032554626, 'val_mae_target_2': 0.7631716132164001, 'val_r2_target_2': -0.6392921209335327, 'val_rmse_target_3': 0.9866257905960083, 'val_mae_target_3': 0.7919850945472717, 'val_r2_target_3': -1.7811286449432373, 'val_rmse_target_4': 0.9662647843360901, 'val_mae_target_4': 0.779771625995636, 'val_r2_target_4': -2.171531915664673, 'val_rmse_target_5': 1.2282869815826416, 'val_mae_target_5': 0.9586843848228455, 'val_r2_target_5': -2.945098638534546, 'val_rmse_target_6': 1.0386499166488647, 'val_mae_target_6': 0.6841978430747986, 'val_r2_target_6': -1.1295764446258545, 'val_rmse_target_7': 0.8960457444190979, 'val_mae_target_7': 0.7236106395721436, 'val_r2_target_7': -1.442647933959961}",COMPLETE
27,0.9690030062198639,2026-02-23 19:59:17.755553,2026-02-23 20:00:02.494011,0 days 00:00:44.738458,False,35,"{'val_rmse_mean': 0.9807764291763306, 'val_mae_mean': 0.7716339826583862, 'val_r2_mean': -1.616725206375122, 'val_rmse_target_0': 0.9144337177276611, 'val_mae_target_0': 0.7505542635917664, 'val_r2_target_0': -0.6791507005691528, 'val_rmse_target_1': 0.955337405204773, 'val_mae_target_1': 0.757388174533844, 'val_r2_target_1': -0.8379316329956055, 'val_rmse_target_2': 0.9745211601257324, 'val_mae_target_2': 0.7825284004211426, 'val_r2_target_2': -0.7107174396514893, 'val_rmse_target_3': 0.9886689782142639, 'val_mae_target_3': 0.8010289669036865, 'val_r2_target_3': -1.2393012046813965, 'val_rmse_target_4': 1.021622896194458, 'val_mae_target_4': 0.834992527961731, 'val_r2_target_4': -1.2632215023040771, 'val_rmse_target_5': 1.1574896574020386, 'val_mae_target_5': 0.8913372755050659, 'val_r2_target_5': -4.932373523712158, 'val_rmse_target_6': 0.9894577264785767, 'val_mae_target_6': 0.6515386700630188, 'val_r2_target_6': -1.993156909942627, 'val_rmse_target_7': 0.8446803689002991, 'val_mae_target_7': 0.7037036418914795, 'val_r2_target_7': -1.2779502868652344}",COMPLETE
28,0.9873400163650513,2026-02-23 20:00:02.723981,2026-02-23 20:00:47.216853,0 days 00:00:44.492872,False,25,"{'val_rmse_mean': 0.9906200170516968, 'val_mae_mean': 0.7767225503921509, 'val_r2_mean': -1.8854105472564697, 'val_rmse_target_0': 0.8998114466667175, 'val_mae_target_0': 0.7271848320960999, 'val_r2_target_0': -0.7606528997421265, 'val_rmse_target_1': 1.0286657810211182, 'val_mae_target_1': 0.8332411050796509, 'val_r2_target_1': -0.9971392154693604, 'val_rmse_target_2': 0.9274680018424988, 'val_mae_target_2': 0.7538709044456482, 'val_r2_target_2': -0.6459642648696899, 'val_rmse_target_3': 0.990485668182373, 'val_mae_target_3': 0.7925832271575928, 'val_r2_target_3': -1.7894706726074219, 'val_rmse_target_4': 1.0198222398757935, 'val_mae_target_4': 0.8140267729759216, 'val_r2_target_4': -2.1150221824645996, 'val_rmse_target_5': 1.1474213600158691, 'val_mae_target_5': 0.9222040772438049, 'val_r2_target_5': -5.394863128662109, 'val_rmse_target_6': 1.0127739906311035, 'val_mae_target_6': 0.6667460799217224, 'val_r2_target_6': -1.430359125137329, 'val_rmse_target_7': 0.8985117673873901, 'val_mae_target_7': 0.7039235830307007, 'val_r2_target_7': -1.9498085975646973}",COMPLETE
29,0.9736771523952484,2026-02-23 20:00:47.445916,2026-02-23 20:01:32.425405,0 days 00:00:44.979489,False,40,"{'val_rmse_mean': 0.9831368327140808, 'val_mae_mean': 0.7735186815261841, 'val_r2_mean': -1.5397071838378906, 'val_rmse_target_0': 0.9230648875236511, 'val_mae_target_0': 0.7557005882263184, 'val_r2_target_0': -0.6613450050354004, 'val_rmse_target_1': 0.9823306202888489, 'val_mae_target_1': 0.7646459937095642, 'val_r2_target_1': -0.8949506282806396, 'val_rmse_target_2': 1.0029008388519287, 'val_mae_target_2': 0.8023135662078857, 'val_r2_target_2': -0.7194153070449829, 'val_rmse_target_3': 0.963728666305542, 'val_mae_target_3': 0.7864060997962952, 'val_r2_target_3': -1.138904333114624, 'val_rmse_target_4': 1.0115197896957397, 'val_mae_target_4': 0.8263667225837708, 'val_r2_target_4': -1.1772654056549072, 'val_rmse_target_5': 1.1609017848968506, 'val_mae_target_5': 0.8816919922828674, 'val_r2_target_5': -4.707529544830322, 'val_rmse_target_6': 0.9794846177101135, 'val_mae_target_6': 0.6728752851486206, 'val_r2_target_6': -1.7947108745574951, 'val_rmse_target_7': 0.8411636352539062, 'val_mae_target_7': 0.6981489062309265, 'val_r2_target_7': -1.2235383987426758}",COMPLETE
